gridnumber,capital,Portfolio[0],Portfolio[1],Portfolio[2],Portfolio[3],Portfolio[4],Portfolio[5],Portfolio[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,1,1,1,1
2,0.0372875,0,0,0,0.008,0.0085,0.0125,0.0125
3,0.0562558,0,0,0,0,0.0125,0.0125,0.0125
4,0.0754439,0,0,0,0,0.0125,0.0125,0.0125
5,0.0948544,0,0,0,0,0.0125,0.0125,0.0125
6,0.11449,0,0,0,0,0.0125,0.0125,0.0125
7,0.134352,0,0,0,0.008,0.0125,0.0125,0.0245
8,0.154445,0,0,0,0,0.0125,0.0125,0.0245
9,0.174771,0,0,0,0.008,0.0125,0.0125,0.0245
10,0.195332,0,0,0,0.008,0.0125,0.0245,0.025
11,0.216131,0,0,0,0.008,0.0125,0.0245,0.025
12,0.237172,0,0,0,0.008,0.0125,0.0245,0.025
13,0.258456,0,0,0,0.008,0.0125,0.0245,0.025
14,0.279986,0,0,0,0.008,0.0125,0.0245,0.025
15,0.301766,0,0,0,0.008,0.0125,0.025,0.025
16,0.323799,0,0,0,0.008,0.0125,0.025,0.025
17,0.346087,0,0,0,0.008,0.0125,0.025,0.0305
18,0.368632,0,0,0,0.008,0.0245,0.025,0.0455
19,0.391439,0,0,0,0.008,0.0245,0.025,0.034
20,0.414511,0,0,0,0.008,0.0245,0.025,0.046
21,0.437849,0,0,0,0.008,0.0245,0.025,0.046
22,0.461458,0,0,0,0.008,0.0245,0.025,0.046
23,0.485341,0,0,0,0.008,0.0245,0.025,0.046
24,0.5095,0,0,0,0.008,0.0245,0.0305,0.051
25,0.533939,0,0,0,0.008,0.0245,0.034,0.051
26,0.558661,0,0,0,0.008,0.025,0.034,0.0505
27,0.58367,0,0,0,0.008,0.025,0.0455,0.051
28,0.608968,0,0,0,0.008,0.025,0.046,0.0915
29,0.634559,0,0,0,0.008,0.025,0.046,0.0915
30,0.660447,0,0,0,0.008,0.025,0.046,0.051
31,0.686635,0,0,0,0.008,0.025,0.046,0.0915
32,0.713126,0,0,0,0.008,0.025,0.0505,0.092
33,0.739924,0,0,0,0.008,0.025,0.0505,0.0885
34,0.767033,0,0,0,0.008,0.0175,0.0175,0.0175
35,0.794456,0,0,0,0.008,0.025,0.046,0.047
36,0.822196,0,0,0,0.008,0.025,0.0715,0.092
37,0.850258,0,0,0,0.008,0.025,0.059,0.0885
38,0.878644,0,0,0,0.008,0.0175,0.0175,0.0245
39,0.90736,0,0,0,0.008,0.0245,0.035,0.046
40,0.936408,0,0,0,0.008,0.025,0.0505,0.0915
41,0.965793,0,0,0,0.008,0.0305,0.0715,0.089
42,0.995519,0,0,0,0.008,0.0175,0.018,0.035
43,1.02559,0,0,0,0.008,0.0175,0.0315,0.0355
44,1.05601,0,0,0,0.008,0.025,0.047,0.0715
45,1.08678,0,0,0,0.008,0.0455,0.0885,0.0915
46,1.1179,0,0,0,0,0.0175,0.035,0.0355
47,1.14939,0,0,0,0.008,0.0175,0.0335,0.0355
48,1.18124,0,0,0,0.008,0.025,0.0455,0.0475
49,1.21346,0,0,0,0.008,0.0355,0.0715,0.092
50,1.24606,0,0,0,0,0.025,0.0355,0.0885
51,1.27903,0,0,0,0,0.018,0.035,0.0355
52,1.31239,0,0,0,0.008,0.025,0.0355,0.047
53,1.34613,0,0,0,0.008,0.034,0.0475,0.0915
54,1.38026,0,0,0,0,0.034,0.051,0.0915
55,1.41479,0,0,0,0,0.025,0.0355,0.051
56,1.44971,0,0,0,0.008,0.025,0.0355,0.047
57,1.48504,0,0,0,0.008,0.0315,0.047,0.0915
58,1.52078,0,0,0,0.008,0.035,0.071,0.094
59,1.55694,0,0,0,0,0.0315,0.0475,0.0915
60,1.59351,0,0,0,0.008,0.025,0.0355,0.0715
61,1.63051,0,0,0,0.008,0.025,0.046,0.089
62,1.66794,0,0,0,0.008,0.035,0.051,0.094
63,1.7058,0,0,0,0.008,0.035,0.0885,0.0945
64,1.7441,0,0,0,0,0.035,0.0475,0.092
65,1.78284,0,0,0,0.008,0.031,0.046,0.0915
66,1.82203,0,0,0,0.008,0.035,0.0475,0.094
67,1.86167,0,0,0,0.008,0.0355,0.089,0.0945
68,1.90178,0,0,0,0,0.035,0.089,0.1015
69,1.94235,0,0,0,0,0.035,0.051,0.0945
70,1.98339,0,0,0,0.008,0.035,0.0475,0.094
71,2.0249,0,0,0,0.008,0.0355,0.0885,0.0945
72,2.0669,0,0,0,0.008,0.0355,0.0915,0.102
73,2.10938,0,0,0,0,0.0355,0.089,0.102
74,2.15235,0,0,0,0.008,0.035,0.0715,0.1015
75,2.19582,0,0,0,0.008,0.035,0.0885,0.1015
76,2.2398,0,0,0,0.008,0.0355,0.0915,0.102
77,2.28428,0,0,0,0.008,0.0355,0.092,0.1075
78,2.32928,0,0,0,0,0.0355,0.0915,0.1075
79,2.37481,0,0,0,0.008,0.0355,0.089,0.102
80,2.42085,0,0,0,0.008,0.0355,0.0915,0.107
81,2.46744,0,0,0,0.008,0.046,0.094,0.153
82,2.51456,0,0,0,0,0.046,0.094,0.1675
83,2.56223,0,0,0,0,0.0355,0.092,0.1675
84,2.61045,0,0,0,0.008,0.0355,0.092,0.1675
85,2.65923,0,0,0,0.008,0.046,0.094,0.1675
86,2.70857,0,0,0,0.008,0.047,0.0945,0.168
87,2.75849,0,0,0,0,0.046,0.0945,0.168
88,2.80898,0,0,0,0.008,0.0455,0.0945,0.168
89,2.86006,0,0,0,0.008,0.046,0.0945,0.1685
90,2.91173,0,0,0,0.008,0.047,0.0945,0.1775
91,2.964,0,0,0,0.008,0.047,0.1015,0.1775
92,3.01688,0,0,0,0,0.047,0.1015,0.1775
93,3.07036,0,0,0,0.008,0.047,0.1015,0.1775
94,3.12447,0,0,0,0.008,0.047,0.1015,0.178
95,3.1792,0,0,0,0.008,0.0475,0.102,0.1945
96,3.23457,0,0,0,0.008,0.0505,0.107,0.194
97,3.29058,0,0,0,0,0.0475,0.107,0.194
98,3.34724,0,0,0,0.008,0.0475,0.107,0.1945
99,3.40456,0,0,0,0.008,0.0505,0.107,0.1945
100,3.46253,0,0,0,0.008,0.051,0.1115,0.1955
101,3.52119,0,0,0,0.008,0.059,0.143,0.1945
102,3.58052,0,0,0,0.008,0.051,0.143,0.1945
103,3.64053,0,0,0,0.008,0.051,0.153,0.196
104,3.70125,0,0,0,0.008,0.0715,0.1675,0.196
105,3.76266,0,0,0,0.008,0.0885,0.1675,0.1955
106,3.82479,0,0,0,0.008,0.0885,0.168,0.1955
107,3.88764,0,0,0,0.008,0.0885,0.168,0.196
108,3.95121,0,0,0,0.008,0.089,0.168,0.1965
109,4.01552,0,0,0,0.008,0.089,0.1685,0.1975
110,4.08058,0,0,0,0.008,0.089,0.1705,0.199
111,4.14639,0,0,0,0.008,0.089,0.1775,0.1995
112,4.21297,0,0,0,0.008,0.0915,0.1775,0.1995
113,4.28031,0,0,0,0.008,0.0915,0.1775,0.1995
114,4.34843,0,0,0,0.008,0.0915,0.1775,0.1995
115,4.41735,0,0,0,0.008,0.0915,0.178,0.2
116,4.48706,0,0,0,0.008,0.0915,0.178,0.2005
117,4.55758,0,0,0,0.008,0.092,0.194,0.202
118,4.62892,0,0,0,0.008,0.094,0.1945,0.2035
119,4.70108,0,0,0,0.008,0.094,0.1945,0.204
120,4.77408,0,0,0,0.008,0.094,0.1945,0.204
121,4.84793,0,0,0,0.008,0.094,0.1945,0.204
122,4.92263,0,0,0,0.008,0.094,0.1945,0.2065
123,4.99819,0,0,0,0.008,0.0945,0.195,0.2075
124,5.07463,0,0,0,0.008,0.0945,0.195,0.2075
125,5.15196,0,0,0,0.008,0.0945,0.1955,0.208
126,5.23019,0,0,0,0.008,0.0945,0.1955,0.2115
127,5.30931,0,0,0,0.008,0.0945,0.196,0.213
128,5.38936,0,0,0,0.007,0.0945,0.196,0.214
129,5.47033,0,0,0,0.0055,0.1015,0.196,0.214
130,5.55225,0,0,0,0.0065,0.1015,0.196,0.214
131,5.63511,0,0,0,0.007,0.1015,0.1965,0.2145
132,5.71893,0,0,0,0.006,0.1015,0.1975,0.2145
133,5.80372,0,0,0,0.005,0.102,0.1975,0.2145
134,5.88949,0,0,0,0.0045,0.102,0.199,0.2145
135,5.97626,0,0,0,0.005,0.102,0.1995,0.2135
136,6.06403,0,0,0,0.0045,0.107,0.1995,0.2135
137,6.15282,0,0,0,0.004,0.107,0.2,0.214
138,6.24264,0,0,0,0.003,0.107,0.1995,0.214
139,6.3335,0,0,0,0.0035,0.1075,0.1955,0.213
140,6.42541,0,0,0,0.0035,0.1115,0.1955,0.2125
141,6.51839,0,0,0,0.003,0.1425,0.196,0.2085
142,6.61244,0,0,0,0.002,0.1535,0.196,0.2075
143,6.70758,0,0,0,0.002,0.1675,0.195,0.2095
144,6.80383,0,0,0,0.0035,0.1675,0.1945,0.2085
145,6.90119,0,0,0,0.005,0.1655,0.191,0.2075
146,6.99968,0,0,0,0.0045,0.163,0.194,0.2045
147,7.0993,0,0,0,0.0025,0.1595,0.194,0.204
148,7.20009,0,0,0,0.0025,0.157,0.1905,0.204
149,7.30204,0,0,0,0.003,0.153,0.187,0.204
150,7.40517,0,0,0,0.003,0.1485,0.1825,0.2035
151,7.5095,0,0,0,0.002,0.1445,0.178,0.2005
152,7.61503,0,0,0,0.001,0.1405,0.1775,0.2
153,7.72179,0,0,0,0.001,0.137,0.1705,0.2
154,7.82979,0,0,0,0.001,0.1325,0.168,0.199
155,7.93903,0,0,0,0.0005,0.1285,0.1675,0.192
156,8.04955,0,0,0,0,0.124,0.1675,0.186
157,8.16134,0,0,0,0,0.12,0.1655,0.18
158,8.27443,0,0,0,0,0.116,0.163,0.1735
159,8.38882,0,0,0,0,0.1115,0.16,0.1675
160,8.50455,0,0,0,0,0.1075,0.1575,0.1615
161,8.62161,0,0,0,0,0.104,0.153,0.1555
162,8.74003,0,0,0,0,0.1015,0.149,0.1495
163,8.85982,0,0,0,0,0.1015,0.143,0.1435
164,8.981,0,0,0,0,0.1015,0.137,0.1375
165,9.10358,0,0,0,0,0.1015,0.131,0.1315
166,9.22759,0,0,0,0,0.0995,0.125,0.125
167,9.35303,0,0,0,0,0.0955,0.1185,0.119
168,9.47992,0,0,0,0,0.0915,0.1125,0.113
169,9.60828,0,0,0,0,0.0875,0.107,0.1075
170,9.73813,0,0,0,0,0.0835,0.102,0.102
171,9.86949,0,0,0,0,0.0795,0.0965,0.0965
172,10.0024,0,0,0,0,0.0755,0.0905,0.0905
173,10.1368,0,0,0,0,0.0715,0.0845,0.085
174,10.2728,0,0,0,0,0.068,0.079,0.079
175,10.4103,0,0,0,0,0.0645,0.073,0.0735
176,10.5494,0,0,0,0,0.0605,0.0675,0.0675
177,10.6902,0,0,0,0,0.0565,0.062,0.062
178,10.8326,0,0,0,0,0.053,0.056,0.0565
179,10.9766,0,0,0,0,0.049,0.0505,0.0505
180,11.1223,0,0,0,0,0.045,0.045,0.045
181,11.2697,0,0,0,0,0.0395,0.0395,0.0395
182,11.4188,0,0,0,0,0.034,0.034,0.034
183,11.5696,0,0,0,0,0.0285,0.0285,0.0285
184,11.7222,0,0,0,0,0.023,0.023,0.0235
185,11.8766,0,0,0,0,0.018,0.018,0.018
186,12.0327,0,0,0,0,0.0125,0.0125,0.0125
187,12.1906,0,0,0,0,0.007,0.007,0.0075
188,12.3504,0,0,0,0,0.0015,0.0015,0.002
189,12.512,0,0,0,0,0.0035,0.0035,0.004
190,12.6755,0,0,0,0,0.0085,0.009,0.009
191,12.8409,0,0,0,0,0.007,0.007,0.0075
192,13.0082,0,0,0,0,0.0015,0.0015,0.002
193,13.1774,0,0,0,0,0.0035,0.0035,0.004
194,13.3486,0,0,0,0,0.0085,0.009,0.009
195,13.5218,0,0,0,0,0.007,0.007,0.0075
196,13.697,0,0,0,0,0.0015,0.002,0.003
197,13.8742,0,0,0,0,0.0035,0.004,0.007
198,14.0535,0,0,0,0,0.0085,0.009,0.009
199,14.2348,0,0,0,0,0.0035,0.007,0.0075
200,14.4183,0,0,0,0,0.0015,0.002,0.003
201,14.6039,0,0,0,0,0.0035,0.004,0.007
202,14.7916,0,0,0,0,0.0075,0.009,0.009
203,14.9815,0,0,0,0,0.0035,0.007,0.007
204,15.1736,0,0,0,0,0.0015,0.003,0.003
205,15.3679,0,0,0,0,0.0035,0.007,0.007
206,15.5645,0,0,0,0,0.007,0.009,0.009
207,15.7633,0,0,0,0,0.003,0.0035,0.007
208,15.9645,0,0,0,0,0.0015,0.003,0.0035
209,16.168,0,0,0,0,0.0035,0.007,0.0075
210,16.3738,0,0,0,0,0.007,0.0085,0.009
211,16.5821,0,0,0,0,0.003,0.0035,0.007
212,16.7927,0,0,0,0,0.002,0.0035,0.0035
213,17.0058,0,0,0,0,0.004,0.007,0.0075
214,17.2213,0,0,0,0,0.005,0.0075,0.009
215,17.4394,0,0,0,0,0.003,0.0035,0.007
216,17.66,0,0,0,0,0.003,0.0035,0.004
217,17.8831,0,0,0,0,0.004,0.007,0.0075
218,18.1088,0,0,0,0,0.0035,0.007,0.009
219,18.3372,0,0,0,0,0.003,0.0035,0.007
220,18.5681,0,0,0,0,0.003,0.0035,0.007
221,18.8018,0,0,0,0,0.004,0.0075,0.009
222,19.0381,0,0,0,0,0.0035,0.007,0.009
223,19.2772,0,0,0,0,0.003,0.0035,0.007
224,19.5191,0,0,0,0,0.0035,0.004,0.0075
225,19.7638,0,0,0,0,0.0035,0.0075,0.009
226,20.0113,0,0,0,0,0.0035,0.007,0.0085
227,20.2617,0,0,0,0,0.003,0.0035,0.0075
228,20.5149,0,0,0,0,0.0035,0.007,0.0075
229,20.7711,0,0,0,0,0.0035,0.0075,0.009
230,21.0303,0,0,0,0,0.0035,0.007,0.0085
231,21.2925,0,0,0,0,0.0035,0.006,0.0075
232,21.5577,0,0,0,0,0.0035,0.007,0.009
