gridnumber,capital,Portfolio[0],Portfolio[1],Portfolio[2],Portfolio[3],Portfolio[4],Portfolio[5],Portfolio[6]
0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,1,1,1,1
2,0.0372875,0,0,0,0.00666667,0.01,0.01,0.01
3,0.0562558,0,0,0,0,0.01,0.01,0.0133333
4,0.0754439,0,0,0,0,0.01,0.0133333,0.0133333
5,0.0948544,0,0,0,0,0.01,0.0133333,0.0133333
6,0.11449,0,0,0,0,0.01,0.0133333,0.0133333
7,0.134352,0,0,0,0,0.0133333,0.0133333,0.0233333
8,0.154445,0,0,0,0,0.0133333,0.0133333,0.0233333
9,0.174771,0,0,0,0.00666667,0.0133333,0.0133333,0.0233333
10,0.195332,0,0,0,0.00666667,0.0133333,0.0233333,0.0233333
11,0.216131,0,0,0,0.00666667,0.0133333,0.0233333,0.0233333
12,0.237172,0,0,0,0.00666667,0.0133333,0.0233333,0.0233333
13,0.258456,0,0,0,0.00666667,0.0133333,0.0233333,0.0266667
14,0.279986,0,0,0,0.00666667,0.0133333,0.0233333,0.0266667
15,0.301766,0,0,0,0.00666667,0.0133333,0.0233333,0.0266667
16,0.323799,0,0,0,0.00666667,0.0133333,0.0233333,0.0266667
17,0.346087,0,0,0,0.00666667,0.0133333,0.0233333,0.03
18,0.368632,0,0,0,0.00666667,0.0233333,0.0266667,0.0433333
19,0.391439,0,0,0,0.00666667,0.0233333,0.0266667,0.0333333
20,0.414511,0,0,0,0.00666667,0.0233333,0.0266667,0.0466667
21,0.437849,0,0,0,0.00666667,0.0233333,0.0266667,0.0466667
22,0.461458,0,0,0,0.00666667,0.0233333,0.0266667,0.0466667
23,0.485341,0,0,0,0.00666667,0.0233333,0.0266667,0.0466667
24,0.5095,0,0,0,0.00666667,0.0233333,0.03,0.05
25,0.533939,0,0,0,0.00666667,0.0233333,0.0333333,0.05
26,0.558661,0,0,0,0.00666667,0.0233333,0.0333333,0.05
27,0.58367,0,0,0,0.00666667,0.0233333,0.0433333,0.05
28,0.608968,0,0,0,0.00666667,0.0233333,0.0466667,0.09
29,0.634559,0,0,0,0.00666667,0.0233333,0.0466667,0.09
30,0.660447,0,0,0,0.00666667,0.0233333,0.0466667,0.0533333
31,0.686635,0,0,0,0.00666667,0.0233333,0.0466667,0.09
32,0.713126,0,0,0,0.00666667,0.0266667,0.05,0.0933333
33,0.739924,0,0,0,0.00666667,0.0266667,0.05,0.0866667
34,0.767033,0,0,0,0.00666667,0.0166667,0.0166667,0.0166667
35,0.794456,0,0,0,0.00666667,0.0266667,0.0466667,0.0466667
36,0.822196,0,0,0,0.00666667,0.0266667,0.07,0.0933333
37,0.850258,0,0,0,0.00666667,0.0266667,0.0566667,0.0866667
38,0.878644,0,0,0,0.00666667,0.0166667,0.0166667,0.0233333
39,0.90736,0,0,0,0.00666667,0.0233333,0.0333333,0.0466667
40,0.936408,0,0,0,0.00666667,0.0266667,0.05,0.0933333
41,0.965793,0,0,0,0.00666667,0.03,0.07,0.09
42,0.995519,0,0,0,0,0.0166667,0.02,0.0333333
43,1.02559,0,0,0,0.00666667,0.02,0.0333333,0.0366667
44,1.05601,0,0,0,0.00666667,0.0266667,0.0466667,0.0733333
45,1.08678,0,0,0,0.00666667,0.0433333,0.0866667,0.09
46,1.1179,0,0,0,0,0.0166667,0.0333333,0.0366667
47,1.14939,0,0,0,0.00666667,0.0166667,0.0333333,0.0366667
48,1.18124,0,0,0,0.00666667,0.0266667,0.0433333,0.0466667
49,1.21346,0,0,0,0.00666667,0.0366667,0.07,0.0933333
50,1.24606,0,0,0,0,0.0233333,0.0366667,0.0866667
51,1.27903,0,0,0,0,0.02,0.0333333,0.0366667
52,1.31239,0,0,0,0.00666667,0.0233333,0.0366667,0.0466667
53,1.34613,0,0,0,0.00666667,0.0333333,0.0466667,0.0933333
54,1.38026,0,0,0,0,0.0333333,0.0533333,0.09
55,1.41479,0,0,0,0,0.0233333,0.0366667,0.05
56,1.44971,0,0,0,0.00666667,0.0233333,0.0366667,0.0466667
57,1.48504,0,0,0,0.00666667,0.03,0.0466667,0.09
58,1.52078,0,0,0,0.00666667,0.0333333,0.07,0.0933333
59,1.55694,0,0,0,0,0.0333333,0.0466667,0.09
60,1.59351,0,0,0,0,0.0266667,0.0366667,0.0733333
61,1.63051,0,0,0,0.00666667,0.0266667,0.0466667,0.09
62,1.66794,0,0,0,0.00666667,0.0333333,0.05,0.0933333
63,1.7058,0,0,0,0.00666667,0.0333333,0.0866667,0.0933333
64,1.7441,0,0,0,0,0.0333333,0.0466667,0.0933333
65,1.78284,0,0,0,0.00666667,0.03,0.0466667,0.09
66,1.82203,0,0,0,0.00666667,0.0333333,0.0466667,0.0933333
67,1.86167,0,0,0,0.00666667,0.0366667,0.09,0.0933333
68,1.90178,0,0,0,0,0.0366667,0.09,0.1
69,1.94235,0,0,0,0,0.0333333,0.05,0.0933333
70,1.98339,0,0,0,0.00666667,0.0333333,0.0466667,0.0933333
71,2.0249,0,0,0,0.00666667,0.0366667,0.0866667,0.0933333
72,2.0669,0,0,0,0.00666667,0.0366667,0.09,0.103333
73,2.10938,0,0,0,0,0.0366667,0.09,0.103333
74,2.15235,0,0,0,0.00666667,0.0333333,0.0733333,0.1
75,2.19582,0,0,0,0.00666667,0.0333333,0.0866667,0.1
76,2.2398,0,0,0,0.00666667,0.0366667,0.09,0.103333
77,2.28428,0,0,0,0.00666667,0.0366667,0.0933333,0.106667
78,2.32928,0,0,0,0,0.0366667,0.09,0.106667
79,2.37481,0,0,0,0.00666667,0.0366667,0.09,0.103333
80,2.42085,0,0,0,0.00666667,0.0366667,0.0933333,0.106667
81,2.46744,0,0,0,0.00666667,0.0466667,0.0933333,0.153333
82,2.51456,0,0,0,0,0.0466667,0.0933333,0.166667
83,2.56223,0,0,0,0,0.0366667,0.0933333,0.166667
84,2.61045,0,0,0,0.00666667,0.0366667,0.0933333,0.166667
85,2.65923,0,0,0,0.00666667,0.0466667,0.0933333,0.166667
86,2.70857,0,0,0,0.00666667,0.0466667,0.0933333,0.17
87,2.75849,0,0,0,0,0.0466667,0.0933333,0.17
88,2.80898,0,0,0,0.00666667,0.0433333,0.0933333,0.17
89,2.86006,0,0,0,0.00666667,0.0466667,0.0933333,0.17
90,2.91173,0,0,0,0.00666667,0.0466667,0.0933333,0.176667
91,2.964,0,0,0,0.00666667,0.0466667,0.1,0.176667
92,3.01688,0,0,0,0,0.0466667,0.1,0.176667
93,3.07036,0,0,0,0.00666667,0.0466667,0.1,0.176667
94,3.12447,0,0,0,0.00666667,0.0466667,0.1,0.18
95,3.1792,0,0,0,0.00666667,0.0466667,0.103333,0.193333
96,3.23457,0,0,0,0.00666667,0.05,0.106667,0.193333
97,3.29058,0,0,0,0,0.0466667,0.106667,0.193333
98,3.34724,0,0,0,0.00666667,0.0466667,0.106667,0.193333
99,3.40456,0,0,0,0.00666667,0.05,0.106667,0.193333
100,3.46253,0,0,0,0.00666667,0.0533333,0.11,0.193333
101,3.52119,0,0,0,0.00666667,0.0566667,0.143333,0.193333
102,3.58052,0,0,0,0.00666667,0.0533333,0.143333,0.193333
103,3.64053,0,0,0,0.00666667,0.0533333,0.153333,0.196667
104,3.70125,0,0,0,0.00666667,0.0733333,0.166667,0.196667
105,3.76266,0,0,0,0.00666667,0.0866667,0.166667,0.196667
106,3.82479,0,0,0,0.00666667,0.0866667,0.166667,0.196667
107,3.88764,0,0,0,0.00666667,0.0866667,0.17,0.196667
108,3.95121,0,0,0,0.00666667,0.09,0.17,0.196667
109,4.01552,0,0,0,0.00666667,0.09,0.17,0.196667
110,4.08058,0,0,0,0.00666667,0.09,0.173333,0.196667
111,4.14639,0,0,0,0.00666667,0.09,0.176667,0.196667
112,4.21297,0,0,0,0.00666667,0.09,0.176667,0.2
113,4.28031,0,0,0,0.00666667,0.09,0.176667,0.2
114,4.34843,0,0,0,0.00666667,0.0933333,0.176667,0.2
115,4.41735,0,0,0,0.00666667,0.0933333,0.18,0.2
116,4.48706,0,0,0,0.00666667,0.0933333,0.18,0.2
117,4.55758,0,0,0,0.00666667,0.0933333,0.193333,0.2
118,4.62892,0,0,0,0.00666667,0.0933333,0.193333,0.203333
119,4.70108,0,0,0,0.00666667,0.0933333,0.193333,0.203333
120,4.77408,0,0,0,0.00666667,0.0933333,0.193333,0.203333
121,4.84793,0,0,0,0.00666667,0.0933333,0.193333,0.203333
122,4.92263,0,0,0,0.00666667,0.0933333,0.193333,0.206667
123,4.99819,0,0,0,0.00666667,0.0933333,0.193333,0.206667
124,5.07463,0,0,0,0.00666667,0.0933333,0.196667,0.206667
125,5.15196,0,0,0,0.00666667,0.0933333,0.196667,0.21
126,5.23019,0,0,0,0.00666667,0.0933333,0.196667,0.21
127,5.30931,0,0,0,0.00666667,0.0933333,0.196667,0.213333
128,5.38936,0,0,0,0.00666667,0.0933333,0.196667,0.213333
129,5.47033,0,0,0,0.00666667,0.1,0.196667,0.213333
130,5.55225,0,0,0,0.00666667,0.1,0.196667,0.213333
131,5.63511,0,0,0,0.00666667,0.1,0.196667,0.213333
132,5.71893,0,0,0,0.00666667,0.103333,0.196667,0.213333
133,5.80372,0,0,0,0.00333333,0.103333,0.196667,0.213333
134,5.88949,0,0,0,0.00333333,0.103333,0.196667,0.213333
135,5.97626,0,0,0,0.00333333,0.103333,0.2,0.213333
136,6.06403,0,0,0,0.00333333,0.106667,0.2,0.213333
137,6.15282,0,0,0,0.00333333,0.106667,0.2,0.213333
138,6.24264,0,0,0,0.00333333,0.106667,0.2,0.213333
139,6.3335,0,0,0,0.00333333,0.106667,0.196667,0.213333
140,6.42541,0,0,0,0.00333333,0.11,0.196667,0.21
141,6.51839,0,0,0,0.00333333,0.14,0.196667,0.21
142,6.61244,0,0,0,0.00333333,0.153333,0.196667,0.21
143,6.70758,0,0,0,0.00333333,0.166667,0.196667,0.21
144,6.80383,0,0,0,0.00333333,0.166667,0.193333,0.21
145,6.90119,0,0,0,0.00666667,0.163333,0.193333,0.206667
146,6.99968,0,0,0,0.00333333,0.163333,0.193333,0.206667
147,7.0993,0,0,0,0.00333333,0.16,0.193333,0.203333
148,7.20009,0,0,0,0.00333333,0.156667,0.19,0.203333
149,7.30204,0,0,0,0.00333333,0.153333,0.186667,0.203333
150,7.40517,0,0,0,0.00333333,0.146667,0.183333,0.203333
151,7.5095,0,0,0,0.00333333,0.143333,0.18,0.2
152,7.61503,0,0,0,0,0.14,0.176667,0.2
153,7.72179,0,0,0,0,0.136667,0.17,0.2
154,7.82979,0,0,0,0,0.133333,0.17,0.196667
155,7.93903,0,0,0,0,0.126667,0.166667,0.19
156,8.04955,0,0,0,0,0.123333,0.166667,0.186667
157,8.16134,0,0,0,0,0.12,0.166667,0.18
158,8.27443,0,0,0,0,0.116667,0.163333,0.173333
159,8.38882,0,0,0,0,0.113333,0.16,0.166667
160,8.50455,0,0,0,0,0.106667,0.156667,0.16
161,8.62161,0,0,0,0,0.103333,0.153333,0.153333
162,8.74003,0,0,0,0,0.1,0.146667,0.15
163,8.85982,0,0,0,0,0.1,0.143333,0.143333
164,8.981,0,0,0,0,0.1,0.136667,0.136667
165,9.10358,0,0,0,0,0.1,0.13,0.13
166,9.22759,0,0,0,0,0.0966667,0.123333,0.123333
167,9.35303,0,0,0,0,0.0933333,0.116667,0.12
168,9.47992,0,0,0,0,0.0933333,0.113333,0.113333
169,9.60828,0,0,0,0,0.0866667,0.106667,0.106667
170,9.73813,0,0,0,0,0.0833333,0.1,0.103333
171,9.86949,0,0,0,0,0.08,0.0933333,0.0966667
172,10.0024,0,0,0,0,0.0766667,0.09,0.09
173,10.1368,0,0,0,0,0.0733333,0.0833333,0.0866667
174,10.2728,0,0,0,0,0.07,0.0766667,0.08
175,10.4103,0,0,0,0,0.0633333,0.0733333,0.0733333
176,10.5494,0,0,0,0,0.06,0.0666667,0.0666667
177,10.6902,0,0,0,0,0.0566667,0.06,0.0633333
178,10.8326,0,0,0,0,0.0533333,0.0566667,0.0566667
179,10.9766,0,0,0,0,0.05,0.05,0.05
180,11.1223,0,0,0,0,0.0433333,0.0433333,0.0466667
181,11.2697,0,0,0,0,0.0366667,0.04,0.04
182,11.4188,0,0,0,0,0.0333333,0.0333333,0.0333333
183,11.5696,0,0,0,0,0.0266667,0.03,0.03
184,11.7222,0,0,0,0,0.0233333,0.0233333,0.0233333
185,11.8766,0,0,0,0,0.0166667,0.0166667,0.02
186,12.0327,0,0,0,0,0.01,0.0133333,0.0133333
187,12.1906,0,0,0,0,0.00666667,0.00666667,0.00666667
188,12.3504,0,0,0,0,0,0.00333333,0.00333333
189,12.512,0,0,0,0,0.00333333,0.00333333,0.00333333
190,12.6755,0,0,0,0,0.00666667,0.01,0.01
191,12.8409,0,0,0,0,0.00666667,0.00666667,0.00666667
192,13.0082,0,0,0,0,0,0.00333333,0.00333333
193,13.1774,0,0,0,0,0.00333333,0.00333333,0.00333333
194,13.3486,0,0,0,0,0.00666667,0.01,0.01
195,13.5218,0,0,0,0,0.00666667,0.00666667,0.00666667
196,13.697,0,0,0,0,0,0.00333333,0.00333333
197,13.8742,0,0,0,0,0.00333333,0.00333333,0.00666667
198,14.0535,0,0,0,0,0.00666667,0.01,0.01
199,14.2348,0,0,0,0,0.00333333,0.00666667,0.00666667
200,14.4183,0,0,0,0,0,0.00333333,0.00333333
201,14.6039,0,0,0,0,0.00333333,0.00333333,0.00666667
202,14.7916,0,0,0,0,0.00666667,0.01,0.01
203,14.9815,0,0,0,0,0.00333333,0.00666667,0.00666667
204,15.1736,0,0,0,0,0.00333333,0.00333333,0.00333333
205,15.3679,0,0,0,0,0.00333333,0.00666667,0.00666667
206,15.5645,0,0,0,0,0.00666667,0.01,0.01
207,15.7633,0,0,0,0,0.00333333,0.00333333,0.00666667
208,15.9645,0,0,0,0,0.00333333,0.00333333,0.00333333
