gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0185364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0.11,0.1,0.08,0.06,0.04,0.03,0.01,0.15,0.14,0.12,0.11,0.09,0.08,0.07
2,0.0372875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.06,0.04,0.03,0.02,0.01,0,0.15,0.13,0.13,0.12,0.11,0.1,0.09,0.2,0.17,0.16,0.15,0.15,0.14,0.13
3,0.0562558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0.09,0.08,0.07,0.06,0.04,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.23,0.23,0.23,0.22,0.19,0.17,0.16
4,0.0754439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.09,0.08,0.07,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.23,0.23,0.23,0.23,0.22,0.22,0.17
5,0.0948544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0.13,0.12,0.11,0.1,0.09,0.23,0.23,0.22,0.21,0.17,0.16,0.15,0.25,0.25,0.24,0.23,0.23,0.23,0.22
6,0.11449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.13,0.12,0.11,0.1,0.17,0.17,0.19,0.18,0.17,0.16,0.15,0.23,0.23,0.23,0.23,0.23,0.23,0.22
7,0.134352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.15,0.15,0.15,0.13,0.12,0.11,0.23,0.23,0.23,0.23,0.22,0.18,0.16,0.3,0.26,0.24,0.23,0.23,0.23,0.23
8,0.154445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.15,0.15,0.14,0.13,0.12,0.22,0.22,0.23,0.23,0.22,0.22,0.17,0.23,0.23,0.23,0.23,0.23,0.23,0.23
9,0.174771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.16,0.16,0.15,0.15,0.13,0.12,0.24,0.23,0.23,0.23,0.23,0.22,0.18,0.32,0.3,0.29,0.25,0.24,0.23,0.23
10,0.195332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.16,0.16,0.15,0.15,0.13,0.12,0.23,0.23,0.23,0.23,0.22,0.22,0.17,0.3,0.26,0.25,0.24,0.23,0.23,0.23
11,0.216131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.16,0.15,0.15,0.15,0.12,0.11,0.24,0.23,0.23,0.23,0.22,0.18,0.16,0.32,0.3,0.29,0.25,0.23,0.23,0.22
12,0.237172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.1,0.13,0.13,0.12,0.11,0.03,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.23,0.23,0.23,0.22,0.17,0.16
13,0.258456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.17,0.16,0.15,0.15,0.13,0.12,0.23,0.23,0.23,0.23,0.23,0.22,0.17,0.3,0.3,0.29,0.25,0.24,0.23,0.23
14,0.279986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.16,0.15,0.15,0.13,0.13,0.11,0.23,0.23,0.23,0.23,0.22,0.18,0.15,0.3,0.3,0.29,0.25,0.24,0.23,0.23
15,0.301766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.16,0.16,0.15,0.14,0.13,0.12,0.23,0.23,0.23,0.23,0.22,0.22,0.17,0.31,0.3,0.3,0.25,0.24,0.23,0.23
16,0.323799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.16,0.15,0.13,0.11,0.1,0.09,0.24,0.23,0.23,0.22,0.18,0.15,0.12,0.33,0.3,0.26,0.23,0.22,0.18,0.18
17,0.346087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.13,0.13,0.12,0.11,0.22,0.22,0.22,0.22,0.18,0.16,0.15,0.22,0.22,0.22,0.22,0.22,0.22,0.22
18,0.368632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.12,0.13,0.13,0.13,0.1,0.12,0.13,0.13,0.15,0.15,0.15
19,0.391439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.13,0.12,0.11,0.11,0.23,0.23,0.22,0.22,0.18,0.15,0.14,0.29,0.25,0.24,0.23,0.23,0.22,0.22
20,0.414511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.11,0.11,0.11,0.11,0.1,0.22,0.22,0.16,0.13,0.12,0.12,0.11,0.24,0.23,0.22,0.22,0.15,0.13,0.12
21,0.437849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.22,0.21,0.18,0.15,0.15,0.14,0.13,0.25,0.23,0.23,0.22,0.22,0.21,0.21
22,0.461458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.13,0.13,0.1,0.07,0.07,0.07,0.07,0.14,0.13,0.13,0.13,0.13,0.13,0.13
23,0.485341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.22,0.15,0.15,0.14,0.14,0.14,0.13
24,0.5095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.19,0.18,0.16,0.15,0.15,0.15,0.14,0.23,0.23,0.23,0.22,0.22,0.22,0.21
25,0.533939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.17,0.18,0.17,0.16,0.15,0.15,0.15
