gridnumber,capital,Portfolio[0 0 00],Portfolio[0 0 01],Portfolio[0 0 02],Portfolio[0 0 10],Portfolio[0 0 11],Portfolio[0 0 12],Portfolio[0 0 20],Portfolio[0 0 21],Portfolio[0 0 22],Portfolio[0 1 00],Portfolio[0 1 01],Portfolio[0 1 02],Portfolio[0 1 10],Portfolio[0 1 11],Portfolio[0 1 12],Portfolio[0 1 20],Portfolio[0 1 21],Portfolio[0 1 22],Portfolio[0 2 00],Portfolio[0 2 01],Portfolio[0 2 02],Portfolio[0 2 10],Portfolio[0 2 11],Portfolio[0 2 12],Portfolio[0 2 20],Portfolio[0 2 21],Portfolio[0 2 22],Portfolio[1 0 00],Portfolio[1 0 01],Portfolio[1 0 02],Portfolio[1 0 10],Portfolio[1 0 11],Portfolio[1 0 12],Portfolio[1 0 20],Portfolio[1 0 21],Portfolio[1 0 22],Portfolio[1 1 00],Portfolio[1 1 01],Portfolio[1 1 02],Portfolio[1 1 10],Portfolio[1 1 11],Portfolio[1 1 12],Portfolio[1 1 20],Portfolio[1 1 21],Portfolio[1 1 22],Portfolio[1 2 00],Portfolio[1 2 01],Portfolio[1 2 02],Portfolio[1 2 10],Portfolio[1 2 11],Portfolio[1 2 12],Portfolio[1 2 20],Portfolio[1 2 21],Portfolio[1 2 22],Portfolio[2 0 00],Portfolio[2 0 01],Portfolio[2 0 02],Portfolio[2 0 10],Portfolio[2 0 11],Portfolio[2 0 12],Portfolio[2 0 20],Portfolio[2 0 21],Portfolio[2 0 22],Portfolio[2 1 00],Portfolio[2 1 01],Portfolio[2 1 02],Portfolio[2 1 10],Portfolio[2 1 11],Portfolio[2 1 12],Portfolio[2 1 20],Portfolio[2 1 21],Portfolio[2 1 22],Portfolio[2 2 00],Portfolio[2 2 01],Portfolio[2 2 02],Portfolio[2 2 10],Portfolio[2 2 11],Portfolio[2 2 12],Portfolio[2 2 20],Portfolio[2 2 21],Portfolio[2 2 22]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0426828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0865042,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0,0,0,0,0.13,0,0,0.79,0.24,0
3,0.131495,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17,0,0,0,0.85,0,0,1,0.92,0.17
4,0.177685,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8,0,0,0,1,0,0,1,1,0.8
5,0.225108,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93,0,0,0,1,0,0,1,1,0.93
6,0.273796,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
7,0.323783,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
8,0.375103,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
9,0.427792,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1
