gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0627127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0949849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.127884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.161421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.195609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.23046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.265988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.302206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.339127,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.376764,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.415132,0,0,0,0,0.26,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.454244,0,0,0,0.02,0.22,0,0,0,0,0.12,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
14,0.494116,0,0,0,0.14,0.34,0,0,0,0.06,0.34,0,0,0,0,0.06,0,0,0,0,0.12,0,0,0,0,0
15,0.534761,0,0,0,0.12,0.4,0,0,0,0.02,0.3,0,0,0,0,0.28,0,0,0,0,0.08,0,0,0,0,0.02
16,0.576196,0,0,0,0.22,0.4,0,0,0,0.24,0.3,0,0,0,0,0.22,0,0,0,0,0.28,0,0,0,0,0.14
17,0.618434,0,0,0,0.24,0.5,0,0,0,0.2,0.44,0,0,0,0.14,0.42,0,0,0,0,0.22,0,0,0,0,0.14
18,0.661493,0,0,0.04,0.26,0.5,0,0,0,0.16,0.44,0,0,0,0.1,0.36,0,0,0,0,0.4,0,0,0,0,0.28
19,0.705387,0,0,0,0.28,0.48,0,0,0,0.24,0.42,0,0,0,0.16,0.38,0,0,0,0.08,0.34,0,0,0,0,0.32
20,0.750133,0,0,0.12,0.32,0.52,0,0,0,0.22,0.52,0,0,0,0.22,0.44,0,0,0,0.08,0.36,0,0,0,0,0.36
21,0.795747,0,0,0.14,0.34,0.52,0,0,0.04,0.26,0.48,0,0,0,0.2,0.44,0,0,0,0.2,0.42,0,0,0,0.06,0.32
22,0.842247,0,0,0.12,0.32,0.54,0,0,0.02,0.28,0.46,0,0,0,0.18,0.44,0,0,0,0.16,0.4,0,0,0,0.04,0.32
23,0.88965,0,0,0.1,0.3,0.5,0,0,0,0.32,0.5,0,0,0,0.18,0.52,0,0,0,0.12,0.4,0,0,0,0.16,0.38
24,0.937972,0,0,0.08,0.36,0.56,0,0,0.14,0.34,0.54,0,0,0.02,0.28,0.48,0,0,0,0.18,0.48,0,0,0,0.14,0.42
25,0.987233,0,0,0.1,0.4,0.58,0,0,0.1,0.32,0.52,0,0,0.06,0.26,0.46,0,0,0,0.24,0.44,0,0,0,0.1,0.46
26,1.03745,0,0,0.14,0.38,0.56,0,0,0.1,0.3,0.56,0,0,0.04,0.3,0.54,0,0,0,0.2,0.46,0,0,0,0.16,0.44
27,1.08864,0,0,0.18,0.36,0.6,0,0,0.1,0.36,0.58,0,0,0.02,0.34,0.54,0,0,0,0.32,0.5,0,0,0,0.2,0.42
28,1.14083,0,0,0.18,0.34,0.6,0,0,0.14,0.38,0.56,0,0,0.04,0.32,0.52,0,0,0.02,0.3,0.52,0,0,0,0.2,0.46
29,1.19402,0,0,0.18,0.36,0.62,0,0,0.18,0.36,0.54,0,0,0.12,0.3,0.54,0,0,0.06,0.26,0.56,0,0,0,0.28,0.48
30,1.24825,0,0,0.22,0.4,0.6,0,0,0.18,0.34,0.56,0,0,0.1,0.4,0.56,0,0,0.06,0.28,0.56,0,0,0.04,0.24,0.54
