gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0.72,0.12,0.2,0.38,0.54,0.72,0.12,0.2,0.38,0.54,0.72,0.12,0.2,0.38,0.56,0.72,0.12,0.2,0.38,0.56,0.72,0.12,0.2,0.38,0.56
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0,0,0,0,0.06,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0,0,0,0.08,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0,0,0,0.04,0.16,0,0,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0
15,0.867622,0,0,0,0.02,0.2,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0,0
16,0.939934,0,0,0,0,0.24,0,0,0,0,0.24,0,0,0,0,0.12,0,0,0,0,0.08,0,0,0,0,0
17,1.01437,0,0,0,0.14,0.24,0,0,0,0.1,0.2,0,0,0,0,0.2,0,0,0,0,0.12,0,0,0,0,0.04
18,1.09098,0,0,0,0.18,0.3,0,0,0,0.16,0.18,0,0,0,0,0.18,0,0,0,0,0.22,0,0,0,0,0.1
19,1.16984,0,0,0,0.16,0.34,0,0,0,0.14,0.3,0,0,0,0.08,0.24,0,0,0,0.04,0.2,0,0,0,0,0.22
20,1.25101,0,0,0.12,0.16,0.36,0,0,0.06,0.1,0.32,0,0,0,0.1,0.34,0,0,0,0.12,0.16,0,0,0,0,0.24
21,1.33455,0,0,0.1,0.18,0.34,0,0,0.06,0.16,0.3,0,0,0,0.16,0.3,0,0,0,0.1,0.26,0,0,0,0,0.18
