gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[0 3],Port[0 4],Port[1 0],Port[1 1],Port[1 2],Port[1 3],Port[1 4],Port[2 0],Port[2 1],Port[2 2],Port[2 3],Port[2 4],Port[3 0],Port[3 1],Port[3 2],Port[3 3],Port[3 4],Port[4 0],Port[4 1],Port[4 2],Port[4 3],Port[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.662804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.729114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.797368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.867622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.939934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.01437,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.09098,0,0,0,0,0.1,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.16984,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1.25101,0,0,0,0,0.24,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0.04,0,0,0,0,0.04
21,1.33455,0,0,0,0,0.2,0,0,0,0,0.12,0,0,0,0,0.08,0,0,0,0,0.1,0,0,0,0,0.06
22,1.42055,0,0,0,0.02,0.18,0,0,0,0.04,0.2,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0.14
23,1.50907,0,0,0,0.1,0.28,0,0,0,0,0.22,0,0,0,0,0.18,0,0,0,0,0.2,0,0,0,0,0.22
24,1.60018,0,0,0,0.08,0.3,0,0,0,0.08,0.22,0,0,0,0.04,0.28,0,0,0,0,0.28,0,0,0,0,0.2
25,1.69396,0,0,0,0.16,0.34,0,0,0,0.12,0.34,0,0,0,0.06,0.28,0,0,0,0.04,0.3,0,0,0,0.04,0.32
26,1.79048,0,0,0,0.18,0.4,0,0,0,0.14,0.34,0,0,0,0.04,0.3,0,0,0,0,0.3,0,0,0,0.02,0.32
27,1.88984,0,0,0.04,0.22,0.36,0,0,0,0.22,0.42,0,0,0,0.16,0.38,0,0,0,0.12,0.36,0,0,0,0.12,0.42
28,1.99211,0,0,0.1,0.3,0.48,0,0,0,0.2,0.4,0,0,0,0.16,0.38,0,0,0,0.1,0.42,0,0,0,0.14,0.42
29,2.09737,0,0,0.08,0.26,0.46,0,0,0,0.18,0.4,0,0,0.02,0.24,0.46,0,0,0,0.22,0.46,0,0,0,0.24,0.48
30,2.20572,0,0,0.04,0.24,0.42,0,0,0.1,0.28,0.48,0,0,0,0.22,0.42,0,0,0,0.16,0.44,0,0,0,0.18,0.46
31,2.31725,0,0,0.12,0.32,0.46,0,0,0.06,0.26,0.44,0,0,0,0.34,0.54,0,0,0.02,0.26,0.52,0,0,0,0.3,0.54
32,2.43204,0,0,0.16,0.34,0.52,0,0,0.12,0.3,0.54,0,0,0.08,0.3,0.5,0,0,0.06,0.28,0.52,0,0,0.04,0.26,0.56
33,2.5502,0,0,0.16,0.34,0.5,0,0,0.16,0.34,0.52,0,0,0.08,0.3,0.52,0,0,0.02,0.38,0.58,0,0,0,0.38,0.6
