gridnumber,capital,Port[0 0],Port[1 0],Port[2 0],Port[3 0],Port[4 0]
0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0
2,0.0951487,0,0,0,0,0
3,0.144824,0,0,0,0,0.2
4,0.195956,0,0,0,0,0.28
5,0.248585,0,0,0,0,0.38
6,0.302757,0,0,0,0.48,0.54
7,0.358517,0,0,0.16,0.22,0.68
8,0.41591,0.12,0.06,0.12,0.52,0.76
9,0.474986,0.22,0.24,0.4,0.58,0.82
10,0.535792,0.28,0.3,0.46,0.7,0.74
11,0.598381,0.36,0.4,0.56,0.64,0.82
12,0.662804,0.46,0.46,0.52,0.72,0.88
13,0.729114,0.44,0.56,0.7,0.74,0.84
14,0.797368,0.48,0.54,0.66,0.84,0.96
15,0.867622,0.56,0.64,0.72,0.78,0.88
16,0.939934,0.54,0.66,0.7,0.84,0.92
17,1.01437,0.56,0.7,0.74,0.78,0.92
18,1.09098,0.66,0.74,0.78,0.86,1
19,1.16984,0.6,0.72,0.8,0.86,0.92
20,1.25101,0.62,0.7,0.86,0.88,0.96
21,1.33455,0.72,0.8,0.8,0.9,0.94
22,1.42055,0.68,0.76,0.78,0.86,0.96
23,1.50907,0.66,0.72,0.84,0.92,0.94
24,1.60018,0.68,0.74,0.82,0.88,0.94
25,1.69396,0.74,0.8,0.8,0.86,0.96
26,1.79048,0.7,0.76,0.84,0.88,0.92
27,1.88984,0.7,0.74,0.84,0.88,0.96
28,1.99211,0.7,0.74,0.8,0.88,0.96
29,2.09737,0.72,0.76,0.78,0.92,0.88
30,2.20572,0.74,0.78,0.82,0.88,0.92
31,2.31725,0.72,0.76,0.82,0.84,0.92
32,2.43204,0.72,0.8,0.8,0.86,0.86
33,2.5502,0.74,0.8,0.8,0.88,0.86
34,2.67182,0.74,0.8,0.82,0.84,0.9
35,2.797,0.74,0.78,0.82,0.8,0.86
36,2.92586,0.74,0.76,0.8,0.8,0.82
37,3.05848,0.72,0.74,0.78,0.82,0.84
38,3.195,0.72,0.72,0.74,0.84,0.86
39,3.33551,0.74,0.72,0.76,0.8,0.82
