gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[1 0],Port[1 1],Port[1 2],Port[2 0],Port[2 1],Port[2 2],Port[3 0],Port[3 1],Port[3 2],Port[4 0],Port[4 1],Port[4 2]
0,0,0.54,0.2,0.36,0.54,0.2,0.36,0.54,0.2,0.36,0.54,0.2,0.36,0.54,0.2,0.36
1,0.0468873,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
2,0.0951487,0.06,0.12,0.12,0.06,0.12,0.12,0.06,0.12,0.12,0.06,0.12,0.12,0.06,0.12,0.12
3,0.144824,0.1,0.12,0.12,0.1,0.12,0.12,0.1,0.12,0.12,0.1,0.12,0.12,0.1,0.12,0.12
4,0.195956,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
5,0.248585,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
6,0.302757,0.12,0.12,0.14,0.12,0.12,0.14,0.12,0.12,0.14,0.12,0.12,0.14,0.12,0.12,0.14
7,0.358517,0.12,0.12,0.28,0.12,0.12,0.28,0.12,0.12,0.28,0.12,0.12,0.28,0.12,0.12,0.28
8,0.41591,0.12,0.24,0.26,0.12,0.24,0.26,0.12,0.24,0.26,0.12,0.24,0.26,0.12,0.24,0.26
9,0.474986,0.12,0.22,0.22,0.12,0.22,0.22,0.12,0.22,0.22,0.12,0.22,0.22,0.12,0.22,0.22
10,0.535792,0.12,0.2,0.36,0.12,0.2,0.36,0.12,0.2,0.36,0.12,0.2,0.36,0.12,0.2,0.36
11,0.598381,0.16,0.18,0.44,0.16,0.18,0.44,0.16,0.18,0.44,0.16,0.18,0.44,0.16,0.18,0.44
12,0.662804,0.16,0.16,0.4,0.16,0.16,0.4,0.16,0.16,0.4,0.16,0.16,0.4,0.16,0.16,0.4
13,0.729114,0.14,0.3,0.38,0.14,0.3,0.38,0.14,0.3,0.38,0.14,0.3,0.38,0.14,0.3,0.38
