gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2]
0,0,0,0,0,0,0,0,0,0,0
1,0.031055,0,0,0.99,0,0,0.99,0,0,0.99
2,0.0627127,0,0,0.99,0,0,0.99,0,0,0.99
3,0.0949849,0,0,0.99,0,0,0.99,0,0,0.99
4,0.127884,0,0,0.99,0,0,0.99,0,0,0.99
5,0.161421,0,0,0.99,0,0,0.99,0,0,0.99
6,0.195609,0,0,0.99,0,0,0.99,0,0,0.99
7,0.23046,0,0,0.99,0,0,0.99,0,0,0.99
8,0.265988,0,0,0.99,0,0,0.99,0,0.99,0.99
9,0.302206,0,0,0.99,0,0,0.99,0,0.99,0.99
10,0.339127,0,0,0.99,0,0.99,0.99,0,0.99,0.99
11,0.376764,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
12,0.415132,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
13,0.454244,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
14,0.494116,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
15,0.534761,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
16,0.576196,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
17,0.618434,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
18,0.661493,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
19,0.705387,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
20,0.750133,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
21,0.795747,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
22,0.842247,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
23,0.88965,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
24,0.937972,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
25,0.987233,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
26,1.03745,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
27,1.08864,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
28,1.14083,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
29,1.19402,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
30,1.24825,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
31,1.30354,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
32,1.35989,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
33,1.41734,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
34,1.47591,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
35,1.53561,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
36,1.59647,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
37,1.65851,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
38,1.72175,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
39,1.78623,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
40,1.85195,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
41,1.91895,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
42,1.98725,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
43,2.05688,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
44,2.12786,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
45,2.20021,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
46,2.27397,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
47,2.34916,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
48,2.42581,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
49,2.50395,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
50,2.58361,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
51,2.66481,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
52,2.74759,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
53,2.83197,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
54,2.91799,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
55,3.00568,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
56,3.09508,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
57,3.18621,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
58,3.2791,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
59,3.3738,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
60,3.47034,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
61,3.56875,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
62,3.66908,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
63,3.77135,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
64,3.8756,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
65,3.98188,0,0.99,0.99,0,0.99,0.99,0,0.99,0.99
