gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-57.0044,-57.0044,-57.0044,-57.0044,-57.0044,-57.0044,-57.0044,-51.3343,-51.3343,-51.3343,-51.3343,-51.3343,-51.3343,-51.3343,-47.279,-47.279,-47.279,-47.279,-47.279,-47.279,-47.279,-44.2357,-44.2357,-44.2357,-44.2357,-44.2357,-44.2357,-44.2357,-41.5325,-41.5325,-41.5325,-41.5325,-41.5325,-41.5325,-41.5325,-38.9273,-38.9273,-38.9273,-38.9273,-38.9273,-38.9273,-38.9273,-36.3262,-36.3262,-36.3262,-36.3262,-36.3262,-36.3262,-36.3262
1,0.0185364,-54.4197,-54.3985,-54.3774,-54.3564,-54.3354,-54.3145,-54.2936,-49.8791,-49.8669,-49.8547,-49.8425,-49.8303,-49.8182,-49.8061,-46.4632,-46.4562,-46.4492,-46.4423,-46.4353,-46.4283,-46.4214,-43.6668,-43.6614,-43.6559,-43.6505,-43.6451,-43.6397,-43.6343,-41.0736,-41.0692,-41.0649,-41.0605,-41.0562,-41.0518,-41.0475,-38.5419,-38.5382,-38.5346,-38.531,-38.5274,-38.5237,-38.5201,-35.9965,-35.9934,-35.9904,-35.9873,-35.9842,-35.9812,-35.9781
2,0.0372875,-52.4552,-52.4229,-52.3907,-52.3587,-52.3268,-52.2951,-52.2636,-48.7187,-48.6992,-48.6797,-48.6604,-48.6411,-48.6219,-48.6027,-45.7713,-45.7582,-45.745,-45.7319,-45.7188,-45.7057,-45.6926,-43.1161,-43.1058,-43.0956,-43.0853,-43.0751,-43.0648,-43.0546,-40.6242,-40.6158,-40.6074,-40.599,-40.5906,-40.5822,-40.5738,-38.1611,-38.154,-38.1469,-38.1398,-38.1328,-38.1257,-38.1186,-35.6708,-35.6646,-35.6584,-35.6522,-35.6461,-35.6399,-35.6337
3,0.0562558,-50.9289,-50.891,-50.8535,-50.8162,-50.7791,-50.7423,-50.7058,-47.7794,-47.7557,-47.7321,-47.7086,-47.6853,-47.6621,-47.6391,-45.0721,-45.0546,-45.0372,-45.0197,-45.0023,-44.9848,-44.9674,-42.5838,-42.5695,-42.5551,-42.5408,-42.5264,-42.5121,-42.4978,-40.1835,-40.1713,-40.1592,-40.147,-40.1349,-40.1227,-40.1106,-37.7848,-37.7744,-37.7641,-37.7537,-37.7433,-37.733,-37.7226,-35.3475,-35.3385,-35.3294,-35.3203,-35.3112,-35.3021,-35.2931
4,0.0754439,-49.7205,-49.6805,-49.6409,-49.6015,-49.5625,-49.5239,-49.4855,-47.009,-46.9831,-46.9573,-46.9317,-46.9063,-46.8811,-46.8561,-44.4471,-44.4237,-44.4003,-44.3769,-44.3535,-44.3301,-44.3067,-42.072,-42.0535,-42.035,-42.0165,-41.998,-41.9795,-41.961,-39.7512,-39.7354,-39.7196,-39.7039,-39.6881,-39.6723,-39.6565,-37.4135,-37.3996,-37.3857,-37.3719,-37.3584,-37.3449,-37.3313,-35.0264,-35.0145,-35.0026,-34.9907,-34.9788,-34.9669,-34.955
5,0.0948544,-48.7485,-48.7083,-48.6684,-48.6289,-48.5898,-48.5511,-48.5128,-46.2495,-46.2127,-46.1758,-46.1389,-46.102,-46.0651,-46.0282,-43.8406,-43.8131,-43.7856,-43.7581,-43.7305,-43.703,-43.6755,-41.5723,-41.549,-41.5258,-41.5036,-41.4814,-41.4592,-41.437,-39.3252,-39.3059,-39.2867,-39.2676,-39.2485,-39.2293,-39.2102,-37.0473,-37.0303,-37.0133,-36.9963,-36.9793,-36.9623,-36.9453,-34.7072,-34.6926,-34.678,-34.6634,-34.6488,-34.6342,-34.6196
6,0.11449,-47.9557,-47.9162,-47.8773,-47.8387,-47.8006,-47.7629,-47.7242,-45.5079,-45.4698,-45.4317,-45.3936,-45.3556,-45.3175,-45.2794,-43.259,-43.2285,-43.1981,-43.1676,-43.1371,-43.1066,-43.0762,-41.0881,-41.0614,-41.0346,-41.0078,-40.9811,-40.9543,-40.9281,-38.9089,-38.8858,-38.8627,-38.8396,-38.8168,-38.7944,-38.772,-36.6846,-36.6647,-36.6447,-36.6247,-36.6048,-36.5848,-36.5648,-34.3901,-34.3729,-34.3557,-34.3384,-34.3212,-34.304,-34.2868
7,0.134352,-47.1157,-47.0573,-46.9988,-46.9404,-46.8819,-46.8235,-46.765,-44.8233,-44.7819,-44.7405,-44.6991,-44.6578,-44.6164,-44.575,-42.7057,-42.6712,-42.6367,-42.6023,-42.5678,-42.5333,-42.4988,-40.6147,-40.5846,-40.5545,-40.5243,-40.4942,-40.4641,-40.434,-38.4985,-38.4723,-38.446,-38.4197,-38.3935,-38.3672,-38.3411,-36.3254,-36.3026,-36.2797,-36.2569,-36.234,-36.2112,-36.1884,-34.0763,-34.0561,-34.0359,-34.0157,-33.9958,-33.9761,-33.9563
8,0.154445,-46.2805,-46.2248,-46.1692,-46.1136,-46.0579,-46.0023,-45.9467,-44.1735,-44.1259,-44.0821,-44.039,-43.996,-43.9529,-43.9099,-42.1643,-42.1251,-42.0875,-42.0499,-42.0123,-41.9747,-41.9372,-40.1503,-40.1169,-40.0834,-40.05,-40.0165,-39.9831,-39.9496,-38.0936,-38.0643,-38.0349,-38.0056,-37.9763,-37.947,-37.9177,-35.9695,-35.9439,-35.9183,-35.8927,-35.8671,-35.8415,-35.8159,-33.7646,-33.7418,-33.7191,-33.6964,-33.6737,-33.651,-33.6283
9,0.174771,-45.526,-45.4685,-45.4111,-45.3536,-45.2962,-45.2387,-45.1813,-43.5733,-43.5246,-43.4758,-43.4271,-43.379,-43.3319,-43.2849,-41.6433,-41.6007,-41.5582,-41.516,-41.4753,-41.4345,-41.3938,-39.6947,-39.6583,-39.6218,-39.5854,-39.5489,-39.5125,-39.4761,-37.6939,-37.6617,-37.6294,-37.5972,-37.565,-37.5328,-37.5005,-35.6168,-35.5885,-35.5602,-35.532,-35.5037,-35.4755,-35.4472,-33.4545,-33.4294,-33.4042,-33.3791,-33.3539,-33.3288,-33.3036
10,0.195332,-44.8163,-44.7575,-44.7002,-44.643,-44.5857,-44.5285,-44.4712,-42.9859,-42.9334,-42.8808,-42.8282,-42.7756,-42.7241,-42.6746,-41.1349,-41.0894,-41.0438,-40.9983,-40.9529,-40.909,-40.8651,-39.248,-39.2086,-39.1692,-39.1297,-39.0903,-39.0509,-39.0115,-37.2993,-37.2642,-37.2292,-37.1942,-37.1591,-37.1241,-37.0891,-35.2677,-35.2364,-35.2055,-35.1747,-35.1439,-35.113,-35.0822,-33.1462,-33.1187,-33.0912,-33.0637,-33.0362,-33.0087,-32.9812
11,0.216131,-44.1747,-44.1113,-44.048,-43.9866,-43.9254,-43.8642,-43.803,-42.4177,-42.3629,-42.308,-42.2532,-42.1983,-42.1435,-42.0895,-40.6375,-40.5889,-40.5403,-40.4917,-40.4431,-40.395,-40.3484,-38.8088,-38.7665,-38.7242,-38.6819,-38.6396,-38.5973,-38.555,-36.9094,-36.8717,-36.8339,-36.7962,-36.7584,-36.7207,-36.6829,-34.9225,-34.8884,-34.8543,-34.8207,-34.7874,-34.754,-34.7207,-32.8395,-32.8098,-32.78,-32.7502,-32.7204,-32.6906,-32.6608
12,0.237172,-43.5447,-43.4775,-43.4104,-43.344,-43.2812,-43.2184,-43.1556,-41.8676,-41.8099,-41.7522,-41.6946,-41.6369,-41.5792,-41.5215,-40.1517,-40.1006,-40.0495,-39.9983,-39.9472,-39.8961,-39.846,-38.3765,-38.3315,-38.2865,-38.2415,-38.1964,-38.1514,-38.1064,-36.524,-36.4837,-36.4433,-36.403,-36.3626,-36.3223,-36.282,-34.5801,-34.5435,-34.507,-34.4704,-34.4341,-34.3983,-34.3626,-32.5351,-32.5026,-32.4706,-32.4386,-32.4066,-32.3746,-32.3426
13,0.258456,-42.9407,-42.8722,-42.8038,-42.7353,-42.668,-42.6023,-42.5365,-41.3315,-41.2711,-41.2106,-41.1502,-41.0897,-41.0293,-40.9688,-39.6767,-39.6228,-39.5689,-39.515,-39.4611,-39.4072,-39.3537,-37.9523,-37.9034,-37.8557,-37.808,-37.7603,-37.7127,-37.665,-36.1439,-36.1002,-36.0573,-36.0144,-35.9716,-35.9287,-35.8859,-34.2403,-34.2014,-34.1625,-34.1235,-34.0846,-34.0458,-34.0077,-32.2331,-32.1982,-32.1633,-32.1288,-32.0947,-32.0605,-32.0264
