gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[0 7],VF[0 8],VF[0 9],VF[0 10],VF[0 11],VF[0 12],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[1 7],VF[1 8],VF[1 9],VF[1 10],VF[1 11],VF[1 12],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[2 7],VF[2 8],VF[2 9],VF[2 10],VF[2 11],VF[2 12],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[3 7],VF[3 8],VF[3 9],VF[3 10],VF[3 11],VF[3 12],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[4 7],VF[4 8],VF[4 9],VF[4 10],VF[4 11],VF[4 12],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[5 7],VF[5 8],VF[5 9],VF[5 10],VF[5 11],VF[5 12],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6],VF[6 7],VF[6 8],VF[6 9],VF[6 10],VF[6 11],VF[6 12]
0,0,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-15.9204,-15.9204,-15.9204,-15.9204,-15.9204,-15.9204,-15.9205,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625,-11.6309,-11.6309,-11.6309,-11.6309,-11.6309,-11.6309,-11.6309,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-30.9443,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-25.3302,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-21.3376,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-18.4782,-15.9204,-15.9204,-15.9204,-15.9204,-15.9204,-15.9205,-15.9205,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625,-13.6625
1,0.0185364,-28.3384,-28.3384,-28.3384,-28.3384,-28.3384,-28.3416,-28.3384,-23.8628,-23.8628,-23.8628,-23.8628,-23.8628,-23.8646,-23.8628,-20.5702,-20.5702,-20.5702,-20.5702,-20.5702,-20.5712,-20.5702,-17.8902,-17.8902,-17.8902,-17.8902,-17.8902,-17.8909,-17.8902,-15.4866,-15.4866,-15.4866,-15.4866,-15.4866,-15.4871,-15.4866,-13.3403,-13.3403,-13.3403,-13.3403,-13.3403,-13.3407,-13.3403,-11.384,-11.384,-11.384,-11.384,-11.384,-11.3844,-11.384,-28.3575,-28.3543,-28.3511,-28.3479,-28.3448,-28.3448,-28.3384,-23.8738,-23.8719,-23.8701,-23.8683,-23.8664,-23.8664,-23.8628,-20.5764,-20.5753,-20.5743,-20.5733,-20.5723,-20.5723,-20.5702,-17.8947,-17.8939,-17.8932,-17.8924,-17.8917,-17.8917,-17.8902,-15.4899,-15.4894,-15.4888,-15.4883,-15.4877,-15.4877,-15.4866,-13.3429,-13.3425,-13.342,-13.3416,-13.3412,-13.3412,-13.3403
2,0.0372875,-26.3628,-26.3628,-26.3628,-26.3628,-26.3725,-26.3676,-26.3628,-22.6951,-22.6951,-22.6951,-22.6951,-22.701,-22.698,-22.6951,-19.8578,-19.8579,-19.8579,-19.8579,-19.8615,-19.8597,-19.8579,-17.3534,-17.3534,-17.3534,-17.3534,-17.3564,-17.3549,-17.3534,-15.0863,-15.0863,-15.0863,-15.0863,-15.0885,-15.0874,-15.0863,-13.0304,-13.0304,-13.0304,-13.0304,-13.0321,-13.0312,-13.0304,-11.1473,-11.1473,-11.1473,-11.1473,-11.1486,-11.148,-11.1473,-26.3919,-26.387,-26.3822,-26.3773,-26.3822,-26.3725,-26.3628,-22.7127,-22.7097,-22.7068,-22.7039,-22.7068,-22.701,-22.6951,-19.8689,-19.8671,-19.8652,-19.8634,-19.8652,-19.8615,-19.8579,-17.3625,-17.361,-17.3594,-17.3579,-17.3594,-17.3564,-17.3534,-15.093,-15.0919,-15.0908,-15.0896,-15.0908,-15.0885,-15.0863,-13.0356,-13.0347,-13.0338,-13.033,-13.0338,-13.0321,-13.0304
3,0.0562558,-24.8309,-24.8309,-24.8309,-24.8479,-24.8423,-24.8309,-24.8309,-21.7638,-21.7638,-21.7638,-21.774,-21.7706,-21.7638,-21.7638,-19.1957,-19.1957,-19.1957,-19.2041,-19.2013,-19.1957,-19.1957,-16.8358,-16.8358,-16.8358,-16.8417,-16.8397,-16.8358,-16.8358,-14.6976,-14.6976,-14.6976,-14.7023,-14.7007,-14.6976,-14.6976,-12.7303,-12.7303,-12.7303,-12.734,-12.7327,-12.7303,-12.7303,-10.9156,-10.9156,-10.9156,-10.9185,-10.9175,-10.9156,-10.9156,-24.865,-24.8593,-24.8536,-24.865,-24.8536,-24.8366,-24.8309,-21.7842,-21.7808,-21.791,-21.7842,-21.7774,-21.7672,-21.7638,-19.2124,-19.2096,-19.2179,-19.2124,-19.2068,-19.1985,-19.1957,-16.8476,-16.8456,-16.8516,-16.8476,-16.8437,-16.8377,-16.8358,-14.707,-14.7054,-14.7102,-14.707,-14.7039,-14.6992,-14.6976,-12.7377,-12.7364,-12.7401,-12.7377,-12.7352,-12.7315,-12.7303
4,0.0754439,-23.6204,-23.6204,-23.6444,-23.6384,-23.6204,-23.6204,-23.6204,-20.9467,-20.9467,-20.9648,-20.9603,-20.9467,-20.9467,-20.9467,-18.5526,-18.5526,-18.5653,-18.5621,-18.5526,-18.5526,-18.5526,-16.3588,-16.3588,-16.3694,-16.3668,-16.3588,-16.3588,-16.3588,-14.3211,-14.3211,-14.329,-14.327,-14.3211,-14.3211,-14.3211,-12.4376,-12.4376,-12.4438,-12.4423,-12.4376,-12.4376,-12.4376,-10.6863,-10.6863,-10.6912,-10.69,-10.6888,-10.6863,-10.6863,-23.6564,-23.6504,-23.6685,-23.6564,-23.6444,-23.6264,-23.6204,-20.9739,-20.9694,-20.983,-20.9739,-20.9648,-20.9512,-20.9467,-18.5717,-18.5844,-18.5781,-18.5717,-18.5653,-18.5558,-18.5526,-16.3747,-16.3853,-16.38,-16.3747,-16.3694,-16.3615,-16.3588,-14.3329,-14.3407,-14.3368,-14.3329,-14.329,-14.3231,-14.3211,-12.447,-12.4533,-12.4501,-12.447,-12.4438,-12.4391,-12.4376
5,0.0948544,-22.6822,-22.6759,-22.6697,-22.6634,-22.6571,-22.6509,-22.6446,-20.2403,-20.2354,-20.2305,-20.2255,-20.2206,-20.2157,-20.2107,-17.9981,-17.9941,-17.9901,-17.9861,-17.9821,-17.9781,-17.9741,-15.9161,-15.9131,-15.9101,-15.9072,-15.9042,-15.9012,-15.8982,-13.9802,-13.9778,-13.9753,-13.9729,-13.9704,-13.9679,-13.9655,-12.1639,-12.162,-12.16,-12.158,-12.156,-12.1541,-12.1521,-10.4746,-10.4731,-10.4716,-10.4701,-10.4685,-10.467,-10.4655,-22.7198,-22.7072,-22.6947,-22.6822,-22.6697,-22.6571,-22.6446,-20.2699,-20.26,-20.2502,-20.2403,-20.2305,-20.2206,-20.2107,-18.0221,-18.0141,-18.0061,-17.9981,-17.9901,-17.9821,-17.9741,-15.9341,-15.9281,-15.9221,-15.9161,-15.9101,-15.9042,-15.8982,-13.995,-13.9901,-13.9852,-13.9802,-13.9753,-13.9704,-13.9655,-12.1758,-12.1718,-12.1679,-12.1639,-12.16,-12.156,-12.1521
6,0.11449,-21.7737,-21.7661,-21.7585,-21.751,-21.7434,-21.7359,-21.7283,-19.5254,-19.5195,-19.5135,-19.5076,-19.5016,-19.4957,-19.4897,-17.4405,-17.4363,-17.4321,-17.4279,-17.4237,-17.4195,-17.4153,-15.4819,-15.4783,-15.4746,-15.471,-15.4674,-15.4638,-15.4602,-13.6338,-13.631,-13.6282,-13.6254,-13.6226,-13.6197,-13.6169,-11.8892,-11.887,-11.8847,-11.8824,-11.8802,-11.8779,-11.8756,-10.2586,-10.2568,-10.255,-10.2533,-10.2515,-10.2497,-10.248,-21.819,-21.8039,-21.7888,-21.7737,-21.7585,-21.7434,-21.7283,-19.5611,-19.5492,-19.5373,-19.5254,-19.5135,-19.5016,-19.4897,-17.4658,-17.4574,-17.449,-17.4405,-17.4321,-17.4237,-17.4153,-15.5035,-15.4963,-15.4891,-15.4819,-15.4746,-15.4674,-15.4602,-13.6507,-13.6451,-13.6394,-13.6338,-13.6282,-13.6226,-13.6169,-11.9028,-11.8983,-11.8937,-11.8892,-11.8847,-11.8802,-11.8756
7,0.134352,-20.97,-20.9626,-20.9552,-20.9478,-20.9404,-20.933,-20.9256,-18.8879,-18.882,-18.8761,-18.8701,-18.8642,-18.8583,-18.8524,-16.9296,-16.9247,-16.9197,-16.9148,-16.9099,-16.905,-16.9,-15.0666,-15.0626,-15.0587,-15.0547,-15.0508,-15.0468,-15.0429,-13.2952,-13.2921,-13.289,-13.2859,-13.2828,-13.2797,-13.2767,-11.6204,-11.6179,-11.6154,-11.6129,-11.6103,-11.6078,-11.6053,-10.0458,-10.0438,-10.0418,-10.0398,-10.0378,-10.0358,-10.0338,-21.0143,-20.9996,-20.9848,-20.97,-20.9552,-20.9404,-20.9256,-18.9234,-18.9116,-18.8997,-18.8879,-18.8761,-18.8642,-18.8524,-16.9592,-16.9493,-16.9395,-16.9296,-16.9197,-16.9099,-16.9,-15.0903,-15.0824,-15.0745,-15.0666,-15.0587,-15.0508,-15.0429,-13.3137,-13.3075,-13.3013,-13.2952,-13.289,-13.2828,-13.2767,-11.6356,-11.6305,-11.6255,-11.6204,-11.6154,-11.6103,-11.6053
8,0.154445,-20.1954,-20.1869,-20.1784,-20.1444,-20.1444,-20.1444,-20.1444,-18.2673,-18.2605,-18.2537,-18.2265,-18.2265,-18.2265,-18.2265,-16.4353,-16.4302,-16.4251,-16.4047,-16.4047,-16.4047,-16.4047,-14.6656,-14.6614,-14.6572,-14.6405,-14.6405,-14.6405,-14.6405,-12.9722,-12.9686,-12.9651,-12.9615,-12.9509,-12.9509,-12.9509,-11.3589,-11.3562,-11.3534,-11.3507,-11.3424,-11.3424,-11.3424,-9.8359,-9.83359,-9.83129,-9.82899,-9.82208,-9.82208,-9.82208,-20.2463,-20.2293,-20.2124,-20.1954,-20.1614,-20.1529,-20.1444,-18.3082,-18.2946,-18.281,-18.2673,-18.2401,-18.2333,-18.2265,-16.4659,-16.4557,-16.4455,-16.4353,-16.4149,-16.4098,-16.4047,-14.6908,-14.6824,-14.674,-14.6656,-14.6489,-14.6447,-14.6405,-12.9934,-12.9863,-12.9793,-12.9722,-12.958,-12.9544,-12.9509,-11.3754,-11.3699,-11.3644,-11.3589,-11.3479,-11.3452,-11.3424
9,0.174771,-19.5134,-19.5053,-19.4972,-19.4648,-19.4648,-19.4648,-19.4648,-17.7122,-17.7055,-17.6988,-17.672,-17.672,-17.672,-17.672,-15.9654,-15.9596,-15.9538,-15.9308,-15.9308,-15.9308,-15.9308,-14.2792,-14.2744,-14.2697,-14.2516,-14.2516,-14.2516,-14.2516,-12.659,-12.6552,-12.6514,-12.6361,-12.6361,-12.6361,-12.6361,-11.106,-11.1029,-11.0998,-11.0873,-11.0873,-11.0873,-11.0873,-9.6361,-9.63366,-9.63121,-9.62145,-9.62145,-9.62145,-9.62145,-19.5619,-19.5457,-19.5295,-19.4891,-19.481,-19.4729,-19.4648,-17.7525,-17.7391,-17.7256,-17.6921,-17.6854,-17.6787,-17.672,-16,-15.9884,-15.9769,-15.9481,-15.9423,-15.9365,-15.9308,-14.3076,-14.2981,-14.2886,-14.2651,-14.2606,-14.2561,-14.2516,-12.6818,-12.6742,-12.6666,-12.6476,-12.6437,-12.6399,-12.6361,-11.1246,-11.1184,-11.1122,-11.0966,-11.0935,-11.0904,-11.0873
