gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
0,0,-125,-125,-125,-125,-125,-125,-125
1,0.0185364,-122.864,-122.842,-122.82,-122.798,-122.776,-122.754,-122.731
2,0.0372875,-120.852,-120.809,-120.767,-120.724,-120.681,-120.637,-120.594
3,0.0562558,-118.923,-118.861,-118.799,-118.737,-118.675,-118.612,-118.549
4,0.0754439,-117.062,-116.982,-116.902,-116.822,-116.741,-116.66,-116.579
5,0.0948544,-115.268,-115.167,-115.066,-114.967,-114.869,-114.771,-114.672
6,0.11449,-113.522,-113.404,-113.287,-113.168,-113.051,-112.937,-112.822
7,0.134352,-111.82,-111.688,-111.555,-111.421,-111.287,-111.153,-111.023
8,0.154445,-110.16,-110.013,-109.865,-109.717,-109.568,-109.419,-109.272
9,0.174771,-108.537,-108.376,-108.215,-108.052,-107.89,-107.727,-107.564
10,0.195332,-106.948,-106.774,-106.6,-106.424,-106.249,-106.072,-105.896
11,0.216131,-105.391,-105.204,-105.017,-104.829,-104.641,-104.452,-104.263
12,0.237172,-103.863,-103.665,-103.466,-103.266,-103.066,-102.865,-102.663
13,0.258456,-102.363,-102.153,-101.943,-101.731,-101.52,-101.307,-101.094
14,0.279986,-100.889,-100.668,-100.447,-100.224,-100.002,-99.7781,-99.5543
15,0.301766,-99.4402,-99.2086,-98.9766,-98.7437,-98.5104,-98.2763,-98.0419
16,0.323799,-98.0145,-97.7729,-97.5308,-97.2878,-97.0445,-96.8002,-96.5557
17,0.346087,-96.6114,-96.3601,-96.1084,-95.8558,-95.6027,-95.3488,-95.0946
18,0.368632,-95.2302,-94.9693,-94.7083,-94.4465,-94.1842,-93.9211,-93.6576
19,0.391439,-93.871,-93.5996,-93.3298,-93.0592,-92.788,-92.516,-92.2438
20,0.414511,-92.5317,-92.2503,-91.9721,-91.693,-91.4134,-91.1329,-90.8522
21,0.437849,-91.2116,-90.9208,-90.6344,-90.3472,-90.0595,-89.771,-89.4822
22,0.461458,-89.91,-89.6103,-89.3162,-89.0212,-88.7258,-88.4296,-88.1331
23,0.485341,-88.6265,-88.3187,-88.0168,-87.7144,-87.4116,-87.108,-86.8041
24,0.5095,-87.3605,-87.0455,-86.7356,-86.4262,-86.1164,-85.8058,-85.4949
25,0.533939,-86.1116,-85.7898,-85.4723,-85.1562,-84.8397,-84.5223,-84.2047
26,0.558661,-84.8794,-84.5511,-84.2264,-83.9039,-83.5809,-83.2572,-82.9332
27,0.58367,-83.6635,-83.329,-82.9974,-82.6688,-82.3397,-82.0099,-81.6798
28,0.608968,-82.4634,-82.123,-81.785,-81.4505,-81.1156,-80.78,-80.4445
29,0.634559,-81.2789,-80.9329,-80.5887,-80.2487,-79.9083,-79.5672,-79.2266
30,0.660447,-80.1096,-79.7582,-79.4082,-79.063,-78.7173,-78.371,-78.0256
31,0.686635,-78.9552,-78.5987,-78.2432,-77.893,-77.5424,-77.1912,-76.8412
32,0.713126,-77.8154,-77.4541,-77.0934,-76.7385,-76.3832,-76.0273,-75.673
33,0.739924,-76.6899,-76.3241,-75.9586,-75.5992,-75.2395,-74.8791,-74.5208
34,0.767033,-75.5786,-75.2084,-74.8383,-74.4747,-74.1108,-73.7463,-73.3843
35,0.794456,-74.481,-74.1069,-73.7324,-73.3649,-72.997,-72.6287,-72.263
36,0.822196,-73.3971,-73.0192,-72.6409,-72.2694,-71.8979,-71.5258,-71.1569
37,0.850258,-72.3266,-71.9451,-71.5633,-71.1881,-70.8131,-70.4376,-70.0657
38,0.878644,-71.2694,-70.8845,-70.4994,-70.1207,-69.7425,-69.3638,-68.989
39,0.90736,-70.2252,-69.8372,-69.449,-69.067,-68.6858,-68.3042,-67.9267
40,0.936408,-69.1938,-68.803,-68.4119,-68.0269,-67.6429,-67.2585,-66.8786
41,0.965793,-68.1752,-67.7816,-67.3878,-67.0001,-66.6135,-66.2265,-65.8445
42,0.995519,-67.169,-66.7729,-66.3767,-65.9864,-65.5974,-65.2081,-64.824
43,1.02559,-66.1751,-65.7768,-65.3783,-64.9856,-64.5945,-64.203,-63.8172
44,1.05601,-65.1934,-64.793,-64.3924,-63.9976,-63.6045,-63.2111,-62.8236
45,1.08678,-64.2237,-63.8214,-63.419,-63.0223,-62.6274,-62.2321,-61.8432
46,1.1179,-63.2659,-62.8619,-62.4578,-62.0593,-61.6628,-61.266,-60.8758
47,1.14939,-62.3198,-61.9143,-61.5087,-61.1087,-60.7107,-60.3125,-59.9213
48,1.18124,-61.3853,-60.9785,-60.5715,-60.1702,-59.7709,-59.3715,-58.9794
49,1.21346,-60.4623,-60.0543,-59.6462,-59.2436,-58.8433,-58.4428,-58.05
50,1.24606,-59.5506,-59.1416,-58.7325,-58.3289,-57.9277,-57.5263,-57.1329
51,1.27903,-58.6501,-58.2402,-57.8304,-57.426,-57.024,-56.6219,-56.228
52,1.31239,-57.7608,-57.3502,-56.9396,-56.5346,-56.132,-55.7296,-55.3352
53,1.34613,-56.8823,-56.4712,-56.0602,-55.6546,-55.2516,-54.8491,-54.4543
54,1.38026,-56.0148,-55.6033,-55.1919,-54.786,-54.3827,-53.9802,-53.5852
55,1.41479,-55.158,-54.7463,-54.3347,-53.9286,-53.5252,-53.1228,-52.7277
56,1.44971,-54.3118,-53.9001,-53.4884,-53.0823,-52.6789,-52.2767,-51.8817
57,1.48504,-53.4762,-53.0645,-52.653,-52.2469,-51.8437,-51.4419,-51.0471
58,1.52078,-52.6511,-52.2396,-51.8283,-51.4224,-51.0194,-50.6182,-50.2237
59,1.55694,-51.8363,-51.4251,-51.0141,-50.6087,-50.2061,-49.8055,-49.4115
60,1.59351,-51.0317,-50.621,-50.2105,-49.8055,-49.4035,-49.0037,-48.6102
61,1.63051,-50.2373,-49.8271,-49.4173,-49.0129,-48.6115,-48.2126,-47.8199
62,1.66794,-49.4529,-49.0435,-48.6343,-48.2307,-47.8301,-47.4322,-47.0403
63,1.7058,-48.6786,-48.2699,-47.8616,-47.4588,-47.0591,-46.6623,-46.2713
64,1.7441,-47.9143,-47.5062,-47.0989,-46.6972,-46.2985,-45.9029,-45.5129
65,1.78284,-47.1597,-46.7525,-46.3462,-45.9456,-45.548,-45.1538,-44.7649
66,1.82203,-46.4147,-46.0086,-45.6035,-45.204,-44.8076,-44.4148,-44.0272
67,1.86167,-45.6794,-45.2743,-44.8705,-44.4724,-44.0773,-43.686,-43.2998
68,1.90178,-44.9535,-44.5496,-44.1472,-43.7505,-43.3569,-42.9672,-42.5824
69,1.94235,-44.2371,-43.8345,-43.4336,-43.0384,-42.6462,-42.2582,-41.875
70,1.98339,-43.53,-43.1288,-42.7295,-42.3358,-41.9453,-41.5591,-41.1775
71,2.0249,-42.8321,-42.4324,-42.0348,-41.6428,-41.254,-40.8697,-40.4898
72,2.0669,-42.1434,-41.7453,-41.3494,-40.9592,-40.5722,-40.1898,-39.8117
73,2.10938,-41.4638,-41.0674,-40.6733,-40.285,-39.8998,-39.5195,-39.1432
74,2.15235,-40.7931,-40.3985,-40.0063,-39.62,-39.2367,-38.8585,-38.4842
75,2.19582,-40.1314,-39.7386,-39.3485,-38.9641,-38.5829,-38.2068,-37.8346
76,2.2398,-39.4784,-39.0876,-38.6996,-38.3173,-37.9382,-37.5644,-37.1942
77,2.28428,-38.8342,-38.4455,-38.0596,-37.6795,-37.3025,-36.931,-36.563
78,2.32928,-38.1987,-37.8121,-37.4284,-37.0506,-36.6758,-36.3067,-35.9409
79,2.37481,-37.5718,-37.1873,-36.8059,-36.4304,-36.0579,-35.6912,-35.3278
80,2.42085,-36.9534,-36.5711,-36.1921,-35.8189,-35.4489,-35.0846,-34.7235
81,2.46744,-36.3434,-35.9634,-35.5868,-35.2161,-34.8484,-34.4868,-34.1281
82,2.51456,-35.7417,-35.3642,-34.99,-34.6218,-34.2566,-33.8975,-33.5413
83,2.56223,-35.1483,-34.7732,-34.4016,-34.0359,-33.6733,-33.3168,-32.9632
84,2.61045,-34.5631,-34.1905,-33.8215,-33.4584,-33.0984,-32.7446,-32.3935
85,2.65923,-33.986,-33.616,-33.2496,-32.8892,-32.5317,-32.1807,-31.8323
86,2.70857,-33.417,-33.0495,-32.6859,-32.3281,-31.9734,-31.6252,-31.2793
87,2.75849,-32.8559,-32.4911,-32.1302,-31.7752,-31.4232,-31.0778,-30.7347
88,2.80898,-32.3026,-31.9406,-31.5824,-31.2303,-30.881,-30.5384,-30.1981
89,2.86006,-31.7572,-31.3979,-31.0426,-30.6933,-30.3468,-30.0072,-29.6696
90,2.91173,-31.2195,-30.863,-30.5106,-30.1641,-29.8205,-29.4838,-29.149
91,2.964,-30.6895,-30.3358,-29.9863,-29.6427,-29.302,-28.9682,-28.6364
92,3.01688,-30.167,-29.8163,-29.4697,-29.129,-28.7912,-28.4604,-28.1315
93,3.07036,-29.652,-29.3042,-28.9606,-28.6229,-28.2881,-27.9603,-27.6345
94,3.12447,-29.1445,-28.7996,-28.459,-28.1243,-27.7924,-27.4677,-27.1451
95,3.1792,-28.6443,-28.3024,-27.9648,-27.6332,-27.3043,-26.9827,-26.6631
96,3.23457,-28.1514,-27.8125,-27.478,-27.1494,-26.8235,-26.505,-26.1886
97,3.29058,-27.6656,-27.3298,-26.9984,-26.6729,-26.3501,-26.0346,-25.7214
98,3.34724,-27.187,-26.8543,-26.5259,-26.2035,-25.8838,-25.5715,-25.2615
99,3.40456,-26.7154,-26.3858,-26.0606,-25.7413,-25.4247,-25.1155,-24.8087
100,3.46253,-26.2508,-25.9243,-25.6023,-25.2861,-24.9727,-24.6666,-24.363
101,3.52119,-25.7931,-25.4698,-25.1509,-24.8379,-24.5276,-24.2247,-23.9243
102,3.58052,-25.3423,-25.0221,-24.7064,-24.3966,-24.0894,-23.7897,-23.4925
103,3.64053,-24.8981,-24.5811,-24.2686,-23.962,-23.6581,-23.3615,-23.0676
104,3.70125,-24.4607,-24.1469,-23.8376,-23.5342,-23.2335,-22.9401,-22.6494
105,3.76266,-24.0298,-23.7192,-23.4132,-23.113,-22.8156,-22.5253,-22.2379
106,3.82479,-23.6055,-23.2981,-22.9954,-22.6984,-22.4042,-22.1171,-21.8329
107,3.88764,-23.1877,-22.8835,-22.584,-22.2903,-21.9994,-21.7154,-21.4345
108,3.95121,-22.7762,-22.4753,-22.1791,-21.8885,-21.6009,-21.3201,-21.0424
109,4.01552,-22.3711,-22.0735,-21.7804,-21.4932,-21.2088,-20.9311,-20.6567
110,4.08058,-21.9722,-21.6778,-21.3881,-21.1041,-20.823,-20.5484,-20.2773
111,4.14639,-21.5795,-21.2884,-21.0019,-20.7211,-20.4433,-20.1719,-19.904
112,4.21297,-21.1929,-20.9051,-20.6218,-20.3443,-20.0697,-19.8015,-19.5368
113,4.28031,-20.8123,-20.5278,-20.2478,-19.9735,-19.7022,-19.4371,-19.1757
114,4.34843,-20.4377,-20.1564,-19.8797,-19.6086,-19.3406,-19.0787,-18.8204
115,4.41735,-20.069,-19.7909,-19.5175,-19.2496,-18.9849,-18.7261,-18.471
116,4.48706,-19.7061,-19.4313,-19.1611,-18.8965,-18.6349,-18.3793,-18.1275
117,4.55758,-19.3489,-19.0774,-18.8104,-18.549,-18.2907,-18.0382,-17.7896
118,4.62892,-18.9974,-18.7292,-18.4655,-18.2072,-17.9522,-17.7028,-17.4573
119,4.70108,-18.6516,-18.3865,-18.1261,-17.871,-17.6192,-17.3729,-17.1306
120,4.77408,-18.3112,-18.0494,-17.7922,-17.5403,-17.2917,-17.0485,-16.8093
121,4.84793,-17.9764,-17.7178,-17.4637,-17.2151,-16.9696,-16.7295,-16.4935
122,4.92263,-17.6469,-17.3915,-17.1407,-16.8952,-16.6529,-16.4159,-16.183
123,4.99819,-17.3227,-17.0706,-16.823,-16.5806,-16.3415,-16.1076,-15.8777
124,5.07463,-17.0039,-16.7549,-16.5105,-16.2713,-16.0353,-15.8044,-15.5777
125,5.15196,-16.6902,-16.4444,-16.2031,-15.9671,-15.7342,-15.5064,-15.2827
126,5.23019,-16.3817,-16.1391,-15.9009,-15.668,-15.4382,-15.2134,-14.9928
127,5.30931,-16.0782,-15.8387,-15.6037,-15.3739,-15.1472,-14.9254,-14.7078
128,5.38936,-15.7797,-15.5434,-15.3115,-15.0847,-14.8611,-14.6423,-14.4277
129,5.47033,-15.4861,-15.253,-15.0242,-14.8005,-14.5799,-14.3641,-14.1525
130,5.55225,-15.1975,-14.9674,-14.7417,-14.521,-14.3035,-14.0906,-13.882
131,5.63511,-14.9136,-14.6866,-14.464,-14.2463,-14.0318,-13.8219,-13.6162
132,5.71893,-14.6344,-14.4105,-14.1909,-13.9763,-13.7648,-13.5578,-13.355
133,5.80372,-14.36,-14.1391,-13.9226,-13.7109,-13.5024,-13.2982,-13.0984
134,5.88949,-14.0901,-13.8723,-13.6588,-13.45,-13.2445,-13.0432,-12.8463
135,5.97626,-13.8248,-13.61,-13.3995,-13.1937,-12.9911,-12.7926,-12.5986
136,6.06403,-13.564,-13.3522,-13.1446,-12.9417,-12.742,-12.5465,-12.3552
137,6.15282,-13.3076,-13.0988,-12.8941,-12.6942,-12.4973,-12.3046,-12.1161
138,6.24264,-13.0556,-12.8497,-12.648,-12.4509,-12.2569,-12.0669,-11.8813
139,6.3335,-12.8079,-12.6049,-12.4061,-12.2118,-12.0207,-11.8335,-11.6506
140,6.42541,-12.5644,-12.3643,-12.1684,-11.977,-11.7886,-11.6042,-11.424
141,6.51839,-12.3251,-12.1279,-11.9348,-11.7462,-11.5607,-11.3789,-11.2015
142,6.61244,-12.0899,-11.8956,-11.7053,-11.5195,-11.3367,-11.1577,-10.9829
143,6.70758,-11.8588,-11.6673,-11.4798,-11.2968,-11.1167,-10.9404,-10.7683
144,6.80383,-11.6317,-11.443,-11.2583,-11.078,-10.9007,-10.7269,-10.5575
145,6.90119,-11.4085,-11.2226,-11.0407,-10.8631,-10.6884,-10.5173,-10.3505
146,6.99968,-11.1892,-11.0061,-10.8269,-10.652,-10.48,-10.3115,-10.1472
147,7.0993,-10.9738,-10.7934,-10.6169,-10.4446,-10.2753,-10.1094,-9.94763
148,7.20009,-10.7621,-10.5845,-10.4106,-10.241,-10.0743,-9.91088,-9.75168
149,7.30204,-10.5542,-10.3792,-10.208,-10.041,-9.87686,-9.71599,-9.55929
150,7.40517,-10.3499,-10.1776,-10.009,-9.84458,-9.683,-9.52463,-9.3704
151,7.5095,-10.1492,-9.9796,-9.81361,-9.6517,-9.49266,-9.33675,-9.18497
152,7.61503,-9.95214,-9.7851,-9.62169,-9.46231,-9.30576,-9.1523,-9.00294
153,7.72179,-9.75854,-9.59408,-9.43322,-9.27633,-9.12226,-8.97122,-8.82425
154,7.82979,-9.56839,-9.40649,-9.24814,-9.09373,-8.94211,-8.79346,-8.64886
155,7.93903,-9.38164,-9.22227,-9.06641,-8.91445,-8.76525,-8.61896,-8.4767
156,8.04955,-9.19824,-9.04137,-8.88798,-8.73843,-8.59162,-8.44767,-8.30772
157,8.16134,-9.01813,-8.86374,-8.71278,-8.56562,-8.42118,-8.27955,-8.14188
158,8.27443,-8.84127,-8.68933,-8.54078,-8.39598,-8.25388,-8.11453,-7.97912
159,8.38882,-8.6676,-8.51808,-8.37192,-8.22946,-8.08966,-7.95257,-7.81939
160,8.50455,-8.49708,-8.34995,-8.20614,-8.06599,-7.92848,-7.79362,-7.66264
161,8.62161,-8.32965,-8.18489,-8.04341,-7.90554,-7.77028,-7.63763,-7.50882
162,8.74003,-8.16527,-8.02285,-7.88367,-7.74805,-7.61503,-7.48455,-7.35789
163,8.85982,-8.00388,-7.86378,-7.72687,-7.59348,-7.46266,-7.33434,-7.20979
164,8.981,-7.84545,-7.70763,-7.57297,-7.44178,-7.31313,-7.18694,-7.06449
165,9.10358,-7.68993,-7.55436,-7.42192,-7.2929,-7.1664,-7.04231,-6.92192
166,9.22759,-7.53726,-7.40392,-7.27367,-7.1468,-7.02242,-6.90042,-6.78205
167,9.35303,-7.3874,-7.25627,-7.12818,-7.00343,-6.88114,-6.76121,-6.64484
168,9.47992,-7.24031,-7.11135,-6.9854,-6.86275,-6.74252,-6.62463,-6.51023
169,9.60828,-7.09594,-6.96913,-6.84529,-6.7247,-6.60652,-6.49064,-6.37818
170,9.73813,-6.95425,-6.82956,-6.70781,-6.58926,-6.47308,-6.35919,-6.24864
171,9.86949,-6.8152,-6.6926,-6.5729,-6.45636,-6.34217,-6.23024,-6.12158
172,10.0024,-6.67873,-6.55821,-6.44053,-6.32598,-6.21375,-6.10374,-5.99696
173,10.1368,-6.54482,-6.42633,-6.31066,-6.19807,-6.08777,-5.97967,-5.87472
174,10.2728,-6.41341,-6.29694,-6.18324,-6.07258,-5.96418,-5.85796,-5.75483
175,10.4103,-6.28447,-6.16998,-6.05823,-5.94948,-5.84296,-5.73859,-5.63725
176,10.5494,-6.15794,-6.04542,-5.9356,-5.82872,-5.72405,-5.62151,-5.52193
177,10.6902,-6.03381,-5.92321,-5.81529,-5.71027,-5.60743,-5.50669,-5.40885
178,10.8326,-5.91201,-5.80333,-5.69727,-5.59408,-5.49304,-5.39407,-5.29795
179,10.9766,-5.79252,-5.68572,-5.58151,-5.48012,-5.38085,-5.28363,-5.1892
180,11.1223,-5.6753,-5.57035,-5.46795,-5.36834,-5.27083,-5.17533,-5.08257
181,11.2697,-5.5603,-5.45718,-5.35658,-5.25871,-5.16293,-5.06913,-4.97801
182,11.4188,-5.44749,-5.34617,-5.24734,-5.1512,-5.05711,-4.96499,-4.87548
183,11.5696,-5.33683,-5.23729,-5.1402,-5.04576,-4.95335,-4.86287,-4.77496
184,11.7222,-5.22829,-5.1305,-5.03512,-4.94236,-4.8516,-4.76275,-4.67641
185,11.8766,-5.12182,-5.02576,-4.93207,-4.84097,-4.75183,-4.66457,-4.57978
186,12.0327,-5.0174,-4.92303,-4.83102,-4.74154,-4.654,-4.56832,-4.48505
187,12.1906,-4.91498,-4.82229,-4.73192,-4.64404,-4.55808,-4.47396,-4.39219
188,12.3504,-4.81453,-4.7235,-4.63474,-4.54845,-4.46404,-4.38144,-4.30115
189,12.512,-4.71603,-4.62662,-4.53945,-4.45471,-4.37183,-4.29074,-4.21191
190,12.6755,-4.61942,-4.53162,-4.44602,-4.36281,-4.28144,-4.20183,-4.12443
191,12.8409,-4.52469,-4.43846,-4.35441,-4.27271,-4.19282,-4.11467,-4.03868
192,13.0082,-4.43179,-4.34712,-4.26459,-4.18438,-4.10595,-4.02923,-3.95463
193,13.1774,-4.3407,-4.25756,-4.17653,-4.09778,-4.02079,-3.94548,-3.87225
194,13.3486,-4.25138,-4.16975,-4.0902,-4.01289,-3.93731,-3.86339,-3.79151
195,13.5218,-4.1638,-4.08366,-4.00556,-3.92966,-3.85548,-3.78293,-3.71237
196,13.697,-4.07793,-3.99925,-3.92258,-3.84808,-3.77527,-3.70406,-3.63481
197,13.8742,-3.99375,-3.91651,-3.84125,-3.76812,-3.69665,-3.62677,-3.5588
198,14.0535,-3.91121,-3.83538,-3.76151,-3.68974,-3.61959,-3.55102,-3.48431
199,14.2348,-3.83029,-3.75586,-3.68335,-3.61291,-3.54407,-3.47677,-3.41131
200,14.4183,-3.75097,-3.67791,-3.60674,-3.5376,-3.47005,-3.40402,-3.33978
201,14.6039,-3.6732,-3.6015,-3.53165,-3.4638,-3.39751,-3.33272,-3.26968
202,14.7916,-3.59697,-3.5266,-3.45805,-3.39147,-3.32642,-3.26285,-3.20099
203,14.9815,-3.52225,-3.45318,-3.38591,-3.32058,-3.25675,-3.19438,-3.13369
204,15.1736,-3.44901,-3.38122,-3.31521,-3.2511,-3.18848,-3.12729,-3.06774
205,15.3679,-3.37721,-3.3107,-3.24592,-3.18302,-3.12158,-3.06154,-3.00312
206,15.5645,-3.30685,-3.24158,-3.17802,-3.1163,-3.05602,-2.99713,-2.93982
207,15.7633,-3.23788,-3.17383,-3.11147,-3.05092,-2.99178,-2.93401,-2.87779
208,15.9645,-3.17028,-3.10744,-3.04626,-2.98685,-2.92884,-2.87217,-2.81702
209,16.168,-3.10404,-3.04238,-2.98236,-2.92408,-2.86717,-2.81158,-2.75748
210,16.3738,-3.03911,-2.97862,-2.91974,-2.86256,-2.80675,-2.75223,-2.69916
211,16.5821,-2.97549,-2.91615,-2.85838,-2.80229,-2.74754,-2.69407,-2.64202
