gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-57.7183,-57.7183,-57.7183,-57.7182,-57.7183,-57.7183,-57.7183,-52.0693,-52.0693,-52.0693,-52.0693,-52.0693,-52.0693,-52.0693,-48.0402,-48.0402,-48.0402,-48.0401,-48.0402,-48.0402,-48.0402,-45.0746,-45.0746,-45.0747,-45.0746,-45.0748,-45.0747,-45.0748,-42.5443,-42.5442,-42.5442,-42.5441,-42.5442,-42.5441,-42.544,-40.1751,-40.1751,-40.1751,-40.175,-40.175,-40.175,-40.175,-37.8722,-37.8721,-37.8721,-37.872,-37.8721,-37.872,-37.872
1,0.0185364,-55.1761,-55.1761,-55.1761,-55.176,-55.1761,-55.1761,-55.1761,-50.6387,-50.6387,-50.6387,-50.6386,-50.6387,-50.6387,-50.6387,-47.2384,-47.2384,-47.2385,-47.2384,-47.2385,-47.2384,-47.2384,-44.5476,-44.5476,-44.5476,-44.5475,-44.5476,-44.5475,-44.5475,-42.1324,-42.1324,-42.1324,-42.1323,-42.1323,-42.1322,-42.1322,-39.8426,-39.8426,-39.8426,-39.8425,-39.8426,-39.8425,-39.8425,-37.5917,-37.5917,-37.5917,-37.5916,-37.5916,-37.5916,-37.5915
2,0.0372875,-53.2343,-53.2343,-53.2343,-53.2342,-53.2343,-53.2343,-53.2343,-49.4931,-49.4931,-49.4931,-49.493,-49.4931,-49.4931,-49.4931,-46.5704,-46.5704,-46.5704,-46.5704,-46.5704,-46.5704,-46.5704,-44.0369,-44.0369,-44.0369,-44.0367,-44.0368,-44.0367,-44.0367,-41.7337,-41.7337,-41.7337,-41.7336,-41.7337,-41.7337,-41.7336,-39.5141,-39.5141,-39.5141,-39.514,-39.5141,-39.514,-39.514,-37.314,-37.314,-37.314,-37.3139,-37.314,-37.3139,-37.3139
3,0.0562558,-51.7192,-51.7192,-51.7192,-51.7191,-51.7192,-51.7192,-51.7192,-48.5623,-48.5623,-48.5624,-48.5623,-48.5624,-48.5623,-48.5623,-45.9425,-45.9426,-45.9428,-45.9429,-45.9431,-45.9432,-45.9434,-43.5605,-43.5605,-43.5606,-43.5605,-43.5606,-43.5606,-43.5606,-41.3459,-41.3459,-41.3459,-41.3458,-41.3459,-41.3458,-41.3458,-39.1895,-39.1895,-39.1895,-39.1894,-39.1894,-39.1893,-39.1893,-37.0405,-37.0405,-37.0405,-37.0404,-37.0404,-37.0404,-37.0404
4,0.0754439,-50.5155,-50.5155,-50.5155,-50.5154,-50.5155,-50.5155,-50.5155,-47.7965,-47.7965,-47.7965,-47.7965,-47.7965,-47.7965,-47.7965,-45.3403,-45.3404,-45.3404,-45.3404,-45.3405,-45.3405,-45.3405,-43.0986,-43.0986,-43.0986,-43.0985,-43.0986,-43.0985,-43.0985,-40.9659,-40.9659,-40.9659,-40.9658,-40.9659,-40.9658,-40.9658,-38.8686,-38.8686,-38.8686,-38.8685,-38.8686,-38.8685,-38.8685,-36.7688,-36.7688,-36.7688,-36.7687,-36.7688,-36.7687,-36.7687
5,0.0948544,-49.5442,-49.5442,-49.5442,-49.5441,-49.5442,-49.5442,-49.5442,-47.1311,-47.1314,-47.1317,-47.1319,-47.1322,-47.1325,-47.1327,-44.7727,-44.7727,-44.7729,-44.7729,-44.7731,-44.7731,-44.7732,-42.6499,-42.6499,-42.6499,-42.6498,-42.6499,-42.6498,-42.6498,-40.5934,-40.5934,-40.5934,-40.5933,-40.5934,-40.5933,-40.5933,-38.5535,-38.5535,-38.5535,-38.5534,-38.5535,-38.5534,-38.5534,-36.4989,-36.4989,-36.4989,-36.4988,-36.4989,-36.4988,-36.4988
6,0.11449,-48.7497,-48.7497,-48.7498,-48.7497,-48.7498,-48.7497,-48.7497,-46.3979,-46.3982,-46.3986,-46.3988,-46.3992,-46.3995,-46.3998,-44.2481,-44.2481,-44.2482,-44.2482,-44.2483,-44.2483,-44.2483,-42.2146,-42.2146,-42.2146,-42.2145,-42.2146,-42.2145,-42.2145,-40.2279,-40.2279,-40.2279,-40.2278,-40.2278,-40.2278,-40.2278,-38.2427,-38.2427,-38.2427,-38.2426,-38.2427,-38.2426,-38.2426,-36.2309,-36.2309,-36.2309,-36.2308,-36.2309,-36.2308,-36.2308
7,0.134352,-48.0525,-48.0529,-48.0535,-48.0538,-48.0544,-48.0548,-48.0553,-45.7715,-45.7716,-45.7718,-45.7719,-45.7721,-45.7722,-45.7723,-43.7402,-43.7402,-43.7403,-43.7403,-43.7404,-43.7404,-43.7404,-41.7922,-41.7922,-41.7923,-41.7922,-41.7923,-41.7923,-41.7923,-39.8707,-39.8707,-39.8707,-39.8706,-39.8707,-39.8706,-39.8706,-37.9355,-37.9355,-37.9355,-37.9354,-37.9355,-37.9354,-37.9354,-35.966,-35.966,-35.966,-35.9659,-35.966,-35.9659,-35.9659
8,0.154445,-47.2089,-47.2094,-47.2099,-47.2103,-47.2109,-47.2114,-47.2119,-45.1696,-45.1697,-45.1698,-45.1698,-45.17,-45.17,-45.1701,-43.2507,-43.2507,-43.2508,-43.2507,-43.2508,-43.2508,-43.2508,-41.3826,-41.3826,-41.3826,-41.3826,-41.3826,-41.3826,-41.3826,-39.5192,-39.5192,-39.5192,-39.5191,-39.5192,-39.5191,-39.5191,-37.6317,-37.6317,-37.6317,-37.6316,-37.6317,-37.6316,-37.6316,-35.7032,-35.7032,-35.7032,-35.7031,-35.7032,-35.7031,-35.7031
9,0.174771,-46.5115,-46.5117,-46.512,-46.5121,-46.5124,-46.5126,-46.5129,-44.5982,-44.5983,-44.5984,-44.5983,-44.5985,-44.5985,-44.5986,-42.7787,-42.7787,-42.7788,-42.7787,-42.7788,-42.7788,-42.7788,-40.9814,-40.9814,-40.9815,-40.9814,-40.9815,-40.9814,-40.9814,-39.1732,-39.1731,-39.1732,-39.1731,-39.1731,-39.1731,-39.1731,-37.3311,-37.3311,-37.3311,-37.331,-37.3311,-37.331,-37.331,-35.442,-35.442,-35.442,-35.4419,-35.442,-35.4419,-35.4419
