gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-57.7183,-57.7183,-57.7184,-57.7183,-57.7184,-57.7183,-57.7183,-52.0694,-52.0694,-52.0694,-52.0693,-52.0694,-52.0694,-52.0694,-48.0402,-48.0402,-48.0403,-48.0402,-48.0403,-48.0402,-48.0402,-45.0747,-45.0747,-45.0748,-45.0747,-45.0748,-45.0748,-45.0748,-42.5443,-42.5443,-42.5443,-42.5442,-42.5442,-42.5442,-42.5441,-40.1752,-40.1752,-40.1752,-40.1751,-40.1752,-40.1751,-40.1751,-37.8722,-37.8722,-37.8722,-37.8721,-37.8722,-37.8721,-37.8721
1,0.0185364,-55.1761,-55.1761,-55.1762,-55.1761,-55.1762,-55.1761,-55.1761,-50.6387,-50.6387,-50.6388,-50.6387,-50.6388,-50.6387,-50.6387,-47.2385,-47.2385,-47.2385,-47.2385,-47.2385,-47.2385,-47.2385,-44.5477,-44.5477,-44.5477,-44.5476,-44.5476,-44.5476,-44.5475,-42.1329,-42.1325,-42.1325,-42.1324,-42.1324,-42.1323,-42.1323,-39.8438,-39.8434,-39.843,-39.8426,-39.8425,-39.8424,-39.8425,-37.593,-37.5926,-37.5921,-37.5917,-37.5915,-37.5913,-37.5911
2,0.0372875,-53.2343,-53.2343,-53.2343,-53.2343,-53.2343,-53.2343,-53.2343,-49.4931,-49.4931,-49.4932,-49.4931,-49.4932,-49.4931,-49.4931,-46.5705,-46.5705,-46.5705,-46.5704,-46.5705,-46.5705,-46.5705,-44.037,-44.0369,-44.0369,-44.0368,-44.0368,-44.0368,-44.0367,-41.7354,-41.7347,-41.7341,-41.7337,-41.7336,-41.7336,-41.7337,-39.5171,-39.5158,-39.515,-39.5141,-39.5135,-39.5128,-39.5124,-37.3174,-37.3159,-37.315,-37.314,-37.3133,-37.3125,-37.3119
3,0.0562558,-51.7192,-51.7192,-51.7193,-51.7192,-51.7193,-51.7192,-51.7192,-48.5624,-48.5624,-48.5624,-48.5624,-48.5624,-48.5624,-48.5624,-45.9426,-45.9427,-45.9429,-45.943,-45.9432,-45.9433,-45.9434,-43.5606,-43.5606,-43.5606,-43.5606,-43.5606,-43.5606,-43.5606,-41.3493,-41.348,-41.347,-41.3459,-41.3452,-41.3445,-41.3445,-39.1943,-39.1925,-39.191,-39.1895,-39.1881,-39.1869,-39.1858,-37.0461,-37.0442,-37.0424,-37.0405,-37.039,-37.0378,-37.0367
4,0.0754439,-50.5155,-50.5155,-50.5155,-50.5155,-50.5155,-50.5155,-50.5155,-47.7966,-47.7966,-47.7966,-47.7965,-47.7966,-47.7966,-47.7966,-45.3404,-45.3404,-45.3405,-45.3405,-45.3406,-45.3406,-45.3406,-43.0986,-43.0986,-43.0987,-43.0986,-43.0986,-43.0986,-43.0986,-40.9703,-40.9688,-40.9674,-40.9659,-40.9647,-40.9636,-40.9629,-38.8748,-38.8727,-38.8707,-38.8686,-38.8667,-38.865,-38.8632,-36.776,-36.7736,-36.7712,-36.7688,-36.7666,-36.7642,-36.7635
5,0.0948544,-49.5442,-49.5442,-49.5443,-49.5442,-49.5443,-49.5442,-49.5442,-47.1312,-47.1314,-47.1318,-47.132,-47.1323,-47.1325,-47.1328,-44.7727,-44.7728,-44.773,-44.773,-44.7732,-44.7732,-44.7733,-42.6499,-42.6499,-42.65,-42.6499,-42.6499,-42.6499,-42.6499,-40.6007,-40.5983,-40.5957,-40.5934,-40.5916,-40.59,-40.5887,-38.5639,-38.5605,-38.5569,-38.5535,-38.551,-38.5487,-38.5467,-36.5084,-36.5053,-36.502,-36.4989,-36.496,-36.4931,-36.4905
6,0.11449,-48.7498,-48.7498,-48.7498,-48.7497,-48.7498,-48.7498,-48.7498,-46.398,-46.3984,-46.3987,-46.3989,-46.3993,-46.3996,-46.3999,-44.2481,-44.2482,-44.2483,-44.2482,-44.2484,-44.2484,-44.2484,-42.2146,-42.2146,-42.2147,-42.2146,-42.2146,-42.2146,-42.2146,-40.237,-40.234,-40.231,-40.2279,-40.2255,-40.2235,-40.2218,-38.2517,-38.2487,-38.2461,-38.2427,-38.2398,-38.2371,-38.2348,-36.2412,-36.2378,-36.2344,-36.2309,-36.2275,-36.224,-36.221
7,0.134352,-48.0526,-48.0531,-48.0536,-48.0539,-48.0545,-48.0549,-48.0554,-45.7716,-45.7718,-45.772,-45.772,-45.7722,-45.7723,-45.7725,-43.7403,-43.7403,-43.7404,-43.7403,-43.7405,-43.7404,-43.7405,-41.7923,-41.7923,-41.7924,-41.7923,-41.7924,-41.7923,-41.7924,-39.882,-39.8778,-39.8743,-39.8707,-39.8677,-39.8651,-39.8629,-37.9494,-37.9448,-37.9402,-37.9355,-37.9312,-37.9283,-37.9259,-35.9818,-35.9751,-35.9702,-35.966,-35.962,-35.9579,-35.9539
8,0.154445,-47.2091,-47.2096,-47.2101,-47.2106,-47.2111,-47.2116,-47.2121,-45.1697,-45.1698,-45.1699,-45.1699,-45.1701,-45.1702,-45.1703,-43.2508,-43.2508,-43.2508,-43.2508,-43.2509,-43.2508,-43.2509,-41.3827,-41.3827,-41.3827,-41.3826,-41.3827,-41.3827,-41.3827,-39.5318,-39.5276,-39.5232,-39.5192,-39.5156,-39.5124,-39.5098,-37.6465,-37.6416,-37.6369,-37.6317,-37.6269,-37.6219,-37.6203,-35.7167,-35.7122,-35.7078,-35.7032,-35.6987,-35.6942,-35.6897
9,0.174771,-46.5117,-46.5119,-46.5122,-46.5124,-46.5127,-46.5129,-46.5131,-44.5983,-44.5984,-44.5985,-44.5984,-44.5986,-44.5986,-44.5987,-42.7788,-42.7788,-42.7789,-42.7788,-42.7789,-42.7789,-42.7789,-40.9815,-40.9815,-40.9815,-40.9815,-40.9815,-40.9815,-40.9815,-39.1878,-39.1823,-39.1778,-39.1732,-39.1689,-39.1658,-39.1629,-37.3489,-37.3424,-37.3368,-37.3311,-37.3255,-37.3203,-37.3178,-35.4628,-35.455,-35.4484,-35.442,-35.4369,-35.4321,-35.4271
