gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-19.8956,-19.8956,-19.8956,-19.8956,-19.8956,-19.8956,-19.8956,-17.9563,-17.9563,-17.9563,-17.9563,-17.9563,-17.9563,-17.9563,-16.5741,-16.5741,-16.5742,-16.5741,-16.5742,-16.5741,-16.5741,-15.5604,-15.5604,-15.5604,-15.5603,-15.5603,-15.5603,-15.5603,-14.709,-14.7089,-14.7089,-14.7089,-14.7089,-14.7089,-14.7089,-13.9222,-13.9222,-13.9222,-13.9221,-13.9221,-13.9221,-13.9221,-13.1616,-13.1616,-13.1615,-13.1615,-13.1615,-13.1615,-13.1614
1,0.0156618,-19.4518,-19.4476,-19.4434,-19.4392,-19.435,-19.4308,-19.4266,-17.7097,-17.7073,-17.7049,-17.7026,-17.7002,-17.6978,-17.6955,-16.4374,-16.4361,-16.4348,-16.4334,-16.4321,-16.4308,-16.4294,-15.4736,-15.4727,-15.4719,-15.471,-15.4701,-15.4692,-15.4684,-14.6435,-14.6428,-14.6422,-14.6415,-14.6408,-14.6402,-14.6395,-13.8696,-13.869,-13.8685,-13.8679,-13.8674,-13.8668,-13.8663,-13.1181,-13.1177,-13.1172,-13.1167,-13.1163,-13.1158,-13.1154
2,0.031477,-19.0618,-19.0544,-19.047,-19.0397,-19.0324,-19.0251,-19.0178,-17.4876,-17.4834,-17.4791,-17.4749,-17.4707,-17.4664,-17.4622,-16.3118,-16.3093,-16.3069,-16.3045,-16.3021,-16.2997,-16.2972,-15.3905,-15.3888,-15.3871,-15.3854,-15.3838,-15.3821,-15.3804,-14.5793,-14.578,-14.5767,-14.5754,-14.5741,-14.5727,-14.5714,-13.8176,-13.8165,-13.8154,-13.8143,-13.8133,-13.8122,-13.8111,-13.0746,-13.0737,-13.0728,-13.0719,-13.0711,-13.0701,-13.0693
3,0.0474469,-18.7173,-18.7076,-18.6979,-18.6882,-18.6785,-18.6689,-18.6594,-17.287,-17.2813,-17.2756,-17.2698,-17.2642,-17.2585,-17.2528,-16.1961,-16.1928,-16.1894,-16.1861,-16.1828,-16.1795,-16.1762,-15.3076,-15.3052,-15.3029,-15.3005,-15.2981,-15.2957,-15.2933,-14.5157,-14.5138,-14.5119,-14.5099,-14.508,-14.5061,-14.5042,-13.7656,-13.764,-13.7625,-13.7609,-13.7593,-13.7577,-13.7561,-13.0313,-13.03,-13.0286,-13.0273,-13.026,-13.0246,-13.0233
4,0.0635732,-18.4117,-18.4002,-18.3888,-18.3774,-18.3661,-18.3548,-18.3436,-17.1053,-17.0984,-17.0915,-17.0846,-17.0778,-17.071,-17.0643,-16.0894,-16.0853,-16.0813,-16.0772,-16.0731,-16.0691,-16.0651,-15.2285,-15.2253,-15.2222,-15.219,-15.2158,-15.2126,-15.2094,-14.4525,-14.45,-14.4475,-14.445,-14.4425,-14.44,-14.4375,-13.7137,-13.7116,-13.7096,-13.7075,-13.7054,-13.7034,-13.7013,-12.9879,-12.9862,-12.9844,-12.9826,-12.9809,-12.9792,-12.9774
5,0.0798573,-18.1394,-18.1267,-18.114,-18.1014,-18.0889,-18.0764,-18.064,-16.9402,-16.9324,-16.9246,-16.9169,-16.9092,-16.9015,-16.8939,-15.9872,-15.982,-15.9768,-15.9715,-15.9663,-15.961,-15.9558,-15.1501,-15.1462,-15.1424,-15.1385,-15.1347,-15.1309,-15.127,-14.3904,-14.3873,-14.3842,-14.381,-14.3779,-14.3748,-14.3717,-13.6622,-13.6596,-13.657,-13.6544,-13.6518,-13.6492,-13.6466,-12.9444,-12.9423,-12.9401,-12.9379,-12.9358,-12.9336,-12.9315
6,0.0963008,-17.896,-17.8823,-17.8688,-17.8553,-17.8419,-17.8287,-17.8155,-16.7898,-16.7813,-16.7729,-16.7644,-16.7561,-16.7478,-16.7395,-15.8805,-15.8745,-15.8687,-15.8628,-15.857,-15.8512,-15.8454,-15.0728,-15.0683,-15.0637,-15.0592,-15.0547,-15.0502,-15.0456,-14.3286,-14.325,-14.3213,-14.3176,-14.3139,-14.3102,-14.3065,-13.6108,-13.6078,-13.6047,-13.6016,-13.5986,-13.5955,-13.5924,-12.9012,-12.8986,-12.896,-12.8934,-12.8908,-12.8882,-12.8856
7,0.112905,-17.6774,-17.6632,-17.6491,-17.635,-17.6211,-17.6073,-17.5936,-16.6525,-16.6435,-16.6345,-16.6256,-16.6168,-16.6079,-16.5992,-15.7816,-15.7748,-15.768,-15.7612,-15.7544,-15.7476,-15.7408,-14.9964,-14.9911,-14.9858,-14.9805,-14.9752,-14.9699,-14.9647,-14.2671,-14.2629,-14.2587,-14.2544,-14.2502,-14.246,-14.2418,-13.5596,-13.556,-13.5525,-13.549,-13.5455,-13.5419,-13.5384,-12.858,-12.855,-12.852,-12.8489,-12.846,-12.843,-12.84
8,0.129672,-17.4806,-17.466,-17.4515,-17.4371,-17.4229,-17.4088,-17.3948,-16.5268,-16.5174,-16.5081,-16.4988,-16.4896,-16.4805,-16.4714,-15.6837,-15.6763,-15.669,-15.6616,-15.6543,-15.6469,-15.6396,-14.9213,-14.9154,-14.9096,-14.9037,-14.8979,-14.8921,-14.8863,-14.2059,-14.2011,-14.1964,-14.1916,-14.1869,-14.1821,-14.1774,-13.5084,-13.5044,-13.5004,-13.4964,-13.4924,-13.4884,-13.4844,-12.8146,-12.8112,-12.8078,-12.8044,-12.801,-12.7976,-12.7943
9,0.146603,-17.3028,-17.288,-17.2734,-17.2588,-17.2445,-17.2302,-17.2161,-16.4115,-16.4018,-16.3923,-16.3827,-16.3733,-16.364,-16.3547,-15.5894,-15.5811,-15.5728,-15.5645,-15.5562,-15.548,-15.5402,-14.8469,-14.8406,-14.8342,-14.8278,-14.8215,-14.8151,-14.8087,-14.1453,-14.1399,-14.1346,-14.1292,-14.1238,-14.1186,-14.1133,-13.4576,-13.4531,-13.4486,-13.4441,-13.4396,-13.4351,-13.4306,-12.7714,-12.7676,-12.7638,-12.7599,-12.7561,-12.7523,-12.7485
