gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
0,0,-13889,-13889,-13889,-13889,-13889,-13889,-13889
1,0.0185364,-13428.8,-13428.8,-13428.8,-13428.8,-13428.8,-13428.8,-13428.8
2,0.0372875,-13063.9,-13063.9,-13063.9,-13063.9,-13063.9,-13063.9,-13063.9
3,0.0562558,-12816.1,-12816.1,-12816.1,-12816.1,-12816.1,-12816.1,-12816.1
4,0.0754439,-12603.9,-12603.9,-12603.9,-12603.9,-12603.9,-12603.9,-12603.9
5,0.0948544,-12454,-12454,-12454,-12454,-12454,-12454,-12454
6,0.11449,-12317.1,-12317.1,-12317.1,-12317.1,-12317.1,-12317.1,-12317.1
7,0.134352,-12196.3,-12196.2,-12196.3,-12196.3,-12196.3,-12196.2,-12196.3
8,0.154445,-12096.1,-12096.1,-12096.1,-12096.1,-12096.1,-12096.1,-12096.1
9,0.174771,-12011.3,-12011.3,-12011.4,-12011.3,-12011.4,-12011.3,-12011.3
10,0.195332,-11933,-11933,-11933,-11933,-11933,-11933,-11933
11,0.216131,-11856.7,-11856.6,-11856.7,-11856.7,-11856.7,-11856.6,-11856.7
12,0.237172,-11788.9,-11788.9,-11788.9,-11788.9,-11788.9,-11788.9,-11788.9
13,0.258456,-11722.5,-11722.5,-11722.5,-11722.5,-11722.5,-11722.5,-11722.5
14,0.279986,-11667.1,-11667.1,-11667.2,-11667.1,-11667.2,-11667.1,-11667.1
15,0.301766,-11613.6,-11613.6,-11613.7,-11613.6,-11613.7,-11613.6,-11613.6
16,0.323799,-11566.5,-11566.5,-11566.5,-11566.5,-11566.5,-11566.5,-11566.5
17,0.346087,-11520.9,-11520.9,-11520.9,-11520.9,-11520.9,-11520.9,-11520.9
18,0.368632,-11477,-11477,-11477,-11477,-11477,-11477,-11477
19,0.391439,-11434,-11434,-11434,-11434,-11434,-11434,-11434
20,0.414511,-11391,-11391,-11391,-11391,-11391,-11391,-11391
21,0.437849,-11352.8,-11352.8,-11352.8,-11352.8,-11352.8,-11352.8,-11352.8
22,0.461458,-11314.6,-11314.6,-11314.6,-11314.6,-11314.6,-11314.6,-11314.6
