gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0.01,-374.195,-373.455,-372.782,-372.137,-371.493,-370.874,-370.241,-209.337,-209.241,-209.154,-209.07,-208.986,-208.906,-208.824,-140.087,-140.051,-140.019,-139.988,-139.957,-139.928,-139.897,-105.756,-105.739,-105.724,-105.709,-105.695,-105.68,-105.666,-85.1618,-85.1514,-85.142,-85.133,-85.124,-85.1154,-85.1066,-71.5335,-71.5283,-71.5237,-71.5192,-71.5147,-71.5105,-71.5061,-61.599,-61.5959,-61.593,-61.5902,-61.5874,-61.5848,-61.5821
1,0.0285363,-283.341,-282.704,-282.09,-281.5,-280.922,-280.367,-279.801,-176.547,-176.278,-176.019,-175.771,-175.527,-175.293,-175.054,-127.952,-127.853,-127.757,-127.665,-127.575,-127.488,-127.4,-99.9861,-99.9388,-99.8933,-99.8495,-99.8066,-99.7654,-99.7234,-82.1779,-82.1544,-82.1317,-82.1098,-82.0885,-82.068,-82.047,-69.7813,-69.767,-69.7531,-69.7398,-69.7268,-69.7143,-69.7015,-60.5161,-60.5072,-60.4987,-60.4905,-60.4824,-60.4747,-60.4668
2,0.0472874,-221.41,-220.955,-220.518,-220.098,-219.686,-219.29,-218.912,-156.37,-156.113,-155.864,-155.626,-155.392,-155.167,-154.953,-118.134,-118.024,-117.919,-117.817,-117.718,-117.623,-117.531,-95.1173,-95.0555,-94.9959,-94.9386,-94.8825,-94.8287,-94.7772,-79.4269,-79.3942,-79.3627,-79.3324,-79.3027,-79.2742,-79.247,-68.1593,-68.1383,-68.118,-68.0986,-68.0796,-68.0613,-68.0438,-59.4707,-59.457,-59.4439,-59.4312,-59.4189,-59.407,-59.3956
3,0.0662556,-187.184,-186.524,-185.935,-185.346,-184.769,-184.215,-183.685,-139.675,-139.429,-139.208,-138.988,-138.772,-138.565,-138.367,-110.03,-109.912,-109.807,-109.702,-109.599,-109.501,-109.406,-90.7655,-90.6934,-90.629,-90.5646,-90.5015,-90.4409,-90.383,-76.9615,-76.9139,-76.8715,-76.829,-76.7875,-76.7476,-76.7094,-66.6167,-66.5893,-66.5648,-66.5404,-66.5164,-66.4934,-66.4714,-58.4591,-58.4409,-58.4247,-58.4085,-58.3926,-58.3773,-58.3627
4,0.0854437,-163.45,-163.077,-162.696,-162.333,-161.969,-161.605,-161.242,-126.561,-126.378,-126.215,-126.06,-125.906,-125.751,-125.596,-103.775,-103.661,-103.545,-103.434,-103.323,-103.212,-103.1,-86.9316,-86.8618,-86.7904,-86.7223,-86.6542,-86.5932,-86.5378,-74.7241,-74.6843,-74.6435,-74.6046,-74.5658,-74.5269,-74.4881,-65.1616,-65.1352,-65.1081,-65.0822,-65.0564,-65.0305,-65.0047,-57.4941,-57.4765,-57.4585,-57.4414,-57.4242,-57.4071,-57.39
5,0.104854,-145.303,-144.928,-144.546,-144.179,-143.818,-143.472,-143.119,-117.94,-117.698,-117.453,-117.216,-116.984,-116.761,-116.534,-98.3815,-98.2444,-98.1047,-97.9702,-97.8384,-97.7119,-97.5827,-83.7983,-83.7119,-83.624,-83.5393,-83.4563,-83.3767,-83.2953,-72.6857,-72.6329,-72.5791,-72.5272,-72.4765,-72.4257,-72.3779,-63.8503,-63.8143,-63.7775,-63.7421,-63.7075,-63.6728,-63.6402,-56.5959,-56.5713,-56.5462,-56.522,-56.4983,-56.4746,-56.4524
6,0.124489,-130.994,-130.976,-130.66,-130.274,-129.969,-129.69,-129.412,-109.958,-109.949,-109.797,-109.613,-109.412,-109.212,-109.011,-93.3891,-93.3835,-93.2904,-93.1772,-93.054,-92.9308,-92.8076,-80.7638,-80.76,-80.6988,-80.6244,-80.5434,-80.4623,-80.3813,-70.6826,-70.68,-70.6406,-70.5928,-70.5407,-70.4886,-70.4365,-62.5269,-62.525,-62.4974,-62.4638,-62.4273,-62.3908,-62.3543,-55.6719,-55.6707,-55.6512,-55.6276,-55.6019,-55.5762,-55.5504
7,0.144352,-121.85,-121.533,-121.21,-120.9,-120.597,-120.306,-120.049,-103.665,-103.483,-103.298,-103.12,-102.947,-102.78,-102.633,-89.4647,-89.3248,-89.1819,-89.0449,-88.9108,-88.7826,-88.6871,-78.2022,-78.1222,-78.0406,-77.9622,-77.8856,-77.8123,-77.7473,-69.0231,-68.964,-68.9035,-68.8456,-68.7889,-68.7346,-68.6865,-61.3642,-61.3227,-61.2804,-61.2424,-61.2057,-61.1705,-61.1394,-54.8522,-54.8229,-54.7931,-54.7645,-54.7365,-54.7097,-54.6875
8,0.164445,-113.647,-113.343,-113.05,-112.768,-112.498,-112.261,-112.008,-98.3735,-98.141,-97.9172,-97.7019,-97.4953,-97.3146,-97.1208,-86.0147,-85.8688,-85.7283,-85.5933,-85.4636,-85.3502,-85.2286,-75.8689,-75.7664,-75.6676,-75.5727,-75.4816,-75.4019,-75.3165,-67.4093,-67.3415,-67.2761,-67.2133,-67.1529,-67.1001,-67.0436,-60.2387,-60.1895,-60.1422,-60.0967,-60.0529,-60.0147,-59.9737,-54.0486,-54.0137,-53.9801,-53.9478,-53.9168,-53.8897,-53.8606
9,0.18477,-106.649,-106.376,-106.113,-105.861,-105.613,-105.376,-105.149,-93.7313,-93.5213,-93.3192,-93.1248,-92.9343,-92.7515,-92.5766,-82.8588,-82.7211,-82.5885,-82.4611,-82.3361,-82.2163,-82.1016,-73.6948,-73.5941,-73.4971,-73.4039,-73.3126,-73.2249,-73.141,-65.8723,-65.8038,-65.7378,-65.6744,-65.6122,-65.5526,-65.4955,-59.1498,-59.0991,-59.0503,-59.0034,-58.9574,-58.9133,-58.871,-53.2559,-53.2191,-53.1836,-53.1495,-53.1161,-53.084,-53.0533
10,0.205331,-100.912,-100.62,-100.328,-100.07,-99.8346,-99.6101,-99.3968,-89.6324,-89.4501,-89.2678,-89.1065,-88.9592,-88.819,-88.6858,-79.9849,-79.8564,-79.7278,-79.6141,-79.5102,-79.4113,-79.3174,-71.6652,-71.5704,-71.4755,-71.3916,-71.315,-71.242,-71.1727,-64.4321,-64.3588,-64.2855,-64.224,-64.1704,-64.1193,-64.0707,-58.0994,-58.0494,-57.9994,-57.9552,-57.9148,-57.8763,-57.8398,-52.4815,-52.4423,-52.4051,-52.3723,-52.3424,-52.3138,-52.2868
11,0.226131,-95.8539,-95.6451,-95.4364,-95.2276,-95.0188,-94.81,-94.5863,-85.9596,-85.8233,-85.6869,-85.5506,-85.4142,-85.2779,-85.1318,-77.3769,-77.2625,-77.1481,-77.0337,-76.9194,-76.805,-76.6976,-69.747,-69.6718,-69.5966,-69.5214,-69.4463,-69.3711,-69.2905,-63.0675,-63.0083,-62.9492,-62.89,-62.8309,-62.7718,-62.7084,-57.0853,-57.0408,-56.9963,-56.9518,-56.9074,-56.8654,-56.821,-51.7273,-51.6943,-51.6613,-51.6283,-51.5953,-51.5624,-51.527
12,0.247171,-91.6519,-91.4277,-91.2079,-91.0057,-90.8079,-90.6101,-90.4122,-82.9607,-82.7798,-82.6024,-82.4392,-82.2795,-82.1198,-81.9631,-75.1055,-74.9728,-74.8427,-74.723,-74.6059,-74.4888,-74.3717,-68.0936,-67.9937,-67.8959,-67.8059,-67.7178,-67.6298,-67.5417,-61.8208,-61.7484,-61.6774,-61.6121,-61.5482,-61.4844,-61.4205,-56.1608,-56.1057,-56.0518,-56.0021,-55.9536,-55.905,-55.8564,-51.0282,-50.9871,-50.9467,-50.9096,-50.8732,-50.8369,-50.8006
