gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0.01,-129.028,-128.98,-128.93,-128.883,-128.836,-128.79,-128.744,-94.8477,-94.8191,-94.7899,-94.7619,-94.7339,-94.7069,-94.6794,-73.6981,-73.6846,-73.6708,-73.6576,-73.6444,-73.6317,-73.6187,-60.7444,-60.7369,-60.7294,-60.7221,-60.7148,-60.7079,-60.7007,-51.9725,-51.9686,-51.9646,-51.9608,-51.9569,-51.9532,-51.9494,-45.7403,-45.7378,-45.7353,-45.7329,-45.7305,-45.7282,-45.7258,-41.0102,-41.0087,-41.0071,-41.0056,-41.0041,-41.0027,-41.0012
1,0.0285363,-111.375,-111.221,-111.08,-110.945,-110.815,-110.69,-110.563,-85.5727,-85.5098,-85.4523,-85.397,-85.3439,-85.293,-85.2409,-69.0072,-68.976,-68.9476,-68.9202,-68.894,-68.8687,-68.843,-58.2757,-58.2567,-58.2392,-58.2225,-58.2064,-58.1909,-58.1751,-50.5411,-50.5305,-50.5208,-50.5115,-50.5025,-50.4939,-50.4852,-44.88,-44.873,-44.8667,-44.8607,-44.8548,-44.8493,-44.8435,-40.4548,-40.4503,-40.4462,-40.4423,-40.4385,-40.4349,-40.4312
2,0.0472874,-98.0602,-97.9943,-97.9335,-97.8463,-97.7223,-97.593,-97.4585,-78.13,-78.0851,-78.0436,-77.9993,-77.9405,-77.8793,-77.8157,-65.3242,-65.3019,-65.2813,-65.2518,-65.21,-65.1664,-65.1211,-56.0357,-56.0246,-56.0142,-55.9994,-55.9785,-55.9567,-55.9341,-49.2888,-49.2813,-49.2742,-49.2642,-49.2499,-49.2351,-49.2197,-44.0636,-44.0586,-44.054,-44.0474,-44.0381,-44.0284,-44.0184,-39.9281,-39.9249,-39.9219,-39.9176,-39.9116,-39.9053,-39.8988
3,0.0662556,-88.1763,-88.0195,-87.8653,-87.7214,-87.5826,-87.4489,-87.3204,-73.0993,-72.9926,-72.8876,-72.7897,-72.6952,-72.6043,-72.5168,-62.336,-62.2771,-62.2191,-62.165,-62.1129,-62.0627,-62.0144,-54.2555,-54.2175,-54.1801,-54.1453,-54.1117,-54.0793,-54.0482,-48.1637,-48.1413,-48.1193,-48.0988,-48.079,-48.0599,-48.0416,-43.3491,-43.3341,-43.3194,-43.3057,-43.2924,-43.2797,-43.2674,-39.4432,-39.4332,-39.4234,-39.4143,-39.4055,-39.397,-39.3888
4,0.0854437,-80.5337,-80.3348,-80.1525,-79.9768,-79.8044,-79.6387,-79.4696,-68.6943,-68.596,-68.5059,-68.419,-68.3338,-68.2518,-68.1682,-59.611,-59.5506,-59.4951,-59.4417,-59.3893,-59.3389,-59.2875,-52.5997,-52.5601,-52.5238,-52.4888,-52.4545,-52.4215,-52.3879,-47.0816,-47.0567,-47.0339,-47.0119,-46.9903,-46.9695,-46.9484,-42.6458,-42.6288,-42.6132,-42.5982,-42.5835,-42.5694,-42.5549,-38.9591,-38.9474,-38.9367,-38.9264,-38.9163,-38.9065,-38.8966
5,0.104854,-74.7281,-74.604,-74.4911,-74.3727,-74.2486,-74.1075,-73.9664,-64.9312,-64.8624,-64.7998,-64.7341,-64.6652,-64.587,-64.5088,-57.2155,-57.161,-57.1115,-57.0596,-57.0051,-56.9519,-56.9012,-51.0719,-51.0417,-51.0144,-50.9856,-50.9555,-50.9213,-50.8871,-46.0955,-46.0731,-46.0527,-46.0313,-46.0089,-45.9834,-45.958,-41.9731,-41.9579,-41.944,-41.9294,-41.9141,-41.8967,-41.8795,-38.4963,-38.4858,-38.4763,-38.4662,-38.4557,-38.4437,-38.4318
6,0.124489,-70.1613,-70.01,-69.8686,-69.7369,-69.61,-69.4881,-69.3637,-62.0098,-61.8946,-61.7869,-61.6866,-61.5901,-61.4972,-61.4025,-55.2824,-55.2078,-55.138,-55.073,-55.0105,-54.9503,-54.889,-49.7938,-49.7434,-49.6963,-49.6524,-49.6102,-49.5695,-49.5281,-45.2174,-45.1844,-45.1534,-45.1246,-45.0969,-45.0703,-45.0431,-41.3716,-41.3481,-41.3262,-41.3058,-41.2862,-41.2673,-41.2481,-38.0686,-38.0523,-38.0371,-38.0229,-38.0093,-37.9962,-37.9828
7,0.144352,-66.2179,-66.1009,-65.9817,-65.867,-65.7544,-65.6419,-65.536,-59.376,-59.2834,-59.1891,-59.0983,-59.0093,-58.9202,-58.8364,-53.4842,-53.4237,-53.3621,-53.3027,-53.2445,-53.1862,-53.1314,-48.5756,-48.5321,-48.4877,-48.4449,-48.403,-48.3611,-48.3216,-44.3595,-44.3305,-44.3008,-44.2723,-44.2444,-44.2164,-44.1901,-40.7708,-40.7497,-40.7281,-40.7073,-40.687,-40.6666,-40.6474,-37.637,-37.6219,-37.6065,-37.5918,-37.5772,-37.5627,-37.5491
8,0.164445,-63.0559,-62.9227,-62.7969,-62.6712,-62.543,-62.4148,-62.2865,-57.0556,-56.9688,-56.887,-56.8052,-56.7217,-56.6382,-56.5547,-51.8808,-51.8226,-51.7678,-51.713,-51.6571,-51.6012,-51.5453,-47.446,-47.4024,-47.3612,-47.3201,-47.2781,-47.2361,-47.1941,-43.5739,-43.5408,-43.5095,-43.4783,-43.4465,-43.4146,-43.3859,-40.1988,-40.1757,-40.1549,-40.1341,-40.1128,-40.0915,-40.0703,-37.2295,-37.2123,-37.1961,-37.1799,-37.1634,-37.1469,-37.1303
9,0.18477,-60.3197,-60.1958,-60.0788,-59.9617,-59.8447,-59.7277,-59.6106,-55.0203,-54.9394,-54.863,-54.7866,-54.7102,-54.6338,-54.5574,-50.4956,-50.429,-50.3662,-50.3034,-50.2406,-50.1777,-50.1149,-46.4061,-46.3592,-46.3177,-46.2763,-46.2348,-46.1934,-46.1519,-42.8494,-42.8154,-42.7833,-42.7512,-42.7191,-42.687,-42.6549,-39.6712,-39.6459,-39.622,-39.5981,-39.5742,-39.5503,-39.5264,-36.8369,-36.8186,-36.8014,-36.7841,-36.7668,-36.7496,-36.7323
