gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889,-13.8889
1,0.0185364,-13.8069,-13.8069,-13.8069,-13.8069,-13.8069,-13.8069,-13.8069,-13.8061,-13.8061,-13.8061,-13.8061,-13.8061,-13.8061,-13.8061,-13.8053,-13.8053,-13.8053,-13.8053,-13.8053,-13.8053,-13.8053,-13.8045,-13.8045,-13.8045,-13.8045,-13.8045,-13.8045,-13.8045,-13.8038,-13.8038,-13.8038,-13.8038,-13.8038,-13.8038,-13.8038,-13.803,-13.803,-13.803,-13.803,-13.803,-13.803,-13.803,-13.8022,-13.8022,-13.8022,-13.8022,-13.8022,-13.8022,-13.8022
2,0.0372875,-13.7299,-13.7299,-13.7299,-13.7299,-13.7299,-13.7299,-13.7299,-13.7284,-13.7284,-13.7284,-13.7284,-13.7284,-13.7284,-13.7284,-13.7269,-13.7269,-13.7269,-13.7269,-13.7269,-13.7269,-13.7269,-13.7254,-13.7254,-13.7254,-13.7254,-13.7254,-13.7254,-13.7254,-13.7239,-13.7239,-13.7239,-13.7239,-13.7239,-13.7239,-13.7239,-13.7223,-13.7223,-13.7223,-13.7223,-13.7223,-13.7223,-13.7223,-13.7208,-13.7208,-13.7208,-13.7208,-13.7208,-13.7208,-13.7208
3,0.0562558,-13.654,-13.654,-13.654,-13.654,-13.654,-13.654,-13.654,-13.6518,-13.6518,-13.6518,-13.6518,-13.6518,-13.6518,-13.6518,-13.6497,-13.6497,-13.6497,-13.6497,-13.6497,-13.6497,-13.6497,-13.6475,-13.6475,-13.6475,-13.6475,-13.6475,-13.6475,-13.6475,-13.6454,-13.6454,-13.6454,-13.6454,-13.6454,-13.6454,-13.6454,-13.6432,-13.6432,-13.6432,-13.6432,-13.6432,-13.6432,-13.6432,-13.6411,-13.6411,-13.6411,-13.6411,-13.6411,-13.6411,-13.6411
4,0.0754439,-13.5807,-13.5807,-13.5807,-13.5807,-13.5807,-13.5807,-13.5807,-13.5778,-13.5778,-13.5778,-13.5778,-13.5778,-13.5778,-13.5778,-13.5749,-13.5749,-13.5749,-13.5749,-13.5749,-13.5749,-13.5749,-13.5721,-13.5721,-13.5721,-13.5721,-13.5721,-13.5721,-13.5721,-13.5692,-13.5692,-13.5692,-13.5692,-13.5692,-13.5692,-13.5692,-13.5663,-13.5663,-13.5663,-13.5663,-13.5663,-13.5663,-13.5663,-13.5634,-13.5634,-13.5634,-13.5634,-13.5634,-13.5634,-13.5634
5,0.0948544,-13.5083,-13.5083,-13.5083,-13.5083,-13.5083,-13.5083,-13.5083,-13.5048,-13.5048,-13.5048,-13.5048,-13.5048,-13.5048,-13.5048,-13.5013,-13.5013,-13.5013,-13.5013,-13.5013,-13.5013,-13.5013,-13.4978,-13.4978,-13.4978,-13.4978,-13.4978,-13.4978,-13.4978,-13.4943,-13.4943,-13.4943,-13.4943,-13.4943,-13.4943,-13.4943,-13.4908,-13.4908,-13.4908,-13.4908,-13.4908,-13.4908,-13.4908,-13.4873,-13.4873,-13.4873,-13.4873,-13.4873,-13.4873,-13.4873
6,0.11449,-13.4369,-13.4369,-13.4369,-13.4369,-13.4369,-13.4369,-13.4369,-13.4328,-13.4328,-13.4328,-13.4328,-13.4328,-13.4328,-13.4328,-13.4288,-13.4288,-13.4288,-13.4288,-13.4288,-13.4288,-13.4288,-13.4247,-13.4247,-13.4247,-13.4247,-13.4247,-13.4247,-13.4247,-13.4206,-13.4206,-13.4206,-13.4206,-13.4206,-13.4206,-13.4206,-13.4166,-13.4166,-13.4166,-13.4166,-13.4166,-13.4166,-13.4166,-13.4125,-13.4125,-13.4125,-13.4125,-13.4125,-13.4125,-13.4125
7,0.134352,-13.3665,-13.3665,-13.3665,-13.3665,-13.3665,-13.3665,-13.3665,-13.3618,-13.3618,-13.3618,-13.3618,-13.3618,-13.3618,-13.3618,-13.3572,-13.3572,-13.3572,-13.3572,-13.3572,-13.3572,-13.3572,-13.3526,-13.3526,-13.3526,-13.3526,-13.3526,-13.3526,-13.3526,-13.348,-13.348,-13.348,-13.348,-13.348,-13.348,-13.348,-13.3433,-13.3433,-13.3433,-13.3433,-13.3433,-13.3433,-13.3433,-13.3387,-13.3387,-13.3387,-13.3387,-13.3387,-13.3387,-13.3387
8,0.154445,-13.2917,-13.2917,-13.2917,-13.2917,-13.2917,-13.2917,-13.2917,-13.2883,-13.2883,-13.2883,-13.2883,-13.2883,-13.2883,-13.2883,-13.2848,-13.2848,-13.2848,-13.2848,-13.2848,-13.2848,-13.2848,-13.2814,-13.2814,-13.2814,-13.2814,-13.2814,-13.2814,-13.2814,-13.2779,-13.2779,-13.2779,-13.2779,-13.2779,-13.2779,-13.2779,-13.2746,-13.2746,-13.2746,-13.2746,-13.2746,-13.2746,-13.2746,-13.2712,-13.2712,-13.2712,-13.2712,-13.2712,-13.2712,-13.2712
9,0.174771,-13.2287,-13.2287,-13.2287,-13.2287,-13.2287,-13.2287,-13.2287,-13.2228,-13.2228,-13.2228,-13.2228,-13.2228,-13.2228,-13.2228,-13.2169,-13.2169,-13.2169,-13.2169,-13.2169,-13.2169,-13.2169,-13.2111,-13.2111,-13.2111,-13.2111,-13.2111,-13.2111,-13.2111,-13.2052,-13.2052,-13.2052,-13.2052,-13.2052,-13.2052,-13.2052,-13.1994,-13.1994,-13.1994,-13.1994,-13.1994,-13.1994,-13.1994,-13.1935,-13.1935,-13.1935,-13.1935,-13.1935,-13.1935,-13.1935
