gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055
1,0.0685139,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46449,-7.46449,-7.46449
2,0.139962,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36218,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36218,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36218,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36029,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36029,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.36029,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.35839,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.35839,-7.35905,-7.35905,-8.25474,-8.25474,-8.25474,-7.79165,-7.79165,-7.79165,-7.35839,-7.35905,-7.35905
3,0.214469,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.31087,-7.27133,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.31087,-7.27133,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.31087,-7.27133,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.27434,-7.26034,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.27434,-7.26034,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.27434,-7.26034,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.23895,-7.24935,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.23895,-7.24935,-7.25503,-8.08929,-8.08929,-8.08929,-7.66385,-7.66385,-7.66385,-7.23895,-7.24935,-7.25503
4,0.292166,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.25986,-7.21217,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.25986,-7.21217,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.25986,-7.21217,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.18723,-7.1702,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.18723,-7.1702,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.18723,-7.1702,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.11633,-7.12851,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.11633,-7.12851,-7.15226,-7.93588,-7.93588,-7.93588,-7.53859,-7.53859,-7.53859,-7.11633,-7.12851,-7.15226
5,0.373191,-7.78944,-7.78944,-7.78944,-7.42116,-7.416,-7.416,-7.17623,-7.13712,-7.0497,-7.78944,-7.78944,-7.78944,-7.42116,-7.416,-7.416,-7.17623,-7.13712,-7.0497,-7.78944,-7.78944,-7.78944,-7.42116,-7.416,-7.416,-7.17623,-7.13712,-7.0497,-7.78944,-7.78944,-7.78944,-7.41706,-7.416,-7.416,-7.08692,-7.07406,-7.0497,-7.78944,-7.78944,-7.78944,-7.41706,-7.416,-7.416,-7.08692,-7.07406,-7.0497,-7.78944,-7.78944,-7.78944,-7.41706,-7.416,-7.416,-7.08692,-7.07406,-7.0497,-7.78944,-7.78944,-7.78944,-7.41295,-7.416,-7.416,-7.00068,-7.01132,-7.0497,-7.78944,-7.78944,-7.78944,-7.41295,-7.416,-7.416,-7.00068,-7.01132,-7.0497,-7.78944,-7.78944,-7.78944,-7.41295,-7.416,-7.416,-7.00068,-7.01132,-7.0497
6,0.457685,-7.64798,-7.64798,-7.64798,-7.31492,-7.29631,-7.29631,-7.09216,-7.05547,-6.9817,-7.64798,-7.64798,-7.64798,-7.31492,-7.29631,-7.29631,-7.09216,-7.05547,-6.9817,-7.64798,-7.64798,-7.64798,-7.31492,-7.29631,-7.29631,-7.09216,-7.05547,-6.9817,-7.64798,-7.64798,-7.64798,-7.29986,-7.29631,-7.29631,-6.98682,-6.97524,-6.95553,-7.64798,-7.64798,-7.64798,-7.29986,-7.29631,-7.29631,-6.98682,-6.97524,-6.95553,-7.64798,-7.64798,-7.64798,-7.29986,-7.29631,-7.29631,-6.98682,-6.97524,-6.95553,-7.64798,-7.64798,-7.64798,-7.28479,-7.29631,-7.29631,-6.88596,-6.89713,-6.92937,-7.64798,-7.64798,-7.64798,-7.28479,-7.29631,-7.29631,-6.88596,-6.89713,-6.92937,-7.64798,-7.64798,-7.64798,-7.28479,-7.29631,-7.29631,-6.88596,-6.89713,-6.92937
7,0.545798,-7.51019,-7.51019,-7.51019,-7.2454,-7.17831,-7.17831,-7.00729,-7.00219,-6.90389,-7.51019,-7.51019,-7.51019,-7.2454,-7.17831,-7.17831,-7.00729,-7.00219,-6.90389,-7.51019,-7.51019,-7.51019,-7.2454,-7.17831,-7.17831,-7.00729,-7.00219,-6.90389,-7.51019,-7.51019,-7.51019,-7.19083,-7.17831,-7.17831,-6.88674,-6.88517,-6.85815,-7.51019,-7.51019,-7.51019,-7.19083,-7.17831,-7.17831,-6.88674,-6.88517,-6.85815,-7.51019,-7.51019,-7.51019,-7.19083,-7.17831,-7.17831,-6.88674,-6.88517,-6.85815,-7.51019,-7.51019,-7.51019,-7.13753,-7.17831,-7.17831,-6.77196,-6.77357,-6.81308,-7.51019,-7.51019,-7.51019,-7.13753,-7.17831,-7.17831,-6.77196,-6.77357,-6.81308,-7.51019,-7.51019,-7.51019,-7.13753,-7.17831,-7.17831,-6.77196,-6.77357,-6.81308
8,0.637684,-7.37553,-7.37553,-7.37553,-7.15355,-7.06132,-7.06132,-6.92222,-6.92222,-6.81688,-7.37553,-7.37553,-7.37553,-7.15355,-7.06132,-7.06132,-6.92222,-6.92222,-6.81688,-7.37553,-7.37553,-7.37553,-7.15355,-7.06132,-7.06132,-6.92222,-6.92222,-6.81688,-7.37553,-7.37553,-7.37553,-7.07805,-7.06132,-7.06132,-6.78661,-6.78661,-6.75819,-7.37553,-7.37553,-7.37553,-7.07805,-7.06132,-7.06132,-6.78661,-6.78661,-6.75819,-7.37553,-7.37553,-7.37553,-7.07805,-7.06132,-7.06132,-6.78661,-6.78661,-6.75819,-7.37553,-7.37553,-7.37553,-7.00423,-7.06132,-7.06132,-6.65872,-6.65872,-6.70148,-7.37553,-7.37553,-7.37553,-7.00423,-7.06132,-7.06132,-6.65872,-6.65872,-6.70148,-7.37553,-7.37553,-7.37553,-7.00423,-7.06132,-7.06132,-6.65872,-6.65872,-6.70148
9,0.733504,-7.24341,-7.24341,-7.24341,-7.03276,-6.94514,-6.94514,-6.83711,-6.83711,-6.72329,-7.24341,-7.24341,-7.24341,-7.03276,-6.94514,-6.94514,-6.83711,-6.83711,-6.72329,-7.24341,-7.24341,-7.24341,-7.03276,-6.94514,-6.94514,-6.83711,-6.83711,-6.72329,-7.24341,-7.24341,-7.24341,-6.96039,-6.94514,-6.94514,-6.68669,-6.68669,-6.6567,-7.24341,-7.24341,-7.24341,-6.96039,-6.94514,-6.94514,-6.68669,-6.68669,-6.6567,-7.24341,-7.24341,-7.24341,-6.96039,-6.94514,-6.94514,-6.68669,-6.68669,-6.6567,-7.24341,-7.24341,-7.24341,-6.88904,-6.94514,-6.94514,-6.54623,-6.54623,-6.59309,-7.24341,-7.24341,-7.24341,-6.88904,-6.94514,-6.94514,-6.54623,-6.54623,-6.59309,-7.24341,-7.24341,-7.24341,-6.88904,-6.94514,-6.94514,-6.54623,-6.54623,-6.59309
