gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055,-8.64422,-8.64422,-8.64422,-8.06224,-8.06224,-8.06224,-7.57055,-7.57055,-7.57055
1,0.0685139,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.48007,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.48007,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.48007,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.47175,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.47175,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.47175,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46342,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46342,-7.46449,-7.46449,-8.42853,-8.42853,-8.42853,-7.92144,-7.92144,-7.92144,-7.46342,-7.46449,-7.46449
2,0.139962,-8.25474,-8.25474,-8.25474,-7.85632,-7.79165,-7.79165,-7.41925,-7.41925,-7.38901,-8.25474,-8.25474,-8.25474,-7.85632,-7.79165,-7.79165,-7.41925,-7.41925,-7.38901,-8.25474,-8.25474,-8.25474,-7.85632,-7.79165,-7.79165,-7.41925,-7.41925,-7.38901,-8.25474,-8.25474,-8.25474,-7.80891,-7.79165,-7.79165,-7.38027,-7.38027,-7.36844,-8.25474,-8.25474,-8.25474,-7.80891,-7.79165,-7.79165,-7.38027,-7.38027,-7.36844,-8.25474,-8.25474,-8.25474,-7.80891,-7.79165,-7.79165,-7.38027,-7.38027,-7.36844,-8.25474,-8.25474,-8.25474,-7.76149,-7.79165,-7.79165,-7.34291,-7.34291,-7.34809,-8.25474,-8.25474,-8.25474,-7.76149,-7.79165,-7.79165,-7.34291,-7.34291,-7.34809,-8.25474,-8.25474,-8.25474,-7.76149,-7.79165,-7.79165,-7.34291,-7.34291,-7.34809
3,0.214469,-8.08929,-8.08929,-8.08929,-7.75031,-7.66385,-7.66385,-7.3341,-7.3341,-7.31629,-8.08929,-8.08929,-8.08929,-7.75031,-7.66385,-7.66385,-7.3341,-7.3341,-7.31629,-8.08929,-8.08929,-8.08929,-7.75031,-7.66385,-7.66385,-7.3341,-7.3341,-7.31629,-8.08929,-8.08929,-8.08929,-7.68184,-7.66385,-7.66385,-7.27685,-7.27685,-7.27092,-8.08929,-8.08929,-8.08929,-7.68184,-7.66385,-7.66385,-7.27685,-7.27685,-7.27092,-8.08929,-8.08929,-8.08929,-7.68184,-7.66385,-7.66385,-7.27685,-7.27685,-7.27092,-8.08929,-8.08929,-8.08929,-7.61469,-7.66385,-7.66385,-7.22201,-7.22201,-7.22735,-8.08929,-8.08929,-8.08929,-7.61469,-7.66385,-7.66385,-7.22201,-7.22201,-7.22735,-8.08929,-8.08929,-8.08929,-7.61469,-7.66385,-7.66385,-7.22201,-7.22201,-7.22735
4,0.292166,-7.93588,-7.93588,-7.93588,-7.64681,-7.53859,-7.53859,-7.24797,-7.24797,-7.24797,-7.93588,-7.93588,-7.93588,-7.64681,-7.53859,-7.53859,-7.24797,-7.24797,-7.24797,-7.93588,-7.93588,-7.93588,-7.64681,-7.53859,-7.53859,-7.24797,-7.24797,-7.24797,-7.93588,-7.93588,-7.93588,-7.55736,-7.53859,-7.53859,-7.17404,-7.17404,-7.17404,-7.93588,-7.93588,-7.93588,-7.55736,-7.53859,-7.53859,-7.17404,-7.17404,-7.17404,-7.93588,-7.93588,-7.93588,-7.55736,-7.53859,-7.53859,-7.17404,-7.17404,-7.17404,-7.93588,-7.93588,-7.93588,-7.47283,-7.53859,-7.53859,-7.10237,-7.10237,-7.10237,-7.93588,-7.93588,-7.93588,-7.47283,-7.53859,-7.53859,-7.10237,-7.10237,-7.10237,-7.93588,-7.93588,-7.93588,-7.47283,-7.53859,-7.53859,-7.10237,-7.10237,-7.10237
5,0.373191,-7.78944,-7.78944,-7.78944,-7.54344,-7.416,-7.416,-7.16186,-7.16186,-7.16186,-7.78944,-7.78944,-7.78944,-7.54344,-7.416,-7.416,-7.16186,-7.16186,-7.16186,-7.78944,-7.78944,-7.78944,-7.54344,-7.416,-7.416,-7.16186,-7.16186,-7.16186,-7.78944,-7.78944,-7.78944,-7.4357,-7.416,-7.416,-7.07143,-7.07143,-7.07143,-7.78944,-7.78944,-7.78944,-7.4357,-7.416,-7.416,-7.07143,-7.07143,-7.07143,-7.78944,-7.78944,-7.78944,-7.4357,-7.416,-7.416,-7.07143,-7.07143,-7.07143,-7.78944,-7.78944,-7.78944,-7.33412,-7.416,-7.416,-6.98403,-6.98403,-6.98403,-7.78944,-7.78944,-7.78944,-7.33412,-7.416,-7.416,-6.98403,-6.98403,-6.98403,-7.78944,-7.78944,-7.78944,-7.33412,-7.416,-7.416,-6.98403,-6.98403,-6.98403
6,0.457685,-7.64798,-7.64798,-7.64798,-7.44076,-7.29631,-7.29631,-7.07582,-7.07582,-7.07582,-7.64798,-7.64798,-7.64798,-7.44076,-7.29631,-7.29631,-7.07582,-7.07582,-7.07582,-7.64798,-7.64798,-7.64798,-7.44076,-7.29631,-7.29631,-7.07582,-7.07582,-7.07582,-7.64798,-7.64798,-7.64798,-7.31611,-7.29631,-7.29631,-6.96898,-6.96898,-6.96898,-7.64798,-7.64798,-7.64798,-7.31611,-7.29631,-7.29631,-6.96898,-6.96898,-6.96898,-7.64798,-7.64798,-7.64798,-7.31611,-7.29631,-7.29631,-6.96898,-6.96898,-6.96898,-7.64798,-7.64798,-7.64798,-7.19844,-7.29631,-7.29631,-6.86665,-6.86665,-6.86665,-7.64798,-7.64798,-7.64798,-7.19844,-7.29631,-7.29631,-6.86665,-6.86665,-6.86665,-7.64798,-7.64798,-7.64798,-7.19844,-7.29631,-7.29631,-6.86665,-6.86665,-6.86665
7,0.545798,-7.51019,-7.51019,-7.51019,-7.33996,-7.17831,-7.17831,-6.9889,-6.9889,-6.9889,-7.51019,-7.51019,-7.51019,-7.33996,-7.17831,-7.17831,-6.9889,-6.9889,-6.9889,-7.51019,-7.51019,-7.51019,-7.33996,-7.17831,-7.17831,-6.9889,-6.9889,-6.9889,-7.51019,-7.51019,-7.51019,-7.19832,-7.17831,-7.17831,-6.86654,-6.86654,-6.86654,-7.51019,-7.51019,-7.51019,-7.19832,-7.17831,-7.17831,-6.86654,-6.86654,-6.86654,-7.51019,-7.51019,-7.51019,-7.19832,-7.17831,-7.17831,-6.86654,-6.86654,-6.86654,-7.51019,-7.51019,-7.51019,-7.06514,-7.17831,-7.17831,-6.74984,-6.74984,-6.74984,-7.51019,-7.51019,-7.51019,-7.06514,-7.17831,-7.17831,-6.74984,-6.74984,-6.74984,-7.51019,-7.51019,-7.51019,-7.06514,-7.17831,-7.17831,-6.74984,-6.74984,-6.74984
8,0.637684,-7.37553,-7.37553,-7.37553,-7.23916,-7.06132,-7.06132,-6.90124,-6.90124,-6.90124,-7.37553,-7.37553,-7.37553,-7.23916,-7.06132,-7.06132,-6.90124,-6.90124,-6.90124,-7.37553,-7.37553,-7.37553,-7.23916,-7.06132,-7.06132,-6.90124,-6.90124,-6.90124,-7.37553,-7.37553,-7.37553,-7.08156,-7.06132,-7.06132,-6.76393,-6.76393,-6.76393,-7.37553,-7.37553,-7.37553,-7.08156,-7.06132,-7.06132,-6.76393,-6.76393,-6.76393,-7.37553,-7.37553,-7.37553,-7.08156,-7.06132,-7.06132,-6.76393,-6.76393,-6.76393,-7.37553,-7.37553,-7.37553,-6.93349,-7.06132,-7.06132,-6.6336,-6.6336,-6.6336,-7.37553,-7.37553,-7.37553,-6.93349,-7.06132,-7.06132,-6.6336,-6.6336,-6.6336,-7.37553,-7.37553,-7.37553,-6.93349,-7.06132,-7.06132,-6.6336,-6.6336,-6.6336
9,0.733504,-7.24341,-7.24341,-7.24341,-7.13834,-6.94514,-6.94514,-6.8139,-6.8139,-6.8139,-7.24341,-7.24341,-7.24341,-7.13834,-6.94514,-6.94514,-6.8139,-6.8139,-6.8139,-7.24341,-7.24341,-7.24341,-7.13834,-6.94514,-6.94514,-6.8139,-6.8139,-6.8139,-7.24341,-7.24341,-7.24341,-6.96547,-6.94514,-6.94514,-6.66116,-6.66116,-6.66116,-7.24341,-7.24341,-7.24341,-6.96547,-6.94514,-6.94514,-6.66116,-6.66116,-6.66116,-7.24341,-7.24341,-7.24341,-6.96547,-6.94514,-6.94514,-6.66116,-6.66116,-6.66116,-7.24341,-7.24341,-7.24341,-6.80319,-6.94514,-6.94514,-6.51801,-6.51801,-6.51801,-7.24341,-7.24341,-7.24341,-6.80319,-6.94514,-6.94514,-6.51801,-6.51801,-6.51801,-7.24341,-7.24341,-7.24341,-6.80319,-6.94514,-6.94514,-6.51801,-6.51801,-6.51801
