gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662,-8.64147,-8.64147,-8.64147,-8.05904,-8.05904,-8.05904,-7.56662,-7.56662,-7.56662
1,0.0572595,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787,-8.45687,-8.45687,-8.45687,-7.93951,-7.93951,-7.93951,-7.47787,-7.47787,-7.47787
2,0.116568,-8.30634,-8.30634,-8.30634,-7.84255,-7.83,-7.83,-7.44849,-7.44849,-7.38977,-8.30634,-8.30634,-8.30634,-7.84255,-7.83,-7.83,-7.44849,-7.44849,-7.38977,-8.30634,-8.30634,-8.30634,-7.84255,-7.83,-7.83,-7.44849,-7.44849,-7.38977,-8.30634,-8.30634,-8.30634,-7.83392,-7.83,-7.83,-7.41636,-7.41636,-7.38977,-8.30634,-8.30634,-8.30634,-7.83392,-7.83,-7.83,-7.41636,-7.41636,-7.38977,-8.30634,-8.30634,-8.30634,-7.83392,-7.83,-7.83,-7.41636,-7.41636,-7.38977,-8.30634,-8.30634,-8.30634,-7.82529,-7.83,-7.83,-7.38422,-7.38422,-7.38977,-8.30634,-8.30634,-8.30634,-7.82529,-7.83,-7.83,-7.38422,-7.38422,-7.38977,-8.30634,-8.30634,-8.30634,-7.82529,-7.83,-7.83,-7.38422,-7.38422,-7.38977
3,0.177999,-8.16132,-8.16132,-8.16132,-7.80282,-7.7214,-7.7214,-7.37736,-7.37736,-7.32691,-8.16132,-8.16132,-8.16132,-7.80282,-7.7214,-7.7214,-7.37736,-7.37736,-7.32691,-8.16132,-8.16132,-8.16132,-7.80282,-7.7214,-7.7214,-7.37736,-7.37736,-7.32691,-8.16132,-8.16132,-8.16132,-7.74443,-7.7214,-7.7214,-7.32929,-7.32929,-7.31038,-8.16132,-8.16132,-8.16132,-7.74443,-7.7214,-7.7214,-7.32929,-7.32929,-7.31038,-8.16132,-8.16132,-8.16132,-7.74443,-7.7214,-7.7214,-7.32929,-7.32929,-7.31038,-8.16132,-8.16132,-8.16132,-7.6876,-7.7214,-7.7214,-7.28269,-7.28269,-7.29386,-8.16132,-8.16132,-8.16132,-7.6876,-7.7214,-7.7214,-7.28269,-7.28269,-7.29386,-8.16132,-8.16132,-8.16132,-7.6876,-7.7214,-7.7214,-7.28269,-7.28269,-7.29386
4,0.241629,-8.03153,-8.03153,-8.03153,-7.71594,-7.61466,-7.61466,-7.30593,-7.30593,-7.30593,-8.03153,-8.03153,-8.03153,-7.71594,-7.61466,-7.61466,-7.30593,-7.30593,-7.30593,-8.03153,-8.03153,-8.03153,-7.71594,-7.61466,-7.61466,-7.30593,-7.30593,-7.30593,-8.03153,-8.03153,-8.03153,-7.63964,-7.61466,-7.61466,-7.24267,-7.24267,-7.24267,-8.03153,-8.03153,-8.03153,-7.63964,-7.61466,-7.61466,-7.24267,-7.24267,-7.24267,-8.03153,-8.03153,-8.03153,-7.63964,-7.61466,-7.61466,-7.24267,-7.24267,-7.24267,-8.03153,-8.03153,-8.03153,-7.56693,-7.61466,-7.61466,-7.1823,-7.1823,-7.1823,-8.03153,-8.03153,-8.03153,-7.56693,-7.61466,-7.61466,-7.1823,-7.1823,-7.1823,-8.03153,-8.03153,-8.03153,-7.56693,-7.61466,-7.61466,-7.1823,-7.1823,-7.1823
5,0.307536,-7.9041,-7.9041,-7.9041,-7.62906,-7.51097,-7.51097,-7.23386,-7.23386,-7.23386,-7.9041,-7.9041,-7.9041,-7.62906,-7.51097,-7.51097,-7.23386,-7.23386,-7.23386,-7.9041,-7.9041,-7.9041,-7.62906,-7.51097,-7.51097,-7.23386,-7.23386,-7.23386,-7.9041,-7.9041,-7.9041,-7.53651,-7.51097,-7.51097,-7.15705,-7.15705,-7.15705,-7.9041,-7.9041,-7.9041,-7.53651,-7.51097,-7.51097,-7.15705,-7.15705,-7.15705,-7.9041,-7.9041,-7.9041,-7.53651,-7.51097,-7.51097,-7.15705,-7.15705,-7.15705,-7.9041,-7.9041,-7.9041,-7.44919,-7.51097,-7.51097,-7.08279,-7.08279,-7.08279,-7.9041,-7.9041,-7.9041,-7.44919,-7.51097,-7.51097,-7.08279,-7.08279,-7.08279,-7.9041,-7.9041,-7.9041,-7.44919,-7.51097,-7.51097,-7.08279,-7.08279,-7.08279
6,0.375801,-7.78118,-7.78118,-7.78118,-7.54277,-7.40949,-7.40949,-7.16225,-7.16225,-7.16225,-7.78118,-7.78118,-7.78118,-7.54277,-7.40949,-7.40949,-7.16225,-7.16225,-7.16225,-7.78118,-7.78118,-7.78118,-7.54277,-7.40949,-7.40949,-7.16225,-7.16225,-7.16225,-7.78118,-7.78118,-7.78118,-7.43577,-7.40949,-7.40949,-7.07145,-7.07145,-7.07145,-7.78118,-7.78118,-7.78118,-7.43577,-7.40949,-7.40949,-7.07145,-7.07145,-7.07145,-7.78118,-7.78118,-7.78118,-7.43577,-7.40949,-7.40949,-7.07145,-7.07145,-7.07145,-7.78118,-7.78118,-7.78118,-7.334,-7.40949,-7.40949,-6.98396,-6.98396,-6.98396,-7.78118,-7.78118,-7.78118,-7.334,-7.40949,-7.40949,-6.98396,-6.98396,-6.98396,-7.78118,-7.78118,-7.78118,-7.334,-7.40949,-7.40949,-6.98396,-6.98396,-6.98396
7,0.44651,-7.66251,-7.66251,-7.66251,-7.45807,-7.30921,-7.30921,-7.09029,-7.09029,-7.09029,-7.66251,-7.66251,-7.66251,-7.45807,-7.30921,-7.30921,-7.09029,-7.09029,-7.09029,-7.66251,-7.66251,-7.66251,-7.45807,-7.30921,-7.30921,-7.09029,-7.09029,-7.09029,-7.66251,-7.66251,-7.66251,-7.33618,-7.30921,-7.30921,-6.98582,-6.98582,-6.98582,-7.66251,-7.66251,-7.66251,-7.33618,-7.30921,-7.30921,-6.98582,-6.98582,-6.98582,-7.66251,-7.66251,-7.66251,-7.33618,-7.30921,-7.30921,-6.98582,-6.98582,-6.98582,-7.66251,-7.66251,-7.66251,-7.22055,-7.30921,-7.30921,-6.88573,-6.88573,-6.88573,-7.66251,-7.66251,-7.66251,-7.22055,-7.30921,-7.30921,-6.88573,-6.88573,-6.88573,-7.66251,-7.66251,-7.66251,-7.22055,-7.30921,-7.30921,-6.88573,-6.88573,-6.88573
8,0.519749,-7.54608,-7.54608,-7.54608,-7.37334,-7.20992,-7.20992,-7.01767,-7.01767,-7.01767,-7.54608,-7.54608,-7.54608,-7.37334,-7.20992,-7.20992,-7.01767,-7.01767,-7.01767,-7.54608,-7.54608,-7.54608,-7.37334,-7.20992,-7.20992,-7.01767,-7.01767,-7.01767,-7.54608,-7.54608,-7.54608,-7.23733,-7.20992,-7.20992,-6.90018,-6.90018,-6.90018,-7.54608,-7.54608,-7.54608,-7.23733,-7.20992,-7.20992,-6.90018,-6.90018,-6.90018,-7.54608,-7.54608,-7.54608,-7.23733,-7.20992,-7.20992,-6.90018,-6.90018,-6.90018,-7.54608,-7.54608,-7.54608,-7.10867,-7.20992,-7.20992,-6.78798,-6.78798,-6.78798,-7.54608,-7.54608,-7.54608,-7.10867,-7.20992,-7.20992,-6.78798,-6.78798,-6.78798,-7.54608,-7.54608,-7.54608,-7.10867,-7.20992,-7.20992,-6.78798,-6.78798,-6.78798
9,0.595608,-7.43204,-7.43204,-7.43204,-7.2887,-7.11137,-7.11137,-6.94463,-6.94463,-6.94463,-7.43204,-7.43204,-7.43204,-7.2887,-7.11137,-7.11137,-6.94463,-6.94463,-6.94463,-7.43204,-7.43204,-7.43204,-7.2887,-7.11137,-7.11137,-6.94463,-6.94463,-6.94463,-7.43204,-7.43204,-7.43204,-7.13919,-7.11137,-7.11137,-6.81448,-6.81448,-6.81448,-7.43204,-7.43204,-7.43204,-7.13919,-7.11137,-7.11137,-6.81448,-6.81448,-6.81448,-7.43204,-7.43204,-7.43204,-7.13919,-7.11137,-7.11137,-6.81448,-6.81448,-6.81448,-7.43204,-7.43204,-7.43204,-6.99827,-7.11137,-7.11137,-6.69064,-6.69064,-6.69064,-7.43204,-7.43204,-7.43204,-6.99827,-7.11137,-7.11137,-6.69064,-6.69064,-6.69064,-7.43204,-7.43204,-7.43204,-6.99827,-7.11137,-7.11137,-6.69064,-6.69064,-6.69064
