gridnumber,capital,VF[0 0 00],VF[0 0 01],VF[0 0 02],VF[0 0 10],VF[0 0 11],VF[0 0 12],VF[0 0 20],VF[0 0 21],VF[0 0 22],VF[0 1 00],VF[0 1 01],VF[0 1 02],VF[0 1 10],VF[0 1 11],VF[0 1 12],VF[0 1 20],VF[0 1 21],VF[0 1 22],VF[0 2 00],VF[0 2 01],VF[0 2 02],VF[0 2 10],VF[0 2 11],VF[0 2 12],VF[0 2 20],VF[0 2 21],VF[0 2 22],VF[1 0 00],VF[1 0 01],VF[1 0 02],VF[1 0 10],VF[1 0 11],VF[1 0 12],VF[1 0 20],VF[1 0 21],VF[1 0 22],VF[1 1 00],VF[1 1 01],VF[1 1 02],VF[1 1 10],VF[1 1 11],VF[1 1 12],VF[1 1 20],VF[1 1 21],VF[1 1 22],VF[1 2 00],VF[1 2 01],VF[1 2 02],VF[1 2 10],VF[1 2 11],VF[1 2 12],VF[1 2 20],VF[1 2 21],VF[1 2 22],VF[2 0 00],VF[2 0 01],VF[2 0 02],VF[2 0 10],VF[2 0 11],VF[2 0 12],VF[2 0 20],VF[2 0 21],VF[2 0 22],VF[2 1 00],VF[2 1 01],VF[2 1 02],VF[2 1 10],VF[2 1 11],VF[2 1 12],VF[2 1 20],VF[2 1 21],VF[2 1 22],VF[2 2 00],VF[2 2 01],VF[2 2 02],VF[2 2 10],VF[2 2 11],VF[2 2 12],VF[2 2 20],VF[2 2 21],VF[2 2 22]
0,0,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347,-8.63885,-8.63885,-8.63885,-8.05573,-8.05573,-8.05573,-7.56347,-7.56347,-7.56347
1,0.0426828,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677,-8.49684,-8.49684,-8.49684,-7.96534,-7.96534,-7.96534,-7.49677,-7.49677,-7.49677
2,0.0865042,-8.37644,-8.37644,-8.37644,-7.88778,-7.88172,-7.88172,-7.46634,-7.4407,-7.43047,-8.37644,-8.37644,-8.37644,-7.88778,-7.88172,-7.88172,-7.46634,-7.4407,-7.43047,-8.37644,-8.37644,-8.37644,-7.88778,-7.88172,-7.88172,-7.46634,-7.4407,-7.43047,-8.37644,-8.37644,-8.37644,-7.88363,-7.88172,-7.88172,-7.44645,-7.4348,-7.43047,-8.37644,-8.37644,-8.37644,-7.88363,-7.88172,-7.88172,-7.44645,-7.4348,-7.43047,-8.37644,-8.37644,-8.37644,-7.88363,-7.88172,-7.88172,-7.44645,-7.4348,-7.43047,-8.37644,-8.37644,-8.37644,-7.87947,-7.88172,-7.88172,-7.42738,-7.42894,-7.43047,-8.37644,-8.37644,-8.37644,-7.87947,-7.88172,-7.88172,-7.42738,-7.42894,-7.43047,-8.37644,-8.37644,-8.37644,-7.87947,-7.88172,-7.88172,-7.42738,-7.42894,-7.43047
3,0.131495,-8.26525,-8.26525,-8.26525,-7.85168,-7.79895,-7.79895,-7.42347,-7.41833,-7.37424,-8.26525,-8.26525,-8.26525,-7.85168,-7.79895,-7.79895,-7.42347,-7.41833,-7.37424,-8.26525,-8.26525,-8.26525,-7.85168,-7.79895,-7.79895,-7.42347,-7.41833,-7.37424,-8.26525,-8.26525,-8.26525,-7.81369,-7.79895,-7.79895,-7.38692,-7.38465,-7.36792,-8.26525,-8.26525,-8.26525,-7.81369,-7.79895,-7.79895,-7.38692,-7.38465,-7.36792,-8.26525,-8.26525,-8.26525,-7.81369,-7.79895,-7.79895,-7.38692,-7.38465,-7.36792,-8.26525,-8.26525,-8.26525,-7.77593,-7.79895,-7.79895,-7.35102,-7.35154,-7.36161,-8.26525,-8.26525,-8.26525,-7.77593,-7.79895,-7.79895,-7.35102,-7.35154,-7.36161,-8.26525,-8.26525,-8.26525,-7.77593,-7.79895,-7.79895,-7.35102,-7.35154,-7.36161
4,0.177685,-8.16099,-8.16099,-8.16099,-7.79595,-7.7178,-7.7178,-7.36955,-7.36955,-7.35468,-8.16099,-8.16099,-8.16099,-7.79595,-7.7178,-7.7178,-7.36955,-7.36955,-7.35468,-8.16099,-8.16099,-8.16099,-7.79595,-7.7178,-7.7178,-7.36955,-7.36955,-7.35468,-8.16099,-8.16099,-8.16099,-7.7366,-7.7178,-7.7178,-7.32183,-7.32183,-7.31638,-8.16099,-8.16099,-8.16099,-7.7366,-7.7178,-7.7178,-7.32183,-7.32183,-7.31638,-8.16099,-8.16099,-8.16099,-7.7366,-7.7178,-7.7178,-7.32183,-7.32183,-7.31638,-8.16099,-8.16099,-8.16099,-7.67957,-7.7178,-7.7178,-7.27472,-7.27472,-7.27834,-8.16099,-8.16099,-8.16099,-7.67957,-7.7178,-7.7178,-7.27472,-7.27472,-7.27834,-8.16099,-8.16099,-8.16099,-7.67957,-7.7178,-7.7178,-7.27472,-7.27472,-7.27834
5,0.225108,-8.05974,-8.05974,-8.05974,-7.7297,-7.63841,-7.63841,-7.31606,-7.31606,-7.30983,-8.05974,-8.05974,-8.05974,-7.7297,-7.63841,-7.63841,-7.31606,-7.31606,-7.30983,-8.05974,-8.05974,-8.05974,-7.7297,-7.63841,-7.63841,-7.31606,-7.31606,-7.30983,-8.05974,-8.05974,-8.05974,-7.65745,-7.63841,-7.63841,-7.25697,-7.25697,-7.25489,-8.05974,-8.05974,-8.05974,-7.65745,-7.63841,-7.63841,-7.25697,-7.25697,-7.25489,-8.05974,-8.05974,-8.05974,-7.65745,-7.63841,-7.63841,-7.25697,-7.25697,-7.25489,-8.05974,-8.05974,-8.05974,-7.58864,-7.63841,-7.63841,-7.19933,-7.19933,-7.2011,-8.05974,-8.05974,-8.05974,-7.58864,-7.63841,-7.63841,-7.19933,-7.19933,-7.2011,-8.05974,-8.05974,-8.05974,-7.58864,-7.63841,-7.63841,-7.19933,-7.19933,-7.2011
6,0.273796,-7.96356,-7.96356,-7.96356,-7.66406,-7.56048,-7.56048,-7.26228,-7.26228,-7.26228,-7.96356,-7.96356,-7.96356,-7.66406,-7.56048,-7.56048,-7.26228,-7.26228,-7.26228,-7.96356,-7.96356,-7.96356,-7.66406,-7.56048,-7.56048,-7.26228,-7.26228,-7.26228,-7.96356,-7.96356,-7.96356,-7.58012,-7.56048,-7.56048,-7.19233,-7.19233,-7.19233,-7.96356,-7.96356,-7.96356,-7.58012,-7.56048,-7.56048,-7.19233,-7.19233,-7.19233,-7.96356,-7.96356,-7.96356,-7.58012,-7.56048,-7.56048,-7.19233,-7.19233,-7.19233,-7.96356,-7.96356,-7.96356,-7.49933,-7.56048,-7.56048,-7.12433,-7.12433,-7.12433,-7.96356,-7.96356,-7.96356,-7.49933,-7.56048,-7.56048,-7.12433,-7.12433,-7.12433,-7.96356,-7.96356,-7.96356,-7.49933,-7.56048,-7.56048,-7.12433,-7.12433,-7.12433
7,0.323783,-7.87045,-7.87045,-7.87045,-7.5995,-7.4836,-7.4836,-7.20825,-7.20825,-7.20825,-7.87045,-7.87045,-7.87045,-7.5995,-7.4836,-7.4836,-7.20825,-7.20825,-7.20825,-7.87045,-7.87045,-7.87045,-7.5995,-7.4836,-7.4836,-7.20825,-7.20825,-7.20825,-7.87045,-7.87045,-7.87045,-7.50338,-7.4836,-7.4836,-7.12768,-7.12768,-7.12768,-7.87045,-7.87045,-7.87045,-7.50338,-7.4836,-7.4836,-7.12768,-7.12768,-7.12768,-7.87045,-7.87045,-7.87045,-7.50338,-7.4836,-7.4836,-7.12768,-7.12768,-7.12768,-7.87045,-7.87045,-7.87045,-7.41176,-7.4836,-7.4836,-7.04972,-7.04972,-7.04972,-7.87045,-7.87045,-7.87045,-7.41176,-7.4836,-7.4836,-7.04972,-7.04972,-7.04972,-7.87045,-7.87045,-7.87045,-7.41176,-7.4836,-7.4836,-7.04972,-7.04972,-7.04972
8,0.375103,-7.77906,-7.77906,-7.77906,-7.53492,-7.40756,-7.40756,-7.15449,-7.15449,-7.15449,-7.77906,-7.77906,-7.77906,-7.53492,-7.40756,-7.40756,-7.15449,-7.15449,-7.15449,-7.77906,-7.77906,-7.77906,-7.53492,-7.40756,-7.40756,-7.15449,-7.15449,-7.15449,-7.77906,-7.77906,-7.77906,-7.42753,-7.40756,-7.40756,-7.0632,-7.0632,-7.0632,-7.77906,-7.77906,-7.77906,-7.42753,-7.40756,-7.40756,-7.0632,-7.0632,-7.0632,-7.77906,-7.77906,-7.77906,-7.42753,-7.40756,-7.40756,-7.0632,-7.0632,-7.0632,-7.77906,-7.77906,-7.77906,-7.32545,-7.40756,-7.40756,-6.97572,-6.97572,-6.97572,-7.77906,-7.77906,-7.77906,-7.32545,-7.40756,-7.40756,-6.97572,-6.97572,-6.97572,-7.77906,-7.77906,-7.77906,-7.32545,-7.40756,-7.40756,-6.97572,-6.97572,-6.97572
9,0.427792,-7.68953,-7.68953,-7.68953,-7.47042,-7.33221,-7.33221,-7.10036,-7.10036,-7.10036,-7.68953,-7.68953,-7.68953,-7.47042,-7.33221,-7.33221,-7.10036,-7.10036,-7.10036,-7.68953,-7.68953,-7.68953,-7.47042,-7.33221,-7.33221,-7.10036,-7.10036,-7.10036,-7.68953,-7.68953,-7.68953,-7.3525,-7.33221,-7.33221,-6.99911,-6.99911,-6.99911,-7.68953,-7.68953,-7.68953,-7.3525,-7.33221,-7.33221,-6.99911,-6.99911,-6.99911,-7.68953,-7.68953,-7.68953,-7.3525,-7.33221,-7.33221,-6.99911,-6.99911,-6.99911,-7.68953,-7.68953,-7.68953,-7.23997,-7.33221,-7.33221,-6.90194,-6.90194,-6.90194,-7.68953,-7.68953,-7.68953,-7.23997,-7.33221,-7.33221,-6.90194,-6.90194,-6.90194,-7.68953,-7.68953,-7.68953,-7.23997,-7.33221,-7.33221,-6.90194,-6.90194,-6.90194
