gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5006.85,-5006.85,-5006.85,-5006.85,-5006.85,-5004.43,-5004.43,-5004.43,-5004.43,-5004.43,-5002.9,-5002.9,-5002.9,-5002.9,-5002.9,-5001.93,-5001.93,-5001.93,-5001.93,-5001.93,-5001.31,-5001.31,-5001.31,-5001.31,-5001.31
1,0.0468873,-160.642,-160.642,-160.642,-160.642,-160.642,-158.576,-158.576,-158.576,-158.576,-158.576,-157.227,-157.227,-157.227,-157.227,-157.227,-156.342,-156.342,-156.342,-156.342,-156.342,-155.768,-155.768,-155.768,-155.768,-155.768
2,0.0951487,-50.7773,-50.7773,-50.7773,-50.7773,-50.7773,-48.9902,-48.9902,-48.9902,-48.9902,-48.9902,-47.7847,-47.7847,-47.7847,-47.7847,-47.7847,-46.9765,-46.9765,-46.9765,-46.9765,-46.9765,-46.4405,-46.4405,-46.4405,-46.4405,-46.4405
3,0.144824,-25.9202,-25.9202,-25.9202,-25.9202,-25.9202,-24.3576,-24.3576,-24.3576,-24.3576,-24.3576,-23.2728,-23.2728,-23.2728,-23.2728,-23.2728,-22.5336,-22.5336,-22.5336,-22.5336,-22.5336,-22.0342,-22.0342,-22.0342,-22.0342,-22.0342
4,0.195956,-16.4345,-16.4345,-16.4345,-16.4345,-16.4345,-15.0472,-15.0472,-15.0472,-15.0472,-15.0472,-14.0699,-14.0699,-14.0699,-14.0699,-14.0699,-13.3904,-13.3904,-13.3904,-13.3904,-13.3904,-12.9223,-12.9223,-12.9223,-12.9223,-12.9223
5,0.248585,-11.7681,-11.7681,-11.7681,-11.7681,-11.7681,-10.5322,-10.5322,-10.5322,-10.5322,-10.5322,-9.64052,-9.64052,-9.64052,-9.64052,-9.64052,-9.0116,-9.0116,-9.0116,-9.0116,-9.0116,-8.57428,-8.57428,-8.57428,-8.57428,-8.57428
6,0.302757,-9.07841,-9.07841,-9.07841,-9.07841,-9.07841,-7.9768,-7.9768,-7.9768,-7.9768,-7.9768,-7.16259,-7.16259,-7.16259,-7.16259,-7.16259,-6.58253,-6.58253,-6.58253,-6.58253,-6.58253,-6.17168,-6.17168,-6.17168,-6.17168,-6.17168
7,0.358517,-7.36101,-7.36101,-7.36101,-7.36101,-7.36101,-6.37808,-6.37808,-6.37808,-6.37808,-6.37808,-5.63326,-5.63326,-5.63326,-5.63326,-5.63326,-5.09316,-5.09316,-5.09316,-5.09316,-5.09316,-4.70733,-4.70733,-4.70733,-4.70733,-4.70733
8,0.41591,-6.19081,-6.19081,-6.19081,-6.19081,-6.19081,-5.29661,-5.29661,-5.29661,-5.29661,-5.29661,-4.61409,-4.61409,-4.61409,-4.61409,-4.61409,-4.11138,-4.11138,-4.11138,-4.11138,-4.11138,-3.74895,-3.74895,-3.74895,-3.74895,-3.74895
9,0.474986,-5.33367,-5.33367,-5.33367,-5.33367,-5.33367,-4.52535,-4.52535,-4.52535,-4.52535,-4.52535,-3.89635,-3.89635,-3.89635,-3.89635,-3.89635,-3.42842,-3.42842,-3.42842,-3.42842,-3.42842,-3.08688,-3.08688,-3.08688,-3.08688,-3.08688
10,0.535792,-4.68518,-4.68518,-4.68518,-4.68518,-4.68518,-3.94748,-3.94748,-3.94748,-3.94748,-3.94748,-3.369,-3.369,-3.369,-3.369,-3.369,-2.93124,-2.93124,-2.93124,-2.93124,-2.93124,-2.60938,-2.60938,-2.60938,-2.60938,-2.60938
11,0.598381,-4.17245,-4.17245,-4.17245,-4.17245,-4.17245,-3.49804,-3.49804,-3.49804,-3.49804,-3.49804,-2.96468,-2.96468,-2.96468,-2.96468,-2.96468,-2.5565,-2.5565,-2.5565,-2.5565,-2.5565,-2.2529,-2.2529,-2.2529,-2.2529,-2.2529
12,0.662804,-3.75834,-3.75834,-3.75834,-3.75834,-3.75834,-3.14342,-3.14342,-3.14342,-3.14342,-3.14342,-2.64777,-2.64777,-2.64777,-2.64777,-2.64777,-2.26582,-2.26582,-2.26582,-2.26582,-2.26582,-1.97875,-1.97875,-1.97875,-1.97875,-1.97875
13,0.729114,-3.41718,-3.41718,-3.41718,-3.41718,-3.41718,-2.85164,-2.85164,-2.85164,-2.85164,-2.85164,-2.39163,-2.39163,-2.39163,-2.39163,-2.39163,-2.03378,-2.03378,-2.03378,-2.03378,-2.03378,-1.76267,-1.76267,-1.76267,-1.76267,-1.76267
14,0.797368,-3.12737,-3.12737,-3.12737,-3.12737,-3.12737,-2.60736,-2.60736,-2.60736,-2.60736,-2.60736,-2.18111,-2.18111,-2.18111,-2.18111,-2.18111,-1.84542,-1.84542,-1.84542,-1.84542,-1.84542,-1.58879,-1.58879,-1.58879,-1.58879,-1.58879
15,0.867622,-2.87806,-2.87806,-2.87806,-2.87806,-2.87806,-2.40177,-2.40177,-2.40177,-2.40177,-2.40177,-2.00359,-2.00359,-2.00359,-2.00359,-2.00359,-1.6892,-1.6892,-1.6892,-1.6892,-1.6892,-1.44597,-1.44597,-1.44597,-1.44597,-1.44597
16,0.939934,-2.66437,-2.66437,-2.66437,-2.66437,-2.66437,-2.22371,-2.22371,-2.22371,-2.22371,-2.22371,-1.8531,-1.8531,-1.8531,-1.8531,-1.8531,-1.55687,-1.55687,-1.55687,-1.55687,-1.55687,-1.32714,-1.32714,-1.32714,-1.32714,-1.32714
17,1.01437,-2.47665,-2.47665,-2.47665,-2.47665,-2.47665,-2.06846,-2.06846,-2.06846,-2.06846,-2.06846,-1.72303,-1.72303,-1.72303,-1.72303,-1.72303,-1.44472,-1.44472,-1.44472,-1.44472,-1.44472,-1.22644,-1.22644,-1.22644,-1.22644,-1.22644
18,1.09098,-2.30976,-2.30976,-2.30976,-2.30976,-2.30976,-1.93155,-1.93155,-1.93155,-1.93155,-1.93155,-1.60855,-1.60855,-1.60855,-1.60855,-1.60855,-1.34672,-1.34672,-1.34672,-1.34672,-1.34672,-1.14009,-1.14009,-1.14009,-1.14009,-1.14009
19,1.16984,-2.16012,-2.16012,-2.16012,-2.16012,-2.16012,-1.80929,-1.80929,-1.80929,-1.80929,-1.80929,-1.50821,-1.50821,-1.50821,-1.50821,-1.50821,-1.26139,-1.26139,-1.26139,-1.26139,-1.26139,-1.06535,-1.06535,-1.06535,-1.06535,-1.06535
20,1.25101,-2.02594,-2.02594,-2.02594,-2.02594,-2.02594,-1.70073,-1.70073,-1.70073,-1.70073,-1.70073,-1.41859,-1.41859,-1.41859,-1.41859,-1.41859,-1.18579,-1.18579,-1.18579,-1.18579,-1.18579,-0.99974,-0.99974,-0.99974,-0.99974,-0.99974
21,1.33455,-1.90479,-1.90479,-1.90479,-1.90479,-1.90479,-1.60245,-1.60245,-1.60245,-1.60245,-1.60245,-1.33738,-1.33738,-1.33738,-1.33738,-1.33738,-1.11845,-1.11845,-1.11845,-1.11845,-1.11845,-0.941647,-0.941647,-0.941647,-0.941647,-0.941647
22,1.42055,-1.79383,-1.79383,-1.79383,-1.79383,-1.79383,-1.51251,-1.51251,-1.51251,-1.51251,-1.51251,-1.2647,-1.2647,-1.2647,-1.2647,-1.2647,-1.05755,-1.05755,-1.05755,-1.05755,-1.05755,-0.889998,-0.889998,-0.889998,-0.889998,-0.889998
23,1.50907,-1.69298,-1.69298,-1.69298,-1.69298,-1.69298,-1.43032,-1.43032,-1.43032,-1.43032,-1.43032,-1.19836,-1.19836,-1.19836,-1.19836,-1.19836,-1.00256,-1.00256,-1.00256,-1.00256,-1.00256,-0.843146,-0.843146,-0.843146,-0.843146,-0.843146
24,1.60018,-1.60046,-1.60046,-1.60046,-1.60046,-1.60046,-1.35543,-1.35543,-1.35543,-1.35543,-1.35543,-1.1374,-1.1374,-1.1374,-1.1374,-1.1374,-0.952643,-0.952643,-0.952643,-0.952643,-0.952643,-0.801201,-0.801201,-0.801201,-0.801201,-0.801201
25,1.69396,-1.51436,-1.51436,-1.51436,-1.51436,-1.51436,-1.2862,-1.2862,-1.2862,-1.2862,-1.2862,-1.08143,-1.08143,-1.08143,-1.08143,-1.08143,-0.906548,-0.906548,-0.906548,-0.906548,-0.906548,-0.762593,-0.762593,-0.762593,-0.762593,-0.762593
26,1.79048,-1.43444,-1.43444,-1.43444,-1.43444,-1.43444,-1.22176,-1.22176,-1.22176,-1.22176,-1.22176,-1.02919,-1.02919,-1.02919,-1.02919,-1.02919,-0.864211,-0.864211,-0.864211,-0.864211,-0.864211,-0.727478,-0.727478,-0.727478,-0.727478,-0.727478
27,1.88984,-1.36138,-1.36138,-1.36138,-1.36138,-1.36138,-1.16223,-1.16223,-1.16223,-1.16223,-1.16223,-0.981146,-0.981146,-0.981146,-0.981146,-0.981146,-0.825145,-0.825145,-0.825145,-0.825145,-0.825145,-0.694993,-0.694993,-0.694993,-0.694993,-0.694993
28,1.99211,-1.29322,-1.29322,-1.29322,-1.29322,-1.29322,-1.10662,-1.10662,-1.10662,-1.10662,-1.10662,-0.936509,-0.936509,-0.936509,-0.936509,-0.936509,-0.788403,-0.788403,-0.788403,-0.788403,-0.788403,-0.664972,-0.664972,-0.664972,-0.664972,-0.664972
29,2.09737,-1.22913,-1.22913,-1.22913,-1.22913,-1.22913,-1.05447,-1.05447,-1.05447,-1.05447,-1.05447,-0.894463,-0.894463,-0.894463,-0.894463,-0.894463,-0.754515,-0.754515,-0.754515,-0.754515,-0.754515,-0.636938,-0.636938,-0.636938,-0.636938,-0.636938
30,2.20572,-1.16893,-1.16893,-1.16893,-1.16893,-1.1689,-1.0057,-1.0057,-1.0057,-1.0057,-1.0057,-0.854853,-0.854853,-0.854853,-0.854853,-0.854853,-0.722682,-0.722682,-0.722682,-0.722682,-0.722682,-0.610736,-0.610736,-0.610736,-0.610736,-0.610736
31,2.31725,-1.11264,-1.11264,-1.11264,-1.11264,-1.11255,-0.960199,-0.960199,-0.960199,-0.960199,-0.960199,-0.817976,-0.817976,-0.817976,-0.817976,-0.817976,-0.692657,-0.692657,-0.692657,-0.692657,-0.692657,-0.586354,-0.586354,-0.586354,-0.586354,-0.586354
32,2.43204,-1.06017,-1.06017,-1.06017,-1.06017,-1.06017,-0.916964,-0.916964,-0.916964,-0.916964,-0.916964,-0.783167,-0.783167,-0.783167,-0.783167,-0.783167,-0.664546,-0.664546,-0.664546,-0.664546,-0.664546,-0.563264,-0.563264,-0.563264,-0.563264,-0.563264
33,2.5502,-1.01059,-1.01059,-1.01059,-1.01059,-1.01059,-0.875895,-0.875895,-0.875895,-0.875895,-0.875895,-0.750131,-0.750131,-0.750131,-0.750131,-0.750131,-0.637728,-0.637728,-0.637728,-0.637728,-0.637728,-0.541474,-0.541474,-0.541474,-0.541474,-0.541474
34,2.67182,-0.963797,-0.963797,-0.963797,-0.963797,-0.963636,-0.837573,-0.837573,-0.837573,-0.837573,-0.837573,-0.718937,-0.718937,-0.718937,-0.718937,-0.718937,-0.612503,-0.612503,-0.612503,-0.612503,-0.612503,-0.521047,-0.521047,-0.521047,-0.521047,-0.521047
35,2.797,-0.919447,-0.919447,-0.919447,-0.919447,-0.919073,-0.801423,-0.801423,-0.801423,-0.801423,-0.801423,-0.689328,-0.689328,-0.689328,-0.689328,-0.689328,-0.588708,-0.588708,-0.588708,-0.588708,-0.588708,-0.501465,-0.501465,-0.501465,-0.501465,-0.501465
36,2.92586,-0.877762,-0.877762,-0.877762,-0.877762,-0.877332,-0.766904,-0.766904,-0.766904,-0.766904,-0.766892,-0.661205,-0.661205,-0.661205,-0.661205,-0.661205,-0.565903,-0.565903,-0.565903,-0.565903,-0.565903,-0.483024,-0.483024,-0.483024,-0.483024,-0.483024
37,3.05848,-0.838319,-0.838319,-0.838319,-0.838313,-0.838024,-0.734011,-0.734011,-0.734011,-0.734011,-0.733891,-0.634428,-0.634428,-0.634428,-0.634428,-0.634428,-0.54406,-0.54406,-0.54406,-0.54406,-0.54406,-0.465407,-0.465407,-0.465407,-0.465407,-0.465407
38,3.195,-0.800928,-0.800928,-0.800928,-0.800849,-0.800565,-0.702755,-0.702755,-0.702755,-0.702748,-0.702581,-0.609133,-0.609133,-0.609133,-0.609133,-0.609087,-0.52346,-0.52346,-0.52346,-0.52346,-0.52346,-0.448498,-0.448498,-0.448498,-0.448498,-0.448498
39,3.33551,-0.765371,-0.765371,-0.765371,-0.765371,-0.764846,-0.673317,-0.673317,-0.673317,-0.673317,-0.673161,-0.584829,-0.584829,-0.584829,-0.584829,-0.584777,-0.503783,-0.503783,-0.503783,-0.503783,-0.503783,-0.432488,-0.432488,-0.432488,-0.432488,-0.432488
40,3.48015,-0.73159,-0.73159,-0.73159,-0.73159,-0.730921,-0.645202,-0.645202,-0.645202,-0.645202,-0.645019,-0.561499,-0.561499,-0.561499,-0.561499,-0.561499,-0.484873,-0.484873,-0.484873,-0.484873,-0.484873,-0.417029,-0.417029,-0.417029,-0.417029,-0.417029
41,3.62902,-0.69947,-0.69947,-0.69947,-0.699416,-0.698705,-0.618373,-0.618373,-0.618373,-0.618373,-0.618073,-0.539413,-0.539413,-0.539413,-0.539413,-0.539347,-0.466772,-0.466772,-0.466772,-0.466772,-0.466772,-0.40227,-0.40227,-0.40227,-0.40227,-0.40227
42,3.78225,-0.669099,-0.669099,-0.669099,-0.668913,-0.668171,-0.592714,-0.592714,-0.592714,-0.592687,-0.592298,-0.518404,-0.518404,-0.518404,-0.518404,-0.518255,-0.449446,-0.449446,-0.449446,-0.449446,-0.449445,-0.388218,-0.388218,-0.388218,-0.388218,-0.388218
43,3.93998,-0.640109,-0.640109,-0.640109,-0.639814,-0.639085,-0.568245,-0.568245,-0.568245,-0.568155,-0.567742,-0.498146,-0.498146,-0.498146,-0.498146,-0.497965,-0.432831,-0.432831,-0.432831,-0.432831,-0.432831,-0.374588,-0.374588,-0.374588,-0.374588,-0.374588
44,4.10232,-0.612417,-0.612417,-0.612417,-0.612108,-0.611313,-0.544908,-0.544908,-0.544908,-0.544839,-0.544371,-0.478672,-0.478672,-0.478672,-0.478663,-0.478477,-0.416824,-0.416824,-0.416824,-0.416824,-0.416823,-0.361404,-0.361404,-0.361404,-0.361404,-0.361404
45,4.26943,-0.585947,-0.585947,-0.585947,-0.585683,-0.584862,-0.52258,-0.52258,-0.52258,-0.522475,-0.521939,-0.460002,-0.460002,-0.460002,-0.459977,-0.459791,-0.401565,-0.401565,-0.401565,-0.401565,-0.401459,-0.348827,-0.348827,-0.348827,-0.348827,-0.348827
46,4.44143,-0.560632,-0.560632,-0.560632,-0.560397,-0.559585,-0.501155,-0.501155,-0.501155,-0.501049,-0.500501,-0.442193,-0.442193,-0.442193,-0.442185,-0.441865,-0.386798,-0.386798,-0.386798,-0.386798,-0.386682,-0.33673,-0.33673,-0.33673,-0.33673,-0.336722
47,4.61847,-0.536508,-0.536508,-0.536466,-0.536213,-0.53541,-0.480612,-0.480612,-0.480612,-0.480498,-0.479966,-0.425035,-0.425035,-0.425035,-0.425035,-0.424683,-0.372509,-0.372509,-0.372509,-0.372509,-0.372448,-0.324996,-0.324996,-0.324996,-0.324996,-0.324962
48,4.8007,-0.513578,-0.513578,-0.51357,-0.51316,-0.512329,-0.460891,-0.460891,-0.460891,-0.460767,-0.460247,-0.408551,-0.408551,-0.408551,-0.40852,-0.408175,-0.358789,-0.358789,-0.358789,-0.358789,-0.358687,-0.313645,-0.313645,-0.313645,-0.313645,-0.313609
49,4.98827,-0.491633,-0.491633,-0.491622,-0.491161,-0.490303,-0.442117,-0.442117,-0.442117,-0.44189,-0.441305,-0.392679,-0.392679,-0.392679,-0.392596,-0.392293,-0.345672,-0.345672,-0.345672,-0.345672,-0.345465,-0.30273,-0.30273,-0.30273,-0.30273,-0.302694
50,5.18134,-0.470622,-0.470622,-0.470609,-0.470131,-0.46927,-0.424099,-0.424099,-0.424087,-0.423834,-0.423205,-0.377384,-0.377384,-0.377384,-0.377288,-0.37697,-0.332945,-0.332945,-0.332945,-0.332945,-0.332715,-0.292177,-0.292177,-0.292177,-0.292177,-0.292126
51,5.38006,-0.450501,-0.450501,-0.450486,-0.450033,-0.44914,-0.40679,-0.40679,-0.40678,-0.406525,-0.405874,-0.362727,-0.362727,-0.362727,-0.362634,-0.362191,-0.32063,-0.32063,-0.32063,-0.320617,-0.320416,-0.281932,-0.281932,-0.281932,-0.281932,-0.281865
52,5.58461,-0.431268,-0.431268,-0.431204,-0.430777,-0.42992,-0.390154,-0.390154,-0.390138,-0.389893,-0.389255,-0.348638,-0.348638,-0.348628,-0.348537,-0.348077,-0.308751,-0.308751,-0.308751,-0.308705,-0.308517,-0.272085,-0.272085,-0.272085,-0.272085,-0.271968
53,5.79515,-0.412856,-0.412856,-0.41273,-0.41231,-0.411481,-0.374155,-0.374155,-0.37414,-0.373886,-0.373293,-0.335057,-0.335057,-0.335057,-0.334947,-0.334497,-0.297345,-0.297345,-0.297345,-0.29732,-0.297032,-0.262546,-0.262546,-0.262546,-0.262545,-0.262425
54,6.01186,-0.395196,-0.395196,-0.39504,-0.394603,-0.393826,-0.358817,-0.358817,-0.35877,-0.358491,-0.357939,-0.321951,-0.321951,-0.321951,-0.321827,-0.321413,-0.286313,-0.286313,-0.286313,-0.286312,-0.286006,-0.253278,-0.253278,-0.253278,-0.253276,-0.253163
55,6.23493,-0.378325,-0.378325,-0.378148,-0.377656,-0.376901,-0.344135,-0.344135,-0.344092,-0.343744,-0.343168,-0.309325,-0.309325,-0.309325,-0.309161,-0.308766,-0.275677,-0.275677,-0.275677,-0.275644,-0.27534,-0.244298,-0.244298,-0.244298,-0.244298,-0.244163
56,6.46452,-0.362135,-0.362135,-0.361975,-0.36145,-0.360655,-0.330031,-0.330031,-0.32998,-0.329628,-0.328952,-0.29722,-0.29722,-0.297216,-0.296998,-0.296553,-0.265393,-0.265393,-0.265393,-0.265307,-0.265023,-0.235678,-0.235678,-0.235678,-0.235667,-0.235479
57,6.70085,-0.346585,-0.346585,-0.346446,-0.345939,-0.345074,-0.316454,-0.316454,-0.316392,-0.316056,-0.31537,-0.285574,-0.285574,-0.285547,-0.285348,-0.284828,-0.255424,-0.255424,-0.255424,-0.25532,-0.255016,-0.227299,-0.227299,-0.227299,-0.227273,-0.227082
58,6.94411,-0.331681,-0.331681,-0.331543,-0.331052,-0.330211,-0.303385,-0.303385,-0.303325,-0.302993,-0.302309,-0.274321,-0.274321,-0.274278,-0.27409,-0.27357,-0.24584,-0.24584,-0.24584,-0.245728,-0.245363,-0.219154,-0.219154,-0.219154,-0.219123,-0.218927
59,7.19449,-0.317396,-0.317396,-0.317251,-0.316776,-0.315956,-0.290823,-0.290823,-0.290748,-0.290416,-0.28977,-0.263449,-0.263449,-0.263415,-0.263207,-0.262702,-0.236572,-0.236572,-0.236555,-0.236451,-0.236091,-0.211253,-0.211253,-0.211253,-0.211197,-0.210998
60,7.45221,-0.303703,-0.303703,-0.303545,-0.303083,-0.30228,-0.278748,-0.278748,-0.278646,-0.278312,-0.277701,-0.252945,-0.252945,-0.252922,-0.252693,-0.252226,-0.227591,-0.227591,-0.22758,-0.227463,-0.227108,-0.203607,-0.203607,-0.203607,-0.203554,-0.203322
61,7.71748,-0.29057,-0.29057,-0.290383,-0.289926,-0.289169,-0.267121,-0.267121,-0.267,-0.266658,-0.266083,-0.242818,-0.242818,-0.242778,-0.242546,-0.242105,-0.218882,-0.218882,-0.218882,-0.218751,-0.218417,-0.196194,-0.196194,-0.196194,-0.19616,-0.195923
62,7.99052,-0.277966,-0.277966,-0.277767,-0.277315,-0.276598,-0.255953,-0.255953,-0.255811,-0.255457,-0.254902,-0.233078,-0.233078,-0.233033,-0.232773,-0.232329,-0.210456,-0.210456,-0.210456,-0.21031,-0.209984,-0.189023,-0.189023,-0.189023,-0.188972,-0.188739
63,8.27157,-0.265876,-0.265876,-0.265658,-0.265222,-0.264538,-0.245232,-0.245232,-0.245098,-0.24472,-0.244153,-0.223694,-0.223694,-0.223647,-0.223384,-0.222896,-0.202338,-0.202338,-0.202335,-0.202162,-0.201826,-0.182058,-0.182058,-0.182058,-0.181987,-0.181756
64,8.56085,-0.254303,-0.254303,-0.254056,-0.253611,-0.252955,-0.234906,-0.234906,-0.234786,-0.234424,-0.233806,-0.214653,-0.214653,-0.214599,-0.214356,-0.213859,-0.194522,-0.194522,-0.194502,-0.194342,-0.193965,-0.175289,-0.175289,-0.175289,-0.175205,-0.174978
65,8.85861,-0.243192,-0.243189,-0.242958,-0.24247,-0.24183,-0.224978,-0.224978,-0.224863,-0.224514,-0.223909,-0.205929,-0.205929,-0.205878,-0.205642,-0.205158,-0.186958,-0.186958,-0.186923,-0.186778,-0.186414,-0.168774,-0.168774,-0.168774,-0.168683,-0.168427
66,9.16509,-0.232541,-0.232517,-0.232298,-0.231834,-0.231162,-0.215442,-0.215436,-0.215312,-0.214981,-0.214381,-0.197525,-0.197525,-0.197461,-0.197227,-0.19676,-0.179637,-0.179637,-0.179609,-0.179451,-0.179099,-0.162462,-0.162462,-0.162451,-0.162371,-0.162114
67,9.48056,-0.222315,-0.222275,-0.222073,-0.221626,-0.22093,-0.206269,-0.206269,-0.20614,-0.205806,-0.205227,-0.189433,-0.189433,-0.189355,-0.1891,-0.18866,-0.17255,-0.17255,-0.172526,-0.172357,-0.172019,-0.156338,-0.156338,-0.156325,-0.156236,-0.155986
68,9.80527,-0.2125,-0.212442,-0.212245,-0.211821,-0.211149,-0.197452,-0.197452,-0.197303,-0.196974,-0.196423,-0.181619,-0.181619,-0.181525,-0.181268,-0.180843,-0.165705,-0.165705,-0.165677,-0.165491,-0.165165,-0.150392,-0.150392,-0.150392,-0.150281,-0.150033
69,10.1395,-0.203076,-0.20302,-0.20282,-0.20241,-0.201755,-0.188963,-0.188963,-0.188808,-0.188476,-0.18795,-0.174087,-0.174086,-0.173977,-0.173714,-0.173301,-0.159099,-0.159099,-0.159062,-0.158865,-0.15853,-0.144625,-0.144625,-0.144625,-0.144508,-0.144256
70,10.4835,-0.194027,-0.193981,-0.193772,-0.193376,-0.192735,-0.180791,-0.180791,-0.180628,-0.180301,-0.179803,-0.166838,-0.166837,-0.166732,-0.166449,-0.166035,-0.152727,-0.152727,-0.152687,-0.152481,-0.152136,-0.139056,-0.139056,-0.139053,-0.13892,-0.138665
71,10.8376,-0.185338,-0.185301,-0.18509,-0.184701,-0.18409,-0.172942,-0.17294,-0.172764,-0.17244,-0.171958,-0.159841,-0.15984,-0.159741,-0.159468,-0.159032,-0.146569,-0.146569,-0.14652,-0.146328,-0.145971,-0.133685,-0.133685,-0.133667,-0.133535,-0.133258
72,11.2021,-0.176992,-0.176965,-0.176757,-0.176377,-0.175802,-0.165397,-0.165396,-0.165221,-0.164884,-0.164423,-0.153092,-0.15309,-0.152996,-0.152738,-0.152307,-0.140612,-0.140612,-0.140561,-0.140376,-0.140033,-0.12847,-0.12847,-0.128436,-0.128311,-0.12805
73,11.5773,-0.168978,-0.168958,-0.168754,-0.168391,-0.167843,-0.158151,-0.158136,-0.157976,-0.157644,-0.157175,-0.146596,-0.146588,-0.146488,-0.146252,-0.145831,-0.134854,-0.134854,-0.134799,-0.134618,-0.134287,-0.123407,-0.123407,-0.123378,-0.123247,-0.122994
74,11.9634,-0.161293,-0.161278,-0.161077,-0.160726,-0.160208,-0.151182,-0.151155,-0.151006,-0.150691,-0.15021,-0.140332,-0.140331,-0.140234,-0.139994,-0.139589,-0.129297,-0.129297,-0.129239,-0.12905,-0.128733,-0.118495,-0.118495,-0.118474,-0.118344,-0.118096
75,12.3609,-0.153946,-0.153923,-0.153724,-0.153382,-0.152894,-0.144485,-0.144448,-0.144306,-0.144008,-0.143538,-0.134301,-0.134301,-0.134196,-0.133962,-0.133572,-0.123924,-0.123924,-0.123857,-0.123674,-0.123367,-0.113739,-0.113739,-0.11372,-0.113587,-0.113346
76,12.77,-0.14692,-0.146892,-0.146673,-0.146346,-0.145876,-0.138052,-0.138012,-0.137872,-0.137589,-0.13713,-0.128492,-0.128492,-0.128386,-0.128155,-0.127789,-0.118733,-0.118733,-0.118662,-0.118477,-0.118187,-0.109142,-0.109142,-0.109116,-0.108982,-0.108744
