gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-17.3581,-17.3581,-17.3581,-17.3581,-17.3581,-15.8826,-15.8826,-15.8826,-15.8826,-15.8826,-14.6004,-14.6004,-14.6004,-14.6004,-14.6004,-13.4977,-13.4977,-13.4977,-13.4977,-13.4977,-12.5555,-12.5555,-12.5555,-12.5555,-12.5555
1,0.0468873,-17.0738,-17.0738,-17.0738,-17.0738,-17.0738,-15.685,-15.685,-15.685,-15.685,-15.685,-14.4681,-14.4681,-14.4681,-14.4681,-14.4681,-13.4057,-13.4057,-13.4057,-13.4057,-13.4057,-12.4909,-12.4909,-12.4909,-12.4909,-12.4909
2,0.0951487,-16.8129,-16.8129,-16.8129,-16.8129,-16.8129,-15.504,-15.504,-15.504,-15.504,-15.504,-14.3386,-14.3386,-14.3386,-14.3386,-14.3386,-13.3147,-13.3147,-13.3147,-13.3147,-13.3147,-12.4258,-12.4258,-12.4258,-12.4258,-12.4258
3,0.144824,-16.5619,-16.5619,-16.5619,-16.5619,-16.5619,-15.3278,-15.3278,-15.3278,-15.3278,-15.3278,-14.2129,-14.2129,-14.2129,-14.2129,-14.2129,-13.2247,-13.2247,-13.2247,-13.2247,-13.2247,-12.3626,-12.3626,-12.3626,-12.3626,-12.3626
4,0.195956,-16.3234,-16.3234,-16.3234,-16.3234,-16.3234,-15.1562,-15.1562,-15.1562,-15.1562,-15.1562,-14.0903,-14.0903,-14.0903,-14.0903,-14.0903,-13.1374,-13.1374,-13.1374,-13.1374,-13.1374,-12.2992,-12.2992,-12.2992,-12.2992,-12.2992
5,0.248585,-16.1014,-16.1014,-16.1014,-16.1014,-16.1014,-14.9934,-14.9934,-14.9934,-14.9934,-14.9934,-13.9716,-13.9716,-13.9716,-13.9716,-13.9716,-13.0508,-13.0508,-13.0508,-13.0508,-13.0508,-12.2368,-12.2368,-12.2368,-12.2368,-12.2368
6,0.302757,-15.8883,-15.8883,-15.8883,-15.8883,-15.8883,-14.835,-14.835,-14.835,-14.835,-14.835,-13.8558,-13.8558,-13.8558,-13.8558,-13.8558,-12.9669,-12.9669,-12.9669,-12.9669,-12.9669,-12.1747,-12.1747,-12.1747,-12.1747,-12.1747
7,0.358517,-15.6859,-15.6859,-15.6859,-15.6859,-15.6859,-14.6848,-14.6848,-14.6848,-14.6848,-14.6848,-13.7447,-13.7447,-13.7447,-13.7447,-13.7447,-12.8836,-12.8836,-12.8836,-12.8836,-12.8836,-12.1128,-12.1128,-12.1128,-12.1128,-12.1128
8,0.41591,-15.4941,-15.4941,-15.4941,-15.4941,-15.4941,-14.5379,-14.5379,-14.5379,-14.5379,-14.5379,-13.6348,-13.6348,-13.6348,-13.6348,-13.6348,-12.8015,-12.8015,-12.8015,-12.8015,-12.8015,-12.0519,-12.0519,-12.0519,-12.0519,-12.0519
9,0.474986,-15.3087,-15.3087,-15.3087,-15.3087,-15.3087,-14.397,-14.397,-14.397,-14.397,-14.397,-13.527,-13.527,-13.527,-13.527,-13.527,-12.7206,-12.7206,-12.7206,-12.7206,-12.7206,-11.991,-11.991,-11.991,-11.991,-11.991
10,0.535792,-15.1325,-15.1325,-15.1325,-15.1325,-15.1325,-14.2596,-14.2596,-14.2596,-14.2596,-14.2596,-13.4228,-13.4228,-13.4228,-13.4228,-13.4228,-12.6407,-12.6407,-12.6407,-12.6407,-12.6407,-11.9306,-11.9306,-11.9306,-11.9306,-11.9306
