gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-5010,-5010,-5010,-5008.49,-5008.49,-5008.49,-5007.33,-5007.33,-5007.33,-5006.43,-5006.43,-5006.43,-5005.72,-5005.72,-5005.72
1,0.0468873,-164.247,-164.247,-164.247,-162.86,-162.86,-162.86,-161.762,-161.762,-161.762,-160.893,-160.893,-160.893,-160.2,-160.2,-160.2
2,0.0951487,-54.73,-54.73,-54.73,-53.449,-53.449,-53.449,-52.4086,-52.4086,-52.4086,-51.5704,-51.5704,-51.5704,-50.8945,-50.8945,-50.8945
3,0.144824,-30.1538,-30.1538,-30.1538,-28.9618,-28.9618,-28.9618,-27.9739,-27.9739,-27.9739,-27.1648,-27.1648,-27.1648,-26.5061,-26.5061,-26.5061
4,0.195956,-20.8869,-20.8869,-20.8869,-19.7734,-19.7734,-19.7734,-18.8338,-18.8338,-18.8338,-18.0525,-18.0525,-18.0525,-17.4103,-17.4103,-17.4103
5,0.248585,-16.3956,-16.3956,-16.3956,-15.3539,-15.3539,-15.3539,-14.4575,-14.4575,-14.4575,-13.7027,-13.7027,-13.7027,-13.076,-13.076,-13.076
6,0.302757,-13.8589,-13.8589,-13.8589,-12.882,-12.882,-12.882,-12.0265,-12.0265,-12.0265,-11.2971,-11.2971,-11.2971,-10.6856,-10.6856,-10.6856
7,0.358517,-12.2695,-12.2695,-12.2695,-11.349,-11.349,-11.349,-10.5337,-10.5337,-10.5337,-9.8281,-9.8281,-9.8281,-9.23165,-9.23165,-9.23165
8,0.41591,-11.196,-11.196,-11.196,-10.3286,-10.3286,-10.3286,-9.54654,-9.54654,-9.54654,-8.86415,-8.86415,-8.86415,-8.28178,-8.28178,-8.28178
9,0.474986,-10.4244,-10.4244,-10.4244,-9.60514,-9.60514,-9.60514,-8.85587,-8.85587,-8.85587,-8.1951,-8.1951,-8.1951,-7.62705,-7.62705,-7.62705
10,0.535792,-9.84345,-9.84345,-9.84345,-9.06735,-9.06735,-9.06735,-8.35036,-8.35036,-8.35036,-7.71017,-7.71017,-7.71017,-7.1553,-7.1553,-7.1553
11,0.598381,-9.38995,-9.38995,-9.38995,-8.65377,-8.65377,-8.65377,-7.96481,-7.96481,-7.96481,-7.34496,-7.34496,-7.34496,-6.80347,-6.80347,-6.80347
12,0.662804,-9.02417,-9.02417,-9.02417,-8.32359,-8.32359,-8.32359,-7.66212,-7.66212,-7.66212,-7.06129,-7.06129,-7.06129,-6.53263,-6.53263,-6.53263
13,0.729114,-8.72035,-8.72035,-8.72035,-8.05419,-8.05419,-8.05419,-7.41753,-7.41753,-7.41753,-6.83524,-6.83524,-6.83524,-6.31902,-6.31902,-6.31902
14,0.797368,-8.46115,-8.46115,-8.46115,-7.82771,-7.82771,-7.82771,-7.21587,-7.21587,-7.21587,-6.65066,-6.65066,-6.65066,-6.1465,-6.1465,-6.1465
15,0.867622,-8.2395,-8.2395,-8.2395,-7.63388,-7.63388,-7.63388,-7.0448,-7.0448,-7.0448,-6.49666,-6.49666,-6.49666,-6.00418,-6.00418,-6.00418
16,0.939934,-8.04451,-8.04451,-8.04451,-7.46539,-7.46539,-7.46539,-6.8978,-6.8978,-6.8978,-6.36579,-6.36579,-6.36579,-5.88483,-5.88483,-5.88483
17,1.01437,-7.86962,-7.86962,-7.86962,-7.31627,-7.31627,-7.31627,-6.76915,-6.76915,-6.76915,-6.25249,-6.25249,-6.25249,-5.78279,-5.78279,-5.78279
18,1.09098,-7.71148,-7.71148,-7.71148,-7.18238,-7.18238,-7.18238,-6.65457,-6.65457,-6.65457,-6.15317,-6.15317,-6.15317,-5.69437,-5.69437,-5.69437
19,1.16984,-7.56955,-7.56955,-7.56955,-7.06159,-7.06159,-7.06159,-6.552,-6.552,-6.552,-6.06491,-6.06491,-6.06491,-5.61664,-5.61664,-5.61664
20,1.25101,-7.43845,-7.43845,-7.43845,-6.95091,-6.95091,-6.95091,-6.45872,-6.45872,-6.45872,-5.9851,-5.9851,-5.9851,-5.54739,-5.54739,-5.54739
21,1.33455,-7.31633,-7.31633,-7.31633,-6.84834,-6.84834,-6.84834,-6.37269,-6.37269,-6.37269,-5.91287,-5.91287,-5.91287,-5.48504,-5.48504,-5.48504
22,1.42055,-7.20218,-7.20218,-7.20192,-6.75254,-6.75254,-6.75254,-6.29354,-6.29354,-6.29354,-5.84597,-5.84597,-5.84597,-5.42824,-5.42824,-5.42824
23,1.50907,-7.09565,-7.09565,-7.09545,-6.66354,-6.66354,-6.66354,-6.21937,-6.21937,-6.21937,-5.78427,-5.78427,-5.78427,-5.37597,-5.37597,-5.37597
24,1.60018,-6.99558,-6.99558,-6.99524,-6.57965,-6.57965,-6.57965,-6.14947,-6.14947,-6.14947,-5.72653,-5.72653,-5.72653,-5.32754,-5.32754,-5.32754
25,1.69396,-6.90043,-6.90043,-6.89997,-6.49977,-6.49977,-6.49977,-6.08358,-6.08358,-6.08358,-5.67227,-5.67227,-5.67227,-5.28222,-5.28222,-5.28222
26,1.79048,-6.80981,-6.80981,-6.80899,-6.42367,-6.42367,-6.4236,-6.02061,-6.02061,-6.02061,-5.62064,-5.62064,-5.62064,-5.23951,-5.23951,-5.23951
27,1.88984,-6.7231,-6.7231,-6.72198,-6.35121,-6.35121,-6.35081,-5.96085,-5.96085,-5.96085,-5.57151,-5.57151,-5.57151,-5.19907,-5.19907,-5.19907
28,1.99211,-6.64034,-6.64026,-6.63874,-6.28149,-6.28149,-6.28118,-5.90354,-5.90354,-5.90354,-5.52457,-5.52457,-5.52457,-5.1605,-5.1605,-5.1605
29,2.09737,-6.56078,-6.56066,-6.55897,-6.21421,-6.21421,-6.2139,-5.84807,-5.84807,-5.84799,-5.4792,-5.4792,-5.4792,-5.12348,-5.12348,-5.12348
30,2.20572,-6.48414,-6.48402,-6.48213,-6.14972,-6.14972,-6.14896,-5.79438,-5.79438,-5.79435,-5.43547,-5.43547,-5.43547,-5.08795,-5.08795,-5.08795
31,2.31725,-6.41004,-6.40983,-6.40788,-6.08725,-6.08725,-6.08629,-5.74268,-5.74268,-5.74259,-5.39323,-5.39323,-5.39323,-5.05335,-5.05335,-5.05335
32,2.43204,-6.33824,-6.33781,-6.33573,-6.02642,-6.02642,-6.02533,-5.69236,-5.69236,-5.69203,-5.35186,-5.35186,-5.35186,-5.02,-5.02,-5.02
33,2.5502,-6.26868,-6.26805,-6.26562,-5.96723,-5.96709,-5.9658,-5.64316,-5.64316,-5.64272,-5.31182,-5.31182,-5.31179,-4.98724,-4.98724,-4.98724
34,2.67182,-6.20129,-6.20055,-6.19771,-5.9096,-5.90942,-5.90787,-5.59523,-5.59523,-5.59461,-5.2726,-5.2726,-5.27257,-4.95544,-4.95544,-4.95544
35,2.797,-6.13559,-6.13476,-6.13184,-5.85352,-5.85338,-5.85152,-5.5484,-5.5484,-5.54763,-5.23407,-5.23407,-5.23385,-4.92416,-4.92416,-4.92416
36,2.92586,-6.07144,-6.07048,-6.06747,-5.79863,-5.79842,-5.79642,-5.50245,-5.50245,-5.50153,-5.19646,-5.19646,-5.19618,-4.89353,-4.89353,-4.8935
37,3.05848,-6.00874,-6.00765,-6.00455,-5.74492,-5.74452,-5.74242,-5.45724,-5.45724,-5.45616,-5.15922,-5.15922,-5.15892,-4.86328,-4.86328,-4.86322
38,3.195,-5.9474,-5.9462,-5.94301,-5.69215,-5.6916,-5.6894,-5.4131,-5.41294,-5.4116,-5.12263,-5.12263,-5.12211,-4.83341,-4.83341,-4.83329
39,3.33551,-5.88755,-5.88613,-5.8828,-5.64039,-5.6397,-5.63735,-5.36951,-5.36938,-5.36791,-5.08667,-5.08667,-5.08604,-4.80402,-4.80402,-4.80385
40,3.48015,-5.82906,-5.82741,-5.82384,-5.58964,-5.58891,-5.58623,-5.32641,-5.32636,-5.32472,-5.05103,-5.05101,-5.05024,-4.77483,-4.77483,-4.77461
41,3.62902,-5.77162,-5.76983,-5.76605,-5.53973,-5.53887,-5.53607,-5.284,-5.28375,-5.28202,-5.01571,-5.01568,-5.01482,-4.7459,-4.7459,-4.74557
42,3.78225,-5.71514,-5.71323,-5.70934,-5.49058,-5.48962,-5.48676,-5.24232,-5.24189,-5.23992,-4.98093,-4.98093,-4.97978,-4.71732,-4.71732,-4.71689
