gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5008.86,-5008.86,-5008.86,-5008.86,-5008.86,-5008.03,-5008.03,-5008.03,-5008.03,-5008.03,-5007.33,-5007.33,-5007.33,-5007.33,-5007.33,-5006.73,-5006.73,-5006.73,-5006.73,-5006.73,-5006.22,-5006.22,-5006.22,-5006.22,-5006.22
1,0.0468873,-163.193,-163.193,-163.193,-163.193,-163.193,-162.425,-162.425,-162.425,-162.425,-162.425,-161.756,-161.756,-161.756,-161.756,-161.756,-161.179,-161.179,-161.179,-161.179,-161.179,-160.685,-160.685,-160.685,-160.685,-160.685
2,0.0951487,-53.7625,-53.7625,-53.7625,-53.7625,-53.7625,-53.0401,-53.0401,-53.0401,-53.0401,-53.0401,-52.4023,-52.4023,-52.4023,-52.4023,-52.4023,-51.8479,-51.8479,-51.8479,-51.8479,-51.8479,-51.3693,-51.3693,-51.3693,-51.3693,-51.3693
3,0.144824,-29.2556,-29.2556,-29.2556,-29.2556,-29.2556,-28.5755,-28.5755,-28.5755,-28.5755,-28.5755,-27.9679,-27.9679,-27.9679,-27.9679,-27.9679,-27.4333,-27.4333,-27.4333,-27.4333,-27.4333,-26.97,-26.97,-26.97,-26.97,-26.97
4,0.195956,-20.0493,-20.0493,-20.0493,-20.0493,-20.0493,-19.4073,-19.4073,-19.4073,-19.4073,-19.4073,-18.8281,-18.8281,-18.8281,-18.8281,-18.8281,-18.3136,-18.3136,-18.3136,-18.3136,-18.3136,-17.8634,-17.8634,-17.8634,-17.8634,-17.8634
5,0.248585,-15.6131,-15.6131,-15.6131,-15.6131,-15.6131,-15.0057,-15.0057,-15.0057,-15.0057,-15.0057,-14.452,-14.452,-14.452,-14.452,-14.452,-13.9556,-13.9556,-13.9556,-13.9556,-13.9556,-13.5188,-13.5188,-13.5188,-13.5188,-13.5188
6,0.302757,-13.126,-13.126,-13.126,-13.126,-13.126,-12.5513,-12.5513,-12.5513,-12.5513,-12.5513,-12.0213,-12.0213,-12.0213,-12.0213,-12.0213,-11.5428,-11.5428,-11.5428,-11.5428,-11.5428,-11.1183,-11.1183,-11.1183,-11.1183,-11.1183
7,0.358517,-11.5818,-11.5818,-11.5818,-11.5818,-11.5818,-11.0371,-11.0371,-11.0371,-11.0371,-11.0371,-10.5288,-10.5288,-10.5288,-10.5288,-10.5288,-10.0666,-10.0666,-10.0666,-10.0666,-10.0666,-9.6542,-9.6542,-9.6542,-9.6542,-9.6542
8,0.41591,-10.5478,-10.5478,-10.5478,-10.5478,-10.5478,-10.0287,-10.0287,-10.0287,-10.0287,-10.0287,-9.54192,-9.54192,-9.54192,-9.54192,-9.54192,-9.09561,-9.09561,-9.09561,-9.09561,-9.09561,-8.69521,-8.69521,-8.69521,-8.69521,-8.69521
9,0.474986,-9.81209,-9.81209,-9.81209,-9.81209,-9.81209,-9.31933,-9.31933,-9.31933,-9.31933,-9.31933,-8.85153,-8.85153,-8.85153,-8.85153,-8.85153,-8.42028,-8.42028,-8.42028,-8.42028,-8.42028,-8.03098,-8.03098,-8.03098,-8.03098,-8.03098
