gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-19680,-19680,-19680,-19680,-19680,-19585.4,-19585.4,-19585.4,-19585.4,-19585.4,-19378.1,-19378.1,-19378.1,-19378.1,-19378.1,-18898.8,-18898.8,-18898.8,-18898.8,-18898.8,-14268,-14268,-14268,-14268,-14268
1,0.0468873,-14834.5,-14834.5,-14834.5,-14834.5,-14834.5,-14739.8,-14739.8,-14739.8,-14739.8,-14739.8,-14532.6,-14532.6,-14532.6,-14532.6,-14532.6,-14053.3,-14053.3,-14053.3,-14053.3,-14053.3,-9422.49,-9422.49,-9422.49,-9422.49,-9422.49
2,0.0951487,-14725.1,-14725.1,-14725.1,-14725.1,-14725.1,-14630.5,-14630.5,-14630.5,-14630.5,-14630.5,-14423.2,-14423.2,-14423.2,-14423.2,-14423.2,-13944,-13944,-13944,-13944,-13944,-9313.17,-9313.17,-9313.17,-9313.17,-9313.17
3,0.144824,-14700.7,-14700.7,-14700.7,-14700.7,-14700.7,-14606,-14606,-14606,-14606,-14606,-14398.8,-14398.8,-14398.8,-14398.8,-14398.8,-13919.6,-13919.6,-13919.6,-13919.6,-13919.6,-9288.78,-9288.78,-9288.78,-9288.78,-9288.78
4,0.195956,-14691.5,-14691.5,-14691.5,-14691.5,-14691.5,-14596.9,-14596.9,-14596.9,-14596.9,-14596.9,-14389.7,-14389.7,-14389.7,-14389.7,-14389.7,-13910.5,-13910.5,-13910.5,-13910.5,-13910.5,-9279.67,-9279.67,-9279.67,-9279.67,-9279.67
5,0.248585,-14687.1,-14687.1,-14687.1,-14687.1,-14687.1,-14592.6,-14592.6,-14592.6,-14592.6,-14592.6,-14385.4,-14385.4,-14385.4,-14385.4,-14385.4,-13906.2,-13906.2,-13906.2,-13906.2,-13906.2,-9275.33,-9275.33,-9275.33,-9275.33,-9275.33
6,0.302757,-14684.7,-14684.7,-14684.7,-14684.7,-14684.7,-14590.1,-14590.1,-14590.1,-14590.1,-14590.1,-14383,-14383,-14383,-14383,-14383,-13903.8,-13903.8,-13903.8,-13903.8,-13903.8,-9272.93,-9272.93,-9272.93,-9272.93,-9272.93
7,0.358517,-14683.2,-14683.2,-14683.2,-14683.2,-14683.2,-14588.7,-14588.7,-14588.7,-14588.7,-14588.7,-14381.5,-14381.5,-14381.5,-14381.5,-14381.5,-13902.3,-13902.3,-13902.3,-13902.3,-13902.3,-9271.47,-9271.47,-9271.47,-9271.47,-9271.47
8,0.41591,-14682.2,-14682.2,-14682.2,-14682.2,-14682.2,-14587.7,-14587.7,-14587.7,-14587.7,-14587.7,-14380.6,-14380.6,-14380.6,-14380.6,-14380.6,-13901.4,-13901.4,-13901.4,-13901.4,-13901.4,-9270.51,-9270.51,-9270.51,-9270.51,-9270.51
9,0.474986,-14681.5,-14681.5,-14681.5,-14681.5,-14681.5,-14587,-14587,-14587,-14587,-14587,-14379.9,-14379.9,-14379.9,-14379.9,-14379.9,-13900.7,-13900.7,-13900.7,-13900.7,-13900.7,-9269.85,-9269.85,-9269.85,-9269.85,-9269.85
