gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-5031.01,-5031.01,-5031.01,-5027.38,-5027.38,-5027.38,-5024.68,-5024.68,-5024.68,-5022.61,-5022.61,-5022.61,-5020.98,-5020.98,-5020.98
1,0.0468873,-184.458,-184.458,-184.458,-181.338,-181.338,-181.338,-178.889,-178.889,-178.889,-176.943,-176.943,-176.943,-175.389,-175.389,-175.389
2,0.0951487,-74.2945,-74.2945,-74.2945,-71.5735,-71.5735,-71.5735,-69.3343,-69.3343,-69.3343,-67.5079,-67.5079,-67.5079,-66.0162,-66.0162,-66.0162
3,0.144824,-49.1929,-49.1929,-49.1929,-46.7746,-46.7746,-46.7746,-44.7188,-44.7188,-44.7188,-42.9945,-42.9945,-42.9945,-41.5623,-41.5623,-41.5623
4,0.195956,-39.4997,-39.4997,-39.4997,-37.3174,-37.3174,-37.3174,-35.4127,-35.4127,-35.4127,-33.7809,-33.7809,-33.7809,-32.4023,-32.4023,-32.4023
5,0.248585,-34.6325,-34.6325,-34.6325,-32.6594,-32.6594,-32.6594,-30.8826,-30.8826,-30.8826,-29.3331,-29.3331,-29.3331,-28.0053,-28.0053,-28.0053
6,0.302757,-31.7704,-31.7704,-31.7704,-29.9681,-29.9681,-29.9681,-28.3092,-28.3092,-28.3092,-26.8346,-26.8346,-26.8346,-25.5539,-25.5539,-25.5539
7,0.358517,-29.9018,-29.9018,-29.9018,-28.2361,-28.2361,-28.2361,-26.6814,-26.6814,-26.6814,-25.2764,-25.2764,-25.2764,-24.0397,-24.0397,-24.0397
8,0.41591,-28.578,-28.578,-28.578,-27.0337,-27.0337,-27.0337,-25.5668,-25.5668,-25.5668,-24.2255,-24.2255,-24.2255,-23.0309,-23.0309,-23.0309
9,0.474986,-27.5797,-27.5797,-27.5797,-26.1464,-26.1464,-26.1464,-24.7592,-24.7592,-24.7592,-23.4746,-23.4746,-23.4746,-22.3183,-22.3183,-22.3183
10,0.535792,-26.7919,-26.7919,-26.7919,-25.4543,-25.4543,-25.4543,-24.1413,-24.1413,-24.1413,-22.9093,-22.9093,-22.9093,-21.7885,-21.7885,-21.7885
11,0.598381,-26.1504,-26.1504,-26.1504,-24.8935,-24.8935,-24.8935,-23.6484,-23.6484,-23.6484,-22.4651,-22.4651,-22.4651,-21.3808,-21.3808,-21.3808
12,0.662804,-25.6126,-25.6126,-25.6126,-24.4263,-24.4263,-24.4263,-23.2417,-23.2417,-23.2417,-22.1061,-22.1061,-22.1061,-21.0537,-21.0537,-21.0537
13,0.729114,-25.1486,-25.1486,-25.1486,-24.03,-24.03,-24.03,-22.8986,-22.8986,-22.8986,-21.8061,-21.8061,-21.8061,-20.785,-20.785,-20.785
14,0.797368,-24.7402,-24.7402,-24.7402,-23.6832,-23.6832,-23.6832,-22.6025,-22.6025,-22.6025,-21.5487,-21.5487,-21.5487,-20.5579,-20.5579,-20.5579
15,0.867622,-24.3759,-24.3759,-24.3759,-23.3741,-23.3741,-23.3741,-22.3401,-22.3401,-22.3401,-21.3243,-21.3243,-21.3243,-20.3617,-20.3617,-20.3617
16,0.939934,-24.0466,-24.0466,-24.0466,-23.0948,-23.0948,-23.0948,-22.1046,-22.1046,-22.1046,-21.1237,-21.1237,-21.1237,-20.1882,-20.1882,-20.1882
17,1.01437,-23.7472,-23.7472,-23.7472,-22.8395,-22.8395,-22.8395,-21.8906,-21.8906,-21.8906,-20.9426,-20.9426,-20.9426,-20.0326,-20.0326,-20.0326
18,1.09098,-23.4716,-23.4716,-23.4716,-22.6047,-22.6047,-22.6047,-21.6924,-21.6924,-21.6924,-20.7768,-20.7768,-20.7768,-19.8913,-19.8913,-19.8913
19,1.16984,-23.2146,-23.2146,-23.2146,-22.3856,-22.3856,-22.3856,-21.508,-21.508,-21.508,-20.6222,-20.6222,-20.6222,-19.7605,-19.7605,-19.7605
20,1.25101,-22.9736,-22.9736,-22.9736,-22.1799,-22.1799,-22.1799,-21.3357,-21.3357,-21.3357,-20.4772,-20.4772,-20.4772,-19.6385,-19.6385,-19.6385
21,1.33455,-22.7459,-22.7459,-22.7459,-21.9854,-21.9854,-21.9854,-21.1726,-21.1726,-21.1726,-20.3409,-20.3409,-20.3409,-19.5238,-19.5238,-19.5238
22,1.42055,-22.53,-22.53,-22.53,-21.8004,-21.8004,-21.8004,-21.0167,-21.0167,-21.0167,-20.2108,-20.2108,-20.2108,-19.4142,-19.4142,-19.4142
23,1.50907,-22.3242,-22.3242,-22.3242,-21.6242,-21.6242,-21.6242,-20.8672,-20.8672,-20.8672,-20.0858,-20.0858,-20.0858,-19.3097,-19.3097,-19.3097
24,1.60018,-22.1275,-22.1275,-22.1275,-21.4555,-21.4555,-21.4555,-20.7236,-20.7236,-20.7236,-19.9656,-19.9656,-19.9656,-19.209,-19.209,-19.209
25,1.69396,-21.939,-21.939,-21.939,-21.2926,-21.2926,-21.2926,-20.5852,-20.5852,-20.5852,-19.8493,-19.8493,-19.8493,-19.1111,-19.1111,-19.1111
26,1.79048,-21.7572,-21.7572,-21.7572,-21.1348,-21.1348,-21.1348,-20.4508,-20.4508,-20.4508,-19.7361,-19.7361,-19.7361,-19.0164,-19.0164,-19.0164
27,1.88984,-21.5815,-21.5815,-21.5815,-20.9815,-20.9815,-20.9815,-20.32,-20.32,-20.32,-19.6254,-19.6254,-19.6254,-18.9233,-18.9233,-18.9233
28,1.99211,-21.4114,-21.4114,-21.4114,-20.8324,-20.8324,-20.8324,-20.1923,-20.1923,-20.1923,-19.5176,-19.5176,-19.5176,-18.8319,-18.8319,-18.8319
29,2.09737,-21.2464,-21.2464,-21.2464,-20.6876,-20.6876,-20.6876,-20.0674,-20.0674,-20.0674,-19.4116,-19.4116,-19.4116,-18.7425,-18.7425,-18.7425
30,2.20572,-21.0856,-21.0856,-21.0856,-20.5463,-20.5463,-20.5463,-19.945,-19.945,-19.945,-19.3069,-19.3069,-19.3069,-18.654,-18.654,-18.654
31,2.31725,-20.9287,-20.9287,-20.9287,-20.4078,-20.4078,-20.4078,-19.8249,-19.8249,-19.8249,-19.2039,-19.2039,-19.2039,-18.5663,-18.5663,-18.5663
32,2.43204,-20.7753,-20.7753,-20.7753,-20.2718,-20.2718,-20.2718,-19.7065,-19.7065,-19.7065,-19.1025,-19.1025,-19.1025,-18.4798,-18.4798,-18.4798
33,2.5502,-20.6253,-20.6253,-20.6253,-20.1381,-20.1381,-20.1381,-19.5897,-19.5897,-19.5897,-19.0019,-19.0019,-19.0019,-18.3938,-18.3938,-18.3938
34,2.67182,-20.4781,-20.4781,-20.4781,-20.0066,-20.0066,-20.0066,-19.4743,-19.4743,-19.4743,-18.9021,-18.9021,-18.9021,-18.3081,-18.3081,-18.3081
35,2.797,-20.3336,-20.3336,-20.3336,-19.877,-19.877,-19.877,-19.3606,-19.3606,-19.3606,-18.803,-18.803,-18.803,-18.2228,-18.2228,-18.2228
36,2.92586,-20.1915,-20.1915,-20.1914,-19.7492,-19.7492,-19.7492,-19.248,-19.248,-19.248,-18.7048,-18.7048,-18.7048,-18.138,-18.138,-18.138
37,3.05848,-20.0516,-20.0516,-20.0513,-19.6231,-19.6231,-19.6231,-19.1363,-19.1363,-19.1363,-18.6071,-18.6071,-18.6071,-18.0532,-18.0532,-18.0532
38,3.195,-19.9135,-19.9135,-19.9133,-19.4984,-19.4984,-19.4984,-19.0254,-19.0254,-19.0254,-18.5098,-18.5098,-18.5098,-17.9684,-17.9684,-17.9684
39,3.33551,-19.7773,-19.7773,-19.7771,-19.3749,-19.3749,-19.3749,-18.915,-18.915,-18.915,-18.4128,-18.4128,-18.4128,-17.8839,-17.8839,-17.8839
40,3.48015,-19.6427,-19.6427,-19.6425,-19.2526,-19.2526,-19.2526,-18.8055,-18.8055,-18.8055,-18.3159,-18.3159,-18.3159,-17.7993,-17.7993,-17.7993
41,3.62902,-19.5096,-19.5096,-19.5094,-19.1314,-19.1314,-19.1314,-18.6968,-18.6968,-18.6968,-18.2195,-18.2195,-18.2195,-17.7145,-17.7145,-17.7145
