gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5031.01,-5031.01,-5031.01,-5031.01,-5031.01,-5027.38,-5027.38,-5027.38,-5027.38,-5027.38,-5024.68,-5024.68,-5024.68,-5024.68,-5024.68,-5022.6,-5022.6,-5022.6,-5022.6,-5022.6,-5020.98,-5020.98,-5020.98,-5020.98,-5020.98
1,0.0468873,-184.458,-184.458,-184.458,-184.458,-184.458,-181.338,-181.338,-181.338,-181.338,-181.338,-178.888,-178.888,-178.888,-178.888,-178.888,-176.943,-176.943,-176.943,-176.943,-176.943,-175.388,-175.388,-175.388,-175.388,-175.388
2,0.0951487,-74.2942,-74.2942,-74.2942,-74.2942,-74.2942,-71.5732,-71.5732,-71.5732,-71.5732,-71.5732,-69.334,-69.334,-69.334,-69.334,-69.334,-67.5075,-67.5075,-67.5075,-67.5075,-67.5075,-66.0157,-66.0157,-66.0157,-66.0157,-66.0157
3,0.144824,-49.1926,-49.1926,-49.1926,-49.1926,-49.1926,-46.7743,-46.7743,-46.7743,-46.7743,-46.7743,-44.7185,-44.7185,-44.7185,-44.7185,-44.7185,-42.9941,-42.9941,-42.9941,-42.9941,-42.9941,-41.5618,-41.5618,-41.5618,-41.5618,-41.5618
4,0.195956,-39.4994,-39.4994,-39.4994,-39.4994,-39.4994,-37.3171,-37.3171,-37.3171,-37.3171,-37.3171,-35.4124,-35.4124,-35.4124,-35.4124,-35.4124,-33.7806,-33.7806,-33.7806,-33.7806,-33.7806,-32.4019,-32.4019,-32.4019,-32.4019,-32.4019
5,0.248585,-34.6322,-34.6322,-34.6322,-34.6322,-34.6322,-32.6591,-32.6591,-32.6591,-32.6591,-32.6591,-30.8823,-30.8823,-30.8823,-30.8823,-30.8823,-29.3327,-29.3327,-29.3327,-29.3327,-29.3327,-28.0048,-28.0048,-28.0048,-28.0048,-28.0048
6,0.302757,-31.7701,-31.7701,-31.7701,-31.7701,-31.7701,-29.9678,-29.9678,-29.9678,-29.9678,-29.9678,-28.3088,-28.3088,-28.3088,-28.3088,-28.3088,-26.8342,-26.8342,-26.8342,-26.8342,-26.8342,-25.5534,-25.5534,-25.5534,-25.5534,-25.5534
7,0.358517,-29.9015,-29.9015,-29.9015,-29.9015,-29.9015,-28.2359,-28.2359,-28.2359,-28.2359,-28.2359,-26.6811,-26.6811,-26.6811,-26.6811,-26.6811,-25.276,-25.276,-25.276,-25.276,-25.276,-24.0392,-24.0392,-24.0392,-24.0392,-24.0392
8,0.41591,-28.5778,-28.5778,-28.5778,-28.5778,-28.5778,-27.0334,-27.0334,-27.0334,-27.0334,-27.0334,-25.5665,-25.5665,-25.5665,-25.5665,-25.5665,-24.2251,-24.2251,-24.2251,-24.2251,-24.2251,-23.0304,-23.0304,-23.0304,-23.0304,-23.0304
9,0.474986,-27.5794,-27.5794,-27.5794,-27.5794,-27.5794,-26.1461,-26.1461,-26.1461,-26.1461,-26.1461,-24.7589,-24.7589,-24.7589,-24.7589,-24.7589,-23.4742,-23.4742,-23.4742,-23.4742,-23.4742,-22.3178,-22.3178,-22.3178,-22.3178,-22.3178
10,0.535792,-26.7916,-26.7916,-26.7916,-26.7916,-26.7916,-25.454,-25.454,-25.454,-25.454,-25.454,-24.141,-24.141,-24.141,-24.141,-24.141,-22.909,-22.909,-22.909,-22.909,-22.909,-21.788,-21.788,-21.788,-21.788,-21.788
11,0.598381,-26.1501,-26.1501,-26.1501,-26.1501,-26.1501,-24.8932,-24.8932,-24.8932,-24.8932,-24.8932,-23.6481,-23.6481,-23.6481,-23.6481,-23.6481,-22.4647,-22.4647,-22.4647,-22.4647,-22.4647,-21.3804,-21.3804,-21.3804,-21.3804,-21.3804
12,0.662804,-25.6123,-25.6123,-25.6123,-25.6123,-25.6123,-24.426,-24.426,-24.426,-24.426,-24.426,-23.2414,-23.2414,-23.2414,-23.2414,-23.2414,-22.1057,-22.1057,-22.1057,-22.1057,-22.1057,-21.0533,-21.0533,-21.0533,-21.0533,-21.0533
13,0.729114,-25.1483,-25.1483,-25.1483,-25.1483,-25.1483,-24.0297,-24.0297,-24.0297,-24.0297,-24.0297,-22.8983,-22.8983,-22.8983,-22.8983,-22.8983,-21.8057,-21.8057,-21.8057,-21.8057,-21.8057,-20.7845,-20.7845,-20.7845,-20.7845,-20.7845
