gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5019.07,-5019.07,-5019.07,-5019.07,-5019.07,-5018.05,-5018.05,-5018.05,-5018.05,-5018.05,-5017.16,-5017.16,-5017.16,-5017.16,-5017.16,-5016.39,-5016.39,-5016.39,-5016.39,-5016.39,-5015.72,-5015.72,-5015.72,-5015.72,-5015.72
1,0.0468873,-173.393,-173.393,-173.393,-173.393,-173.393,-172.431,-172.431,-172.431,-172.431,-172.431,-171.579,-171.579,-171.579,-171.579,-171.579,-170.83,-170.83,-170.83,-170.83,-170.83,-170.178,-170.178,-170.178,-170.178,-170.178
2,0.0951487,-63.9401,-63.9401,-63.9401,-63.9401,-63.9401,-63.0311,-63.0311,-63.0311,-63.0311,-63.0311,-62.2139,-62.2139,-62.2139,-62.2139,-62.2139,-61.49,-61.49,-61.49,-61.49,-61.49,-60.8551,-60.8551,-60.8551,-60.8551,-60.8551
3,0.144824,-39.4101,-39.4101,-39.4101,-39.4101,-39.4101,-38.5509,-38.5509,-38.5509,-38.5509,-38.5509,-37.7677,-37.7677,-37.7677,-37.7677,-37.7677,-37.0671,-37.0671,-37.0671,-37.0671,-37.0671,-36.4487,-36.4487,-36.4487,-36.4487,-36.4487
4,0.195956,-30.1839,-30.1839,-30.1839,-30.1839,-30.1839,-29.3676,-29.3676,-29.3676,-29.3676,-29.3676,-28.6174,-28.6174,-28.6174,-28.6174,-28.6174,-27.9389,-27.9389,-27.9389,-27.9389,-27.9389,-27.335,-27.335,-27.335,-27.335,-27.335
5,0.248585,-25.7301,-25.7301,-25.7301,-25.7301,-25.7301,-24.953,-24.953,-24.953,-24.953,-24.953,-24.2306,-24.2306,-24.2306,-24.2306,-24.2306,-23.5721,-23.5721,-23.5721,-23.5721,-23.5721,-22.9832,-22.9832,-22.9832,-22.9832,-22.9832
6,0.302757,-23.2252,-23.2252,-23.2252,-23.2252,-23.2252,-22.4842,-22.4842,-22.4842,-22.4842,-22.4842,-21.7886,-21.7886,-21.7886,-21.7886,-21.7886,-21.1503,-21.1503,-21.1503,-21.1503,-21.1503,-20.5753,-20.5753,-20.5753,-20.5753,-20.5753
7,0.358517,-21.6618,-21.6618,-21.6618,-21.6618,-21.6618,-20.9555,-20.9555,-20.9555,-20.9555,-20.9555,-20.2851,-20.2851,-20.2851,-20.2851,-20.2851,-19.6651,-19.6651,-19.6651,-19.6651,-19.6651,-19.1039,-19.1039,-19.1039,-19.1039,-19.1039
8,0.41591,-20.6113,-20.6113,-20.6113,-20.6113,-20.6113,-19.9336,-19.9336,-19.9336,-19.9336,-19.9336,-19.287,-19.287,-19.287,-19.287,-19.287,-18.685,-18.685,-18.685,-18.685,-18.685,-18.1373,-18.1373,-18.1373,-18.1373,-18.1373
9,0.474986,-19.8583,-19.8583,-19.8583,-19.8583,-19.8583,-19.2103,-19.2103,-19.2103,-19.2103,-19.2103,-18.5855,-18.5855,-18.5855,-18.5855,-18.5855,-18.0007,-18.0007,-18.0007,-18.0007,-18.0007,-17.4654,-17.4654,-17.4654,-17.4654,-17.4654
10,0.535792,-19.2951,-19.2951,-19.2951,-19.2951,-19.2951,-18.6727,-18.6727,-18.6727,-18.6727,-18.6727,-18.0692,-18.0692,-18.0692,-18.0692,-18.0692,-17.5001,-17.5001,-17.5001,-17.5001,-17.5001,-16.977,-16.977,-16.977,-16.977,-16.977
11,0.598381,-18.8546,-18.8546,-18.8546,-18.8546,-18.8546,-18.2565,-18.2565,-18.2565,-18.2565,-18.2565,-17.673,-17.673,-17.673,-17.673,-17.673,-17.1196,-17.1196,-17.1196,-17.1196,-17.1196,-16.6083,-16.6083,-16.6083,-16.6083,-16.6083
12,0.662804,-18.5002,-18.5002,-18.5002,-18.5002,-18.5002,-17.9255,-17.9255,-17.9255,-17.9255,-17.9255,-17.3597,-17.3597,-17.3597,-17.3597,-17.3597,-16.821,-16.821,-16.821,-16.821,-16.821,-16.3209,-16.3209,-16.3209,-16.3209,-16.3209
13,0.729114,-18.2067,-18.2067,-18.2067,-18.2067,-18.2067,-17.6526,-17.6526,-17.6526,-17.6526,-17.6526,-17.1043,-17.1043,-17.1043,-17.1043,-17.1043,-16.5795,-16.5795,-16.5795,-16.5795,-16.5795,-16.0905,-16.0905,-16.0905,-16.0905,-16.0905
14,0.797368,-17.9563,-17.9563,-17.9563,-17.9563,-17.9563,-17.4223,-17.4223,-17.4223,-17.4223,-17.4223,-16.8914,-16.8914,-16.8914,-16.8914,-16.8914,-16.38,-16.38,-16.38,-16.38,-16.38,-15.9014,-15.9014,-15.9014,-15.9014,-15.9014
15,0.867622,-17.7387,-17.7387,-17.7387,-17.7387,-17.7387,-17.2247,-17.2247,-17.2247,-17.2247,-17.2247,-16.7092,-16.7092,-16.7092,-16.7092,-16.7092,-16.2111,-16.2111,-16.2111,-16.2111,-16.2111,-15.7425,-15.7425,-15.7425,-15.7425,-15.7425
16,0.939934,-17.5483,-17.5483,-17.5483,-17.5483,-17.5483,-17.0508,-17.0508,-17.0508,-17.0508,-17.0508,-16.551,-16.551,-16.551,-16.551,-16.551,-16.0648,-16.0648,-16.0648,-16.0648,-16.0648,-15.6066,-15.6066,-15.6066,-15.6066,-15.6066
17,1.01437,-17.3776,-17.3776,-17.3776,-17.3776,-17.3776,-16.8962,-16.8962,-16.8962,-16.8962,-16.8962,-16.4108,-16.4108,-16.4108,-16.4108,-16.4108,-15.937,-15.937,-15.937,-15.937,-15.937,-15.488,-15.488,-15.488,-15.488,-15.488
