gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5020.45,-5020.45,-5020.45,-5020.45,-5020.45,-5018.6,-5018.6,-5018.6,-5018.6,-5018.6,-5017.13,-5017.13,-5017.13,-5017.13,-5017.13,-5015.95,-5015.95,-5015.95,-5015.95,-5015.95,-5014.99,-5014.99,-5014.99,-5014.99,-5014.99
1,0.0468873,-174.657,-174.657,-174.657,-174.657,-174.657,-172.94,-172.94,-172.94,-172.94,-172.94,-171.546,-171.546,-171.546,-171.546,-171.546,-170.406,-170.406,-170.406,-170.406,-170.406,-169.466,-169.466,-169.466,-169.466,-169.466
2,0.0951487,-65.1127,-65.1127,-65.1127,-65.1127,-65.1127,-63.5088,-63.5088,-63.5088,-63.5088,-63.5088,-62.1802,-62.1802,-62.1802,-62.1802,-62.1802,-61.0757,-61.0757,-61.0757,-61.0757,-61.0757,-60.1548,-60.1548,-60.1548,-60.1548,-60.1548
3,0.144824,-40.5016,-40.5016,-40.5016,-40.5016,-40.5016,-39.0049,-39.0049,-39.0049,-39.0049,-39.0049,-37.7333,-37.7333,-37.7333,-37.7333,-37.7333,-36.6624,-36.6624,-36.6624,-36.6624,-36.6624,-35.7603,-35.7603,-35.7603,-35.7603,-35.7603
4,0.195956,-31.2047,-31.2047,-31.2047,-31.2047,-31.2047,-29.8,-29.8,-29.8,-29.8,-29.8,-28.5823,-28.5823,-28.5823,-28.5823,-28.5823,-27.5422,-27.5422,-27.5422,-27.5422,-27.5422,-26.6584,-26.6584,-26.6584,-26.6584,-26.6584
5,0.248585,-26.6885,-26.6885,-26.6885,-26.6885,-26.6885,-25.3625,-25.3625,-25.3625,-25.3625,-25.3625,-24.195,-24.195,-24.195,-24.195,-24.195,-23.1844,-23.1844,-23.1844,-23.1844,-23.1844,-22.318,-22.318,-22.318,-22.318,-22.318
6,0.302757,-24.1258,-24.1258,-24.1258,-24.1258,-24.1258,-22.8729,-22.8729,-22.8729,-22.8729,-22.8729,-21.7526,-21.7526,-21.7526,-21.7526,-21.7526,-20.771,-20.771,-20.771,-20.771,-20.771,-19.9214,-19.9214,-19.9214,-19.9214,-19.9214
7,0.358517,-22.5115,-22.5115,-22.5115,-22.5115,-22.5115,-21.3248,-21.3248,-21.3248,-21.3248,-21.3248,-20.2487,-20.2487,-20.2487,-20.2487,-20.2487,-19.2939,-19.2939,-19.2939,-19.2939,-19.2939,-18.4609,-18.4609,-18.4609,-18.4609,-18.4609
8,0.41591,-21.4155,-21.4155,-21.4155,-21.4155,-21.4155,-20.2879,-20.2879,-20.2879,-20.2879,-20.2879,-19.2501,-19.2501,-19.2501,-19.2501,-19.2501,-18.3217,-18.3217,-18.3217,-18.3217,-18.3217,-17.5043,-17.5043,-17.5043,-17.5043,-17.5043
9,0.474986,-20.621,-20.621,-20.621,-20.621,-20.621,-19.5482,-19.5482,-19.5482,-19.5482,-19.5482,-18.5479,-18.5479,-18.5479,-18.5479,-18.5479,-17.6443,-17.6443,-17.6443,-17.6443,-17.6443,-16.8428,-16.8428,-16.8428,-16.8428,-16.8428
10,0.535792,-20.0177,-20.0177,-20.0177,-20.0177,-20.0177,-18.9948,-18.9948,-18.9948,-18.9948,-18.9948,-18.0311,-18.0311,-18.0311,-18.0311,-18.0311,-17.1507,-17.1507,-17.1507,-17.1507,-17.1507,-16.3641,-16.3641,-16.3641,-16.3641,-16.3641
11,0.598381,-19.5427,-19.5427,-19.5427,-19.5427,-19.5427,-18.5665,-18.5665,-18.5665,-18.5665,-18.5665,-17.6342,-17.6342,-17.6342,-17.6342,-17.6342,-16.7769,-16.7769,-16.7769,-16.7769,-16.7769,-16.0052,-16.0052,-16.0052,-16.0052,-16.0052
12,0.662804,-19.1563,-19.1563,-19.1563,-19.1563,-19.1563,-18.221,-18.221,-18.221,-18.221,-18.221,-17.3205,-17.3205,-17.3205,-17.3205,-17.3205,-16.4846,-16.4846,-16.4846,-16.4846,-16.4846,-15.7271,-15.7271,-15.7271,-15.7271,-15.7271
13,0.729114,-18.8318,-18.8318,-18.8318,-18.8318,-18.8318,-17.9354,-17.9354,-17.9354,-17.9354,-17.9354,-17.0645,-17.0645,-17.0645,-17.0645,-17.0645,-16.2496,-16.2496,-16.2496,-16.2496,-16.2496,-15.506,-15.506,-15.506,-15.506,-15.506
14,0.797368,-18.5526,-18.5526,-18.5526,-18.5526,-18.5526,-17.6937,-17.6937,-17.6937,-17.6937,-17.6937,-16.8511,-16.8511,-16.8511,-16.8511,-16.8511,-16.0557,-16.0557,-16.0557,-16.0557,-16.0557,-15.3257,-15.3257,-15.3257,-15.3257,-15.3257
15,0.867622,-18.3108,-18.3108,-18.3108,-18.3108,-18.3106,-17.4849,-17.4849,-17.4849,-17.4849,-17.4849,-16.6683,-16.6683,-16.6683,-16.6683,-16.6683,-15.8923,-15.8923,-15.8923,-15.8923,-15.8923,-15.1755,-15.1755,-15.1755,-15.1755,-15.1755
16,0.939934,-18.096,-18.096,-18.096,-18.096,-18.0958,-17.3016,-17.3016,-17.3016,-17.3016,-17.3016,-16.5096,-16.5096,-16.5096,-16.5096,-16.5096,-15.7518,-15.7518,-15.7518,-15.7518,-15.7518,-15.0481,-15.0481,-15.0481,-15.0481,-15.0481
17,1.01437,-17.9019,-17.9019,-17.9019,-17.9019,-17.9019,-17.1374,-17.1374,-17.1374,-17.1374,-17.1374,-16.3689,-16.3689,-16.3689,-16.3689,-16.3689,-15.6288,-15.6288,-15.6288,-15.6288,-15.6288,-14.9378,-14.9378,-14.9378,-14.9378,-14.9378
18,1.09098,-17.7249,-17.7249,-17.7249,-17.7249,-17.7248,-16.988,-16.988,-16.988,-16.988,-16.9878,-16.242,-16.242,-16.242,-16.242,-16.242,-15.5196,-15.5196,-15.5196,-15.5196,-15.5196,-14.8409,-14.8409,-14.8409,-14.8409,-14.8409
19,1.16984,-17.5632,-17.5632,-17.5632,-17.5632,-17.5614,-16.8514,-16.8514,-16.8514,-16.8514,-16.8513,-16.1272,-16.1272,-16.1272,-16.1272,-16.1272,-15.4213,-15.4213,-15.4213,-15.4213,-15.4213,-14.7544,-14.7544,-14.7544,-14.7544,-14.7544
20,1.25101,-17.4126,-17.4126,-17.4126,-17.4124,-17.4103,-16.7254,-16.7254,-16.7254,-16.7254,-16.7246,-16.0215,-16.0215,-16.0215,-16.0215,-16.0212,-15.3311,-15.3311,-15.3311,-15.3311,-15.3311,-14.6762,-14.6762,-14.6762,-14.6762,-14.6762
21,1.33455,-17.2714,-17.2714,-17.2714,-17.2711,-17.2687,-16.6075,-16.6075,-16.6075,-16.6075,-16.6063,-15.9227,-15.9227,-15.9227,-15.9227,-15.9224,-15.2484,-15.2484,-15.2484,-15.2484,-15.2483,-14.6046,-14.6046,-14.6046,-14.6046,-14.6045
22,1.42055,-17.1385,-17.1385,-17.1385,-17.138,-17.135,-16.4961,-16.4961,-16.4961,-16.496,-16.4947,-15.8306,-15.8306,-15.8306,-15.8306,-15.8302,-15.1707,-15.1707,-15.1707,-15.1707,-15.1704,-14.5384,-14.5384,-14.5384,-14.5384,-14.5381
23,1.50907,-17.0129,-17.0129,-17.0129,-17.0121,-17.0084,-16.3911,-16.3911,-16.3911,-16.391,-16.3888,-15.7434,-15.7434,-15.7434,-15.7434,-15.7423,-15.0979,-15.0979,-15.0979,-15.0979,-15.0975,-14.4764,-14.4764,-14.4764,-14.4764,-14.4759
24,1.60018,-16.8934,-16.8934,-16.8934,-16.8919,-16.8878,-16.2911,-16.2911,-16.2911,-16.2909,-16.2883,-15.6602,-15.6602,-15.6602,-15.6601,-15.6587,-15.0288,-15.0288,-15.0288,-15.0288,-15.028,-14.418,-14.418,-14.418,-14.418,-14.4173
25,1.69396,-16.7789,-16.7789,-16.7789,-16.777,-16.7723,-16.1951,-16.1951,-16.1951,-16.1944,-16.1915,-15.5808,-15.5808,-15.5808,-15.5806,-15.5787,-14.9629,-14.9629,-14.9629,-14.9629,-14.9616,-14.3625,-14.3625,-14.3625,-14.3625,-14.3613
26,1.79048,-16.6689,-16.6689,-16.6687,-16.6664,-16.6613,-16.1026,-16.1026,-16.1026,-16.1017,-16.0982,-15.504,-15.504,-15.504,-15.5039,-15.5017,-14.8993,-14.8993,-14.8993,-14.8993,-14.8977,-14.3092,-14.3092,-14.3092,-14.3092,-14.3078
27,1.88984,-16.5626,-16.5626,-16.5622,-16.5595,-16.554,-16.0137,-16.0137,-16.0136,-16.0122,-16.0082,-15.43,-15.43,-15.43,-15.4294,-15.4268,-14.838,-14.838,-14.838,-14.8378,-14.8358,-14.258,-14.258,-14.258,-14.2579,-14.256
28,1.99211,-16.4601,-16.4601,-16.4596,-16.4562,-16.4503,-15.9271,-15.9271,-15.9271,-15.9253,-15.9208,-15.3583,-15.3583,-15.3583,-15.3575,-15.3542,-14.7786,-14.7786,-14.7786,-14.7783,-14.7759,-14.2083,-14.2083,-14.2083,-14.2081,-14.206
29,2.09737,-16.3606,-16.3606,-16.3601,-16.3564,-16.3497,-15.8427,-15.8427,-15.8427,-15.8406,-15.8357,-15.2882,-15.2882,-15.2882,-15.2871,-15.2834,-14.7205,-14.7205,-14.7205,-14.7201,-14.7172,-14.1599,-14.1599,-14.1599,-14.1595,-14.1569
30,2.20572,-16.2638,-16.2638,-16.2629,-16.259,-16.252,-15.7608,-15.7608,-15.7606,-15.7579,-15.7527,-15.2195,-15.2195,-15.2195,-15.2181,-15.2141,-14.6638,-14.6638,-14.6638,-14.6629,-14.6596,-14.1126,-14.1126,-14.1126,-14.1121,-14.1091
