gridnumber,capital,VF[0 0],VF[1 0],VF[2 0],VF[3 0],VF[4 0]
0,0,-21.6969,-20.912,-20.157,-19.4406,-18.763
1,0.0468873,-21.5675,-20.8258,-20.0977,-19.3977,-18.7303
2,0.0951487,-21.4508,-20.7445,-20.0394,-19.3555,-18.6971
3,0.144824,-21.3427,-20.6662,-19.9827,-19.3129,-18.6635
4,0.195956,-21.2412,-20.5908,-19.9271,-19.2702,-18.6293
5,0.248585,-21.1453,-20.5182,-19.8718,-19.2271,-18.5947
6,0.302757,-21.0539,-20.4471,-19.8169,-19.1837,-18.5595
7,0.358517,-20.9646,-20.3769,-19.7619,-19.14,-18.5238
8,0.41591,-20.8778,-20.3075,-19.7067,-19.0957,-18.4873
9,0.474986,-20.7925,-20.2391,-19.6516,-19.051,-18.4505
10,0.535792,-20.7086,-20.1708,-19.5964,-19.0059,-18.4128
11,0.598381,-20.6263,-20.1027,-19.541,-18.96,-18.3748
12,0.662804,-20.545,-20.0349,-19.4851,-18.9139,-18.3359
13,0.729114,-20.4644,-19.9676,-19.4289,-18.8671,-18.2966
14,0.797368,-20.3845,-19.9001,-19.3725,-18.8197,-18.2564
15,0.867622,-20.3049,-19.8326,-19.3155,-18.7718,-18.2157
16,0.939934,-20.2258,-19.7649,-19.2581,-18.723,-18.1742
17,1.01437,-20.1473,-19.697,-19.2004,-18.6737,-18.132
18,1.09098,-20.069,-19.629,-19.142,-18.6239,-18.0892
19,1.16984,-19.9908,-19.5608,-19.0831,-18.5733,-18.0455
20,1.25101,-19.9127,-19.4923,-19.0238,-18.522,-18.0012
21,1.33455,-19.8344,-19.4234,-18.964,-18.4702,-17.9562
22,1.42055,-19.7562,-19.3542,-18.9035,-18.4176,-17.9104
23,1.50907,-19.6778,-19.2847,-18.8424,-18.3642,-17.8639
24,1.60018,-19.5994,-19.2149,-18.7807,-18.3102,-17.8167
25,1.69396,-19.5209,-19.1446,-18.7185,-18.2555,-17.7686
26,1.79048,-19.4421,-19.0738,-18.6557,-18.2001,-17.7199
27,1.88984,-19.363,-19.0024,-18.5922,-18.1438,-17.6702
28,1.99211,-19.2838,-18.9305,-18.528,-18.087,-17.6198
29,2.09737,-19.2042,-18.8584,-18.4632,-18.0293,-17.5688
30,2.20572,-19.1243,-18.7857,-18.3977,-17.9708,-17.5168
31,2.31725,-19.044,-18.7124,-18.3316,-17.9116,-17.4641
32,2.43204,-18.9632,-18.6386,-18.2648,-17.8517,-17.4106
33,2.5502,-18.8821,-18.5641,-18.1973,-17.791,-17.3563
34,2.67182,-18.8006,-18.4891,-18.129,-17.7295,-17.3011
35,2.797,-18.7187,-18.4135,-18.0602,-17.6672,-17.2451
36,2.92586,-18.6365,-18.3374,-17.9907,-17.6041,-17.1883
37,3.05848,-18.5537,-18.2607,-17.9204,-17.5403,-17.1307
38,3.195,-18.4703,-18.1833,-17.8493,-17.4757,-17.0722
39,3.33551,-18.3864,-18.1053,-17.7775,-17.4103,-17.013
40,3.48015,-18.302,-18.0267,-17.705,-17.344,-16.9529
41,3.62902,-18.2171,-17.9474,-17.6318,-17.277,-16.8919
42,3.78225,-18.1317,-17.8675,-17.5579,-17.2092,-16.83
43,3.93998,-18.0458,-17.787,-17.4832,-17.1406,-16.7675
44,4.10232,-17.9593,-17.7057,-17.4078,-17.0711,-16.7041
45,4.26943,-17.8723,-17.6239,-17.3317,-17.0008,-16.6397
46,4.44143,-17.7847,-17.5414,-17.2548,-16.9298,-16.5745
47,4.61847,-17.6966,-17.4583,-17.1771,-16.858,-16.5084
48,4.8007,-17.6078,-17.3745,-17.0987,-16.7854,-16.4416
49,4.98827,-17.5185,-17.29,-17.0195,-16.7119,-16.3738
50,5.18134,-17.4287,-17.2048,-16.9396,-16.6375,-16.3053
51,5.38006,-17.3383,-17.119,-16.859,-16.5624,-16.2358
52,5.58461,-17.2472,-17.0326,-16.7777,-16.4865,-16.1656
53,5.79515,-17.1556,-16.9454,-16.6956,-16.4099,-16.0945
54,6.01186,-17.0633,-16.8575,-16.6128,-16.3325,-16.0226
55,6.23493,-16.9705,-16.769,-16.5292,-16.2543,-15.9497
56,6.46452,-16.877,-16.6798,-16.4449,-16.1752,-15.876
57,6.70085,-16.783,-16.59,-16.3598,-16.0953,-15.8015
58,6.94411,-16.6885,-16.4996,-16.2741,-16.0146,-15.7263
59,7.19449,-16.5933,-16.4085,-16.1876,-15.9331,-15.6503
60,7.45221,-16.4976,-16.3168,-16.1005,-15.851,-15.5733
61,7.71748,-16.4012,-16.2245,-16.0127,-15.7681,-15.4956
62,7.99052,-16.3044,-16.1315,-15.9242,-15.6844,-15.417
63,8.27157,-16.207,-16.0379,-15.8349,-15.6001,-15.3377
64,8.56085,-16.109,-15.9437,-15.745,-15.5149,-15.2576
65,8.85861,-16.0105,-15.8488,-15.6543,-15.429,-15.1768
66,9.16509,-15.9114,-15.7533,-15.563,-15.3424,-15.0951
67,9.48056,-15.8118,-15.6572,-15.471,-15.2549,-15.0125
68,9.80527,-15.7117,-15.5605,-15.3783,-15.1668,-14.9293
69,10.1395,-15.6111,-15.4633,-15.2851,-15.078,-14.8452
70,10.4835,-15.5099,-15.3655,-15.1913,-14.9885,-14.7605
71,10.8376,-15.4082,-15.2672,-15.0968,-14.8985,-14.6751
72,11.2021,-15.3061,-15.1683,-15.0018,-14.8078,-14.5891
73,11.5773,-15.2035,-15.0688,-14.9062,-14.7164,-14.5023
74,11.9634,-15.1004,-14.9689,-14.81,-14.6244,-14.4149
75,12.3609,-14.9968,-14.8685,-14.7133,-14.5318,-14.3267
76,12.77,-14.8928,-14.7676,-14.6159,-14.4385,-14.2378
77,13.1911,-14.7883,-14.6661,-14.518,-14.3445,-14.1483
78,13.6246,-14.6834,-14.5642,-14.4196,-14.2499,-14.058
79,14.0707,-14.5782,-14.4618,-14.3206,-14.1548,-13.967
80,14.5299,-14.4725,-14.359,-14.2211,-14.0591,-13.8755
81,15.0026,-14.3666,-14.2558,-14.1211,-13.9629,-13.7835
82,15.4891,-14.2602,-14.1522,-14.0207,-13.8663,-13.691
83,15.9899,-14.1536,-14.0482,-13.9199,-13.7692,-13.5979
84,16.5054,-14.0465,-13.9438,-13.8186,-13.6716,-13.5043
85,17.036,-13.9392,-13.8391,-13.717,-13.5735,-13.4102
86,17.5821,-13.8316,-13.734,-13.615,-13.475,-13.3155
87,18.1442,-13.7237,-13.6286,-13.5126,-13.3761,-13.2204
88,18.7228,-13.6155,-13.5229,-13.4099,-13.2767,-13.1247
89,19.3184,-13.5071,-13.4169,-13.3068,-13.1769,-13.0285
90,19.9314,-13.3985,-13.3106,-13.2034,-13.0767,-12.9319
91,20.5623,-13.2896,-13.2041,-13.0996,-12.9762,-12.8349
92,21.2118,-13.1805,-13.0973,-12.9956,-12.8753,-12.7375
93,21.8803,-13.0713,-12.9903,-12.8912,-12.774,-12.6398
94,22.5684,-12.9618,-12.8831,-12.7866,-12.6724,-12.5416
95,23.2766,-12.8523,-12.7757,-12.6818,-12.5705,-12.4431
96,24.0056,-12.7427,-12.6682,-12.5767,-12.4683,-12.3443
97,24.756,-12.6331,-12.5605,-12.4715,-12.366,-12.2451
98,25.5283,-12.5233,-12.4528,-12.3662,-12.2634,-12.1457
99,26.3233,-12.4136,-12.3449,-12.2607,-12.1608,-12.0461
100,27.1416,-12.3038,-12.237,-12.1551,-12.0579,-11.9463
101,27.9838,-12.194,-12.1291,-12.0495,-11.9549,-11.8462
102,28.8508,-12.0842,-12.0211,-11.9438,-11.8518,-11.7461
103,29.7431,-11.9744,-11.9131,-11.838,-11.7486,-11.6457
104,30.6616,-11.8647,-11.8052,-11.7322,-11.6453,-11.5453
105,31.607,-11.7551,-11.6973,-11.6264,-11.542,-11.4447
106,32.5802,-11.6456,-11.5894,-11.5206,-11.4385,-11.3439
107,33.5818,-11.5361,-11.4816,-11.4148,-11.3351,-11.2431
108,34.6128,-11.4268,-11.3739,-11.309,-11.2317,-11.1423
109,35.674,-11.3177,-11.2663,-11.2034,-11.1282,-11.0414
110,36.7663,-11.2087,-11.1589,-11.0978,-11.0248,-10.9405
111,37.8906,-11.0999,-11.0516,-10.9923,-10.9215,-10.8396
112,39.0479,-10.9914,-10.9445,-10.8869,-10.8182,-10.7388
113,40.239,-10.883,-10.8375,-10.7816,-10.715,-10.6379
114,41.4651,-10.7749,-10.7308,-10.6766,-10.612,-10.5371
115,42.7271,-10.667,-10.6242,-10.5717,-10.509,-10.4364
116,44.0261,-10.5594,-10.5179,-10.467,-10.4062,-10.3358
117,45.3631,-10.4521,-10.4119,-10.3625,-10.3036,-10.2353
118,46.7394,-10.3451,-10.3062,-10.2582,-10.2012,-10.1349
119,48.1559,-10.2384,-10.2007,-10.1542,-10.099,-10.0347
120,49.614,-10.1321,-10.0956,-10.0506,-9.99697,-9.93473
121,51.1148,-10.0262,-9.99082,-9.94717,-9.89524,-9.83492
122,52.6596,-9.92073,-9.88645,-9.84417,-9.7938,-9.73535
123,54.2497,-9.81567,-9.78248,-9.74153,-9.69271,-9.63608
124,55.8863,-9.71105,-9.67893,-9.63927,-9.59198,-9.53712
125,57.5709,-9.6069,-9.57582,-9.53742,-9.49161,-9.43849
126,59.3049,-9.50322,-9.47316,-9.43599,-9.39162,-9.3402
127,61.0897,-9.40004,-9.37096,-9.33498,-9.29202,-9.24227
128,62.9268,-9.29736,-9.26923,-9.23442,-9.19283,-9.14471
129,64.8177,-9.1952,-9.16801,-9.13434,-9.09406,-9.04752
130,66.7641,-9.09358,-9.06729,-9.03473,-8.99576,-8.95072
131,68.7675,-8.9925,-8.96709,-8.93561,-8.89792,-8.85434
132,70.8295,-8.89198,-8.86742,-8.837,-8.80056,-8.7584
133,72.9521,-8.79203,-8.76831,-8.73892,-8.70368,-8.66289
134,75.1368,-8.69267,-8.66976,-8.64136,-8.6073,-8.56785
