gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-21.6968,-21.6968,-21.6968,-21.6968,-21.6968,-20.9119,-20.9119,-20.9119,-20.9119,-20.9119,-20.1569,-20.1569,-20.1569,-20.1569,-20.1569,-19.4405,-19.4405,-19.4405,-19.4405,-19.4405,-18.7627,-18.7627,-18.7627,-18.7627,-18.7627
1,0.0468873,-21.5674,-21.5674,-21.5674,-21.5674,-21.5674,-20.8257,-20.8257,-20.8257,-20.8257,-20.8257,-20.0976,-20.0976,-20.0976,-20.0976,-20.0976,-19.3976,-19.3976,-19.3976,-19.3976,-19.3976,-18.73,-18.73,-18.73,-18.73,-18.73
2,0.0951487,-21.4507,-21.4507,-21.4507,-21.4507,-21.4507,-20.7444,-20.7444,-20.7444,-20.7444,-20.7444,-20.0393,-20.0393,-20.0393,-20.0393,-20.0393,-19.3554,-19.3554,-19.3554,-19.3554,-19.3554,-18.6968,-18.6968,-18.6968,-18.6968,-18.6968
3,0.144824,-21.3426,-21.3426,-21.3426,-21.3426,-21.3426,-20.6661,-20.6661,-20.6661,-20.6661,-20.6661,-19.9826,-19.9826,-19.9826,-19.9826,-19.9826,-19.3128,-19.3128,-19.3128,-19.3128,-19.3128,-18.6632,-18.6632,-18.6632,-18.6632,-18.6632
4,0.195956,-21.2411,-21.2411,-21.2411,-21.2411,-21.2411,-20.5907,-20.5907,-20.5907,-20.5907,-20.5907,-19.9269,-19.9269,-19.9269,-19.9269,-19.9269,-19.27,-19.27,-19.27,-19.27,-19.27,-18.629,-18.629,-18.629,-18.629,-18.629
5,0.248585,-21.1452,-21.1452,-21.1452,-21.1452,-21.1452,-20.5181,-20.5181,-20.5181,-20.5181,-20.5181,-19.8716,-19.8716,-19.8716,-19.8716,-19.8716,-19.2269,-19.2269,-19.2269,-19.2269,-19.2269,-18.5944,-18.5944,-18.5944,-18.5944,-18.5944
6,0.302757,-21.0538,-21.0538,-21.0538,-21.0538,-21.0538,-20.447,-20.447,-20.447,-20.447,-20.447,-19.8168,-19.8168,-19.8168,-19.8168,-19.8168,-19.1836,-19.1836,-19.1836,-19.1836,-19.1836,-18.5592,-18.5592,-18.5592,-18.5592,-18.5592
7,0.358517,-20.9645,-20.9645,-20.9645,-20.9645,-20.9645,-20.3768,-20.3768,-20.3768,-20.3768,-20.3768,-19.7617,-19.7617,-19.7617,-19.7617,-19.7617,-19.1398,-19.1398,-19.1398,-19.1398,-19.1398,-18.5234,-18.5234,-18.5234,-18.5234,-18.5234
8,0.41591,-20.8777,-20.8777,-20.8777,-20.8777,-20.8777,-20.3074,-20.3074,-20.3074,-20.3074,-20.3074,-19.7065,-19.7065,-19.7065,-19.7065,-19.7065,-19.0955,-19.0955,-19.0955,-19.0955,-19.0955,-18.487,-18.487,-18.487,-18.487,-18.487
9,0.474986,-20.7924,-20.7924,-20.7924,-20.7924,-20.7924,-20.239,-20.239,-20.239,-20.239,-20.239,-19.6515,-19.6515,-19.6515,-19.6515,-19.6515,-19.0508,-19.0508,-19.0508,-19.0508,-19.0508,-18.4501,-18.4501,-18.4501,-18.4501,-18.4501
10,0.535792,-20.7085,-20.7085,-20.7085,-20.7085,-20.7085,-20.1707,-20.1707,-20.1707,-20.1707,-20.1707,-19.5963,-19.5963,-19.5963,-19.5963,-19.5963,-19.0057,-19.0057,-19.0057,-19.0057,-19.0057,-18.4124,-18.4124,-18.4124,-18.4124,-18.4124
11,0.598381,-20.6262,-20.6262,-20.6262,-20.6262,-20.6262,-20.1026,-20.1026,-20.1026,-20.1026,-20.1026,-19.5408,-19.5408,-19.5408,-19.5408,-19.5408,-18.9598,-18.9598,-18.9598,-18.9598,-18.9598,-18.3744,-18.3744,-18.3744,-18.3744,-18.3744
12,0.662804,-20.5449,-20.5449,-20.5449,-20.5449,-20.5446,-20.0347,-20.0347,-20.0347,-20.0347,-20.0347,-19.4849,-19.4849,-19.4849,-19.4849,-19.4849,-18.9136,-18.9136,-18.9136,-18.9136,-18.9136,-18.3355,-18.3355,-18.3355,-18.3355,-18.3355
13,0.729114,-20.4643,-20.4643,-20.4643,-20.4643,-20.4639,-19.9675,-19.9675,-19.9675,-19.9675,-19.9673,-19.4287,-19.4287,-19.4287,-19.4287,-19.4287,-18.8669,-18.8669,-18.8669,-18.8669,-18.8668,-18.2961,-18.2961,-18.2961,-18.2961,-18.2961
14,0.797368,-20.3844,-20.3844,-20.3844,-20.3844,-20.3839,-19.9,-19.9,-19.9,-19.9,-19.8998,-19.3723,-19.3723,-19.3723,-19.3723,-19.3721,-18.8194,-18.8194,-18.8194,-18.8194,-18.8193,-18.2559,-18.2559,-18.2559,-18.2559,-18.2559
15,0.867622,-20.3048,-20.3048,-20.3048,-20.3048,-20.3042,-19.8324,-19.8324,-19.8324,-19.8324,-19.832,-19.3153,-19.3153,-19.3153,-19.3153,-19.315,-18.7715,-18.7715,-18.7715,-18.7715,-18.7712,-18.2152,-18.2152,-18.2152,-18.2152,-18.215
16,0.939934,-20.2257,-20.2257,-20.2257,-20.2257,-20.2249,-19.7647,-19.7647,-19.7647,-19.7647,-19.7641,-19.2579,-19.2579,-19.2579,-19.2579,-19.2575,-18.7227,-18.7227,-18.7227,-18.7227,-18.7224,-18.1736,-18.1736,-18.1736,-18.1736,-18.1735
17,1.01437,-20.1472,-20.1472,-20.1472,-20.1472,-20.146,-19.6968,-19.6968,-19.6968,-19.6968,-19.696,-19.2002,-19.2002,-19.2002,-19.2002,-19.1995,-18.6734,-18.6734,-18.6734,-18.6734,-18.673,-18.1314,-18.1314,-18.1314,-18.1314,-18.1311
18,1.09098,-20.0689,-20.0689,-20.0689,-20.0689,-20.0674,-19.6289,-19.6289,-19.6289,-19.6289,-19.6279,-19.1418,-19.1418,-19.1418,-19.1418,-19.1411,-18.6235,-18.6235,-18.6235,-18.6235,-18.623,-18.0886,-18.0886,-18.0886,-18.0886,-18.0882
19,1.16984,-19.9907,-19.9907,-19.9907,-19.9907,-19.9889,-19.5606,-19.5606,-19.5606,-19.5606,-19.5594,-19.0828,-19.0828,-19.0828,-19.0828,-19.082,-18.5729,-18.5729,-18.5729,-18.5729,-18.5722,-18.0449,-18.0449,-18.0449,-18.0449,-18.0445
20,1.25101,-19.9125,-19.9125,-19.9125,-19.9125,-19.9104,-19.4921,-19.4921,-19.4921,-19.4921,-19.4907,-19.0236,-19.0236,-19.0236,-19.0236,-19.0224,-18.5216,-18.5216,-18.5216,-18.5216,-18.5208,-18.0006,-18.0006,-18.0006,-18.0006,-18
21,1.33455,-19.8343,-19.8343,-19.8343,-19.8343,-19.832,-19.4232,-19.4232,-19.4232,-19.4232,-19.4214,-18.9637,-18.9637,-18.9637,-18.9637,-18.9623,-18.4698,-18.4698,-18.4698,-18.4698,-18.4688,-17.9556,-17.9556,-17.9556,-17.9556,-17.9549
22,1.42055,-19.756,-19.756,-19.756,-19.756,-19.7534,-19.354,-19.354,-19.354,-19.354,-19.352,-18.9032,-18.9032,-18.9032,-18.9032,-18.9016,-18.4171,-18.4171,-18.4171,-18.4171,-18.416,-17.9097,-17.9097,-17.9097,-17.9097,-17.909
23,1.50907,-19.6777,-19.6777,-19.6777,-19.6775,-19.6747,-19.2845,-19.2845,-19.2845,-19.2845,-19.2822,-18.842,-18.842,-18.842,-18.842,-18.8403,-18.3637,-18.3637,-18.3637,-18.3637,-18.3624,-17.8631,-17.8631,-17.8631,-17.8631,-17.8623
24,1.60018,-19.5992,-19.5992,-19.5992,-19.5991,-19.596,-19.2146,-19.2146,-19.2146,-19.2146,-19.212,-18.7803,-18.7803,-18.7803,-18.7803,-18.7783,-18.3096,-18.3096,-18.3096,-18.3096,-18.3081,-17.8159,-17.8159,-17.8159,-17.8159,-17.8149
25,1.69396,-19.5206,-19.5206,-19.5206,-19.5205,-19.517,-19.1443,-19.1443,-19.1443,-19.1442,-19.1414,-18.7181,-18.7181,-18.7181,-18.7181,-18.7159,-18.2549,-18.2549,-18.2549,-18.2549,-18.2533,-17.7677,-17.7677,-17.7677,-17.7677,-17.7667
26,1.79048,-19.4418,-19.4418,-19.4418,-19.4418,-19.438,-19.0734,-19.0734,-19.0734,-19.0734,-19.0703,-18.6552,-18.6552,-18.6552,-18.6552,-18.6528,-18.1995,-18.1995,-18.1995,-18.1995,-18.1977,-17.719,-17.719,-17.719,-17.719,-17.7178
27,1.88984,-19.3628,-19.3628,-19.3628,-19.3627,-19.3587,-19.002,-19.002,-19.002,-19.002,-18.9987,-18.5917,-18.5917,-18.5917,-18.5917,-18.589,-18.1431,-18.1431,-18.1431,-18.1431,-18.1412,-17.6693,-17.6693,-17.6693,-17.6693,-17.668
28,1.99211,-19.2834,-19.2834,-19.2834,-19.2833,-19.2791,-18.9301,-18.9301,-18.9301,-18.9301,-18.9266,-18.5275,-18.5275,-18.5275,-18.5275,-18.5246,-18.0862,-18.0862,-18.0862,-18.0862,-18.084,-17.6188,-17.6188,-17.6188,-17.6188,-17.6175
29,2.09737,-19.2039,-19.2039,-19.2039,-19.2036,-19.1991,-18.8579,-18.8579,-18.8579,-18.8578,-18.854,-18.4626,-18.4626,-18.4626,-18.4626,-18.4595,-18.0285,-18.0285,-18.0285,-18.0285,-18.0262,-17.5677,-17.5677,-17.5677,-17.5677,-17.5662
30,2.20572,-19.1239,-19.1239,-19.1239,-19.1235,-19.1189,-18.7852,-18.7852,-18.7852,-18.7851,-18.781,-18.3971,-18.3971,-18.3971,-18.3971,-18.3938,-17.97,-17.97,-17.97,-17.97,-17.9675,-17.5158,-17.5158,-17.5158,-17.5158,-17.5141
31,2.31725,-19.0435,-19.0435,-19.0435,-19.0431,-19.0383,-18.7119,-18.7119,-18.7119,-18.7117,-18.7075,-18.331,-18.331,-18.331,-18.3309,-18.3274,-17.9107,-17.9107,-17.9107,-17.9107,-17.9081,-17.4629,-17.4629,-17.4629,-17.4629,-17.4612
32,2.43204,-18.9627,-18.9627,-18.9627,-18.9622,-18.9573,-18.638,-18.638,-18.638,-18.6377,-18.6333,-18.2641,-18.2641,-18.2641,-18.2641,-18.2604,-17.8508,-17.8508,-17.8508,-17.8508,-17.8479,-17.4094,-17.4094,-17.4094,-17.4094,-17.4075
33,2.5502,-18.8815,-18.8815,-18.8815,-18.881,-18.8758,-18.5635,-18.5635,-18.5635,-18.5633,-18.5586,-18.1965,-18.1965,-18.1965,-18.1965,-18.1926,-17.7901,-17.7901,-17.7901,-17.7901,-17.7871,-17.355,-17.355,-17.355,-17.355,-17.3529
34,2.67182,-18.8,-18.8,-18.8,-18.7994,-18.7939,-18.4884,-18.4884,-18.4884,-18.4882,-18.4833,-18.1282,-18.1282,-18.1282,-18.1281,-18.1241,-17.7285,-17.7285,-17.7285,-17.7285,-17.7254,-17.2998,-17.2998,-17.2998,-17.2998,-17.2976
35,2.797,-18.7181,-18.7181,-18.7181,-18.7175,-18.7117,-18.4128,-18.4128,-18.4128,-18.4124,-18.4074,-18.0593,-18.0593,-18.0593,-18.0592,-18.0549,-17.6661,-17.6661,-17.6661,-17.666,-17.6627,-17.2437,-17.2437,-17.2437,-17.2437,-17.2413
36,2.92586,-18.6357,-18.6357,-18.6357,-18.635,-18.629,-18.3366,-18.3366,-18.3366,-18.3362,-18.3309,-17.9897,-17.9897,-17.9897,-17.9895,-17.985,-17.603,-17.603,-17.603,-17.603,-17.5993,-17.1869,-17.1869,-17.1869,-17.1869,-17.1844
37,3.05848,-18.5529,-18.5529,-18.5529,-18.552,-18.5459,-18.2598,-18.2598,-18.2598,-18.2593,-18.2539,-17.9194,-17.9194,-17.9194,-17.9191,-17.9145,-17.5391,-17.5391,-17.5391,-17.5391,-17.5353,-17.1292,-17.1292,-17.1292,-17.1292,-17.1266
38,3.195,-18.4695,-18.4695,-18.4695,-18.4685,-18.4623,-18.1824,-18.1824,-18.1824,-18.1818,-18.1762,-17.8482,-17.8482,-17.8482,-17.848,-17.8432,-17.4744,-17.4744,-17.4744,-17.4744,-17.4705,-17.0706,-17.0706,-17.0706,-17.0706,-17.068
39,3.33551,-18.3855,-18.3855,-18.3855,-18.3846,-18.3782,-18.1043,-18.1043,-18.1043,-18.1037,-18.098,-17.7763,-17.7763,-17.7763,-17.7761,-17.7712,-17.4089,-17.4089,-17.4089,-17.4088,-17.4049,-17.0113,-17.0113,-17.0113,-17.0113,-17.0084
40,3.48015,-18.301,-18.301,-18.301,-18.3001,-18.2935,-18.0255,-18.0255,-18.0255,-18.025,-18.0191,-17.7037,-17.7037,-17.7037,-17.7035,-17.6984,-17.3425,-17.3425,-17.3425,-17.3424,-17.3384,-16.9512,-16.9512,-16.9512,-16.9512,-16.9481
41,3.62902,-18.216,-18.216,-18.216,-18.215,-18.2083,-17.9462,-17.9462,-17.9462,-17.9456,-17.9395,-17.6305,-17.6305,-17.6305,-17.6302,-17.6248,-17.2755,-17.2755,-17.2755,-17.2754,-17.2709,-16.8901,-16.8901,-16.8901,-16.8901,-16.8869
42,3.78225,-18.1305,-18.1305,-18.1305,-18.1295,-18.1227,-17.8662,-17.8662,-17.8662,-17.8656,-17.8593,-17.5565,-17.5565,-17.5565,-17.5561,-17.5506,-17.2076,-17.2076,-17.2076,-17.2075,-17.2029,-16.8281,-16.8281,-16.8281,-16.8281,-16.8249
43,3.93998,-18.0445,-18.0445,-18.0445,-18.0434,-18.0364,-17.7856,-17.7856,-17.7856,-17.7849,-17.7784,-17.4817,-17.4817,-17.4817,-17.4813,-17.4756,-17.1389,-17.1389,-17.1389,-17.1387,-17.1341,-16.7655,-16.7655,-16.7655,-16.7655,-16.7619
44,4.10232,-17.9579,-17.9579,-17.9579,-17.9568,-17.9497,-17.7043,-17.7043,-17.7043,-17.7035,-17.6969,-17.4062,-17.4062,-17.4062,-17.4058,-17.4,-17.0693,-17.0693,-17.0693,-17.0692,-17.0644,-16.702,-16.702,-16.702,-16.702,-16.6983
