gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
0,0,-5008.85,-5008.85,-5008.85,-5008.85,-5008.85,-5008.03,-5008.03,-5008.03,-5008.03,-5008.03,-5007.32,-5007.32,-5007.32,-5007.32,-5007.32,-5006.72,-5006.72,-5006.72,-5006.72,-5006.72,-5006.22,-5006.22,-5006.22,-5006.22,-5006.22
1,0.0185364,-622.785,-622.785,-622.785,-622.785,-622.785,-621.987,-621.987,-621.987,-621.987,-621.987,-621.299,-621.299,-621.299,-621.299,-621.299,-620.709,-620.709,-620.709,-620.709,-620.709,-620.207,-620.207,-620.207,-620.207,-620.207
2,0.0372875,-232.318,-232.318,-232.318,-232.318,-232.318,-231.54,-231.54,-231.54,-231.54,-231.54,-230.866,-230.866,-230.866,-230.866,-230.866,-230.286,-230.286,-230.286,-230.286,-230.286,-229.79,-229.79,-229.79,-229.79,-229.79
3,0.0562558,-122.551,-122.551,-122.551,-122.551,-122.551,-121.794,-121.794,-121.794,-121.794,-121.794,-121.133,-121.133,-121.133,-121.133,-121.133,-120.562,-120.562,-120.562,-120.562,-120.562,-120.072,-120.072,-120.072,-120.072,-120.072
4,0.0754439,-77.078,-77.078,-77.078,-77.078,-77.078,-76.3394,-76.3394,-76.3394,-76.3394,-76.3394,-75.6916,-75.6916,-75.6916,-75.6916,-75.6916,-75.1289,-75.1289,-75.1289,-75.1289,-75.1289,-74.6452,-74.6452,-74.6452,-74.6452,-74.6452
5,0.0948544,-54.0096,-54.0096,-54.0096,-54.0096,-54.0096,-53.2891,-53.2891,-53.2891,-53.2891,-53.2891,-52.6536,-52.6536,-52.6536,-52.6536,-52.6536,-52.0994,-52.0994,-52.0994,-52.0994,-52.0994,-51.6217,-51.6217,-51.6217,-51.6217,-51.6217
6,0.11449,-40.7373,-40.7373,-40.7373,-40.7373,-40.7373,-40.0339,-40.0339,-40.0339,-40.0339,-40.0339,-39.4107,-39.4107,-39.4107,-39.4107,-39.4107,-38.8649,-38.8649,-38.8649,-38.8649,-38.8649,-38.3929,-38.3929,-38.3929,-38.3929,-38.3929
7,0.134352,-32.4128,-32.4128,-32.4128,-32.4128,-32.4128,-31.7264,-31.7264,-31.7264,-31.7264,-31.7264,-31.1149,-31.1149,-31.1149,-31.1149,-31.1149,-30.5773,-30.5773,-30.5773,-30.5773,-30.5773,-30.1111,-30.1111,-30.1111,-30.1111,-30.1111
8,0.154445,-26.8527,-26.8527,-26.8527,-26.8527,-26.8527,-26.182,-26.182,-26.182,-26.182,-26.182,-25.5818,-25.5818,-25.5818,-25.5818,-25.5818,-25.0523,-25.0523,-25.0523,-25.0523,-25.0523,-24.5915,-24.5915,-24.5915,-24.5915,-24.5915
9,0.174771,-22.9548,-22.9548,-22.9548,-22.9548,-22.9548,-22.2997,-22.2997,-22.2997,-22.2997,-22.2997,-21.7103,-21.7103,-21.7103,-21.7103,-21.7103,-21.1886,-21.1886,-21.1886,-21.1886,-21.1886,-20.7334,-20.7334,-20.7334,-20.7334,-20.7334
10,0.195332,-20.1161,-20.1161,-20.1161,-20.1161,-20.1161,-19.4758,-19.4758,-19.4758,-19.4758,-19.4758,-18.8972,-18.8972,-18.8972,-18.8972,-18.8972,-18.3832,-18.3832,-18.3832,-18.3832,-18.3832,-17.9333,-17.9333,-17.9333,-17.9333,-17.9333
11,0.216131,-17.9837,-17.9837,-17.9837,-17.9837,-17.9837,-17.3575,-17.3575,-17.3575,-17.3575,-17.3575,-16.7892,-16.7892,-16.7892,-16.7892,-16.7892,-16.2827,-16.2827,-16.2827,-16.2827,-16.2827,-15.8382,-15.8382,-15.8382,-15.8382,-15.8382
12,0.237172,-16.3395,-16.3395,-16.3395,-16.3395,-16.3395,-15.7273,-15.7273,-15.7273,-15.7273,-15.7273,-15.1692,-15.1692,-15.1692,-15.1692,-15.1692,-14.6699,-14.6699,-14.6699,-14.6699,-14.6699,-14.2306,-14.2306,-14.2306,-14.2306,-14.2306
13,0.258456,-15.0443,-15.0443,-15.0443,-15.0443,-15.0443,-14.4451,-14.4451,-14.4451,-14.4451,-14.4451,-13.8968,-13.8968,-13.8968,-13.8968,-13.8968,-13.4047,-13.4047,-13.4047,-13.4047,-13.4047,-12.9706,-12.9706,-12.9706,-12.9706,-12.9706
14,0.279986,-14.0043,-14.0043,-14.0043,-14.0043,-14.0043,-13.418,-13.418,-13.418,-13.418,-13.418,-12.879,-12.879,-12.879,-12.879,-12.879,-12.3939,-12.3939,-12.3939,-12.3939,-12.3939,-11.9649,-11.9649,-11.9649,-11.9649,-11.9649
15,0.301766,-13.1553,-13.1553,-13.1553,-13.1553,-13.1553,-12.5813,-12.5813,-12.5813,-12.5813,-12.5813,-12.0518,-12.0518,-12.0518,-12.0518,-12.0518,-11.5735,-11.5735,-11.5735,-11.5735,-11.5735,-11.1495,-11.1495,-11.1495,-11.1495,-11.1495
16,0.323799,-12.4526,-12.4526,-12.4526,-12.4526,-12.4526,-11.8904,-11.8904,-11.8904,-11.8904,-11.8904,-11.37,-11.37,-11.37,-11.37,-11.37,-10.8983,-10.8983,-10.8983,-10.8983,-10.8983,-10.4792,-10.4792,-10.4792,-10.4792,-10.4792
17,0.346087,-11.8631,-11.8631,-11.8631,-11.8631,-11.8631,-11.3125,-11.3125,-11.3125,-11.3125,-11.3125,-10.8009,-10.8009,-10.8009,-10.8009,-10.8009,-10.3357,-10.3357,-10.3357,-10.3357,-10.3357,-9.92152,-9.92152,-9.92152,-9.92152,-9.92152
18,0.368632,-11.363,-11.363,-11.363,-11.363,-11.363,-10.8237,-10.8237,-10.8237,-10.8237,-10.8237,-10.3205,-10.3205,-10.3205,-10.3205,-10.3205,-9.86189,-9.86189,-9.86189,-9.86189,-9.86189,-9.45229,-9.45229,-9.45229,-9.45229,-9.45229
19,0.391439,-10.9345,-10.9345,-10.9345,-10.9345,-10.9345,-10.4059,-10.4059,-10.4059,-10.4059,-10.4059,-9.91095,-9.91095,-9.91095,-9.91095,-9.91095,-9.45865,-9.45865,-9.45865,-9.45865,-9.45865,-9.05383,-9.05383,-9.05383,-9.05383,-9.05383
20,0.414511,-10.5636,-10.5636,-10.5636,-10.5636,-10.5636,-10.0454,-10.0454,-10.0454,-10.0454,-10.0454,-9.5587,-9.5587,-9.5587,-9.5587,-9.5587,-9.11259,-9.11259,-9.11259,-9.11259,-9.11259,-8.71229,-8.71229,-8.71229,-8.71229,-8.71229
21,0.437849,-10.2399,-10.2399,-10.2399,-10.2399,-10.2399,-9.73189,-9.73189,-9.73189,-9.73189,-9.73189,-9.25307,-9.25307,-9.25307,-9.25307,-9.25307,-8.81292,-8.81292,-8.81292,-8.81292,-8.81292,-8.41729,-8.41729,-8.41729,-8.41729,-8.41729
22,0.461458,-9.95513,-9.95513,-9.95513,-9.95513,-9.95513,-9.45693,-9.45693,-9.45693,-9.45693,-9.45693,-8.9858,-8.9858,-8.9858,-8.9858,-8.9858,-8.5517,-8.5517,-8.5517,-8.5517,-8.5517,-8.16051,-8.16051,-8.16051,-8.16051,-8.16051
23,0.485341,-9.70288,-9.70288,-9.70288,-9.70288,-9.70288,-9.21421,-9.21421,-9.21421,-9.21421,-9.21421,-8.75067,-8.75067,-8.75067,-8.75067,-8.75067,-8.32226,-8.32226,-8.32226,-8.32226,-8.32226,-7.93548,-7.93548,-7.93548,-7.93548,-7.93548
24,0.5095,-9.47784,-9.47784,-9.47784,-9.47784,-9.47784,-8.99845,-8.99845,-8.99845,-8.99845,-8.99845,-8.54215,-8.54215,-8.54215,-8.54215,-8.54215,-8.11952,-8.11952,-8.11952,-8.11952,-8.11952,-7.73709,-7.73709,-7.73709,-7.73709,-7.73709
25,0.533939,-9.27587,-9.27587,-9.27587,-9.27587,-9.27587,-8.80528,-8.80528,-8.80528,-8.80528,-8.80528,-8.35629,-8.35629,-8.35629,-8.35629,-8.35629,-7.93925,-7.93925,-7.93925,-7.93925,-7.93925,-7.56103,-7.56103,-7.56103,-7.56103,-7.56103
26,0.558661,-9.09332,-9.09332,-9.09332,-9.09332,-9.09332,-8.63169,-8.63169,-8.63169,-8.63169,-8.63169,-8.18963,-8.18963,-8.18963,-8.18963,-8.18963,-7.77808,-7.77808,-7.77808,-7.77808,-7.77808,-7.40415,-7.40415,-7.40415,-7.40415,-7.40415
27,0.58367,-8.92798,-8.92798,-8.92798,-8.92798,-8.92798,-8.47467,-8.47467,-8.47467,-8.47467,-8.47467,-8.03941,-8.03941,-8.03941,-8.03941,-8.03941,-7.63321,-7.63321,-7.63321,-7.63321,-7.63321,-7.26339,-7.26339,-7.26339,-7.26339,-7.26339
28,0.608968,-8.77695,-8.77695,-8.77695,-8.77695,-8.77695,-8.33178,-8.33178,-8.33178,-8.33178,-8.33178,-7.90328,-7.90328,-7.90328,-7.90328,-7.90328,-7.50241,-7.50241,-7.50241,-7.50241,-7.50241,-7.13671,-7.13671,-7.13671,-7.13671,-7.13671
29,0.634559,-8.63836,-8.63836,-8.63836,-8.63836,-8.63836,-8.20137,-8.20137,-8.20137,-8.20137,-8.20137,-7.77932,-7.77932,-7.77932,-7.77932,-7.77932,-7.3836,-7.3836,-7.3836,-7.3836,-7.3836,-7.022,-7.022,-7.022,-7.022,-7.022
30,0.660447,-8.51101,-8.51101,-8.51101,-8.51101,-8.51101,-8.08165,-8.08165,-8.08165,-8.08165,-8.08165,-7.66607,-7.66607,-7.66607,-7.66607,-7.66607,-7.27547,-7.27547,-7.27547,-7.27547,-7.27547,-6.9178,-6.9178,-6.9178,-6.9178,-6.9178
31,0.686635,-8.3933,-8.3933,-8.3933,-8.3933,-8.3933,-7.97143,-7.97143,-7.97143,-7.97143,-7.97143,-7.56195,-7.56195,-7.56195,-7.56195,-7.56195,-7.17643,-7.17643,-7.17643,-7.17643,-7.17643,-6.82272,-6.82272,-6.82272,-6.82272,-6.82272
32,0.713126,-8.2839,-8.2839,-8.2839,-8.2839,-8.2839,-7.86945,-7.86945,-7.86945,-7.86945,-7.86945,-7.46618,-7.46618,-7.46618,-7.46618,-7.46618,-7.08549,-7.08549,-7.08549,-7.08549,-7.08549,-6.73561,-6.73561,-6.73561,-6.73561,-6.73561
33,0.739924,-8.18194,-8.18194,-8.18194,-8.18194,-8.18194,-7.7747,-7.7747,-7.7747,-7.7747,-7.7747,-7.37741,-7.37741,-7.37741,-7.37741,-7.37741,-7.00157,-7.00157,-7.00157,-7.00157,-7.00157,-6.6555,-6.6555,-6.6555,-6.6555,-6.6555
34,0.767033,-8.08681,-8.08681,-8.08681,-8.08681,-8.08681,-7.68652,-7.68652,-7.68652,-7.68652,-7.68652,-7.29498,-7.29498,-7.29498,-7.29498,-7.29498,-6.92393,-6.92393,-6.92393,-6.92393,-6.92393,-6.58161,-6.58161,-6.58161,-6.58161,-6.58161
35,0.794456,-7.99757,-7.99757,-7.99757,-7.99757,-7.99757,-7.604,-7.604,-7.604,-7.604,-7.604,-7.21821,-7.21821,-7.21821,-7.21821,-7.21821,-6.85175,-6.85175,-6.85175,-6.85175,-6.85175,-6.51317,-6.51317,-6.51317,-6.51317,-6.51317
36,0.822196,-7.9136,-7.9136,-7.9136,-7.9136,-7.9136,-7.52654,-7.52654,-7.52654,-7.52654,-7.52654,-7.14639,-7.14639,-7.14639,-7.14639,-7.14639,-6.7846,-6.7846,-6.7846,-6.7846,-6.7846,-6.44968,-6.44968,-6.44968,-6.44968,-6.44968
