gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-5030.98,-5030.98,-5030.98,-5027.35,-5027.35,-5027.35,-5024.64,-5024.64,-5024.64,-5022.56,-5022.56,-5022.56,-5020.93,-5020.93,-5020.93
1,0.0468873,-184.426,-184.426,-184.426,-181.304,-181.304,-181.304,-178.851,-178.851,-178.851,-176.901,-176.901,-176.901,-175.341,-175.341,-175.341
2,0.0951487,-74.262,-74.262,-74.262,-71.5387,-71.5387,-71.5387,-69.2962,-69.2962,-69.2962,-67.4655,-67.4655,-67.4655,-65.9676,-65.9676,-65.9676
3,0.144824,-49.1602,-49.1602,-49.1602,-46.7396,-46.7396,-46.7396,-44.6806,-44.6806,-44.6806,-42.9518,-42.9518,-42.9518,-41.5133,-41.5133,-41.5133
4,0.195956,-39.4668,-39.4668,-39.4668,-37.2822,-37.2822,-37.2822,-35.3743,-35.3743,-35.3743,-33.7379,-33.7379,-33.7379,-32.353,-32.353,-32.353
5,0.248585,-34.5995,-34.5995,-34.5995,-32.6241,-32.6241,-32.6241,-30.8439,-30.8439,-30.8439,-29.2898,-29.2898,-29.2898,-27.9555,-27.9555,-27.9555
6,0.302757,-31.7373,-31.7373,-31.7373,-29.9325,-29.9325,-29.9325,-28.2703,-28.2703,-28.2703,-26.7909,-26.7909,-26.7909,-25.5037,-25.5037,-25.5037
7,0.358517,-29.8685,-29.8685,-29.8685,-28.2004,-28.2004,-28.2004,-26.6422,-26.6422,-26.6422,-25.2324,-25.2324,-25.2324,-23.989,-23.989,-23.989
8,0.41591,-28.5445,-28.5445,-28.5445,-26.9977,-26.9977,-26.9977,-25.5272,-25.5272,-25.5272,-24.181,-24.181,-24.181,-22.9797,-22.9797,-22.9797
9,0.474986,-27.546,-27.546,-27.546,-26.11,-26.11,-26.11,-24.7193,-24.7193,-24.7193,-23.4297,-23.4297,-23.4297,-22.2666,-22.2666,-22.2666
