gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000
1,0.0468873,-2962.83,-2961.9,-2960.95,-2962.83,-2961.9,-2960.95,-2962.83,-2961.9,-2960.95,-2962.83,-2961.9,-2960.95,-2962.83,-2961.9,-2960.95
2,0.0951487,-764.105,-763.389,-762.468,-764.105,-763.389,-762.468,-764.105,-763.389,-762.468,-764.105,-763.389,-762.468,-764.105,-763.389,-762.468
3,0.144824,-409.161,-408.627,-408.162,-409.161,-408.627,-408.162,-409.161,-408.627,-408.162,-409.161,-408.627,-408.162,-409.161,-408.627,-408.162
4,0.195956,-287.753,-287.415,-287.117,-287.753,-287.415,-287.117,-287.753,-287.415,-287.117,-287.753,-287.415,-287.117,-287.753,-287.415,-287.117
5,0.248585,-228.359,-228.122,-227.903,-228.359,-228.122,-227.903,-228.359,-228.122,-227.903,-228.359,-228.122,-227.903,-228.359,-228.122,-227.903
6,0.302757,-192.945,-192.761,-192.573,-192.945,-192.761,-192.573,-192.945,-192.761,-192.573,-192.945,-192.761,-192.573,-192.945,-192.761,-192.573
7,0.358517,-169.104,-168.953,-168.664,-169.104,-168.953,-168.664,-169.104,-168.953,-168.664,-169.104,-168.953,-168.664,-169.104,-168.953,-168.664
8,0.41591,-151.763,-151.609,-151.344,-151.763,-151.609,-151.344,-151.763,-151.609,-151.344,-151.763,-151.609,-151.344,-151.763,-151.609,-151.344
9,0.474986,-138.465,-138.299,-138.094,-138.465,-138.299,-138.094,-138.465,-138.299,-138.094,-138.465,-138.299,-138.094,-138.465,-138.299,-138.094
10,0.535792,-127.859,-127.705,-127.519,-127.859,-127.705,-127.519,-127.859,-127.705,-127.519,-127.859,-127.705,-127.519,-127.859,-127.705,-127.519
11,0.598381,-119.133,-119.001,-118.78,-119.133,-119.001,-118.78,-119.133,-119.001,-118.78,-119.133,-119.001,-118.78,-119.133,-119.001,-118.78
12,0.662804,-111.784,-111.676,-111.438,-111.784,-111.676,-111.438,-111.784,-111.676,-111.438,-111.784,-111.676,-111.438,-111.784,-111.676,-111.438
13,0.729114,-105.488,-105.387,-105.157,-105.488,-105.387,-105.157,-105.488,-105.387,-105.157,-105.488,-105.387,-105.157,-105.488,-105.387,-105.157
14,0.797368,-100.011,-99.9004,-99.6937,-100.011,-99.9004,-99.6937,-100.011,-99.9004,-99.6937,-100.011,-99.9004,-99.6937,-100.011,-99.9004,-99.6937
15,0.867622,-95.1822,-95.0693,-94.8845,-95.1822,-95.0693,-94.8845,-95.1822,-95.0693,-94.8845,-95.1822,-95.0693,-94.8845,-95.1822,-95.0693,-94.8845
16,0.939934,-90.8906,-90.7812,-90.6103,-90.8906,-90.7812,-90.6103,-90.8906,-90.7812,-90.6103,-90.8906,-90.7812,-90.6103,-90.8906,-90.7812,-90.6103
17,1.01437,-87.0553,-86.9501,-86.793,-87.0553,-86.9501,-86.793,-87.0553,-86.9501,-86.793,-87.0553,-86.9501,-86.793,-87.0553,-86.9501,-86.793
18,1.09098,-83.6081,-83.4999,-83.3492,-83.6081,-83.4999,-83.3492,-83.6081,-83.4999,-83.3492,-83.6081,-83.4999,-83.3492,-83.6081,-83.4999,-83.3492
19,1.16984,-80.4776,-80.3682,-80.2248,-80.4776,-80.3682,-80.2248,-80.4776,-80.3682,-80.2248,-80.4776,-80.3682,-80.2248,-80.4776,-80.3682,-80.2248
