gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
0,0,-21.6969,-21.6969,-21.6969,-20.912,-20.912,-20.912,-20.157,-20.157,-20.157,-19.4406,-19.4406,-19.4406,-18.763,-18.763,-18.763
1,0.0468873,-21.5675,-21.5675,-21.5675,-20.8258,-20.8258,-20.8258,-20.0977,-20.0977,-20.0977,-19.3977,-19.3977,-19.3977,-18.7302,-18.7302,-18.7302
2,0.0951487,-21.4508,-21.4508,-21.4508,-20.7445,-20.7445,-20.7445,-20.0394,-20.0394,-20.0394,-19.3555,-19.3555,-19.3555,-18.6971,-18.6971,-18.6971
3,0.144824,-21.3427,-21.3427,-21.3427,-20.6662,-20.6662,-20.6662,-19.9827,-19.9827,-19.9827,-19.3129,-19.3129,-19.3129,-18.6635,-18.6635,-18.6635
4,0.195956,-21.2412,-21.2412,-21.2412,-20.5908,-20.5908,-20.5908,-19.9271,-19.9271,-19.9271,-19.2702,-19.2702,-19.2702,-18.6293,-18.6293,-18.6293
5,0.248585,-21.1453,-21.1453,-21.1453,-20.5182,-20.5182,-20.5182,-19.8718,-19.8718,-19.8718,-19.2271,-19.2271,-19.2271,-18.5947,-18.5947,-18.5947
6,0.302757,-21.0539,-21.0539,-21.0539,-20.4471,-20.4471,-20.4471,-19.8169,-19.8169,-19.8169,-19.1837,-19.1837,-19.1837,-18.5595,-18.5595,-18.5595
7,0.358517,-20.9646,-20.9646,-20.9646,-20.3769,-20.3769,-20.3769,-19.7619,-19.7619,-19.7619,-19.14,-19.14,-19.14,-18.5238,-18.5238,-18.5238
8,0.41591,-20.8778,-20.8778,-20.8778,-20.3075,-20.3075,-20.3075,-19.7067,-19.7067,-19.7067,-19.0957,-19.0957,-19.0957,-18.4873,-18.4873,-18.4873
9,0.474986,-20.7925,-20.7925,-20.7925,-20.2391,-20.2391,-20.2391,-19.6516,-19.6516,-19.6516,-19.051,-19.051,-19.051,-18.4505,-18.4505,-18.4505
