gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
0,0,-55.5557,-55.5557,-55.5558,-55.5557,-55.5558,-55.5557,-55.5557
1,0.0185364,-54.9283,-54.9223,-54.9165,-54.9105,-54.9045,-54.8984,-54.8923
2,0.0372875,-54.3466,-54.3335,-54.3206,-54.3075,-54.2944,-54.2811,-54.2687
3,0.0562558,-53.7937,-53.7752,-53.7568,-53.7382,-53.7195,-53.7006,-53.6818
4,0.0754439,-53.2569,-53.2335,-53.2102,-53.1866,-53.1631,-53.1393,-53.1155
5,0.0948544,-52.7377,-52.7093,-52.6811,-52.6525,-52.624,-52.5952,-52.5664
6,0.11449,-52.2328,-52.1983,-52.1646,-52.1314,-52.0983,-52.0648,-52.0314
7,0.134352,-51.7413,-51.7025,-51.6636,-51.6245,-51.5854,-51.5474,-51.5094
8,0.154445,-51.2588,-51.2156,-51.1724,-51.1289,-51.0853,-51.0415,-50.9982
9,0.174771,-50.7856,-50.7384,-50.6911,-50.6435,-50.5958,-50.5478,-50.4997
10,0.195332,-50.3213,-50.27,-50.2187,-50.167,-50.1152,-50.0632,-50.0111
11,0.216131,-49.8645,-49.8094,-49.7542,-49.6987,-49.6431,-49.5872,-49.5313
12,0.237172,-49.4149,-49.3561,-49.2972,-49.238,-49.1786,-49.119,-49.0593
13,0.258456,-48.9735,-48.9095,-48.847,-48.7842,-48.7212,-48.658,-48.5947
14,0.279986,-48.538,-48.4704,-48.4032,-48.3368,-48.2704,-48.2037,-48.1369
15,0.301766,-48.1081,-48.0372,-47.9661,-47.8956,-47.8258,-47.7557,-47.6855
16,0.323799,-47.6835,-47.6092,-47.5349,-47.4602,-47.387,-47.3136,-47.2401
17,0.346087,-47.2639,-47.1864,-47.1089,-47.031,-46.9538,-46.8772,-46.8005
18,0.368632,-46.8492,-46.7686,-46.688,-46.6069,-46.5259,-46.4461,-46.3663
19,0.391439,-46.4392,-46.3555,-46.2718,-46.1877,-46.1034,-46.0201,-45.9373
20,0.414511,-46.0335,-45.947,-45.8603,-45.7732,-45.686,-45.5992,-45.5134
21,0.437849,-45.6322,-45.5427,-45.4532,-45.3632,-45.2731,-45.183,-45.0943
22,0.461458,-45.2349,-45.1426,-45.0503,-44.9575,-44.8646,-44.7714,-44.6799
23,0.485341,-44.8417,-44.7464,-44.6514,-44.556,-44.4604,-44.3645,-44.2699
24,0.5095,-44.4526,-44.3541,-44.2564,-44.1584,-44.0602,-43.9616,-43.8641
25,0.533939,-44.0671,-43.9654,-43.8652,-43.7646,-43.6638,-43.5627,-43.4624
26,0.558661,-43.6849,-43.5804,-43.4775,-43.3745,-43.2712,-43.1677,-43.0646
27,0.58367,-43.3061,-43.1992,-43.0934,-42.9879,-42.8823,-42.7763,-42.6706
28,0.608968,-42.9305,-42.8212,-42.7126,-42.6048,-42.4968,-42.3884,-42.2803
29,0.634559,-42.5579,-42.4464,-42.3351,-42.225,-42.1147,-42.0041,-41.8935
30,0.660447,-42.1884,-42.0746,-41.9607,-41.8484,-41.7359,-41.6231,-41.5101
31,0.686635,-41.8218,-41.7058,-41.5897,-41.475,-41.3603,-41.2453,-41.1302
32,0.713126,-41.4581,-41.34,-41.2217,-41.1046,-40.9878,-40.8707,-40.7535
33,0.739924,-41.0972,-40.977,-40.8566,-40.7372,-40.6183,-40.4992,-40.3799
34,0.767033,-40.7389,-40.6167,-40.4944,-40.3726,-40.2518,-40.1307,-40.0094
35,0.794456,-40.3834,-40.2592,-40.1349,-40.011,-39.8882,-39.7651,-39.6419
36,0.822196,-40.0304,-39.9044,-39.7781,-39.6521,-39.5275,-39.4024,-39.2773
37,0.850258,-39.6801,-39.5521,-39.424,-39.2959,-39.1694,-39.0426,-38.9156
38,0.878644,-39.3321,-39.2024,-39.0725,-38.9424,-38.8141,-38.6855,-38.5568
39,0.90736,-38.9866,-38.8551,-38.7234,-38.5915,-38.4614,-38.3311,-38.2006
40,0.936408,-38.6435,-38.5103,-38.3769,-38.2432,-38.1114,-37.9793,-37.8472
41,0.965793,-38.3028,-38.1679,-38.0328,-37.8974,-37.7638,-37.6301,-37.4964
42,0.995519,-37.9646,-37.8278,-37.6911,-37.5541,-37.4188,-37.2835,-37.1482
43,1.02559,-37.6286,-37.49,-37.3518,-37.2132,-37.0762,-36.9394,-36.8025
44,1.05601,-37.2948,-37.1545,-37.0147,-36.8747,-36.7361,-36.5978,-36.4594
45,1.08678,-36.9632,-36.8212,-36.68,-36.5385,-36.3983,-36.2586,-36.1187
46,1.1179,-36.6338,-36.4902,-36.3475,-36.2045,-36.0629,-35.9218,-35.7805
47,1.14939,-36.3065,-36.1613,-36.0172,-35.8729,-35.7298,-35.5873,-35.4447
48,1.18124,-35.9813,-35.8345,-35.6892,-35.5435,-35.399,-35.2552,-35.1112
49,1.21346,-35.6581,-35.5099,-35.3632,-35.2162,-35.0704,-34.9253,-34.7801
50,1.24606,-35.337,-35.1874,-35.0394,-34.8912,-34.7441,-34.5977,-34.4513
51,1.27903,-35.0178,-34.8669,-34.7177,-34.5682,-34.4199,-34.2723,-34.1247
52,1.31239,-34.7007,-34.5484,-34.3981,-34.2474,-34.0979,-33.9492,-33.8004
53,1.34613,-34.3855,-34.232,-34.0805,-33.9287,-33.778,-33.6282,-33.4783
54,1.38026,-34.0723,-33.9175,-33.7649,-33.6121,-33.4603,-33.3093,-33.1584
55,1.41479,-33.761,-33.6051,-33.4514,-33.2975,-33.1446,-32.9926,-32.8406
56,1.44971,-33.4516,-33.2947,-33.1398,-32.9849,-32.831,-32.678,-32.5251
57,1.48504,-33.144,-32.9862,-32.8302,-32.6743,-32.5194,-32.3655,-32.2116
58,1.52078,-32.8384,-32.6795,-32.5226,-32.3657,-32.2099,-32.055,-31.9003
59,1.55694,-32.5346,-32.3748,-32.2169,-32.0591,-31.9023,-31.7466,-31.5911
60,1.59351,-32.2326,-32.072,-31.9131,-31.7544,-31.5968,-31.4402,-31.2839
61,1.63051,-31.9325,-31.771,-31.6112,-31.4517,-31.2932,-31.1358,-30.9787
62,1.66794,-31.6342,-31.4719,-31.3112,-31.1509,-30.9916,-30.8334,-30.6756
63,1.7058,-31.3377,-31.1746,-31.013,-30.852,-30.692,-30.533,-30.3746
64,1.7441,-31.043,-30.8791,-30.7168,-30.555,-30.3942,-30.2346,-30.0755
65,1.78284,-30.75,-30.5854,-30.4223,-30.2598,-30.0984,-29.9381,-29.7784
66,1.82203,-30.4588,-30.2935,-30.1297,-29.9666,-29.8045,-29.6435,-29.4832
67,1.86167,-30.1694,-30.0035,-29.839,-29.6752,-29.5125,-29.3509,-29.1901
68,1.90178,-29.8817,-29.7151,-29.55,-29.3856,-29.2224,-29.0602,-28.8988
69,1.94235,-29.5958,-29.4286,-29.2629,-29.0979,-28.9341,-28.7714,-28.6095
70,1.98339,-29.3115,-29.1438,-28.9775,-28.812,-28.6477,-28.4844,-28.3222
71,2.0249,-29.029,-28.8608,-28.6939,-28.5279,-28.3631,-28.1994,-28.0367
72,2.0669,-28.7482,-28.5795,-28.4121,-28.2456,-28.0804,-27.9162,-27.7531
73,2.10938,-28.4691,-28.2999,-28.1321,-27.9652,-27.7995,-27.6349,-27.4715
74,2.15235,-28.1917,-28.0221,-27.8538,-27.6865,-27.5204,-27.3554,-27.1917
75,2.19582,-27.916,-27.746,-27.5773,-27.4096,-27.2432,-27.0778,-26.9138
76,2.2398,-27.642,-27.4716,-27.3025,-27.1344,-26.9677,-26.802,-26.6377
77,2.28428,-27.3697,-27.1989,-27.0295,-26.8611,-26.6941,-26.5281,-26.3635
78,2.32928,-27.099,-26.9279,-26.7582,-26.5895,-26.4222,-26.2559,-26.0912
79,2.37481,-26.83,-26.6586,-26.4886,-26.3196,-26.1521,-25.9856,-25.8207
80,2.42085,-26.5626,-26.391,-26.2207,-26.0515,-25.8838,-25.7171,-25.552
81,2.46744,-26.297,-26.1251,-25.9546,-25.7852,-25.6173,-25.4503,-25.2851
82,2.51456,-26.0329,-25.8609,-25.6901,-25.5206,-25.3525,-25.1854,-25.0201
83,2.56223,-25.7705,-25.5983,-25.4274,-25.2577,-25.0895,-24.9222,-24.7569
