gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6],VF[7],VF[8],VF[9],VF[10],VF[11],VF[12],VF[13],VF[14],VF[15],VF[16],VF[17],VF[18],VF[19],VF[20],VF[21],VF[22],VF[23],VF[24],VF[25],VF[26],VF[27],VF[28],VF[29],VF[30],VF[31],VF[32],VF[33],VF[34],VF[35],VF[36],VF[37],VF[38],VF[39],VF[40],VF[41],VF[42],VF[43],VF[44],VF[45],VF[46],VF[47],VF[48]
0,0,-4.8061,-4.8061,-4.80611,-4.8061,-4.80611,-4.8061,-4.8061,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.33756,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-4.00363,-3.75852,-3.75852,-3.75852,-3.75851,-3.75852,-3.75852,-3.75851,-3.55298,-3.55298,-3.55298,-3.55296,-3.55297,-3.55296,-3.55296,-3.36303,-3.36302,-3.36302,-3.36301,-3.36301,-3.363,-3.363,-3.17934,-3.17933,-3.17933,-3.17932,-3.17932,-3.17931,-3.17931
1,0.0156618,-4.75151,-4.75097,-4.75044,-4.7499,-4.74937,-4.74883,-4.74829,-4.30741,-4.30711,-4.30682,-4.30651,-4.30622,-4.30592,-4.30562,-3.987,-3.98683,-3.98667,-3.9865,-3.98634,-3.98617,-3.98601,-3.74822,-3.74812,-3.74802,-3.74791,-3.74781,-3.7477,-3.74759,-3.54521,-3.54513,-3.54505,-3.54496,-3.54488,-3.5448,-3.54472,-3.35678,-3.35672,-3.35665,-3.35658,-3.35652,-3.35644,-3.35638,-3.17418,-3.17412,-3.17407,-3.174,-3.17395,-3.17389,-3.17383
2,0.031477,-4.7001,-4.69909,-4.69809,-4.69708,-4.69609,-4.69508,-4.69408,-4.27866,-4.2781,-4.27753,-4.27696,-4.2764,-4.27583,-4.27527,-3.97098,-3.97066,-3.97034,-3.97002,-3.96971,-3.96939,-3.96908,-3.73795,-3.73774,-3.73754,-3.73732,-3.73712,-3.73691,-3.7367,-3.53743,-3.53727,-3.53711,-3.53694,-3.53678,-3.53662,-3.53646,-3.35053,-3.3504,-3.35027,-3.35013,-3.35001,-3.34987,-3.34974,-3.16899,-3.16888,-3.16877,-3.16866,-3.16855,-3.16844,-3.16833
3,0.0474469,-4.65165,-4.65023,-4.64882,-4.6474,-4.646,-4.64459,-4.64319,-4.25124,-4.25043,-4.24963,-4.24882,-4.24802,-4.24722,-4.24642,-3.95554,-3.95508,-3.95463,-3.95417,-3.95372,-3.95326,-3.95281,-3.72785,-3.72754,-3.72724,-3.72693,-3.72663,-3.72632,-3.72602,-3.52968,-3.52945,-3.52921,-3.52897,-3.52874,-3.52849,-3.52826,-3.34425,-3.34405,-3.34386,-3.34366,-3.34347,-3.34327,-3.34308,-3.16377,-3.16361,-3.16345,-3.16328,-3.16312,-3.16295,-3.16279
4,0.0635732,-4.60593,-4.60416,-4.60239,-4.60062,-4.59887,-4.59711,-4.59536,-4.22507,-4.22404,-4.22303,-4.222,-4.22099,-4.21998,-4.21897,-3.94066,-3.94008,-3.9395,-3.93891,-3.93833,-3.93775,-3.93717,-3.71772,-3.71732,-3.71692,-3.71651,-3.71612,-3.71572,-3.71532,-3.52191,-3.5216,-3.52129,-3.52097,-3.52067,-3.52035,-3.52004,-3.33793,-3.33767,-3.33741,-3.33715,-3.3369,-3.33664,-3.33639,-3.15852,-3.15831,-3.15809,-3.15787,-3.15766,-3.15745,-3.15723
5,0.0798573,-4.56277,-4.56069,-4.55861,-4.55654,-4.55448,-4.55242,-4.55037,-4.20007,-4.19886,-4.19765,-4.19644,-4.19524,-4.19403,-4.19284,-3.92632,-3.92562,-3.92492,-3.92422,-3.92353,-3.92283,-3.92214,-3.70779,-3.70729,-3.70679,-3.70629,-3.7058,-3.7053,-3.7048,-3.51415,-3.51376,-3.51338,-3.51298,-3.51259,-3.5122,-3.51181,-3.33162,-3.3313,-3.33099,-3.33066,-3.33035,-3.33003,-3.32971,-3.15324,-3.15297,-3.1527,-3.15243,-3.15217,-3.1519,-3.15163
6,0.0963008,-4.52198,-4.51963,-4.51729,-4.51495,-4.51263,-4.51031,-4.50801,-4.17619,-4.17481,-4.17343,-4.17205,-4.17068,-4.16931,-4.16795,-3.91249,-3.91168,-3.91088,-3.91007,-3.90928,-3.90848,-3.90768,-3.69782,-3.69724,-3.69666,-3.69607,-3.6955,-3.69491,-3.69433,-3.50642,-3.50595,-3.50549,-3.50502,-3.50457,-3.5041,-3.50364,-3.32529,-3.32491,-3.32453,-3.32415,-3.32377,-3.32339,-3.32301,-3.14795,-3.14763,-3.14731,-3.14699,-3.14667,-3.14635,-3.14603
7,0.112905,-4.48341,-4.48083,-4.47826,-4.47569,-4.47315,-4.47061,-4.46808,-4.15337,-4.15183,-4.1503,-4.14877,-4.14726,-4.14574,-4.14423,-3.89914,-3.89824,-3.89734,-3.89644,-3.89555,-3.89466,-3.89377,-3.68801,-3.68733,-3.68665,-3.68597,-3.68529,-3.68461,-3.68393,-3.49866,-3.49812,-3.4976,-3.49706,-3.49653,-3.496,-3.49547,-3.31895,-3.31851,-3.31806,-3.31761,-3.31718,-3.31673,-3.31629,-3.14263,-3.14225,-3.14189,-3.14151,-3.14114,-3.14077,-3.1404
8,0.129672,-4.4469,-4.44412,-4.44135,-4.43859,-4.43586,-4.43313,-4.43041,-4.13154,-4.12987,-4.12821,-4.12654,-4.1249,-4.12325,-4.12162,-3.88627,-3.88528,-3.8843,-3.88331,-3.88233,-3.88135,-3.88038,-3.67823,-3.67747,-3.67671,-3.67594,-3.67519,-3.67443,-3.67367,-3.49097,-3.49036,-3.48975,-3.48914,-3.48853,-3.48792,-3.48731,-3.31259,-3.31208,-3.31158,-3.31107,-3.31057,-3.31006,-3.30956,-3.1373,-3.13687,-3.13645,-3.13602,-3.1356,-3.13517,-3.13474
9,0.146603,-4.41231,-4.40936,-4.40643,-4.40351,-4.40061,-4.39772,-4.39485,-4.11066,-4.10887,-4.10709,-4.10531,-4.10355,-4.10179,-4.10004,-3.87377,-3.8726,-3.87144,-3.87026,-3.86911,-3.86794,-3.86677,-3.66852,-3.66767,-3.66681,-3.66595,-3.66512,-3.66427,-3.66343,-3.48328,-3.4826,-3.48192,-3.48124,-3.48057,-3.47989,-3.47921,-3.30619,-3.30562,-3.30506,-3.30449,-3.30393,-3.30336,-3.3028,-3.13193,-3.13145,-3.13098,-3.1305,-3.13003,-3.12955,-3.12907
