gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[0 5],VF[0 6],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[1 5],VF[1 6],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[2 5],VF[2 6],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[3 5],VF[3 6],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4],VF[4 5],VF[4 6],VF[5 0],VF[5 1],VF[5 2],VF[5 3],VF[5 4],VF[5 5],VF[5 6],VF[6 0],VF[6 1],VF[6 2],VF[6 3],VF[6 4],VF[6 5],VF[6 6]
0,0,-56.4203,-50.7697,-46.7383,-43.7729,-41.2193,-38.8415,-36.5214,-56.4203,-50.7697,-46.7383,-43.7729,-41.2193,-38.8415,-36.5214,-56.4204,-50.7697,-46.7383,-43.773,-41.2193,-38.8415,-36.5214,-56.4203,-50.7697,-46.7383,-43.7729,-41.2192,-38.8414,-36.5213,-56.4204,-50.7697,-46.7383,-43.7703,-41.2079,-38.8208,-36.4915,-56.4203,-50.7697,-46.7383,-43.7676,-41.1965,-38.8001,-36.4616,-56.4203,-50.7697,-46.7383,-43.765,-41.1852,-38.7796,-36.4318
1,0.0185364,-53.9423,-49.3761,-45.9578,-43.2531,-40.824,-38.515,-36.2491,-53.9423,-49.3761,-45.9578,-43.2531,-40.8239,-38.515,-36.2491,-53.9424,-49.3762,-45.9578,-43.2531,-40.824,-38.515,-36.2491,-53.9423,-49.3761,-45.9577,-43.2531,-40.8239,-38.515,-36.249,-53.9424,-49.3762,-45.9578,-43.2472,-40.8101,-38.4923,-36.2175,-53.9423,-49.3761,-45.9578,-43.2413,-40.7962,-38.4695,-36.1859,-53.9423,-49.3761,-45.9578,-43.2354,-40.7824,-38.4469,-36.1544
2,0.0372875,-52.0353,-48.2531,-45.3009,-42.7591,-40.4353,-38.1942,-35.9785,-52.0353,-48.2531,-45.3009,-42.7591,-40.4352,-38.1942,-35.9785,-52.0353,-48.2531,-45.301,-42.7592,-40.4353,-38.1942,-35.9785,-52.0352,-48.2531,-45.3009,-42.7591,-40.4352,-38.1941,-35.9785,-52.0353,-48.2531,-45.3003,-42.7508,-40.419,-38.1696,-35.9452,-52.0353,-48.2531,-45.2996,-42.7425,-40.4028,-38.145,-35.912,-52.0353,-48.2531,-45.2989,-42.7342,-40.3867,-38.1206,-35.8789
3,0.0562558,-50.5379,-47.3356,-44.6715,-42.291,-40.0539,-37.8784,-35.7101,-50.5379,-47.3356,-44.6715,-42.291,-40.0539,-37.8784,-35.7101,-50.5379,-47.3357,-44.6715,-42.291,-40.0539,-37.8784,-35.7101,-50.5378,-47.3356,-44.6715,-42.2909,-40.0539,-37.8783,-35.71,-50.5379,-47.3357,-44.6672,-42.2801,-40.0354,-37.8519,-35.6753,-50.5379,-47.3356,-44.6629,-42.2692,-40.0169,-37.8255,-35.6406,-50.5379,-47.3356,-44.6586,-42.2583,-39.9985,-37.7991,-35.6061
4,0.0754439,-49.3417,-46.5712,-44.0981,-41.8359,-39.6823,-37.5663,-35.4449,-49.3417,-46.5712,-44.0981,-41.8359,-39.6822,-37.5662,-35.4449,-49.3418,-46.5713,-44.0982,-41.8359,-39.6823,-37.5663,-35.4449,-49.3417,-46.5712,-44.0981,-41.8358,-39.6822,-37.5662,-35.4448,-49.3418,-46.5702,-44.0907,-41.8223,-39.6617,-37.5379,-35.4086,-49.3417,-46.5692,-44.0833,-41.8088,-39.6412,-37.5096,-35.3723,-49.3417,-46.5681,-44.0759,-41.7953,-39.6208,-37.4815,-35.3362
5,0.0948544,-48.372,-45.8357,-43.5418,-41.3955,-39.3198,-37.2578,-35.1813,-48.372,-45.8357,-43.5418,-41.3955,-39.3198,-37.2577,-35.1813,-48.372,-45.8358,-43.5418,-41.3955,-39.3198,-37.2578,-35.1813,-48.3719,-45.8357,-43.5418,-41.3955,-39.3197,-37.2577,-35.1812,-48.372,-45.8307,-43.5315,-41.3793,-39.297,-37.2276,-35.1435,-48.372,-45.8257,-43.5212,-41.3631,-39.2743,-37.1975,-35.1057,-48.372,-45.8208,-43.511,-41.347,-39.2517,-37.1675,-35.068
6,0.11449,-47.5135,-45.183,-43.0199,-40.97,-38.9627,-36.9529,-34.9193,-47.5135,-45.183,-43.0199,-40.97,-38.9627,-36.9528,-34.9193,-47.5135,-45.1831,-43.02,-40.97,-38.9627,-36.9529,-34.9193,-47.5134,-45.183,-43.0199,-40.9699,-38.9626,-36.9528,-34.9192,-47.5098,-45.1748,-43.0075,-40.9517,-38.9378,-36.921,-34.88,-47.506,-45.1665,-42.995,-40.9335,-38.9129,-36.8893,-34.8408,-47.5023,-45.1583,-42.9826,-40.9154,-38.8881,-36.8577,-34.8016
7,0.134352,-46.7098,-44.5489,-42.5227,-40.5569,-38.611,-36.6528,-34.659,-46.7098,-44.5489,-42.5227,-40.5569,-38.611,-36.6528,-34.659,-46.7098,-44.5489,-42.5227,-40.5569,-38.611,-36.6529,-34.659,-46.7097,-44.5489,-42.5227,-40.5569,-38.611,-36.6528,-34.6589,-46.7016,-44.5376,-42.5074,-40.5363,-38.584,-36.6192,-34.6182,-46.6935,-44.5262,-42.4921,-40.5156,-38.5571,-36.5857,-34.5775,-46.6854,-44.515,-42.4769,-40.4951,-38.5302,-36.5523,-34.5371
8,0.154445,-45.9689,-43.9631,-42.0409,-40.1529,-38.2647,-36.3554,-34.4017,-45.9689,-43.963,-42.0409,-40.1529,-38.2647,-36.3554,-34.4017,-45.969,-43.9631,-42.0409,-40.1529,-38.2647,-36.3554,-34.4017,-45.9689,-43.963,-42.0408,-40.1529,-38.2646,-36.3554,-34.4017,-45.9585,-43.9497,-42.0229,-40.1299,-38.2358,-36.3201,-34.3597,-45.948,-43.9363,-42.0049,-40.1069,-38.2068,-36.2848,-34.3177,-45.9376,-43.9231,-41.9871,-40.0841,-38.1781,-36.2496,-34.2758
9,0.174771,-45.289,-43.4089,-41.5718,-39.7572,-37.925,-36.0607,-34.1461,-45.289,-43.4089,-41.5718,-39.7572,-37.925,-36.0607,-34.1461,-45.2891,-43.4089,-41.5719,-39.7572,-37.925,-36.0607,-34.1461,-45.289,-43.4089,-41.5718,-39.7571,-37.9249,-36.0606,-34.146,-45.2755,-43.3925,-41.5514,-39.7319,-37.8943,-36.0236,-34.1026,-45.262,-43.3762,-41.531,-39.7066,-37.8637,-35.9866,-34.0592,-45.2486,-43.3599,-41.5107,-39.6814,-37.8332,-35.9498,-34.0159
10,0.195332,-44.6377,-42.876,-41.1247,-39.3692,-37.5914,-35.7685,-33.8918,-44.6377,-42.8759,-41.1247,-39.3692,-37.5914,-35.7685,-33.8918,-44.6377,-42.876,-41.1247,-39.3692,-37.5914,-35.7685,-33.8918,-44.6377,-42.8759,-41.1246,-39.3691,-37.5913,-35.7685,-33.8917,-44.6213,-42.8568,-41.1021,-39.3419,-37.5588,-35.7298,-33.8469,-44.6049,-42.8377,-41.0795,-39.3146,-37.5262,-35.6912,-33.802,-44.5887,-42.8187,-41.0571,-39.2874,-37.4938,-35.6527,-33.7573
11,0.216131,-44.0426,-42.3595,-40.6885,-38.9914,-37.2619,-35.4791,-33.6387,-44.0426,-42.3595,-40.6885,-38.9914,-37.2619,-35.4791,-33.6387,-44.0426,-42.3595,-40.6885,-38.9914,-37.2619,-35.4791,-33.6387,-44.0425,-42.3595,-40.6884,-38.9913,-37.2619,-35.479,-33.6386,-44.0238,-42.3384,-40.6635,-38.962,-37.2274,-35.4388,-33.5924,-44.0051,-42.3174,-40.6385,-38.9327,-37.193,-35.3987,-33.5462,-43.9865,-42.2965,-40.6137,-38.9036,-37.1586,-35.3588,-33.5002
12,0.237172,-43.47,-41.8728,-40.2624,-38.6207,-36.9363,-35.1937,-33.3871,-43.47,-41.8728,-40.2624,-38.6207,-36.9363,-35.1936,-33.387,-43.47,-41.8729,-40.2624,-38.6207,-36.9363,-35.1937,-33.387,-43.4699,-41.8728,-40.2623,-38.6206,-36.9363,-35.1936,-33.387,-43.4487,-41.849,-40.235,-38.5893,-36.9,-35.152,-33.3395,-43.4274,-41.8252,-40.2077,-38.558,-36.8636,-35.1104,-33.292,-43.4062,-41.8016,-40.1805,-38.5268,-36.8274,-35.0689,-33.245
