gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.48333e-005,0.000111562,0.000332324,0.000375823,0.000160969,2.58498e-005,1.567e-006,0.000144745,0.00108864,0.00324285,0.00366731,0.00157075,0.000252244,1.52909e-005,0.000577402,0.00434268,0.012936,0.0146293,0.00626588,0.00100623,6.0997e-005,0.000914662,0.00687923,0.020492,0.0231743,0.00992579,0.00159397,9.66253e-005,0.000577402,0.00434268,0.012936,0.0146293,0.00626588,0.00100623,6.0997e-005,0.000144745,0.00108864,0.00324285,0.00366731,0.00157075,0.000252244,1.52909e-005,1.48333e-005,0.000111562,0.000332324,0.000375823,0.000160969,2.58498e-005,1.567e-006
1,0.0185364,4.20313e-006,4.15404e-005,0.000161318,0.00023753,0.000131999,2.7351e-005,2.13278e-006,4.10145e-005,0.000405355,0.00157416,0.00231783,0.00128806,0.000266894,2.08119e-005,0.000163611,0.001617,0.00627947,0.00924607,0.00513821,0.00106467,8.30207e-005,0.000259176,0.00256149,0.00994731,0.0146467,0.00813943,0.00168654,0.000131513,0.000163611,0.001617,0.00627947,0.00924607,0.00513821,0.00106467,8.30207e-005,4.10145e-005,0.000405355,0.00157416,0.00231783,0.00128806,0.000266894,2.08119e-005,4.20313e-006,4.15404e-005,0.000161318,0.00023753,0.000131999,2.7351e-005,2.13278e-006
2,0.0372875,3.4163e-006,3.31171e-005,0.00012584,0.000181255,9.86716e-005,2.00747e-005,1.54072e-006,3.33366e-005,0.00032316,0.00122795,0.0017687,0.000962846,0.000195891,1.50345e-005,0.000132983,0.00128912,0.00489843,0.00705553,0.00384089,0.000781429,5.99742e-005,0.000210658,0.00204209,0.0077596,0.0111767,0.00608435,0.00123786,9.50051e-005,0.000132983,0.00128912,0.00489843,0.00705553,0.00384089,0.000781429,5.99742e-005,3.33366e-005,0.00032316,0.00122795,0.0017687,0.000962846,0.000195891,1.50345e-005,3.4163e-006,3.31171e-005,0.00012584,0.000181255,9.86716e-005,2.00747e-005,1.54072e-006
3,0.0562558,2.92285e-006,2.97699e-005,0.00011999,0.000185737,0.000110407,2.50052e-005,2.195e-006,2.85214e-005,0.000290497,0.00117087,0.00181244,0.00107736,0.000244003,2.1419e-005,0.000113775,0.00115882,0.00467074,0.00723,0.00429769,0.000973351,8.54424e-005,0.000180231,0.00183569,0.00739891,0.011453,0.00680798,0.00154189,0.000135349,0.000113775,0.00115882,0.00467074,0.00723,0.00429769,0.000973351,8.54424e-005,2.85214e-005,0.000290497,0.00117087,0.00181244,0.00107736,0.000244003,2.1419e-005,2.92285e-006,2.97699e-005,0.00011999,0.000185737,0.000110407,2.50052e-005,2.195e-006
4,0.0754439,2.50531e-006,2.69053e-005,0.000115825,0.000193813,0.000125685,3.12299e-005,3.02092e-006,2.4447e-005,0.000262544,0.00113023,0.00189124,0.00122645,0.000304744,2.94784e-005,9.75217e-005,0.00104731,0.00450859,0.00754435,0.00489242,0.00121566,0.000117592,0.000154484,0.00165905,0.00714205,0.011951,0.00775008,0.00192572,0.000186278,9.75217e-005,0.00104731,0.00450859,0.00754435,0.00489242,0.00121566,0.000117592,2.4447e-005,0.000262544,0.00113023,0.00189124,0.00122645,0.000304744,2.94784e-005,2.50531e-006,2.69053e-005,0.000115825,0.000193813,0.000125685,3.12299e-005,3.02092e-006
5,0.0948544,2.06168e-006,2.23112e-005,9.64669e-005,0.000161726,0.000104883,2.60302e-005,2.51305e-006,2.01181e-005,0.000217714,0.000941332,0.00157814,0.00102345,0.000254005,2.45225e-005,8.0253e-005,0.000868483,0.00375507,0.00629535,0.00408266,0.00101325,9.78229e-005,0.000127129,0.00137576,0.0059484,0.00997246,0.00646734,0.00160509,0.000154961,8.0253e-005,0.000868483,0.00375507,0.00629535,0.00408266,0.00101325,9.78229e-005,2.01181e-005,0.000217714,0.000941331,0.00157814,0.00102345,0.000254005,2.45225e-005,2.06168e-006,2.23112e-005,9.64669e-005,0.000161726,0.000104883,2.60302e-005,2.51305e-006
6,0.11449,1.86905e-006,2.06034e-005,9.0306e-005,0.000152898,9.98231e-005,2.48793e-005,2.40781e-006,1.82383e-005,0.000201049,0.000881214,0.00149199,0.000974083,0.000242774,2.34956e-005,7.27545e-005,0.000802006,0.00351525,0.00595169,0.00388571,0.00096845,9.37263e-005,0.00011525,0.00127046,0.00556851,0.00942807,0.00615536,0.00153412,0.000148472,7.27545e-005,0.000802006,0.00351525,0.00595169,0.00388571,0.00096845,9.37263e-005,1.82383e-005,0.000201049,0.000881213,0.00149199,0.000974082,0.000242774,2.34956e-005,1.86905e-006,2.06034e-005,9.0306e-005,0.000152898,9.98231e-005,2.48793e-005,2.40781e-006
7,0.134352,1.53145e-006,1.7295e-005,7.83192e-005,0.000138535,9.57765e-005,2.56934e-005,2.74045e-006,1.4944e-005,0.000168766,0.000764246,0.00135183,0.000934595,0.000250718,2.67416e-005,5.96132e-005,0.000673224,0.00304865,0.0053926,0.00372819,0.00100014,0.000106675,9.44333e-005,0.00106645,0.00482937,0.00854241,0.00590583,0.00158432,0.000168984,5.96132e-005,0.000673224,0.00304865,0.0053926,0.00372819,0.00100014,0.000106675,1.4944e-005,0.000168766,0.000764246,0.00135183,0.000934595,0.000250718,2.67416e-005,1.53145e-006,1.7295e-005,7.83192e-005,0.000138535,9.57765e-005,2.56934e-005,2.74045e-006
8,0.154445,1.23517e-006,1.42306e-005,6.5951e-005,0.000119886,8.55803e-005,2.38264e-005,2.65519e-006,1.20529e-005,0.000138863,0.000643555,0.00116985,0.000835099,0.0002325,2.59096e-005,4.80804e-005,0.000553939,0.00256721,0.00466667,0.0033313,0.000927464,0.000103356,7.61641e-005,0.000877495,0.00406671,0.00739247,0.00527711,0.0014692,0.000163726,4.80804e-005,0.000553939,0.00256721,0.00466667,0.0033313,0.000927464,0.000103356,1.20529e-005,0.000138863,0.000643555,0.00116985,0.000835099,0.0002325,2.59096e-005,1.23517e-006,1.42306e-005,6.5951e-005,0.000119886,8.55803e-005,2.38264e-005,2.65519e-006
9,0.174771,1.04235e-006,1.22663e-005,5.79375e-005,0.000106953,7.71216e-005,2.1548e-005,2.39219e-006,1.01714e-005,0.000119695,0.000565359,0.00104366,0.000752559,0.000210267,2.33432e-005,4.05746e-005,0.000477476,0.00225527,0.00416325,0.00300203,0.000838778,9.31185e-005,6.42742e-005,0.00075637,0.00357258,0.006595,0.00475552,0.00132871,0.000147509,4.05746e-005,0.000477476,0.00225527,0.00416325,0.00300203,0.000838778,9.31185e-005,1.01714e-005,0.000119695,0.000565359,0.00104366,0.000752559,0.000210267,2.33432e-005,1.04235e-006,1.22663e-005,5.79375e-005,0.000106953,7.71216e-005,2.1548e-005,2.39219e-006
10,0.195332,8.56445e-007,1.02176e-005,4.90494e-005,9.23985e-005,6.83289e-005,1.96847e-005,2.26816e-006,8.35726e-006,9.9704e-005,0.000478628,0.000901632,0.000666759,0.000192085,2.21329e-005,3.3338e-005,0.000397729,0.00190929,0.0035967,0.00265977,0.000766247,8.82903e-005,5.28107e-005,0.000630043,0.00302451,0.00569753,0.00421334,0.00121381,0.000139861,3.3338e-005,0.000397729,0.00190929,0.0035967,0.00265977,0.000766247,8.82903e-005,8.35726e-006,9.9704e-005,0.000478628,0.000901632,0.00066676,0.000192085,2.21329e-005,8.56445e-007,1.02176e-005,4.90494e-005,9.23985e-005,6.83289e-005,1.96847e-005,2.26816e-006
11,0.216131,6.98706e-007,8.44921e-006,4.11478e-005,7.87914e-005,5.93837e-005,1.74908e-005,2.07011e-006,6.81803e-006,8.24481e-005,0.000401523,0.000768853,0.000579471,0.000170676,2.02003e-005,2.71978e-005,0.000328894,0.00160172,0.00306703,0.00231157,0.000680845,8.05811e-005,4.3084e-005,0.000521001,0.00253728,0.00485848,0.00366176,0.00107853,0.000127649,2.71978e-005,0.000328894,0.00160172,0.00306703,0.00231157,0.000680845,8.05811e-005,6.81803e-006,8.24481e-005,0.000401523,0.000768852,0.000579471,0.000170676,2.02003e-005,6.98706e-007,8.44921e-006,4.11478e-005,7.87914e-005,5.93837e-005,1.74908e-005,2.07011e-006
12,0.237172,5.66552e-007,6.9478e-006,3.43174e-005,6.6718e-005,5.11612e-005,1.53884e-005,1.87367e-006,5.52846e-006,6.77972e-005,0.000334872,0.00065104,0.000499235,0.000150162,1.82834e-005,2.20536e-005,0.00027045,0.00133584,0.00259706,0.0019915,0.000599009,7.29344e-005,3.49351e-005,0.000428419,0.0021161,0.00411401,0.00315473,0.000948891,0.000115535,2.20536e-005,0.00027045,0.00133584,0.00259706,0.0019915,0.000599009,7.29344e-005,5.52846e-006,6.77972e-005,0.000334872,0.00065104,0.000499235,0.000150162,1.82834e-005,5.66552e-007,6.9478e-006,3.43174e-005,6.6718e-005,5.11612e-005,1.53884e-005,1.87367e-006
13,0.258456,4.53219e-007,5.63939e-006,2.82782e-005,5.58506e-005,4.35272e-005,1.33085e-005,1.64813e-006,4.42254e-006,5.50296e-005,0.000275941,0.000544995,0.000424742,0.000129865,1.60826e-005,1.7642e-005,0.000219519,0.00110076,0.00217404,0.00169434,0.000518045,6.41549e-005,2.79467e-005,0.00034774,0.00174371,0.0034439,0.002684,0.000820635,0.000101628,1.7642e-005,0.000219519,0.00110076,0.00217404,0.00169434,0.000518045,6.41549e-005,4.42254e-006,5.50297e-005,0.000275941,0.000544995,0.000424742,0.000129865,1.60826e-005,4.53219e-007,5.63939e-006,2.82782e-005,5.58506e-005,4.35272e-005,1.33085e-005,1.64813e-006
14,0.279986,3.60239e-007,4.55018e-006,2.31902e-005,4.66325e-005,3.70786e-005,1.1597e-005,1.47622e-006,3.51524e-006,4.4401e-005,0.000226291,0.000455044,0.000361816,0.000113164,1.4405e-005,1.40227e-005,0.00017712,0.000902699,0.00181522,0.00144332,0.000451423,5.74632e-005,2.22133e-005,0.000280576,0.00142997,0.00287548,0.00228636,0.000715099,9.10274e-005,1.40227e-005,0.00017712,0.000902699,0.00181522,0.00144332,0.000451423,5.74632e-005,3.51525e-006,4.4401e-005,0.000226291,0.000455044,0.000361816,0.000113164,1.4405e-005,3.60239e-007,4.55018e-006,2.31902e-005,4.66325e-005,3.70786e-005,1.1597e-005,1.47622e-006
15,0.301766,2.82905e-007,3.63208e-006,1.88461e-005,3.86416e-005,3.13635e-005,1.00222e-005,1.3058e-006,2.76061e-006,3.54422e-005,0.000183901,0.000377068,0.000306047,9.77979e-005,1.27421e-005,1.10123e-005,0.000141382,0.000733601,0.00150416,0.00122085,0.000390126,5.08294e-005,1.74446e-005,0.000223964,0.0011621,0.00238274,0.00193395,0.000617998,8.05189e-005,1.10123e-005,0.000141382,0.000733601,0.00150416,0.00122085,0.000390126,5.08294e-005,2.76061e-006,3.54422e-005,0.000183901,0.000377068,0.000306047,9.77979e-005,1.27421e-005,2.82905e-007,3.63208e-006,1.88461e-005,3.86416e-005,3.13635e-005,1.00222e-005,1.3058e-006
16,0.323799,2.20348e-007,2.86812e-006,1.51036e-005,3.14643e-005,2.59615e-005,8.43144e-006,1.11571e-006,2.15017e-006,2.79874e-005,0.000147383,0.000307031,0.000253335,8.22747e-005,1.08872e-005,8.57724e-006,0.000111644,0.000587924,0.00122478,0.00101058,0.000328202,4.343e-005,1.35872e-005,0.000176856,0.000931331,0.00194017,0.00160086,0.000519905,6.87975e-005,8.57724e-006,0.000111644,0.000587924,0.00122478,0.00101058,0.000328202,4.343e-005,2.15017e-006,2.79874e-005,0.000147383,0.000307031,0.000253335,8.22747e-005,1.08872e-005,2.20348e-007,2.86812e-006,1.51036e-005,3.14643e-005,2.59615e-005,8.43144e-006,1.11571e-006
17,0.346087,1.70567e-007,2.23685e-006,1.18808e-005,2.50235e-005,2.09497e-005,6.93574e-006,9.4207e-007,1.66441e-006,2.18274e-005,0.000115933,0.000244181,0.000204429,6.76795e-005,9.19279e-006,6.6395e-006,8.70717e-005,0.00046247,0.000974062,0.000815487,0.00026998,3.6671e-005,1.05176e-005,0.00013793,0.000732599,0.00154301,0.00129181,0.000427676,5.80905e-005,6.6395e-006,8.70717e-005,0.00046247,0.000974063,0.000815487,0.00026998,3.6671e-005,1.66441e-006,2.18274e-005,0.000115934,0.000244181,0.000204429,6.76795e-005,9.19279e-006,1.70567e-007,2.23685e-006,1.18808e-005,2.50235e-005,2.09497e-005,6.93574e-006,9.4207e-007
18,0.368632,1.2984e-007,1.72349e-006,9.25988e-006,1.97331e-005,1.67292e-005,5.61579e-006,7.75216e-007,1.26699e-006,1.68179e-005,9.03587e-005,0.000192557,0.000163245,5.47993e-005,7.56462e-006,5.05414e-006,6.70884e-005,0.00036045,0.000768131,0.000651201,0.0002186,3.0176e-005,8.00626e-006,0.000106275,0.000570989,0.0012168,0.00103157,0.000346284,4.78018e-005,5.05414e-006,6.70884e-005,0.00036045,0.000768131,0.000651201,0.0002186,3.0176e-005,1.26699e-006,1.68179e-005,9.03587e-005,0.000192558,0.000163245,5.47993e-005,7.56462e-006,1.2984e-007,1.72349e-006,9.25988e-006,1.97331e-005,1.67292e-005,5.61579e-006,7.75216e-007
19,0.391439,9.97215e-008,1.33849e-006,7.27165e-006,1.56735e-005,1.34403e-005,4.56181e-006,6.36367e-007,9.73091e-007,1.30611e-005,7.09573e-005,0.000152943,0.000131151,4.45145e-005,6.20972e-006,3.88176e-006,5.2102e-005,0.000283056,0.000610105,0.000523176,0.000177573,2.47712e-005,6.14909e-006,8.25347e-005,0.000448389,0.000966468,0.000828763,0.000281293,3.92401e-005,3.88176e-006,5.2102e-005,0.000283056,0.000610105,0.000523176,0.000177573,2.47712e-005,9.73091e-007,1.30611e-005,7.09573e-005,0.000152943,0.000131151,4.45145e-005,6.20972e-006,9.97215e-008,1.33849e-006,7.27165e-006,1.56735e-005,1.34403e-005,4.56181e-006,6.36367e-007
20,0.414511,7.53025e-008,1.02554e-006,5.65796e-006,1.23949e-005,1.08079e-005,3.73067e-006,5.29594e-007,7.34808e-007,1.00073e-005,5.52109e-005,0.00012095,0.000105464,3.64042e-005,5.16782e-006,2.93122e-006,3.99201e-005,0.000220242,0.000482483,0.000420706,0.00014522,2.0615e-005,4.64335e-006,6.32375e-005,0.000348885,0.000764301,0.000666441,0.000230043,3.26561e-005,2.93122e-006,3.99201e-005,0.000220242,0.000482483,0.000420706,0.00014522,2.0615e-005,7.34808e-007,1.00073e-005,5.52109e-005,0.00012095,0.000105464,3.64042e-005,5.16782e-006,7.53025e-008,1.02554e-006,5.65796e-006,1.23949e-005,1.08079e-005,3.73067e-006,5.29594e-007
21,0.437849,5.68443e-008,7.85231e-007,4.39624e-006,9.7806e-006,8.6673e-006,3.04269e-006,4.39906e-007,5.54691e-007,7.66235e-006,4.28989e-005,9.54399e-005,8.45762e-005,2.96908e-005,4.29263e-006,2.21272e-006,3.05659e-005,0.000171128,0.000380719,0.000337383,0.00011844,1.71238e-005,3.50517e-006,4.84194e-005,0.000271084,0.000603097,0.000534448,0.00018762,2.71257e-005,2.21272e-006,3.05659e-005,0.000171128,0.000380719,0.000337383,0.00011844,1.71238e-005,5.54691e-007,7.66235e-006,4.28989e-005,9.54399e-005,8.45762e-005,2.96908e-005,4.29263e-006,5.68443e-008,7.85231e-007,4.39624e-006,9.7806e-006,8.6673e-006,3.04269e-006,4.39906e-007
