gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[0 7],dist[0 8],dist[0 9],dist[0 10],dist[0 11],dist[0 12],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[1 7],dist[1 8],dist[1 9],dist[1 10],dist[1 11],dist[1 12],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[2 7],dist[2 8],dist[2 9],dist[2 10],dist[2 11],dist[2 12],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[3 7],dist[3 8],dist[3 9],dist[3 10],dist[3 11],dist[3 12],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[4 7],dist[4 8],dist[4 9],dist[4 10],dist[4 11],dist[4 12],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[5 7],dist[5 8],dist[5 9],dist[5 10],dist[5 11],dist[5 12],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6],dist[6 7],dist[6 8],dist[6 9],dist[6 10],dist[6 11],dist[6 12]
0,0,2.98342e-011,2.03632e-010,5.5175e-010,5.67009e-010,2.20349e-010,3.19974e-011,1.73891e-012,5.31016e-009,3.62444e-008,9.82055e-008,1.00921e-007,3.92197e-008,5.69519e-009,3.09507e-010,3.60009e-007,2.45723e-006,6.65795e-006,6.84209e-006,2.65894e-006,3.86112e-007,2.09834e-008,9.38522e-006,6.40586e-005,0.000173569,0.000178369,6.93172e-005,1.00657e-005,5.47025e-007,9.51515e-005,0.000649454,0.00175972,0.00180839,0.000702769,0.000102051,5.54598e-006,0.00037957,0.00259074,0.00701972,0.00721386,0.00280342,0.000407092,2.21235e-005,0.000601277,0.004104,0.0111199,0.0114275,0.0044409,0.000644874,3.50459e-005,0.00037957,0.00259074,0.00701972,0.00721386,0.00280342,0.000407092,2.21235e-005,9.51515e-005,0.000649454,0.00175972,0.00180839,0.000702769,0.000102051,5.54598e-006,9.38522e-006,6.40586e-005,0.000173569,0.000178369,6.93172e-005,1.00657e-005,5.47025e-007,3.60009e-007,2.45723e-006,6.65795e-006,6.84209e-006,2.65894e-006,3.86112e-007,2.09834e-008,5.31016e-009,3.62444e-008,9.82055e-008,1.00921e-007,3.92197e-008,5.69519e-009,3.09507e-010,2.98342e-011,2.03632e-010,5.5175e-010,5.67009e-010,2.20349e-010,3.19974e-011,1.73891e-012
1,0.0185364,1.72296e-011,1.43139e-010,4.61548e-010,5.58139e-010,2.53317e-010,4.28351e-011,2.72556e-012,3.06667e-009,2.54771e-008,8.21505e-008,9.93426e-008,4.50877e-008,7.62419e-009,4.8512e-010,2.07909e-007,1.72725e-006,5.56949e-006,6.73505e-006,3.05677e-006,5.16891e-007,3.28893e-008,5.42006e-006,4.50284e-005,0.000145193,0.000175579,7.96884e-005,1.3475e-005,8.57405e-007,5.4951e-005,0.000456518,0.00147203,0.0017801,0.000807916,0.000136616,8.69276e-006,0.000219206,0.0018211,0.00587211,0.007101,0.00322287,0.000544976,3.46764e-005,0.000347243,0.00288481,0.00930201,0.0112487,0.00510534,0.000863297,5.49308e-005,0.000219206,0.0018211,0.00587211,0.007101,0.00322287,0.000544976,3.46764e-005,5.4951e-005,0.000456518,0.00147203,0.0017801,0.000807916,0.000136616,8.69276e-006,5.42006e-006,4.50284e-005,0.000145193,0.000175579,7.96884e-005,1.3475e-005,8.57405e-007,2.07909e-007,1.72725e-006,5.56949e-006,6.73505e-006,3.05677e-006,5.16891e-007,3.28893e-008,3.06667e-009,2.54771e-008,8.21505e-008,9.93426e-008,4.50877e-008,7.62419e-009,4.8512e-010,1.72296e-011,1.43139e-010,4.61548e-010,5.58139e-010,2.53317e-010,4.28351e-011,2.72556e-012
2,0.0372875,2.07051e-011,1.92598e-010,6.98508e-010,9.58223e-010,4.97325e-010,9.6785e-011,7.13415e-012,3.68529e-009,3.42803e-008,1.24327e-007,1.70553e-007,8.85184e-008,1.72267e-008,1.2698e-009,2.49848e-007,2.32407e-006,8.42888e-006,1.15629e-005,6.00121e-006,1.1679e-006,8.60876e-008,6.51341e-006,6.05873e-005,0.000219736,0.000301437,0.000156448,3.04465e-005,2.24426e-006,6.60358e-005,0.000614261,0.00222778,0.0030561,0.00158614,0.000308681,2.27533e-005,0.000263424,0.00245036,0.00888687,0.0121911,0.00632729,0.00123136,9.07652e-005,0.00041729,0.00388161,0.0140777,0.019312,0.0100231,0.0019506,0.000143781,0.000263424,0.00245036,0.00888687,0.0121911,0.00632729,0.00123136,9.07652e-005,6.60358e-005,0.000614261,0.00222778,0.0030561,0.00158614,0.000308681,2.27533e-005,6.51341e-006,6.05873e-005,0.000219736,0.000301437,0.000156448,3.04465e-005,2.24426e-006,2.49848e-007,2.32407e-006,8.42888e-006,1.15629e-005,6.00121e-006,1.1679e-006,8.60876e-008,3.68529e-009,3.42803e-008,1.24327e-007,1.70553e-007,8.85184e-008,1.72267e-008,1.2698e-009,2.07051e-011,1.92598e-010,6.98508e-010,9.58223e-010,4.97325e-010,9.6785e-011,7.13415e-012
3,0.0562558,1.78799e-011,1.84372e-010,7.37349e-010,1.11146e-009,6.31294e-010,1.33972e-010,1.07692e-011,3.18242e-009,3.28162e-008,1.3124e-007,1.97828e-007,1.12364e-007,2.38456e-008,1.91681e-009,2.15756e-007,2.22482e-006,8.89758e-006,1.3412e-005,7.61782e-006,1.61664e-006,1.29952e-007,5.62463e-006,5.79997e-005,0.000231955,0.000349642,0.000198592,4.21449e-005,3.38778e-006,5.7025e-005,0.000588027,0.00235166,0.00354483,0.00201342,0.000427284,3.43468e-005,0.000227479,0.0023457,0.00938104,0.0141407,0.00803174,0.00170448,0.000137013,0.00036035,0.00371583,0.0148605,0.0224003,0.0127231,0.00270007,0.000217043,0.000227479,0.0023457,0.00938104,0.0141407,0.00803174,0.00170448,0.000137013,5.7025e-005,0.000588027,0.00235166,0.00354483,0.00201342,0.000427284,3.43468e-005,5.62463e-006,5.79997e-005,0.000231955,0.000349642,0.000198592,4.21449e-005,3.38778e-006,2.15756e-007,2.22482e-006,8.89758e-006,1.3412e-005,7.61782e-006,1.61664e-006,1.29952e-007,3.18242e-009,3.28162e-008,1.3124e-007,1.97828e-007,1.12364e-007,2.38456e-008,1.91681e-009,1.78799e-011,1.84372e-010,7.37349e-010,1.11146e-009,6.31294e-010,1.33972e-010,1.07692e-011
4,0.0754439,1.11348e-011,1.23576e-010,5.33925e-010,8.75934e-010,5.46635e-010,1.28967e-010,1.17271e-011,1.98187e-009,2.19951e-008,9.50329e-008,1.55907e-007,9.72951e-008,2.29547e-008,2.0873e-009,1.34363e-007,1.49119e-006,6.44286e-006,1.05699e-005,6.59623e-006,1.55624e-006,1.41511e-007,3.50278e-006,3.88744e-005,0.000167962,0.000275551,0.00017196,4.05704e-005,3.68911e-006,3.55127e-005,0.000394126,0.00170287,0.00279365,0.00174341,0.000411321,3.74018e-005,0.000141664,0.00157221,0.00679294,0.0111442,0.00695465,0.0016408,0.0001492,0.00022441,0.00249054,0.0107607,0.0176535,0.0110169,0.0025992,0.000236347,0.000141664,0.00157221,0.00679294,0.0111442,0.00695465,0.0016408,0.0001492,3.55127e-005,0.000394126,0.00170287,0.00279365,0.00174341,0.000411321,3.74018e-005,3.50278e-006,3.88744e-005,0.000167962,0.000275551,0.00017196,4.05704e-005,3.68911e-006,1.34363e-007,1.49119e-006,6.44286e-006,1.05699e-005,6.59623e-006,1.55624e-006,1.41511e-007,1.98187e-009,2.19951e-008,9.50329e-008,1.55907e-007,9.72951e-008,2.29547e-008,2.0873e-009,1.11348e-011,1.23576e-010,5.33925e-010,8.75934e-010,5.46635e-010,1.28967e-010,1.17271e-011
5,0.0948544,8.20213e-012,9.70611e-011,4.47713e-010,7.8637e-010,5.26569e-010,1.33442e-010,1.30505e-011,1.45989e-009,1.72758e-008,7.96881e-008,1.39965e-007,9.37236e-008,2.37512e-008,2.32285e-009,9.89749e-008,1.17123e-006,5.40255e-006,9.48911e-006,6.3541e-006,1.61024e-006,1.5748e-007,2.58022e-006,3.05334e-005,0.000140841,0.000247376,0.000165648,4.1978e-005,4.10543e-006,2.61594e-005,0.000309561,0.00142791,0.00250801,0.00167941,0.000425592,4.16226e-005,0.000104353,0.00123487,0.0056961,0.0100047,0.00669936,0.00169773,0.000166037,0.000165305,0.00195616,0.00902319,0.0158485,0.0106125,0.00268938,0.00026302,0.000104353,0.00123487,0.0056961,0.0100047,0.00669936,0.00169773,0.000166037,2.61594e-005,0.000309561,0.00142791,0.00250801,0.00167941,0.000425592,4.16226e-005,2.58022e-006,3.05334e-005,0.000140841,0.000247376,0.000165648,4.1978e-005,4.10543e-006,9.89749e-008,1.17123e-006,5.40255e-006,9.48911e-006,6.3541e-006,1.61024e-006,1.5748e-007,1.45989e-009,1.72758e-008,7.96881e-008,1.39965e-007,9.37236e-008,2.37512e-008,2.32285e-009,8.20213e-012,9.70611e-011,4.47713e-010,7.8637e-010,5.26569e-010,1.33442e-010,1.30505e-011
6,0.11449,5.47564e-012,6.92415e-011,3.43377e-010,6.50683e-010,4.70193e-010,1.28331e-010,1.35051e-011,9.74605e-010,1.23242e-008,6.11175e-008,1.15814e-007,8.36892e-008,2.28416e-008,2.40377e-009,6.60745e-008,8.35535e-007,4.14353e-006,7.85177e-006,5.67381e-006,1.54857e-006,1.62966e-007,1.72252e-006,2.17819e-005,0.000108019,0.000204691,0.000147913,4.03704e-005,4.24844e-006,1.74637e-005,0.000220835,0.00109515,0.00207525,0.00149961,0.000409293,4.30725e-005,6.96647e-005,0.000880935,0.00436867,0.00827841,0.0059821,0.00163272,0.000171821,0.000110356,0.00139549,0.00692041,0.0131138,0.00947624,0.00258638,0.000272182,6.96647e-005,0.000880935,0.00436867,0.00827841,0.0059821,0.00163272,0.000171821,1.74637e-005,0.000220835,0.00109515,0.00207525,0.00149961,0.000409293,4.30725e-005,1.72252e-006,2.17819e-005,0.000108019,0.000204691,0.000147913,4.03704e-005,4.24844e-006,6.60745e-008,8.35535e-007,4.14353e-006,7.85177e-006,5.67381e-006,1.54857e-006,1.62966e-007,9.74605e-010,1.23242e-008,6.11175e-008,1.15814e-007,8.36892e-008,2.28416e-008,2.40377e-009,5.47564e-012,6.92415e-011,3.43377e-010,6.50683e-010,4.70193e-010,1.28331e-010,1.35051e-011
7,0.134352,3.64957e-012,4.67808e-011,2.35275e-010,4.53809e-010,3.35881e-010,9.47251e-011,1.04415e-011,6.49584e-010,8.32648e-009,4.18765e-008,8.07731e-008,5.97832e-008,1.686e-008,1.85848e-009,4.40393e-008,5.64503e-007,2.83906e-006,5.47611e-006,4.05307e-006,1.14305e-006,1.25998e-007,1.14808e-006,1.47163e-005,7.40128e-005,0.000142759,0.000105661,2.97986e-005,3.28469e-006,1.16398e-005,0.0001492,0.000750374,0.00144735,0.00107124,0.000302111,3.33017e-005,4.64322e-005,0.000595176,0.00299333,0.00577366,0.0042733,0.00120515,0.000132844,7.35533e-005,0.000942818,0.00474173,0.00914605,0.00676933,0.00190909,0.000210438,4.64322e-005,0.000595176,0.00299333,0.00577366,0.0042733,0.00120515,0.000132844,1.16398e-005,0.0001492,0.000750374,0.00144735,0.00107124,0.000302111,3.33017e-005,1.14808e-006,1.47163e-005,7.40128e-005,0.000142759,0.000105661,2.97986e-005,3.28469e-006,4.40393e-008,5.64503e-007,2.83906e-006,5.47611e-006,4.05307e-006,1.14305e-006,1.25998e-007,6.49585e-010,8.32648e-009,4.18765e-008,8.07731e-008,5.97832e-008,1.686e-008,1.85848e-009,3.64957e-012,4.67808e-011,2.35275e-010,4.53809e-010,3.35881e-010,9.47251e-011,1.04415e-011
8,0.154445,2.30826e-012,3.10609e-011,1.64535e-010,3.35839e-010,2.64396e-010,7.97658e-011,9.4911e-012,4.10846e-010,5.52851e-009,2.92854e-008,5.97756e-008,4.70596e-008,1.41975e-008,1.68931e-009,2.78538e-008,3.74812e-007,1.98544e-006,4.05256e-006,3.19046e-006,9.62533e-007,1.14529e-007,7.26132e-007,9.77113e-006,5.17593e-005,0.000105648,8.31734e-005,2.50927e-005,2.9857e-006,7.36185e-006,9.9064e-005,0.000524758,0.00107111,0.000843249,0.000254401,3.02704e-005,2.93672e-005,0.000395177,0.00209332,0.00427276,0.00336381,0.00101483,0.000120752,4.65206e-005,0.000626,0.00331603,0.00676847,0.00532862,0.0016076,0.000191283,2.93672e-005,0.000395177,0.00209332,0.00427276,0.00336381,0.00101483,0.000120752,7.36185e-006,9.9064e-005,0.000524758,0.00107111,0.000843249,0.000254401,3.02704e-005,7.26132e-007,9.77113e-006,5.17593e-005,0.000105648,8.31734e-005,2.50927e-005,2.9857e-006,2.78538e-008,3.74812e-007,1.98544e-006,4.05256e-006,3.19046e-006,9.62533e-007,1.14529e-007,4.10846e-010,5.52851e-009,2.92854e-008,5.97756e-008,4.70596e-008,1.41975e-008,1.68931e-009,2.30826e-012,3.10609e-011,1.64535e-010,3.35839e-010,2.64396e-010,7.97658e-011,9.4911e-012
9,0.174771,1.60326e-012,2.24854e-011,1.24138e-010,2.64606e-010,2.18138e-010,6.91086e-011,8.67167e-012,2.85363e-010,4.00215e-009,2.20952e-008,4.70971e-008,3.88263e-008,1.23006e-008,1.54346e-009,1.93465e-008,2.71331e-007,1.49797e-006,3.193e-006,2.63227e-006,8.33932e-007,1.04641e-007,5.04353e-007,7.07343e-006,3.90511e-005,8.32397e-005,6.86218e-005,2.17401e-005,2.72793e-006,5.11336e-006,7.17136e-005,0.000395918,0.000843921,0.000695719,0.000220411,2.7657e-005,2.03977e-005,0.000286074,0.00157936,0.00336649,0.0027753,0.000879245,0.000110327,3.23121e-005,0.000453169,0.00250186,0.00533286,0.00439635,0.00139281,0.000174768,2.03977e-005,0.000286074,0.00157936,0.00336649,0.0027753,0.000879245,0.000110327,5.11336e-006,7.17136e-005,0.000395918,0.000843921,0.000695719,0.000220411,2.7657e-005,5.04353e-007,7.07343e-006,3.90511e-005,8.32397e-005,6.86218e-005,2.17401e-005,2.72793e-006,1.93465e-008,2.71331e-007,1.49797e-006,3.193e-006,2.63227e-006,8.33932e-007,1.04641e-007,2.85363e-010,4.00215e-009,2.20952e-008,4.70971e-008,3.88263e-008,1.23006e-008,1.54346e-009,1.60326e-012,2.24854e-011,1.24138e-010,2.64606e-010,2.18138e-010,6.91086e-011,8.67167e-012
