gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.06832e-005,7.79805e-005,0.000224948,0.00024515,0.000100473,1.52862e-005,8.64758e-007,0.000104248,0.00076094,0.00219506,0.0023922,0.000980422,0.000149164,8.43838e-006,0.000415855,0.00303547,0.00875632,0.00954271,0.003911,0.00059503,3.36616e-005,0.000658756,0.00480848,0.0138709,0.0151166,0.00619542,0.000942587,5.33233e-005,0.000415855,0.00303547,0.00875632,0.00954271,0.003911,0.00059503,3.36616e-005,0.000104248,0.00076094,0.00219506,0.0023922,0.000980422,0.000149164,8.43838e-006,1.06832e-005,7.79805e-005,0.000224948,0.00024515,0.000100473,1.52862e-005,8.64758e-007
1,0.0185364,1.451e-006,1.23842e-005,4.19228e-005,5.43054e-005,2.68777e-005,5.03024e-006,3.5896e-007,1.4159e-005,0.000120846,0.000409086,0.000529917,0.000262275,4.90855e-005,3.50276e-006,5.64816e-005,0.000482066,0.00163189,0.00211389,0.00104624,0.000195807,1.39729e-005,8.94725e-005,0.000763641,0.00258507,0.00334862,0.00165735,0.000310178,2.21344e-005,5.64816e-005,0.000482066,0.00163189,0.00211389,0.00104624,0.000195807,1.39729e-005,1.4159e-005,0.000120846,0.000409086,0.000529917,0.000262275,4.90855e-005,3.50276e-006,1.451e-006,1.23842e-005,4.19228e-005,5.43054e-005,2.68777e-005,5.03024e-006,3.5896e-007
2,0.0372875,2.40089e-006,2.34131e-005,8.98327e-005,0.000130832,7.20085e-005,1.47982e-005,1.14592e-006,2.34281e-005,0.000228467,0.000876595,0.00127667,0.000702664,0.000144402,1.1182e-005,9.34572e-005,0.000911378,0.00349682,0.00509276,0.002803,0.000576036,4.4606e-005,0.000148046,0.00144371,0.00553932,0.00806744,0.00444023,0.000912498,7.06604e-005,9.34572e-005,0.000911378,0.00349682,0.00509276,0.002803,0.000576036,4.4606e-005,2.34281e-005,0.000228467,0.000876595,0.00127667,0.000702664,0.000144402,1.1182e-005,2.40089e-006,2.34131e-005,8.98327e-005,0.000130832,7.20085e-005,1.47982e-005,1.14592e-006
3,0.0562558,1.8096e-006,1.72774e-005,6.51501e-005,9.35504e-005,5.09134e-005,1.03717e-005,7.97647e-007,1.76582e-005,0.000168594,0.00063574,0.000912872,0.000496817,0.000101208,7.7835e-006,7.04405e-005,0.000672539,0.00253603,0.00364154,0.00198185,0.000403728,3.10492e-005,0.000111585,0.00106537,0.00401733,0.00576856,0.00313946,0.000639546,4.9185e-005,7.04405e-005,0.000672539,0.00253603,0.00364154,0.00198185,0.000403728,3.10492e-005,1.76582e-005,0.000168594,0.00063574,0.000912872,0.000496817,0.000101208,7.7835e-006,1.8096e-006,1.72774e-005,6.51501e-005,9.35504e-005,5.09134e-005,1.03717e-005,7.97647e-007
4,0.0754439,1.58355e-006,1.4952e-005,5.58654e-005,7.96144e-005,4.30681e-005,8.73211e-006,6.69064e-007,1.54524e-005,0.000145902,0.000545139,0.000776884,0.000420262,8.52086e-005,6.52878e-006,6.16411e-005,0.00058202,0.00217462,0.00309907,0.00167647,0.000339906,2.6044e-005,9.76456e-005,0.000921977,0.00344481,0.00490923,0.00265569,0.000538445,4.12562e-005,6.16411e-005,0.00058202,0.00217462,0.00309907,0.00167647,0.000339906,2.6044e-005,1.54524e-005,0.000145902,0.000545139,0.000776884,0.000420262,8.52086e-005,6.52878e-006,1.58355e-006,1.4952e-005,5.58654e-005,7.96144e-005,4.30681e-005,8.73211e-006,6.69064e-007
5,0.0948544,1.51206e-006,1.39937e-005,5.09837e-005,7.06662e-005,3.7176e-005,7.34255e-006,5.4934e-007,1.47548e-005,0.000136552,0.000497503,0.000689567,0.000362767,7.16492e-005,5.36051e-006,5.88585e-005,0.000544719,0.00198459,0.00275075,0.00144711,0.000285816,2.13836e-005,9.32378e-005,0.000862889,0.00314379,0.00435747,0.00229237,0.000452761,3.38738e-005,5.88585e-005,0.000544719,0.00198459,0.00275075,0.00144711,0.000285816,2.13836e-005,1.47548e-005,0.000136552,0.000497503,0.000689567,0.000362767,7.16492e-005,5.36051e-006,1.51206e-006,1.39937e-005,5.09837e-005,7.06662e-005,3.7176e-005,7.34255e-006,5.4934e-007
6,0.11449,1.54959e-006,1.52302e-005,5.9424e-005,8.90476e-005,5.1168e-005,1.11748e-005,9.42141e-007,1.51211e-005,0.000148618,0.000579864,0.000868934,0.000499301,0.000109045,9.19349e-006,6.03195e-005,0.000592852,0.00231314,0.00346626,0.00199176,0.000434992,3.66738e-005,9.55521e-005,0.000939137,0.00366424,0.00549091,0.00315515,0.000689071,5.80949e-005,6.03195e-005,0.000592852,0.00231314,0.00346626,0.00199176,0.000434992,3.66738e-005,1.51211e-005,0.000148618,0.000579864,0.000868934,0.000499301,0.000109045,9.19349e-006,1.54959e-006,1.52302e-005,5.9424e-005,8.90476e-005,5.1168e-005,1.11748e-005,9.42141e-007
7,0.134352,1.4746e-006,1.52751e-005,6.38071e-005,0.000104082,6.60815e-005,1.61389e-005,1.53922e-006,1.43893e-005,0.000149056,0.000622635,0.00101564,0.000644829,0.000157485,1.50199e-005,5.74004e-005,0.000594598,0.00248376,0.00405148,0.00257229,0.000628223,5.99158e-005,9.0928e-005,0.000941903,0.00393452,0.00641794,0.00407476,0.000995169,9.49126e-005,5.74004e-005,0.000594598,0.00248376,0.00405148,0.00257229,0.000628223,5.99158e-005,1.43893e-005,0.000149056,0.000622635,0.00101564,0.000644829,0.000157485,1.50199e-005,1.4746e-006,1.52751e-005,6.38071e-005,0.000104082,6.60815e-005,1.61389e-005,1.53922e-006
8,0.154445,1.22192e-006,1.24584e-005,5.11096e-005,8.17668e-005,5.09055e-005,1.22004e-005,1.14308e-006,1.19236e-005,0.00012157,0.000498732,0.000797887,0.00049674,0.000119053,1.11542e-005,4.75643e-005,0.000484954,0.00198949,0.00318285,0.00198155,0.000474913,4.44954e-005,7.53466e-005,0.000768215,0.00315156,0.00504196,0.00313897,0.000752309,7.04852e-005,4.75643e-005,0.000484954,0.00198949,0.00318285,0.00198155,0.000474913,4.44954e-005,1.19236e-005,0.00012157,0.000498732,0.000797887,0.00049674,0.000119053,1.11542e-005,1.22192e-006,1.24584e-005,5.11096e-005,8.17668e-005,5.09055e-005,1.22004e-005,1.14308e-006
9,0.174771,1.22782e-006,1.27387e-005,5.32185e-005,8.67446e-005,5.50066e-005,1.34149e-005,1.27753e-006,1.19812e-005,0.000124305,0.00051931,0.000846461,0.000536759,0.000130904,1.24663e-005,4.77941e-005,0.000495866,0.00207158,0.00337662,0.00214118,0.000522188,4.97291e-005,7.57107e-005,0.000785502,0.00328159,0.0053489,0.00339185,0.000827198,7.87759e-005,4.77941e-005,0.000495866,0.00207158,0.00337662,0.00214118,0.000522188,4.97291e-005,1.19812e-005,0.000124305,0.00051931,0.000846461,0.000536759,0.000130904,1.24663e-005,1.22782e-006,1.27387e-005,5.32185e-005,8.67446e-005,5.50066e-005,1.34149e-005,1.27753e-006
