gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.13919e-005,8.38667e-005,0.000244135,0.000268853,0.000111577,1.72435e-005,9.95887e-007,0.000111167,0.000818411,0.00238238,0.00262359,0.00108882,0.00016827,9.71835e-006,0.000443458,0.00326473,0.00950358,0.0104658,0.00434341,0.000671249,3.87676e-005,0.000702481,0.00517166,0.0150546,0.0165789,0.00688041,0.00106333,6.14119e-005,0.000443458,0.00326473,0.00950359,0.0104658,0.00434343,0.000671251,3.87678e-005,0.000111167,0.000818413,0.00238239,0.0026236,0.00108882,0.000168271,9.71844e-006,1.13919e-005,8.38671e-005,0.000244136,0.000268854,0.000111578,1.72437e-005,9.95902e-007
1,0.0185364,3.51732e-006,3.4121e-005,0.000130408,0.000189379,0.000104016,2.13445e-005,1.6511e-006,3.43236e-005,0.000332968,0.00127258,0.00184804,0.00101503,0.000208289,1.61122e-005,0.00013692,0.00132824,0.00507646,0.00737204,0.00404907,0.000830886,6.4273e-005,0.000216895,0.00210407,0.00804161,0.011678,0.00641412,0.00131621,0.000101815,0.00013692,0.00132824,0.00507645,0.00737203,0.00404906,0.000830885,6.42729e-005,3.43235e-005,0.000332967,0.00127258,0.00184804,0.00101503,0.000208288,1.61121e-005,3.5173e-006,3.41208e-005,0.000130408,0.000189378,0.000104015,2.13444e-005,1.65109e-006
2,0.0372875,2.99598e-006,2.77678e-005,0.000102008,0.000143161,7.64121e-005,1.53172e-005,1.16241e-006,2.92361e-005,0.000270971,0.000995443,0.00139703,0.000745664,0.000149472,1.13433e-005,0.000116626,0.00108093,0.00397093,0.00557289,0.00297453,0.000596258,4.52496e-005,0.000184747,0.00171231,0.00629034,0.00882802,0.00471196,0.000944533,7.16799e-005,0.000116626,0.00108093,0.00397092,0.00557289,0.00297453,0.000596258,4.52496e-005,2.92361e-005,0.000270971,0.000995442,0.00139703,0.000745664,0.000149472,1.13433e-005,2.99597e-006,2.77678e-005,0.000102008,0.000143161,7.6412e-005,1.53171e-005,1.16241e-006
3,0.0562558,2.72513e-006,2.62348e-005,0.000100333,0.000147465,8.3184e-005,1.78511e-005,1.47948e-006,2.65931e-005,0.000256011,0.000979095,0.00143903,0.000811749,0.000174199,1.44374e-005,0.000106083,0.00102126,0.00390572,0.00574046,0.00323815,0.000694899,5.75925e-005,0.000168046,0.00161777,0.00618705,0.00909347,0.00512956,0.00110079,9.12323e-005,0.000106083,0.00102126,0.00390572,0.00574047,0.00323816,0.0006949,5.75926e-005,2.65931e-005,0.000256012,0.000979098,0.00143904,0.000811752,0.0001742,1.44375e-005,2.72514e-006,2.62348e-005,0.000100333,0.000147466,8.31845e-005,1.78512e-005,1.47949e-006
4,0.0754439,2.69145e-006,2.76384e-005,0.00011384,0.000182363,0.000113425,2.71123e-005,2.53048e-006,2.62644e-005,0.000269708,0.0011109,0.00177958,0.00110685,0.000264574,2.46936e-005,0.000104771,0.00107589,0.00443151,0.00709895,0.00441533,0.00105541,9.85054e-005,0.000165968,0.00170432,0.00701995,0.0112454,0.00699432,0.00167188,0.000156042,0.000104771,0.00107589,0.0044315,0.00709894,0.00441533,0.00105541,9.85054e-005,2.62643e-005,0.000269707,0.0011109,0.00177958,0.00110685,0.000264573,2.46936e-005,2.69144e-006,2.76383e-005,0.00011384,0.000182363,0.000113424,2.71122e-005,2.53048e-006
5,0.0948544,2.08639e-006,2.12762e-005,8.72223e-005,0.000139359,8.66197e-005,2.0724e-005,1.93834e-006,2.036e-005,0.000207623,0.000851156,0.00135993,0.000845274,0.000202234,1.89153e-005,8.1218e-005,0.000828228,0.00339535,0.00542492,0.00337189,0.000806734,7.54549e-005,0.000128657,0.001312,0.00537857,0.00859361,0.00534141,0.00127795,0.000119528,8.1218e-005,0.000828228,0.00339535,0.00542492,0.00337189,0.000806734,7.54549e-005,2.036e-005,0.000207622,0.000851155,0.00135993,0.000845274,0.000202234,1.89152e-005,2.08639e-006,2.12761e-005,8.72223e-005,0.000139359,8.66196e-005,2.0724e-005,1.93834e-006
6,0.11449,1.97874e-006,2.05478e-005,8.56161e-005,0.00013878,8.73287e-005,2.11073e-005,1.99075e-006,1.93095e-005,0.000200514,0.000835481,0.00135428,0.000852194,0.000205975,1.94266e-005,7.70274e-005,0.000799873,0.00333282,0.00540236,0.00339949,0.000821657,7.74949e-005,0.000122019,0.00126708,0.00527952,0.00855788,0.00538514,0.00130159,0.00012276,7.70274e-005,0.000799873,0.00333282,0.00540236,0.00339949,0.000821658,7.74949e-005,1.93095e-005,0.000200515,0.000835482,0.00135428,0.000852195,0.000205976,1.94267e-005,1.97874e-006,2.05478e-005,8.56161e-005,0.00013878,8.73289e-005,2.11074e-005,1.99075e-006
7,0.134352,1.8103e-006,1.94078e-005,8.38996e-005,0.000141926,9.37828e-005,2.39745e-005,2.41915e-006,1.76658e-005,0.00018939,0.000818731,0.00138498,0.000915176,0.000233954,2.36072e-005,7.04706e-005,0.000755496,0.003266,0.00552482,0.00365073,0.000933268,9.41714e-005,0.000111633,0.00119678,0.00517367,0.00875187,0.00578312,0.00147839,0.000149177,7.04706e-005,0.000755496,0.003266,0.00552482,0.00365073,0.000933268,9.41714e-005,1.76658e-005,0.00018939,0.00081873,0.00138498,0.000915175,0.000233954,2.36071e-005,1.8103e-006,1.94077e-005,8.38995e-005,0.000141926,9.37827e-005,2.39745e-005,2.41914e-006
8,0.154445,1.56787e-006,1.6868e-005,7.32145e-005,0.000124834,8.3792e-005,2.20159e-005,2.32286e-006,1.53e-005,0.000164606,0.000714461,0.00121819,0.000817682,0.000214841,2.26675e-005,6.10333e-005,0.00065663,0.00285006,0.00485949,0.00326182,0.000857024,9.0423e-005,9.66829e-005,0.00104017,0.00451478,0.00769792,0.00516705,0.00135761,0.000143239,6.10333e-005,0.000656631,0.00285006,0.0048595,0.00326182,0.000857024,9.04231e-005,1.53e-005,0.000164606,0.000714461,0.00121819,0.000817682,0.000214841,2.26675e-005,1.56787e-006,1.6868e-005,7.32146e-005,0.000124835,8.37922e-005,2.20159e-005,2.32286e-006
9,0.174771,1.42495e-006,1.56076e-005,6.88869e-005,0.000119214,8.09807e-005,2.14527e-005,2.27254e-006,1.39053e-005,0.000152306,0.00067223,0.00116334,0.000790246,0.000209345,2.21765e-005,5.54696e-005,0.000607566,0.00268159,0.0046407,0.00315237,0.0008351,8.84644e-005,8.78693e-005,0.000962445,0.00424791,0.00735133,0.00499367,0.00132288,0.000140136,5.54695e-005,0.000607565,0.00268159,0.0046407,0.00315237,0.000835099,8.84643e-005,1.39052e-005,0.000152306,0.000672229,0.00116334,0.000790245,0.000209345,2.21765e-005,1.42494e-006,1.56076e-005,6.88868e-005,0.000119214,8.09805e-005,2.14527e-005,2.27254e-006
