gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.62374e-005,0.000123235,0.000370723,0.000424031,0.000184054,3.00279e-005,1.85539e-006,0.000158452,0.00120259,0.00361769,0.0041379,0.00179609,0.000293026,1.81058e-005,0.000632083,0.00479725,0.0144313,0.0165065,0.00716479,0.00116891,7.22259e-005,0.00100128,0.00759932,0.0228607,0.026148,0.0113498,0.00185168,0.000114413,0.000632083,0.00479725,0.0144314,0.0165065,0.00716481,0.00116892,7.22261e-005,0.000158452,0.00120259,0.0036177,0.00413791,0.0017961,0.000293028,1.81059e-005,1.62374e-005,0.000123235,0.000370724,0.000424033,0.000184055,3.00281e-005,1.85541e-006
1,0.0185364,4.36781e-006,4.36683e-005,0.000171066,0.000253583,0.000141647,2.9465e-005,2.30453e-006,4.2623e-005,0.000426135,0.00166934,0.00247458,0.00138226,0.000287533,2.24886e-005,0.000170028,0.0016999,0.00665915,0.00987134,0.00551397,0.001147,8.97094e-005,0.000269341,0.0026928,0.0105488,0.0156372,0.00873467,0.00181696,0.000142109,0.000170027,0.00169989,0.00665914,0.00987132,0.00551396,0.00114699,8.97093e-005,4.26229e-005,0.000426134,0.00166933,0.00247457,0.00138225,0.000287532,2.24885e-005,4.36779e-006,4.36681e-005,0.000171065,0.000253582,0.000141647,2.94648e-005,2.30452e-006
2,0.0372875,3.68352e-006,3.64619e-005,0.000140748,0.000205226,0.000112783,2.31134e-005,1.78403e-006,3.59455e-005,0.000355812,0.00137349,0.00200268,0.00110059,0.000225551,1.74094e-005,0.00014339,0.00141937,0.00547897,0.00798892,0.00439036,0.000899746,6.94478e-005,0.000227145,0.00224843,0.00867924,0.0126552,0.00695476,0.00142529,0.000110012,0.00014339,0.00141937,0.00547897,0.00798891,0.00439035,0.000899746,6.94477e-005,3.59455e-005,0.000355812,0.00137348,0.00200268,0.00110059,0.000225551,1.74093e-005,3.68352e-006,3.64619e-005,0.000140748,0.000205225,0.000112783,2.31133e-005,1.78402e-006
3,0.0562558,2.72927e-006,2.84432e-005,0.000117637,0.000187411,0.000114943,2.6911e-005,2.44701e-006,2.66334e-005,0.000277561,0.00114795,0.00182884,0.00112167,0.00026261,2.3879e-005,0.000106243,0.00110722,0.0045793,0.00729544,0.00447444,0.00104758,9.5256e-005,0.0001683,0.00175395,0.00725407,0.0115567,0.00708796,0.00165947,0.000150895,0.000106243,0.00110722,0.00457929,0.00729544,0.00447444,0.00104758,9.52561e-005,2.66333e-005,0.00027756,0.00114795,0.00182884,0.00112166,0.00026261,2.38791e-005,2.72925e-006,2.8443e-005,0.000117636,0.000187411,0.000114943,2.6911e-005,2.44701e-006
4,0.0754439,2.48566e-006,2.73767e-005,0.000120508,0.000205666,0.000135666,3.41998e-005,3.34903e-006,2.42562e-005,0.000267154,0.00117597,0.00200699,0.00132389,0.000333737,3.26814e-005,9.67606e-005,0.00106571,0.00469108,0.00800608,0.00528113,0.00133131,0.000130369,0.000153279,0.00168818,0.00743114,0.0126824,0.00836583,0.00210893,0.000206518,9.67607e-005,0.0010657,0.00469108,0.00800607,0.00528113,0.00133131,0.000130369,2.42562e-005,0.000267154,0.00117597,0.00200698,0.00132389,0.000333737,3.26813e-005,2.48566e-006,2.73766e-005,0.000120508,0.000205666,0.000135665,3.41997e-005,3.34902e-006
5,0.0948544,2.05248e-006,2.27375e-005,9.99678e-005,0.000169603,0.000110887,2.76656e-005,2.6797e-006,2.0029e-005,0.000221883,0.00097553,0.00165506,0.00108208,0.000269973,2.61497e-005,7.98977e-005,0.000885111,0.00389148,0.00660218,0.00431653,0.00107695,0.000104314,0.000126566,0.0014021,0.00616448,0.0104585,0.00683779,0.00170599,0.000165243,7.98973e-005,0.000885106,0.00389146,0.00660215,0.00431651,0.00107694,0.000104313,2.00288e-005,0.00022188,0.000975519,0.00165504,0.00108207,0.000269971,2.61494e-005,2.05245e-006,2.27372e-005,9.99662e-005,0.0001696,0.000110885,2.76652e-005,2.67966e-006
6,0.11449,1.67534e-006,1.88727e-005,8.44008e-005,0.000145688,9.68802e-005,2.45633e-005,2.41565e-006,1.63488e-005,0.000184169,0.000823624,0.00142169,0.000945403,0.0002397,2.35731e-005,6.52171e-005,0.000734669,0.00328553,0.00567129,0.00377132,0.000956188,9.40356e-005,0.000103311,0.00116379,0.00520461,0.00898391,0.00597415,0.0015147,0.000148962,6.52174e-005,0.000734673,0.00328554,0.00567131,0.00377133,0.00095619,9.40357e-005,1.63489e-005,0.00018417,0.00082363,0.0014217,0.000945408,0.000239701,2.35731e-005,1.67536e-006,1.88729e-005,8.44019e-005,0.000145689,9.6881e-005,2.45634e-005,2.41566e-006
7,0.134352,1.32793e-006,1.5558e-005,7.31233e-005,0.000134411,9.6684e-005,2.70198e-005,3.01045e-006,1.29586e-005,0.000151823,0.000713571,0.00131165,0.000943487,0.000263672,2.93774e-005,5.16931e-005,0.000605637,0.00284651,0.0052323,0.00376367,0.00105181,0.000117189,8.18872e-005,0.000959389,0.00450916,0.00828848,0.00596202,0.00166618,0.00018564,5.16932e-005,0.000605637,0.00284651,0.0052323,0.00376367,0.00105181,0.000117189,1.29586e-005,0.000151823,0.000713572,0.00131165,0.000943486,0.000263671,2.93773e-005,1.32794e-006,1.55581e-005,7.31234e-005,0.000134411,9.66839e-005,2.70198e-005,3.01045e-006
8,0.154445,1.09044e-006,1.30119e-005,6.21822e-005,0.000116019,8.45307e-005,2.38719e-005,2.68177e-006,1.0641e-005,0.000126976,0.000606801,0.00113217,0.000824888,0.000232953,2.61699e-005,4.24482e-005,0.000506519,0.00242059,0.00451632,0.00329056,0.000929271,0.000104394,6.72421e-005,0.000802375,0.00383445,0.00715429,0.00521257,0.00147206,0.000165371,4.24481e-005,0.000506517,0.00242058,0.0045163,0.00329055,0.000929268,0.000104394,1.0641e-005,0.000126975,0.000606798,0.00113216,0.000824882,0.000232951,2.61697e-005,1.09044e-006,1.30118e-005,6.21816e-005,0.000116018,8.45298e-005,2.38717e-005,2.68174e-006
9,0.174771,8.87358e-007,1.07221e-005,5.18366e-005,9.78e-005,7.20338e-005,2.05609e-005,2.3351e-006,8.65926e-006,0.000104632,0.000505846,0.000954378,0.00070294,0.000200643,2.2787e-005,3.45427e-005,0.000417387,0.00201788,0.00380712,0.0028041,0.000800386,9.09e-005,5.47192e-005,0.000661183,0.00319652,0.00603086,0.00444199,0.00126789,0.000143995,3.45428e-005,0.000417388,0.00201788,0.00380713,0.00280411,0.000800387,9.09002e-005,8.65931e-006,0.000104632,0.000505849,0.000954383,0.000702943,0.000200644,2.27871e-005,8.87365e-007,1.07222e-005,5.1837e-005,9.78007e-005,7.20343e-005,2.0561e-005,2.33512e-006
