gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.13436e-005,8.34991e-005,0.000243011,0.000267525,0.000110971,1.71378e-005,9.88783e-007,0.000110695,0.000814819,0.0023714,0.00261062,0.0010829,0.000167238,9.64896e-006,0.000441572,0.00325038,0.00945971,0.010414,0.00431977,0.000667125,3.84905e-005,0.000699491,0.0051489,0.014985,0.0164967,0.00684292,0.00105679,6.09726e-005,0.000441568,0.00325034,0.00945961,0.0104139,0.00431973,0.000667118,3.84902e-005,0.000110693,0.000814801,0.00237135,0.00261056,0.00108288,0.000167234,9.64878e-006,1.13432e-005,8.34964e-005,0.000243003,0.000267516,0.000110967,1.71373e-005,9.88756e-007
1,0.0185364,3.48498e-006,3.38109e-005,0.000129273,0.000187827,0.000103221,2.11927e-005,1.64016e-006,3.40079e-005,0.000329942,0.0012615,0.0018329,0.00100728,0.000206808,1.60054e-005,0.000135661,0.00131617,0.00503224,0.00731162,0.00401812,0.000824975,6.38469e-005,0.0002149,0.00208494,0.00797156,0.0115823,0.00636508,0.00130684,0.00010114,0.00013566,0.00131616,0.00503222,0.00731158,0.0040181,0.00082497,6.38465e-005,3.40076e-005,0.000329939,0.00126149,0.00183288,0.00100726,0.000206805,1.60052e-005,3.48493e-006,3.38105e-005,0.000129271,0.000187825,0.000103219,2.11923e-005,1.64013e-006
2,0.0372875,2.97529e-006,2.75735e-005,0.000101284,0.000142128,7.58511e-005,1.52028e-005,1.15359e-006,2.90341e-005,0.000269073,0.00098837,0.00138694,0.000740187,0.000148355,1.12572e-005,0.000115819,0.00107336,0.0039427,0.00553263,0.00295268,0.000591803,4.49062e-005,0.000183469,0.0017003,0.0062456,0.00876422,0.00467732,0.000937472,7.11357e-005,0.000115818,0.00107335,0.00394267,0.0055326,0.00295266,0.000591799,4.49059e-005,2.90335e-005,0.000269069,0.000988355,0.00138692,0.000740178,0.000148353,1.12571e-005,2.97519e-006,2.75727e-005,0.000101281,0.000142125,7.58496e-005,1.52025e-005,1.15357e-006
3,0.0562558,2.69053e-006,2.58496e-005,9.86487e-005,0.000144657,8.13988e-005,1.74216e-005,1.43962e-006,2.62548e-005,0.000252245,0.000962633,0.00141159,0.000794305,0.000170004,1.40482e-005,0.000104731,0.00100621,0.00383994,0.00563082,0.00316848,0.000678145,5.60384e-005,0.000165901,0.00159389,0.00608269,0.00891955,0.00501907,0.00107422,8.87684e-005,0.000104726,0.00100616,0.00383974,0.00563052,0.00316832,0.000678112,5.60359e-005,2.62526e-005,0.00025222,0.00096253,0.00141144,0.000794222,0.000169987,1.40469e-005,2.69018e-006,2.58456e-005,9.86327e-005,0.000144633,8.13858e-005,1.7419e-005,1.43943e-006
4,0.0754439,2.69035e-006,2.76185e-005,0.000113714,0.000182074,0.000113181,2.70372e-005,2.52182e-006,2.62541e-005,0.000269518,0.00110969,0.00177678,0.00110448,0.000263843,2.46092e-005,0.000104732,0.00107515,0.00442672,0.00708783,0.00440591,0.0010525,9.8169e-005,0.000165908,0.00170317,0.00701244,0.0112279,0.00697946,0.00166728,0.00015551,0.000104735,0.00107518,0.00442682,0.00708797,0.00440598,0.00105251,9.81695e-005,2.62556e-005,0.000269532,0.00110974,0.00177685,0.00110451,0.000263849,2.46095e-005,2.69058e-006,2.76207e-005,0.000113722,0.000182085,0.000113186,2.70381e-005,2.52187e-006
5,0.0948544,2.07623e-006,2.1153e-005,8.66754e-005,0.000138466,8.60747e-005,2.06e-005,1.92757e-006,2.02608e-005,0.000206421,0.000845816,0.00135121,0.000839953,0.000201023,1.88101e-005,8.08221e-005,0.000823431,0.00337404,0.00539008,0.00335065,0.0008019,7.5035e-005,0.00012803,0.00130439,0.00534479,0.0085384,0.00530774,0.00127028,0.000118862,8.08218e-005,0.000823426,0.00337401,0.00539004,0.00335062,0.000801893,7.50344e-005,2.02606e-005,0.000206418,0.000845804,0.00135119,0.000839939,0.00020102,1.88098e-005,2.0762e-006,2.11527e-005,8.66736e-005,0.000138462,8.60726e-005,2.05995e-005,1.92752e-006
6,0.11449,1.96871e-006,2.03918e-005,8.47323e-005,0.000136934,8.58949e-005,2.06947e-005,1.94568e-006,1.92115e-005,0.000198991,0.000826847,0.00133625,0.000838187,0.000201944,1.89864e-005,7.66361e-005,0.000793791,0.00329834,0.00533035,0.00334355,0.00080556,7.57367e-005,0.000121399,0.00125743,0.00522485,0.00844369,0.00529643,0.00127606,0.000119972,7.66353e-005,0.000793778,0.00329827,0.0053302,0.00334344,0.000805526,7.57331e-005,1.9211e-005,0.000198985,0.00082681,0.00133617,0.000838127,0.000201927,1.89845e-005,1.96864e-006,2.03908e-005,8.47266e-005,0.000136922,8.58857e-005,2.06921e-005,1.94539e-006
7,0.134352,1.82316e-006,1.95221e-005,8.43206e-005,0.000142535,9.41135e-005,2.40344e-005,2.42139e-006,1.77913e-005,0.000190506,0.000822841,0.00139093,0.000918407,0.000234541,2.36292e-005,7.09712e-005,0.000759947,0.0032824,0.00554858,0.00366364,0.000935612,9.42598e-005,0.000112425,0.00120383,0.00519966,0.00878953,0.00580359,0.00148211,0.000149318,7.09712e-005,0.000759948,0.00328241,0.00554861,0.00366367,0.000935622,9.42611e-005,1.77912e-005,0.000190506,0.000822846,0.00139095,0.000918422,0.000234546,2.36298e-005,1.82316e-006,1.95221e-005,8.43214e-005,0.000142538,9.41159e-005,2.40352e-005,2.42148e-006
8,0.154445,1.56938e-006,1.68568e-005,7.30541e-005,0.000124359,8.33247e-005,2.18505e-005,2.30048e-006,1.53145e-005,0.000164495,0.000712886,0.00121354,0.000813109,0.000213224,2.24489e-005,6.10907e-005,0.000656179,0.00284374,0.00484086,0.00324353,0.000850562,8.95498e-005,9.67728e-005,0.00103944,0.0045047,0.0076683,0.00513801,0.00134736,0.000141854,6.10895e-005,0.000656163,0.00284366,0.00484072,0.00324344,0.000850539,8.95476e-005,1.53139e-005,0.000164487,0.000712847,0.00121347,0.000813063,0.000213213,2.24478e-005,1.56928e-006,1.68556e-005,7.30481e-005,0.000124349,8.33176e-005,2.18487e-005,2.30031e-006
9,0.174771,1.41447e-006,1.54499e-005,6.80572e-005,0.000117658,7.99172e-005,2.11861e-005,2.24725e-006,1.38031e-005,0.000150767,0.000664132,0.00114815,0.000779864,0.000206742,2.19295e-005,5.5062e-005,0.000601426,0.00264929,0.00458009,0.00311094,0.00082471,8.74784e-005,8.72238e-005,0.000952718,0.00419673,0.00725529,0.00492802,0.00130641,0.000138573,5.50621e-005,0.000601425,0.00264928,0.00458006,0.00311091,0.000824699,8.7477e-005,1.38031e-005,0.000150767,0.000664126,0.00114814,0.000779849,0.000206737,2.19288e-005,1.41448e-006,1.54498e-005,6.80563e-005,0.000117655,7.99147e-005,2.11852e-005,2.24714e-006
10,0.195332,1.22047e-006,1.35052e-005,6.03911e-005,0.000106225,7.35454e-005,1.98968e-005,2.15611e-006,1.191e-005,0.000131792,0.000589331,0.0010366,0.000717695,0.000194163,2.10404e-005,4.7511e-005,0.000525737,0.00235093,0.00413516,0.00286298,0.000774539,8.39324e-005,7.5263e-005,0.000832829,0.00372414,0.00655056,0.00453528,0.00122695,0.000132958,4.75121e-005,0.000525749,0.00235098,0.00413523,0.00286302,0.000774546,8.39327e-005,1.19106e-005,0.000131798,0.000589356,0.00103664,0.000717715,0.000194166,2.10405e-005,1.22056e-006,1.35061e-005,6.0395e-005,0.000106231,7.35485e-005,1.98973e-005,2.15614e-006
11,0.216131,1.0471e-006,1.17611e-005,5.35037e-005,9.6e-005,6.79798e-005,1.88554e-005,2.10111e-006,1.02182e-005,0.000114771,0.000522114,0.00093681,0.000663374,0.000183998,2.05034e-005,4.07617e-005,0.000457837,0.00208277,0.00373702,0.00264625,0.000733981,8.17896e-005,6.45711e-005,0.000725262,0.00329932,0.0059198,0.00419191,0.00116269,0.000129562,4.07624e-005,0.000457841,0.00208277,0.003737,0.00264622,0.00073397,8.17882e-005,1.02185e-005,0.000114773,0.000522116,0.0009368,0.000663359,0.000183992,2.05027e-005,1.04715e-006,1.17615e-005,5.3504e-005,9.59985e-005,6.79775e-005,1.88545e-005,2.101e-006
12,0.237172,9.0613e-007,1.0287e-005,4.72822e-005,8.56919e-005,6.12907e-005,1.71892e-005,1.94476e-006,8.84253e-006,0.000100386,0.000461402,0.000836221,0.000598101,0.000167739,1.89777e-005,3.52741e-005,0.000400451,0.00184059,0.00333577,0.00238588,0.000669126,7.57037e-005,5.58783e-005,0.000634359,0.00291568,0.00528419,0.00377946,0.00105996,0.000119921,3.52748e-005,0.000400456,0.0018406,0.00333577,0.00238586,0.000669119,7.57027e-005,8.84288e-006,0.000100388,0.000461408,0.00083622,0.000598093,0.000167736,1.89772e-005,9.06186e-007,1.02874e-005,4.7283e-005,8.56918e-005,6.12896e-005,1.71887e-005,1.94468e-006
13,0.258456,7.69126e-007,8.85329e-006,4.13577e-005,7.64284e-005,5.59466e-005,1.61208e-005,1.88316e-006,7.50561e-006,8.63959e-005,0.000403593,0.000745833,0.000545958,0.000157315,1.83767e-005,2.99412e-005,0.000344647,0.00161,0.00297524,0.0021779,0.000627548,7.33066e-005,4.74305e-005,0.000545964,0.00255043,0.00471313,0.00345004,0.000994102,0.000116125,2.99421e-005,0.000344657,0.00161004,0.0029753,0.00217794,0.000627553,7.33065e-005,7.5061e-006,8.6401e-005,0.000403615,0.000745866,0.000545976,0.000157317,1.83767e-005,7.69201e-007,8.85409e-006,4.13611e-005,7.64336e-005,5.59494e-005,1.61212e-005,1.88315e-006
14,0.279986,6.52403e-007,7.56779e-006,3.56522e-005,6.65347e-005,4.92611e-005,1.43762e-005,1.70306e-006,6.36656e-006,7.38511e-005,0.000347916,0.000649285,0.000480718,0.000140291,1.66194e-005,2.53973e-005,0.000294604,0.00138789,0.0025901,0.00191765,0.00055964,6.62973e-005,4.02325e-005,0.000466689,0.00219858,0.00410302,0.00303779,0.000886535,0.000105023,2.53981e-005,0.000294613,0.00138793,0.00259016,0.0019177,0.000559651,6.62986e-005,6.36698e-006,7.38554e-005,0.000347934,0.000649315,0.000480739,0.000140296,1.66201e-005,6.52468e-007,7.56846e-006,3.56551e-005,6.65395e-005,4.92643e-005,1.43771e-005,1.70316e-006
15,0.301766,5.50431e-007,6.44535e-006,3.06609e-005,5.78415e-005,4.33805e-005,1.28713e-005,1.56123e-006,5.37145e-006,6.28977e-005,0.000299207,0.000564451,0.000423331,0.000125605,1.52353e-005,2.14277e-005,0.000250909,0.00119358,0.00225168,0.00168873,0.000501057,6.07758e-005,3.39441e-005,0.000397471,0.00189078,0.00356692,0.00267514,0.000793731,9.62755e-005,2.14284e-005,0.000250916,0.00119361,0.00225173,0.00168876,0.000501065,6.07766e-005,5.37182e-006,6.29013e-005,0.000299222,0.000564476,0.000423347,0.00012561,1.52357e-005,5.50488e-007,6.44592e-006,3.06633e-005,5.78454e-005,4.3383e-005,1.2872e-005,1.5613e-006
16,0.323799,4.61431e-007,5.454e-006,2.61805e-005,4.98339e-005,3.77065e-005,1.12838e-005,1.37996e-006,4.50293e-006,5.32233e-005,0.000255484,0.000486306,0.00036796,0.000110113,1.34664e-005,1.79629e-005,0.000212316,0.00101916,0.00193994,0.00146784,0.000439254,5.37191e-005,2.84554e-005,0.000336333,0.00161447,0.00307309,0.00232522,0.000695826,8.50968e-005,1.79634e-005,0.000212321,0.00101918,0.00193997,0.00146786,0.000439259,5.37196e-005,4.50319e-006,5.32258e-005,0.000255494,0.000486321,0.000367969,0.000110115,1.34666e-005,4.61472e-007,5.45439e-006,2.6182e-005,4.98363e-005,3.77079e-005,1.12841e-005,1.38e-006
