gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0285363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0472874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0662556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0854437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.104854,4.16587e-021,1.94219e-020,3.54526e-020,2.37395e-020,5.80773e-021,5.12795e-022,1.62678e-023,4.06511e-020,1.89521e-019,3.45951e-019,2.31653e-019,5.66726e-020,5.00392e-021,1.58744e-022,1.62161e-019,7.56018e-019,1.38003e-018,9.24085e-019,2.26072e-019,1.99611e-020,6.33243e-022,2.56878e-019,1.19761e-018,2.1861e-018,1.46384e-018,3.5812e-019,3.16203e-020,1.00312e-021,1.6216e-019,7.56015e-019,1.38003e-018,9.24082e-019,2.26071e-019,1.9961e-020,6.33241e-022,4.06506e-020,1.89519e-019,3.45947e-019,2.3165e-019,5.66719e-020,5.00385e-021,1.58742e-022,4.16587e-021,1.94219e-020,3.54526e-020,2.37395e-020,5.80773e-021,5.12795e-022,1.62678e-023
6,0.124489,1.117e-017,5.20764e-017,9.50606e-017,6.36542e-017,1.55728e-017,1.37502e-018,4.36219e-020,1.08998e-016,5.08166e-016,9.2761e-016,6.21143e-016,1.51961e-016,1.34176e-017,4.25666e-019,4.34803e-016,2.02713e-015,3.70033e-015,2.4778e-015,6.06186e-016,5.35241e-017,1.69803e-018,6.88772e-016,3.21117e-015,5.86169e-015,3.92509e-015,9.60259e-016,8.47875e-017,2.68984e-018,4.34803e-016,2.02713e-015,3.70033e-015,2.4778e-015,6.06186e-016,5.3524e-017,1.69803e-018,1.08998e-016,5.08166e-016,9.27609e-016,6.21143e-016,1.5196e-016,1.34176e-017,4.25666e-019,1.117e-017,5.20764e-017,9.50606e-017,6.36542e-017,1.55728e-017,1.37502e-018,4.36219e-020
7,0.144352,7.37315e-016,3.43874e-015,6.28e-015,4.20782e-015,1.0303e-015,9.10783e-017,2.89415e-018,7.19478e-015,3.35555e-014,6.12807e-014,4.10602e-014,1.00538e-014,8.8875e-016,2.82414e-017,2.87007e-014,1.33856e-013,2.44455e-013,1.63793e-013,4.01055e-014,3.54531e-015,1.12658e-016,4.54648e-014,2.12042e-013,3.87241e-013,2.59465e-013,6.35312e-014,5.61613e-015,1.78461e-016,2.87007e-014,1.33856e-013,2.44455e-013,1.63793e-013,4.01055e-014,3.54531e-015,1.12658e-016,7.19478e-015,3.35555e-014,6.12807e-014,4.10602e-014,1.00538e-014,8.8875e-016,2.82414e-017,7.37315e-016,3.43874e-015,6.28e-015,4.20782e-015,1.0303e-015,9.10783e-017,2.89415e-018
8,0.164445,2.55934e-014,1.20046e-013,2.20818e-013,1.49384e-013,3.70533e-014,3.33327e-015,1.08492e-016,2.49743e-013,1.17142e-012,2.15476e-012,1.4577e-012,3.6157e-013,3.25264e-014,1.05868e-015,9.96248e-013,4.67291e-012,8.59555e-012,5.81493e-012,1.44234e-012,1.29751e-013,4.22316e-015,1.57816e-012,7.40236e-012,1.36162e-011,9.21142e-012,2.2848e-012,2.05538e-013,6.6899e-015,9.96248e-013,4.67291e-012,8.59554e-012,5.81492e-012,1.44234e-012,1.29751e-013,4.22316e-015,2.49742e-013,1.17142e-012,2.15476e-012,1.4577e-012,3.61569e-013,3.25263e-014,1.05867e-015,2.55934e-014,1.20046e-013,2.20818e-013,1.49384e-013,3.70533e-014,3.33327e-015,1.08492e-016
9,0.18477,3.42567e-013,1.62606e-012,3.0355e-012,2.09336e-012,5.32389e-013,4.94705e-014,1.67926e-015,3.3428e-012,1.58672e-011,2.96206e-011,2.04272e-011,5.1951e-012,4.82737e-013,1.63864e-014,1.33348e-011,6.3296e-011,1.1816e-010,8.14861e-011,2.07238e-011,1.92569e-012,6.53668e-014,2.11236e-011,1.00267e-010,1.87177e-010,1.29082e-010,3.28285e-011,3.05048e-012,1.03548e-013,1.33348e-011,6.3296e-011,1.1816e-010,8.14861e-011,2.07238e-011,1.92569e-012,6.53668e-014,3.3428e-012,1.58672e-011,2.96206e-011,2.04272e-011,5.1951e-012,4.82737e-013,1.63863e-014,3.42567e-013,1.62606e-012,3.0355e-012,2.09336e-012,5.32389e-013,4.94705e-014,1.67926e-015
10,0.205331,2.58194e-012,1.23988e-011,2.34752e-011,1.64831e-011,4.28871e-012,4.10062e-013,1.44242e-014,2.51948e-011,1.20989e-010,2.29073e-010,1.60844e-010,4.18496e-011,4.00142e-012,1.40752e-013,1.00505e-010,4.82636e-010,9.13794e-010,6.41622e-010,1.66942e-010,1.59621e-011,5.61475e-013,1.59209e-010,7.64543e-010,1.44754e-009,1.01639e-009,2.64453e-010,2.52855e-011,8.89432e-013,1.00505e-010,4.82636e-010,9.13794e-010,6.41622e-010,1.66942e-010,1.59621e-011,5.61474e-013,2.51948e-011,1.20989e-010,2.29073e-010,1.60844e-010,4.18496e-011,4.00142e-012,1.40752e-013,2.58194e-012,1.23988e-011,2.34752e-011,1.64831e-011,4.28871e-012,4.10062e-013,1.44242e-014
