gridnumber,capital,dist[0 0 00],dist[0 0 01],dist[0 0 02],dist[0 0 10],dist[0 0 11],dist[0 0 12],dist[0 0 20],dist[0 0 21],dist[0 0 22],dist[0 1 00],dist[0 1 01],dist[0 1 02],dist[0 1 10],dist[0 1 11],dist[0 1 12],dist[0 1 20],dist[0 1 21],dist[0 1 22],dist[0 2 00],dist[0 2 01],dist[0 2 02],dist[0 2 10],dist[0 2 11],dist[0 2 12],dist[0 2 20],dist[0 2 21],dist[0 2 22],dist[1 0 00],dist[1 0 01],dist[1 0 02],dist[1 0 10],dist[1 0 11],dist[1 0 12],dist[1 0 20],dist[1 0 21],dist[1 0 22],dist[1 1 00],dist[1 1 01],dist[1 1 02],dist[1 1 10],dist[1 1 11],dist[1 1 12],dist[1 1 20],dist[1 1 21],dist[1 1 22],dist[1 2 00],dist[1 2 01],dist[1 2 02],dist[1 2 10],dist[1 2 11],dist[1 2 12],dist[1 2 20],dist[1 2 21],dist[1 2 22],dist[2 0 00],dist[2 0 01],dist[2 0 02],dist[2 0 10],dist[2 0 11],dist[2 0 12],dist[2 0 20],dist[2 0 21],dist[2 0 22],dist[2 1 00],dist[2 1 01],dist[2 1 02],dist[2 1 10],dist[2 1 11],dist[2 1 12],dist[2 1 20],dist[2 1 21],dist[2 1 22],dist[2 2 00],dist[2 2 01],dist[2 2 02],dist[2 2 10],dist[2 2 11],dist[2 2 12],dist[2 2 20],dist[2 2 21],dist[2 2 22]
0,0,0.0245878,0.00579052,0,0.000143446,3.37821e-005,0,0,0,0,0.00767528,0.0223518,0.00767528,4.47779e-005,0.000130401,4.47779e-005,0,0,0,0,0.00579052,0.0245878,0,3.37821e-005,0.000143446,0,0,0,0.0134011,0.00315602,0,0.0171492,0.00403871,0,0.000143446,3.37821e-005,0,0.00418328,0.0121825,0.00418328,0.00535328,0.0155897,0.00535328,4.47779e-005,0.000130401,4.47779e-005,0,0.00315602,0.0134011,0,0.00403871,0.0171492,0,3.37821e-005,0.000143446,0,0,0,0.0100525,0.00236741,0,0.0146787,0.00345688,0,0,0,0,0.00313799,0.00913839,0.00313799,0.00458207,0.0133438,0.00458207,0,0,0,0,0.00236741,0.0100525,0,0.00345688,0.0146787
1,0.0572595,0.00969955,0.00228428,0,0.000248703,5.85706e-005,0,0,0,0,0.0030278,0.0088175,0.0030278,7.76349e-005,0.000226087,7.76349e-005,0,0,0,0,0.00228428,0.00969955,0,5.85706e-005,0.000248703,0,0,0,0.00265158,0.000624458,0,0.00940626,0.00221521,0,0.000288909,6.80393e-005,0,0.000827714,0.00241045,0.000827714,0.00293625,0.00855087,0.00293625,9.01856e-005,0.000262637,9.01856e-005,0,0.000624458,0.00265158,0,0.00221521,0.00940626,0,6.80393e-005,0.000288909,0,0,0,0.00201462,0.00047445,0,0.00793364,0.0018684,0,0,0,0,0.00062888,0.00183141,0.00062888,0.00247655,0.00721217,0.00247655,0,0,0,0,0.00047445,0.00201462,0,0.0018684,0.00793364
2,0.116568,0.00859639,0.00202448,0,0.00292371,0.000688545,0,0,0,0,0.00268344,0.00781465,0.00268344,0.000912661,0.00265783,0.000912661,0,0,0,0,0.00202448,0.00859639,0,0.000688545,0.00292371,0,0,0,0.00166623,0.000392403,0,0.00874957,0.00206056,0,0.00388176,0.000914169,0,0.000520127,0.0015147,0.000520127,0.00273126,0.00795391,0.00273126,0.00121172,0.00352876,0.00121172,0,0.000392403,0.00166623,0,0.00206056,0.00874957,0,0.000914169,0.00388176,0,0,0,0.00126777,0.000298565,0,0.0102523,0.00241446,0,0,0,0,0.000395746,0.00115248,0.000395746,0.00320035,0.00932,0.00320035,0,0,0,0,0.000298565,0.00126777,0,0.00241446,0.0102523
3,0.177999,0.00614961,0.00144826,0,0.0023191,0.000546158,0,0,0,0,0.00191965,0.00559038,0.00191965,0.000723928,0.00210821,0.000723928,0,0,0,0,0.00144826,0.00614961,0,0.000546158,0.0023191,0,0,0,0.000904677,0.000213055,0,0.00652595,0.00153689,0,0.00307986,0.000725319,0,0.000282403,0.000822408,0.000282403,0.00203713,0.0059325,0.00203713,0.000961405,0.00279978,0.000961405,0,0.000213055,0.000904677,0,0.00153689,0.00652595,0,0.000725319,0.00307986,0,0,0,0.000693323,0.00016328,0,0.00777539,0.00183113,0,0,0,0,0.000216427,0.000630274,0.000216427,0.00242716,0.00706831,0.00242716,0,0,0,0,0.00016328,0.000693323,0,0.00183113,0.00777539
4,0.241629,0.00525838,0.00123837,0,0.00260872,0.000614365,0,0,0,0,0.00164145,0.00478019,0.00164145,0.000814336,0.00237149,0.000814336,0,0,0,0,0.00123837,0.00525838,0,0.000614365,0.00260872,0,0,0,0.000496889,0.000117019,0,0.00579537,0.00136483,0,0.00347157,0.000817569,0,0.000155108,0.000451703,0.000155108,0.00180907,0.00526835,0.00180907,0.00108368,0.00315588,0.00108368,0,0.000117019,0.000496889,0,0.00136483,0.00579537,0,0.000817569,0.00347157,0,0,0,0.000385378,9.07581e-005,0,0.00748172,0.00176197,0,0,0,0,0.000120299,0.000350333,0.000120299,0.00233548,0.00680135,0.00233548,0,0,0,0,9.07581e-005,0.000385378,0,0.00176197,0.00748172
5,0.307536,0.00356586,0.000839773,0,0.0023863,0.000561983,0,0,0,0,0.00111311,0.00324159,0.00111311,0.000744905,0.0021693,0.000744905,0,0,0,0,0.000839773,0.00356586,0,0.000561983,0.0023863,0,0,0,0.000220246,5.18689e-005,0,0.00398453,0.000938372,0,0.00318243,0.000749475,0,6.87518e-005,0.000200218,6.87518e-005,0.00124381,0.00362219,0.00124381,0.000993423,0.00289303,0.000993423,0,5.18689e-005,0.000220246,0,0.000938372,0.00398453,0,0.000749475,0.00318243,0,0,0,0.000172301,4.05775e-005,0,0.00577986,0.00136118,0,0,0,0,5.37852e-005,0.000156632,5.37852e-005,0.00180423,0.00525425,0.00180423,0,0,0,0,4.05775e-005,0.000172301,0,0.00136118,0.00577986
6,0.375801,0.00231035,0.000544098,0,0.00190948,0.00044969,0,0,0,0,0.000721197,0.00210026,0.000721197,0.000596061,0.00173584,0.000596061,0,0,0,0,0.000544098,0.00231035,0,0.00044969,0.00190948,0,0,0,8.96122e-005,2.1104e-005,0,0.00259794,0.000611825,0,0.00254967,0.000600457,0,2.79732e-005,8.14631e-005,2.79732e-005,0.00081097,0.00236169,0.00081097,0.000795901,0.00231781,0.000795901,0,2.1104e-005,8.96122e-005,0,0.000611825,0.00259794,0,0.000600457,0.00254967,0,0,0,7.07795e-005,1.66689e-005,0,0.00414905,0.000977119,0,0,0,0,2.20944e-005,6.4343e-005,2.20944e-005,0.00129516,0.00377175,0.00129516,0,0,0,0,1.66689e-005,7.07795e-005,0,0.000977119,0.00414905
7,0.44651,0.00124601,0.00029344,0,0.00115046,0.000270937,0,0,0,0,0.000388952,0.0011327,0.000388952,0.000359126,0.00104584,0.000359126,0,0,0,0,0.00029344,0.00124601,0,0.000270937,0.00115046,0,0,0,2.79295e-005,6.57751e-006,0,0.00140933,0.000331903,0,0.00153699,0.000361967,0,8.71843e-006,2.53896e-005,8.71843e-006,0.000439935,0.00128117,0.000439935,0.000479784,0.00139722,0.000479784,0,6.57751e-006,2.79295e-005,0,0.000331903,0.00140933,0,0.000361967,0.00153699,0,0,0,2.25548e-005,5.31174e-006,0,0.00237391,0.000559066,0,0,0,0,7.04067e-006,2.05037e-005,7.04067e-006,0.000741037,0.00215803,0.000741037,0,0,0,0,5.31174e-006,2.25548e-005,0,0.000559066,0.00237391
8,0.519749,0.000595669,0.000140282,0,0.000602173,0.000141814,0,0,0,0,0.000185943,0.0005415,0.000185943,0.000187973,0.000547412,0.000187973,0,0,0,0,0.000140282,0.000595669,0,0.000141814,0.000602173,0,0,0,7.15121e-006,1.68414e-006,0,0.000674654,0.000158884,0,0.000804832,0.000189541,0,2.23231e-006,6.50089e-006,2.23231e-006,0.000210599,0.000613303,0.000210599,0.000251235,0.000731642,0.000251235,0,1.68414e-006,7.15121e-006,0,0.000158884,0.000674654,0,0.000189541,0.000804832,0,0,0,5.96851e-006,1.40561e-006,0,0.00119187,0.000280691,0,0,0,0,1.86312e-006,5.42575e-006,1.86312e-006,0.000372054,0.00108349,0.000372054,0,0,0,0,1.40561e-006,5.96851e-006,0,0.000280691,0.00119187
9,0.595608,0.000244999,5.76984e-005,0,0.000267064,6.28946e-005,0,0,0,0,7.64787e-005,0.00022272,7.64787e-005,8.33663e-005,0.000242778,8.33663e-005,0,0,0,0,5.76984e-005,0.000244999,0,6.28946e-005,0.000267064,0,0,0,1.50201e-006,3.53729e-007,0,0.00027695,6.52229e-005,0,0.000357068,8.40909e-005,0,4.68865e-007,1.36542e-006,4.68865e-007,8.64524e-005,0.000251765,8.64524e-005,0.000111462,0.000324597,0.000111462,0,3.53729e-007,1.50201e-006,0,6.52229e-005,0.00027695,0,8.40909e-005,0.000357068,0,0,0,1.30609e-006,3.07589e-007,0,0.000510757,0.000120285,0,0,0,0,4.07707e-007,1.18731e-006,4.07707e-007,0.000159437,0.00046431,0.000159437,0,0,0,0,3.07589e-007,1.30609e-006,0,0.000120285,0.000510757
