gridnumber,capital,dist[0 0 00],dist[0 0 01],dist[0 0 02],dist[0 0 10],dist[0 0 11],dist[0 0 12],dist[0 0 20],dist[0 0 21],dist[0 0 22],dist[0 1 00],dist[0 1 01],dist[0 1 02],dist[0 1 10],dist[0 1 11],dist[0 1 12],dist[0 1 20],dist[0 1 21],dist[0 1 22],dist[0 2 00],dist[0 2 01],dist[0 2 02],dist[0 2 10],dist[0 2 11],dist[0 2 12],dist[0 2 20],dist[0 2 21],dist[0 2 22],dist[1 0 00],dist[1 0 01],dist[1 0 02],dist[1 0 10],dist[1 0 11],dist[1 0 12],dist[1 0 20],dist[1 0 21],dist[1 0 22],dist[1 1 00],dist[1 1 01],dist[1 1 02],dist[1 1 10],dist[1 1 11],dist[1 1 12],dist[1 1 20],dist[1 1 21],dist[1 1 22],dist[1 2 00],dist[1 2 01],dist[1 2 02],dist[1 2 10],dist[1 2 11],dist[1 2 12],dist[1 2 20],dist[1 2 21],dist[1 2 22],dist[2 0 00],dist[2 0 01],dist[2 0 02],dist[2 0 10],dist[2 0 11],dist[2 0 12],dist[2 0 20],dist[2 0 21],dist[2 0 22],dist[2 1 00],dist[2 1 01],dist[2 1 02],dist[2 1 10],dist[2 1 11],dist[2 1 12],dist[2 1 20],dist[2 1 21],dist[2 1 22],dist[2 2 00],dist[2 2 01],dist[2 2 02],dist[2 2 10],dist[2 2 11],dist[2 2 12],dist[2 2 20],dist[2 2 21],dist[2 2 22]
0,0,0.022081,0.00747486,0.000588111,0.00199765,0.00067659,5.32411e-005,2.11099e-005,7.151e-006,5.62743e-007,0.00936869,0.0187017,0.00934125,0.000847328,0.00169218,0.000845563,8.95312e-006,1.78828e-005,8.93703e-006,0.000590342,0.00749436,0.0220593,5.33846e-005,0.000677844,0.00199626,5.64051e-007,7.16243e-006,2.10972e-005,0.0131771,0.00445999,0.000350889,0.0148389,0.00502407,0.000395305,0.00189412,0.000641552,5.04846e-005,0.0055914,0.0111599,0.00557353,0.00629538,0.0125685,0.00627861,0.000803393,0.0016045,0.000801778,0.000352343,0.0044727,0.013163,0.000396669,0.00503599,0.0148256,5.0616e-005,0.0006427,0.00189284,0.000938746,0.000317701,2.49944e-005,0.0100181,0.00339091,0.000266783,0.0131429,0.00444998,0.000350138,0.000398357,0.000795016,0.000397019,0.00425086,0.00848461,0.00423755,0.00557575,0.0111321,0.00556119,2.51032e-005,0.000318652,0.000937686,0.000267866,0.00340038,0.0100076,0.000351322,0.00446033,0.0131314
1,0.0685139,0.00783196,0.00261083,0.000205166,0.00208974,0.000696531,5.47218e-005,0.000113617,3.83545e-005,3.01741e-006,0.00336287,0.0065912,0.00326107,0.000897182,0.00175881,0.000869955,4.83179e-005,9.61099e-005,4.79283e-005,0.000213445,0.00268319,0.00775131,5.69362e-005,0.000715886,0.00206817,3.04909e-006,3.86314e-005,0.000113308,0.00313903,0.00105411,8.2919e-005,0.00690247,0.00229208,0.000180021,0.00241329,0.000806167,6.33502e-005,0.0013408,0.00264911,0.0013171,0.00297192,0.00580041,0.00286241,0.00103438,0.00203292,0.00100698,8.48469e-005,0.00107096,0.00312025,0.000188927,0.00236992,0.00681572,6.55791e-005,0.000825648,0.00239158,0.000172641,5.85195e-005,4.60892e-006,0.00260563,0.00087278,6.86321e-005,0.00725704,0.00241441,0.000189664,7.32386e-005,0.000146224,7.31499e-005,0.001115,0.00219682,0.0010904,0.00312013,0.00610307,0.0030154,4.61613e-006,5.85825e-005,0.00017257,7.06326e-005,0.000890265,0.00258614,0.000198181,0.00248886,0.00717408
2,0.139962,0.00706131,0.00238466,0.000187693,0.00334632,0.00113446,8.92192e-005,0.000282878,9.62895e-005,7.57158e-006,0.00300334,0.00597273,0.00298025,0.00141739,0.00283681,0.00141761,0.00011938,0.000240275,0.000120325,0.000189571,0.00240107,0.00704302,8.9201e-005,0.0011343,0.0033465,7.49469e-006,9.56175e-005,0.000283627,0.00226662,0.000767168,6.04377e-005,0.00672974,0.00227026,0.000178632,0.0042716,0.00144965,0.000114002,0.000963047,0.00191817,0.000959008,0.00286405,0.00569049,0.00283702,0.00180761,0.00362303,0.00181147,6.07661e-005,0.000770039,0.00226342,0.00018083,0.00228947,0.00670832,0.000113688,0.0014469,0.00427466,0.000119814,4.07841e-005,3.21525e-006,0.00192108,0.000649325,5.11433e-005,0.00864961,0.0029253,0.000230125,5.06923e-005,0.000101621,5.09953e-005,0.000817033,0.00162492,0.000811642,0.00367238,0.00732327,0.00365555,3.19061e-006,4.05687e-005,0.000120054,5.15818e-005,0.000653157,0.00191681,0.000231494,0.00293727,0.00863628
3,0.214469,0.0046765,0.00161263,0.000127826,0.00272576,0.000941031,7.49768e-005,0.00024449,8.43654e-005,6.73556e-006,0.00196695,0.0039778,0.00201933,0.0011513,0.00231279,0.0011798,0.000103526,0.000207154,0.000105822,0.000123566,0.0015754,0.004718,7.2659e-005,0.000920773,0.00274833,6.54885e-006,8.27335e-005,0.000246309,0.0012153,0.000417444,3.29516e-005,0.00473694,0.00163527,0.000129741,0.00353811,0.00122134,9.73654e-005,0.000510778,0.00103433,0.000522182,0.00199233,0.00402908,0.00204815,0.00149543,0.00300091,0.00153143,3.2024e-005,0.000409337,0.00122434,0.000125201,0.00159559,0.00478116,9.4437e-005,0.00119575,0.00356663,5.55791e-005,1.89852e-005,1.49684e-006,0.0010746,0.000369584,2.91885e-005,0.00651657,0.00224946,0.000178853,2.34453e-005,4.72137e-005,2.37402e-005,0.000451367,0.000914858,0.000462378,0.00274696,0.00553567,0.00281883,1.47286e-006,1.87756e-005,5.58127e-005,2.8293e-005,0.000361757,0.00108333,0.000173008,0.00219837,0.0065735
4,0.292166,0.0035272,0.00120906,9.51474e-005,0.00237139,0.000804266,6.31535e-005,0.000222837,7.52196e-005,5.9019e-006,0.00148059,0.00300436,0.00151129,0.00100258,0.00201246,0.00100465,9.45258e-005,0.000188779,9.3937e-005,9.26501e-005,0.00118723,0.00355153,6.29851e-005,0.000802794,0.00237303,5.94979e-006,7.56381e-005,0.00022237,0.000787178,0.000271541,2.14154e-005,0.00369116,0.00126414,9.94422e-005,0.00311895,0.0010564,8.2934e-005,0.000329299,0.000671631,0.000339622,0.00155001,0.00314345,0.00157998,0.00131986,0.00264557,0.00131951,2.05759e-005,0.000264203,0.000795356,9.70046e-005,0.00124284,0.00371491,8.29621e-005,0.00105665,0.00311867,3.31962e-005,1.13875e-005,8.98653e-007,0.000713865,0.000246349,1.94233e-005,0.00537437,0.00183081,0.000143881,1.39646e-005,2.82398e-005,1.42435e-005,0.000298442,0.000609288,0.000308096,0.00226528,0.00456807,0.00228754,8.7597e-007,1.11892e-005,3.34171e-005,1.86381e-005,0.000239487,0.000721513,0.000142071,0.00181499,0.005392
5,0.373191,0.0022401,0.000763394,5.97272e-005,0.00169261,0.00056333,4.37551e-005,0.000165652,5.46551e-005,4.23519e-006,0.000939718,0.00190918,0.000952854,0.000719762,0.00143267,0.000701715,7.08098e-005,0.000139834,6.80357e-005,5.86588e-005,0.000754056,0.0022505,4.52229e-005,0.000576159,0.00167831,4.4608e-006,5.66271e-005,0.000163455,0.000445317,0.00015489,1.22171e-005,0.00238883,0.000811799,6.34321e-005,0.00225232,0.000747735,5.80386e-005,0.000184934,0.000381391,0.000193752,0.00100331,0.00203477,0.00101293,0.000959212,0.00190493,0.000931239,1.14999e-005,0.000148622,0.000452302,6.26499e-005,0.000804963,0.00239645,6.03136e-005,0.00076762,0.00223016,1.86909e-005,6.43958e-006,5.08568e-007,0.000408111,0.000141908,1.1183e-005,0.00367156,0.00123303,9.60259e-005,7.83849e-006,1.59255e-005,8.05658e-006,0.00016937,0.000349661,0.000177475,0.00155308,0.00311609,0.00153707,4.90832e-007,6.28456e-006,1.88637e-005,1.05239e-005,0.000136147,0.000414532,9.73278e-005,0.00124441,0.00365888
6,0.457685,0.00144012,0.000496854,3.91764e-005,0.00117276,0.000399222,3.14203e-005,0.000117211,3.97075e-005,3.12334e-006,0.000602225,0.00122897,0.000621395,0.000495337,0.000995654,0.000498981,4.96869e-005,9.93207e-005,4.96197e-005,3.76174e-005,0.000483228,0.0014553,3.11239e-005,0.000396632,0.00117564,3.12881e-006,3.97553e-005,0.000117158,0.000257966,9.00453e-005,7.11601e-006,0.00156007,0.000537569,4.2374e-005,0.00157026,0.000533784,4.20038e-005,0.000106997,0.000221056,0.000112694,0.000652914,0.0013308,0.000672256,0.000663936,0.00133239,0.000667128,6.65271e-006,8.59959e-005,0.000262478,4.08009e-005,0.000523819,0.0015754,4.17442e-005,0.000531515,0.00157279,1.04832e-005,3.61866e-006,2.85953e-007,0.000239916,8.3792e-005,6.62046e-006,0.00247969,0.000848373,6.68136e-005,4.39159e-006,8.93703e-006,4.52805e-006,9.94389e-005,0.000205668,0.000104863,0.00104342,0.00210934,0.0010606,2.74855e-007,3.52165e-006,1.05913e-005,6.1793e-006,7.9936e-005,0.000244213,6.5416e-005,0.000836157,0.0024933
7,0.545798,0.000893945,0.000308948,2.43778e-005,0.000758728,0.000258959,2.04022e-005,7.66109e-005,2.60338e-005,2.05012e-006,0.000373531,0.000763169,0.000386463,0.00032006,0.00064455,0.000323759,3.24255e-005,6.49682e-005,3.25427e-005,2.3326e-005,0.000299755,0.00090419,2.01014e-005,0.00025633,0.000761658,2.04059e-006,2.59505e-005,7.67037e-005,0.000149196,5.21791e-005,4.12523e-006,0.000977997,0.000337607,2.6633e-005,0.00101902,0.000347352,2.73625e-005,6.17996e-005,0.000127934,6.53112e-005,0.000408975,0.000834588,0.000422283,0.000430282,0.000865224,0.000434249,3.83963e-006,4.96829e-005,0.000151977,2.55507e-005,0.000328147,0.000988539,2.70399e-005,0.000344532,0.00102216,5.86921e-006,2.02769e-006,1.60255e-007,0.000140419,4.91368e-005,3.88413e-006,0.001583,0.000542777,4.27858e-005,2.45721e-006,5.00511e-006,2.53739e-006,5.8126e-005,0.00012045,6.15017e-005,0.000665433,0.00134723,0.000678726,1.53735e-007,1.9707e-006,5.93272e-006,3.60959e-006,4.67373e-005,0.000143093,4.17047e-005,0.000533328,0.00159353
8,0.637684,0.00053706,0.000186631,1.47387e-005,0.000471647,0.000161518,1.2737e-005,4.80256e-005,1.63638e-005,1.28981e-006,0.000223499,0.000459443,0.00023352,0.000198555,0.000401084,0.000201988,2.02981e-005,4.07559e-005,2.04602e-005,1.39237e-005,0.000179507,0.000544999,1.24578e-005,0.000159078,0.000474367,1.27663e-006,1.62485e-005,4.8154e-005,8.42691e-005,2.97114e-005,2.3506e-006,0.000592186,0.00020553,1.62282e-005,0.000635052,0.000217154,1.71219e-005,3.46737e-005,7.25052e-005,3.71992e-005,0.00024667,0.000506361,0.000257152,0.000267659,0.000539712,0.000271549,2.14519e-006,2.79161e-005,8.62698e-005,1.53757e-005,0.000198079,0.00060049,1.68055e-005,0.000214388,0.000638135,3.23088e-006,1.11926e-006,8.84755e-008,8.01252e-005,2.82754e-005,2.23682e-006,0.000973377,0.000335118,2.64402e-005,1.34961e-006,2.75842e-006,1.40072e-006,3.2939e-005,6.89716e-005,3.54012e-005,0.000408064,0.000829553,0.000419167,8.43187e-008,1.08293e-006,3.27137e-006,2.03657e-006,2.65252e-005,8.20757e-005,2.55372e-005,0.000327226,0.000982172
9,0.733504,0.000316907,0.000110257,8.70935e-006,0.000286069,9.80718e-005,7.73637e-006,2.93249e-005,1.00037e-005,7.88801e-007,0.000131775,0.000271219,0.000137968,0.000120357,0.000243344,0.000122656,1.23861e-005,2.48942e-005,1.25093e-005,8.20565e-006,0.000105854,0.000321814,7.54937e-006,9.64373e-005,0.00028789,7.78784e-007,9.91613e-006,2.94225e-005,4.71776e-005,1.6675e-005,1.31945e-006,0.000351611,0.000122173,9.6491e-006,0.000385959,0.000132123,1.04212e-005,1.9371e-005,4.06349e-005,2.0879e-005,0.000146349,0.000300767,0.000152871,0.000162572,0.000328116,0.000165235,1.19681e-006,1.5603e-005,4.83722e-005,9.11868e-006,0.000117537,0.000356777,1.02046e-005,0.00013023,0.000388068,1.77217e-006,6.1442e-007,4.85675e-008,4.52479e-005,1.60062e-005,1.26646e-006,0.000585281,0.000201712,1.59195e-005,7.39727e-007,1.51361e-006,7.68931e-007,1.85633e-005,3.89893e-005,2.00415e-005,0.000245215,0.000498954,0.000252323,4.61924e-008,5.9366e-007,1.79531e-006,1.14624e-006,1.49554e-005,4.64189e-005,1.53414e-005,0.000196658,0.000590912
