gridnumber,capital,dist[0 0 00],dist[0 0 01],dist[0 0 02],dist[0 0 10],dist[0 0 11],dist[0 0 12],dist[0 0 20],dist[0 0 21],dist[0 0 22],dist[0 1 00],dist[0 1 01],dist[0 1 02],dist[0 1 10],dist[0 1 11],dist[0 1 12],dist[0 1 20],dist[0 1 21],dist[0 1 22],dist[0 2 00],dist[0 2 01],dist[0 2 02],dist[0 2 10],dist[0 2 11],dist[0 2 12],dist[0 2 20],dist[0 2 21],dist[0 2 22],dist[1 0 00],dist[1 0 01],dist[1 0 02],dist[1 0 10],dist[1 0 11],dist[1 0 12],dist[1 0 20],dist[1 0 21],dist[1 0 22],dist[1 1 00],dist[1 1 01],dist[1 1 02],dist[1 1 10],dist[1 1 11],dist[1 1 12],dist[1 1 20],dist[1 1 21],dist[1 1 22],dist[1 2 00],dist[1 2 01],dist[1 2 02],dist[1 2 10],dist[1 2 11],dist[1 2 12],dist[1 2 20],dist[1 2 21],dist[1 2 22],dist[2 0 00],dist[2 0 01],dist[2 0 02],dist[2 0 10],dist[2 0 11],dist[2 0 12],dist[2 0 20],dist[2 0 21],dist[2 0 22],dist[2 1 00],dist[2 1 01],dist[2 1 02],dist[2 1 10],dist[2 1 11],dist[2 1 12],dist[2 1 20],dist[2 1 21],dist[2 1 22],dist[2 2 00],dist[2 2 01],dist[2 2 02],dist[2 2 10],dist[2 2 11],dist[2 2 12],dist[2 2 20],dist[2 2 21],dist[2 2 22]
0,0,0.0188737,0.00638658,0.000502429,0.00133869,0.000453387,3.56767e-005,1.28314e-005,4.34754e-006,3.42146e-007,0.00800965,0.0159833,0.00798099,0.000567829,0.00113397,0.000566615,5.44139e-006,1.08705e-005,5.43347e-006,0.00050476,0.00640696,0.0188509,3.57755e-005,0.00045425,0.00133772,3.4279e-007,4.35317e-006,1.28251e-005,0.0120334,0.0040711,0.000320252,0.0118284,0.00400348,0.000314972,0.00123964,0.000419883,3.30413e-005,0.00510735,0.01019,0.00508736,0.0050191,0.0100176,0.00500303,0.000525789,0.0010501,0.000524748,0.000321878,0.00408531,0.0120175,0.000316279,0.0040149,0.0118157,3.31259e-005,0.000420623,0.00123882,0.000890675,0.000301298,2.37007e-005,0.00901136,0.00304884,0.000239839,0.0103231,0.00349418,0.000274907,0.000378056,0.000754207,0.000376507,0.00382461,0.007631,0.00380993,0.00438025,0.00874296,0.0043666,2.38267e-005,0.000302399,0.000889448,0.000241034,0.00305928,0.00899973,0.000276018,0.00350389,0.0103123
1,0.0426828,0.00660591,0.00223508,0.000175902,0.001178,0.000397413,3.12537e-005,1.45177e-005,4.89562e-006,3.84964e-007,0.00280482,0.0055927,0.00279331,0.000501065,0.0009964,0.000496566,6.17673e-006,1.2278e-005,6.11687e-006,0.000176837,0.00224325,0.0065968,3.16195e-005,0.000400611,0.00117444,3.89833e-007,4.93818e-006,1.44702e-005,0.00272999,0.000926095,7.29321e-005,0.00578499,0.00195464,0.000153778,0.00116363,0.000392517,3.08677e-005,0.00115726,0.00231319,0.00115762,0.00245834,0.00489556,0.00244259,0.000494987,0.000984205,0.000490444,7.29032e-005,0.000925842,0.00273027,0.000155059,0.00196583,0.00577252,3.12372e-005,0.000395747,0.00116003,0.000141908,4.8291e-005,3.80602e-006,0.00229144,0.000776705,6.1155e-005,0.00536508,0.00181239,0.000142579,6.0039e-005,0.000120363,6.03775e-005,0.00097184,0.0019411,0.000970825,0.00228018,0.00453992,0.00226479,3.77849e-006,4.80503e-005,0.000142177,6.12376e-005,0.000777427,0.00229064,0.000143831,0.00182333,0.00535289
2,0.0865042,0.00518152,0.00170083,0.000133497,0.00156727,0.00051625,4.05159e-005,9.78926e-005,3.29808e-005,2.59417e-006,0.00225105,0.00433294,0.00212336,0.000678869,0.00131275,0.000644518,4.16943e-005,8.27416e-005,4.12103e-005,0.000143882,0.00179159,0.00508037,4.33096e-005,0.000540668,0.00154006,2.63354e-006,3.33248e-005,9.75092e-005,0.00200444,0.000667026,5.24507e-005,0.00463185,0.00150972,0.000118386,0.00186111,0.000615798,4.83499e-005,0.000862454,0.00168493,0.000833258,0.00202212,0.00386293,0.00188417,0.000803482,0.00156168,0.00076893,5.48252e-005,0.000687781,0.00198131,0.000129606,0.00160778,0.00452257,5.116e-005,0.000640359,0.00183374,0.000109549,3.71471e-005,2.92768e-006,0.00166916,0.000552665,4.34309e-005,0.00506798,0.00166025,0.000130249,4.64905e-005,9.27653e-005,4.6442e-005,0.000720789,0.00140036,0.000690245,0.00220433,0.0042353,0.0020724,2.93163e-006,3.71816e-005,0.000109511,4.5915e-005,0.000574377,0.00164496,0.000140978,0.00175403,0.00496347
3,0.131495,0.00468351,0.00158968,0.00012526,0.00236075,0.000800087,6.3e-005,0.000201639,6.8262e-005,5.37183e-006,0.00198547,0.00396825,0.00198738,0.00100141,0.00199961,0.00100006,8.55662e-005,0.000170764,8.53103e-005,0.000125105,0.00158833,0.00468501,6.31098e-005,0.000801046,0.00235968,5.39264e-006,6.84439e-005,0.000201437,0.00139569,0.000473717,3.73188e-005,0.00457415,0.0015527,0.000122359,0.00302301,0.00102424,8.06378e-005,0.000591565,0.00118267,0.000592197,0.00193918,0.0038755,0.00194119,0.00128247,0.00256045,0.00128019,3.72674e-005,0.000473267,0.0013962,0.000122195,0.00155127,0.00457574,8.0823e-005,0.00102586,0.00302121,6.9291e-005,2.34884e-005,1.84874e-006,0.00120397,0.000408749,3.22069e-005,0.00597263,0.0020258,0.000159576,2.93756e-005,5.87106e-005,2.93563e-005,0.000510287,0.00102023,0.000511005,0.00253279,0.00505969,0.00253239,1.8503e-006,2.35021e-005,6.92757e-005,3.21485e-005,0.000408238,0.00120454,0.000159609,0.00202608,0.00597231
4,0.177685,0.00356386,0.00124722,9.89183e-005,0.00187718,0.000665921,5.31522e-005,0.000161028,5.73884e-005,4.59372e-006,0.00148024,0.00305125,0.00156229,0.000775309,0.00161134,0.000835551,6.64309e-005,0.000138286,7.206e-005,9.22454e-005,0.0011889,0.00362886,4.82528e-005,0.000623098,0.0019249,4.13591e-006,5.33869e-005,0.000165487,0.000993847,0.000343204,2.70987e-005,0.00355153,0.00124734,9.90347e-005,0.00240732,0.000855071,6.83022e-005,0.000415845,0.000847821,0.000429375,0.00147203,0.00304383,0.00156292,0.000993935,0.00206669,0.0010731,2.59983e-005,0.000333586,0.00100456,9.16425e-005,0.00118273,0.00362353,6.18641e-005,0.0007988,0.00247003,4.60714e-005,1.57586e-005,1.24268e-006,0.000872412,0.000302062,2.38629e-005,0.00468358,0.00165271,0.000131559,1.94153e-005,3.91573e-005,1.97067e-005,0.000364376,0.000744911,0.000377964,0.00193819,0.0040168,0.00207223,1.21898e-006,1.55515e-005,4.63022e-005,2.27578e-005,0.000292403,0.000883176,0.000120657,0.00155743,0.00478976
5,0.225108,0.00290881,0.000994525,7.87272e-005,0.00183203,0.000627929,4.99697e-005,0.000169886,5.82882e-005,4.64802e-006,0.00123099,0.00246633,0.0012448,0.000777724,0.00155039,0.000786949,7.22043e-005,0.000143665,7.30857e-005,7.76043e-005,0.00098471,0.00291974,4.92195e-005,0.000621372,0.00183934,4.57634e-006,5.76617e-005,0.000170585,0.000718181,0.000245131,1.93271e-005,0.00297646,0.00101798,8.06478e-005,0.00240004,0.000822851,6.55192e-005,0.000303168,0.000609859,0.000306524,0.00126026,0.00252291,0.0012744,0.00101919,0.00203067,0.00103138,1.90541e-005,0.000242745,0.00072084,7.9498e-005,0.00100793,0.00298766,6.45281e-005,0.000814188,0.00240969,3.31024e-005,1.13028e-005,8.91269e-007,0.000636486,0.00021726,1.71343e-005,0.00424113,0.00145218,0.000115319,1.39708e-005,2.81124e-005,1.4134e-005,0.000268741,0.000540416,0.00027169,0.00179821,0.00359186,0.00181901,8.77992e-007,1.11867e-005,3.32317e-005,1.68945e-005,0.000215164,0.000638822,0.000113628,0.00143739,0.00425761
6,0.273796,0.00230737,0.00077225,6.03114e-005,0.00154123,0.000506519,3.9231e-005,0.000145227,4.74342e-005,3.66349e-006,0.000981569,0.00195213,0.000963254,0.00066071,0.00129901,0.000630417,6.24201e-005,0.000122245,5.89931e-005,6.18009e-005,0.000785269,0.00229286,4.16947e-005,0.000528052,0.00151723,3.94221e-006,4.98703e-005,0.000142513,0.000529673,0.000180511,1.42136e-005,0.00239857,0.000799959,6.23738e-005,0.00202847,0.000665476,5.1501e-005,0.000223603,0.000449799,0.000225647,0.00102186,0.00202785,0.000997389,0.000870236,0.00170905,0.000828081,1.40474e-005,0.000179058,0.000531292,6.43638e-005,0.000817353,0.00237919,5.49294e-005,0.000695441,0.00199508,2.33316e-005,7.99251e-006,6.30947e-007,0.000475811,0.000161784,1.27254e-005,0.00349468,0.00115643,8.98495e-005,9.83005e-006,1.98316e-005,9.99766e-006,0.000201054,0.000403877,0.00020218,0.00149382,0.00294968,0.00144049,6.17316e-007,7.87337e-006,2.34644e-005,1.26339e-005,0.000160984,0.000476703,9.41866e-005,0.00119433,0.00345243
7,0.323783,0.0018097,0.000619397,4.86051e-005,0.00132444,0.000444557,3.47052e-005,0.000128218,4.27137e-005,3.32877e-006,0.000758497,0.00154287,0.000773701,0.000561806,0.00112227,0.000554483,5.46522e-005,0.000108374,5.32483e-005,4.73685e-005,0.000608589,0.00182175,3.53008e-005,0.000449763,0.00131863,3.44295e-006,4.37116e-005,0.000127106,0.000371571,0.000129128,1.0189e-005,0.00192047,0.000655922,5.14242e-005,0.00175686,0.000588431,4.59142e-005,0.00015449,0.000318032,0.000161539,0.000805695,0.00163655,0.000819126,0.000746267,0.00148762,0.000733826,9.61576e-006,0.000124118,0.000377155,5.03318e-005,0.000646375,0.00193111,4.6926e-005,0.000597275,0.001747,1.55542e-005,5.359e-006,4.23276e-007,0.000339709,0.000118063,9.31014e-006,0.00290709,0.000983245,7.69056e-005,6.52359e-006,1.32522e-005,6.70484e-006,0.000141144,0.000290875,0.000147676,0.00122729,0.00246939,0.00122705,4.08535e-007,5.23017e-006,1.56977e-005,8.77895e-006,0.000113421,0.000344883,7.69248e-005,0.000983413,0.00290691
8,0.375103,0.00139186,0.000475707,3.7308e-005,0.00107382,0.000359017,2.79971e-005,0.000105522,3.49971e-005,2.72415e-006,0.000583766,0.00118624,0.000594123,0.000456578,0.000908809,0.000447654,4.50974e-005,8.90672e-005,4.36137e-005,3.64656e-005,0.000468344,0.00140006,2.87229e-005,0.000365361,0.00106675,2.84481e-006,3.60517e-005,0.000104346,0.000266025,9.27298e-005,7.32004e-006,0.00149441,0.000509461,3.99161e-005,0.00143068,0.000477217,3.71948e-005,0.000110352,0.000227961,0.000116021,0.000627573,0.00127285,0.000636112,0.000609212,0.00120989,0.000594942,6.85896e-006,8.86998e-005,0.000270516,3.92217e-005,0.000503392,0.00150117,3.83553e-005,0.000487361,0.00141937,1.08015e-005,3.72713e-006,2.94464e-007,0.000245935,8.57062e-005,6.76079e-006,0.00231446,0.000780288,6.0974e-005,4.52553e-006,9.20789e-006,4.66354e-006,0.000101965,0.000210809,0.000107215,0.00097895,0.0019641,0.000973512,2.8324e-007,3.62903e-006,1.09109e-005,6.33383e-006,8.19744e-005,0.000250093,6.14163e-005,0.000784153,0.00231016
9,0.427792,0.0010668,0.000368348,2.90441e-005,0.00086579,0.000294646,2.31861e-005,8.6218e-005,2.91861e-005,2.29519e-006,0.000445797,0.000910721,0.000460684,0.000365714,0.000735018,0.000368258,3.65641e-005,7.30427e-005,3.64693e-005,2.78333e-005,0.000357766,0.00107859,2.29792e-005,0.000292838,0.000867805,2.3029e-006,2.92534e-005,8.61429e-005,0.000188428,6.58866e-005,5.20742e-006,0.00115904,0.000399671,3.15043e-005,0.00115807,0.000393505,3.09595e-005,7.80412e-005,0.000161588,8.24628e-005,0.000484762,0.000989034,0.000499814,0.00048974,0.000982552,0.000491782,4.84782e-006,6.27436e-005,0.000191931,3.02801e-005,0.000388971,0.00117096,3.07934e-005,0.000392053,0.00115968,7.35818e-006,2.54117e-006,2.00798e-007,0.000176526,6.17599e-005,4.88031e-006,0.00183492,0.000627879,4.94442e-005,3.081e-006,6.27449e-006,3.17977e-006,7.30596e-005,0.000151439,7.72949e-005,0.000771934,0.00156107,0.000784937,1.92765e-007,2.47095e-006,7.43643e-006,4.53585e-006,5.87492e-005,0.000179881,4.83867e-005,0.000618637,0.00184522
