gridnumber,capital,dist[0 0 00],dist[0 0 01],dist[0 0 02],dist[0 0 10],dist[0 0 11],dist[0 0 12],dist[0 0 20],dist[0 0 21],dist[0 0 22],dist[0 1 00],dist[0 1 01],dist[0 1 02],dist[0 1 10],dist[0 1 11],dist[0 1 12],dist[0 1 20],dist[0 1 21],dist[0 1 22],dist[0 2 00],dist[0 2 01],dist[0 2 02],dist[0 2 10],dist[0 2 11],dist[0 2 12],dist[0 2 20],dist[0 2 21],dist[0 2 22],dist[1 0 00],dist[1 0 01],dist[1 0 02],dist[1 0 10],dist[1 0 11],dist[1 0 12],dist[1 0 20],dist[1 0 21],dist[1 0 22],dist[1 1 00],dist[1 1 01],dist[1 1 02],dist[1 1 10],dist[1 1 11],dist[1 1 12],dist[1 1 20],dist[1 1 21],dist[1 1 22],dist[1 2 00],dist[1 2 01],dist[1 2 02],dist[1 2 10],dist[1 2 11],dist[1 2 12],dist[1 2 20],dist[1 2 21],dist[1 2 22],dist[2 0 00],dist[2 0 01],dist[2 0 02],dist[2 0 10],dist[2 0 11],dist[2 0 12],dist[2 0 20],dist[2 0 21],dist[2 0 22],dist[2 1 00],dist[2 1 01],dist[2 1 02],dist[2 1 10],dist[2 1 11],dist[2 1 12],dist[2 1 20],dist[2 1 21],dist[2 1 22],dist[2 2 00],dist[2 2 01],dist[2 2 02],dist[2 2 10],dist[2 2 11],dist[2 2 12],dist[2 2 20],dist[2 2 21],dist[2 2 22]
0,0,9.88891e+289,5.42128e+289,2.00227e+289,2.20554e+289,1.20912e+289,4.4657e+288,2.87936e+288,1.57851e+288,5.83002e+287,6.4954e+289,8.49563e+289,6.4954e+289,1.44868e+289,1.89479e+289,1.44868e+289,1.89127e+288,2.47368e+288,1.89127e+288,2.00227e+289,5.42128e+289,9.88891e+289,4.4657e+288,1.20912e+289,2.20554e+289,5.83002e+287,1.57851e+288,2.87936e+288,8.05139e+289,4.41392e+289,1.63022e+289,5.69553e+289,3.12239e+289,1.15321e+289,1.62082e+289,8.88564e+288,3.28178e+288,5.28845e+289,6.91701e+289,5.28845e+289,3.74103e+289,4.89307e+289,3.74103e+289,1.06462e+289,1.39246e+289,1.06462e+289,1.63022e+289,4.41392e+289,8.05139e+289,1.15321e+289,3.12239e+289,5.69553e+289,3.28178e+288,8.88564e+288,1.62082e+289,2.89907e+289,1.58932e+289,5.86993e+288,5.33062e+289,2.92234e+289,1.07933e+289,4.15269e+289,2.27658e+289,8.40822e+288,1.90422e+289,2.49061e+289,1.90422e+289,3.50135e+289,4.57958e+289,3.50135e+289,2.72764e+289,3.56761e+289,2.72764e+289,5.86993e+288,1.58932e+289,2.89907e+289,1.07933e+289,2.92234e+289,5.33062e+289,8.40822e+288,2.27658e+289,4.15269e+289
1,0.0685139,1.95686e+290,1.07279e+290,3.96219e+289,4.73853e+289,2.59775e+289,9.59441e+288,6.94284e+288,3.80619e+288,1.40576e+288,1.28534e+290,1.68116e+290,1.28534e+290,3.11244e+289,4.07091e+289,3.11244e+289,4.56032e+288,5.96465e+288,4.56032e+288,3.96219e+289,1.07279e+290,1.95686e+290,9.59441e+288,2.59775e+289,4.73853e+289,1.40576e+288,3.80619e+288,6.94284e+288,1.56868e+290,8.5998e+289,3.17621e+289,1.16889e+290,6.40807e+289,2.36673e+289,3.65349e+289,2.00291e+289,7.39746e+288,1.03037e+290,1.34767e+290,1.03037e+290,7.67771e+289,1.0042e+290,7.67771e+289,2.39975e+289,3.13874e+289,2.39975e+289,3.17621e+289,8.5998e+289,1.56868e+290,2.36673e+289,6.40807e+289,1.16889e+290,7.39746e+288,2.00291e+289,3.65349e+289,5.58043e+289,3.05929e+289,1.12991e+289,1.05864e+290,5.80366e+289,2.1435e+289,8.83462e+289,4.8433e+289,1.7888e+289,3.66543e+289,4.79419e+289,3.66543e+289,6.95355e+289,9.09486e+289,6.95355e+289,5.8029e+289,7.58988e+289,5.8029e+289,1.12991e+289,3.05929e+289,5.58043e+289,2.1435e+289,5.80366e+289,1.05864e+290,1.7888e+289,4.8433e+289,8.83462e+289
2,0.139962,4.15339e+290,2.27696e+290,8.40964e+289,1.05528e+290,5.78522e+289,2.13669e+289,1.72935e+289,9.4806e+288,3.50152e+288,2.7281e+290,3.56821e+290,2.7281e+290,6.93145e+289,9.06596e+289,6.93145e+289,1.1359e+289,1.4857e+289,1.1359e+289,8.40964e+289,2.27696e+290,4.15339e+290,2.13669e+289,5.78522e+289,1.05528e+290,3.50152e+288,9.4806e+288,1.72935e+289,3.3048e+290,1.81175e+290,6.69144e+289,2.5251e+290,1.38431e+290,5.11274e+289,8.49188e+289,4.6554e+289,1.71941e+289,2.17071e+290,2.83918e+290,2.17071e+290,1.65858e+290,2.16933e+290,1.65858e+290,5.57778e+289,7.29544e+289,5.57778e+289,6.69144e+289,1.81175e+290,3.3048e+290,5.11274e+289,1.38431e+290,2.5251e+290,1.71941e+289,4.6554e+289,8.49188e+289,1.17004e+290,6.41435e+289,2.36905e+289,2.24864e+290,1.23274e+290,4.55296e+289,1.96293e+290,1.07611e+290,3.97447e+289,7.68523e+289,1.00519e+290,7.68523e+289,1.47699e+290,1.93182e+290,1.47699e+290,1.28932e+290,1.68637e+290,1.28932e+290,2.36905e+289,6.41435e+289,1.17004e+290,4.55296e+289,1.23274e+290,2.24864e+290,3.97447e+289,1.07611e+290,1.96293e+290
3,0.214469,7.43162e+290,4.07415e+290,1.50473e+290,1.97207e+290,1.08113e+290,3.99299e+289,3.42568e+289,1.87802e+289,6.93621e+288,4.88137e+290,6.38456e+290,4.88137e+290,1.29533e+290,1.69422e+290,1.29533e+290,2.25012e+289,2.94303e+289,2.25012e+289,1.50473e+290,4.07415e+290,7.43162e+290,3.99299e+289,1.08113e+290,1.97207e+290,6.93621e+288,1.87802e+289,3.42568e+289,5.86268e+290,3.21403e+290,1.18705e+290,4.60548e+290,2.52481e+290,9.32502e+289,1.6279e+290,8.92445e+289,3.29612e+289,3.85082e+290,5.03667e+290,3.85082e+290,3.02505e+290,3.9566e+290,3.02505e+290,1.06927e+290,1.39854e+290,1.06927e+290,1.18705e+290,3.21403e+290,5.86268e+290,9.32502e+289,2.52481e+290,4.60548e+290,3.29612e+289,8.92445e+289,1.6279e+290,2.0621e+290,1.13048e+290,4.17527e+289,4.03006e+290,2.20935e+290,8.15993e+289,3.6541e+290,2.00325e+290,7.3987e+289,1.35446e+290,1.77157e+290,1.35446e+290,2.64709e+290,3.46226e+290,2.64709e+290,2.40015e+290,3.13927e+290,2.40015e+290,4.17527e+289,1.13048e+290,2.0621e+290,8.15993e+289,2.20935e+290,4.03006e+290,7.3987e+289,2.00325e+290,3.6541e+290
4,0.292166,1.47288e+291,8.07461e+290,2.98224e+290,3.88168e+290,2.12801e+290,7.85949e+289,6.78182e+289,3.71792e+289,1.37316e+289,9.67444e+290,1.26536e+291,9.67444e+290,2.54963e+290,3.33478e+290,2.54963e+290,4.45455e+289,5.82631e+289,4.45455e+289,2.98224e+290,8.07461e+290,1.47288e+291,7.85949e+289,2.12801e+290,3.88168e+290,1.37316e+289,3.71792e+289,6.78182e+289,1.16439e+291,6.38342e+290,2.35763e+290,9.08762e+290,4.982e+290,1.84003e+290,3.20757e+290,1.75845e+290,6.49458e+289,7.64817e+290,1.00034e+291,7.64817e+290,5.96909e+290,7.80724e+290,5.96909e+290,2.10685e+290,2.75565e+290,2.10685e+290,2.35763e+290,6.38342e+290,1.16439e+291,1.84003e+290,4.982e+290,9.08762e+290,6.49458e+289,1.75845e+290,3.20757e+290,4.10378e+290,2.24976e+290,8.30918e+289,7.98154e+290,4.37562e+290,1.61607e+290,7.20339e+290,3.94903e+290,1.45852e+290,2.69551e+290,3.52558e+290,2.69551e+290,5.24257e+290,6.857e+290,5.24257e+290,4.73145e+290,6.18848e+290,4.73145e+290,8.30918e+289,2.24976e+290,4.10378e+290,1.61607e+290,4.37562e+290,7.98154e+290,1.45852e+290,3.94903e+290,7.20339e+290
5,0.373191,2.47603e+291,1.3574e+291,5.01337e+290,6.61639e+290,3.62722e+290,1.33966e+290,1.18434e+290,6.49279e+289,2.39802e+289,1.62635e+291,2.12717e+291,1.62635e+291,4.34589e+290,5.68419e+290,4.34589e+290,7.77921e+289,1.01748e+290,7.77921e+289,5.01337e+290,1.3574e+291,2.47603e+291,1.33966e+290,3.62722e+290,6.61639e+290,2.39802e+289,6.49279e+289,1.18434e+290,1.95266e+291,1.07049e+291,3.95369e+290,1.53614e+291,8.42141e+290,3.11033e+290,5.52326e+290,3.02795e+290,1.11833e+290,1.28258e+291,1.67755e+291,1.28258e+291,1.009e+291,1.31971e+291,1.009e+291,3.62788e+290,4.74507e+290,3.62788e+290,3.95369e+290,1.07049e+291,1.95266e+291,3.11033e+290,8.42141e+290,1.53614e+291,1.11833e+290,3.02795e+290,5.52326e+290,6.87043e+290,3.76649e+290,1.3911e+290,1.34217e+291,7.358e+290,2.71757e+290,1.22689e+291,6.72603e+290,2.48416e+290,4.51275e+290,5.90244e+290,4.51275e+290,8.81585e+290,1.15306e+291,8.81585e+290,8.05866e+290,1.05403e+291,8.05866e+290,1.3911e+290,3.76649e+290,6.87043e+290,2.71757e+290,7.358e+290,1.34217e+291,2.48416e+290,6.72603e+290,1.22689e+291
6,0.457685,4.11354e+291,2.25512e+291,8.32895e+290,1.12102e+291,6.14564e+290,2.2698e+290,2.06614e+290,1.1327e+290,4.18345e+289,2.70192e+291,3.53397e+291,2.70192e+291,7.36328e+290,9.63078e+290,7.36328e+290,1.35712e+290,1.77504e+290,1.35712e+290,8.32895e+290,2.25512e+291,4.11354e+291,2.2698e+290,6.14564e+290,1.12102e+291,4.18345e+289,1.1327e+290,2.06614e+290,3.23197e+291,1.77183e+291,6.54398e+290,2.57325e+291,1.4107e+291,5.21022e+290,9.47802e+290,5.19602e+290,1.91908e+290,2.12288e+291,2.77661e+291,2.12288e+291,1.69021e+291,2.2107e+291,1.69021e+291,6.22552e+290,8.14264e+290,6.22552e+290,6.54398e+290,1.77183e+291,3.23197e+291,5.21022e+290,1.4107e+291,2.57325e+291,1.91908e+290,5.19602e+290,9.47802e+290,1.1341e+291,6.21736e+290,2.29629e+290,2.23107e+291,1.22311e+291,4.51739e+290,2.076e+291,1.1381e+291,4.20342e+290,7.44921e+290,9.74316e+290,7.44921e+290,1.46545e+291,1.91673e+291,1.46545e+291,1.3636e+291,1.78351e+291,1.3636e+291,2.29629e+290,6.21736e+290,1.1341e+291,4.51739e+290,1.22311e+291,2.23107e+291,4.20342e+290,1.1381e+291,2.076e+291
7,0.545798,6.99088e+291,3.83253e+291,1.41549e+291,1.93738e+291,1.06211e+291,3.92274e+290,3.64573e+290,1.99865e+290,7.38174e+289,4.59187e+291,6.00591e+291,4.59187e+291,1.27254e+291,1.66442e+291,1.27254e+291,2.39465e+290,3.13207e+290,2.39465e+290,1.41549e+291,3.83253e+291,6.99088e+291,3.92274e+290,1.06211e+291,1.93738e+291,7.38174e+289,1.99865e+290,3.64573e+290,5.47385e+291,3.00086e+291,1.10833e+291,4.40587e+291,2.41538e+291,8.92086e+290,1.65358e+291,9.06521e+290,3.34811e+290,3.59543e+291,4.70262e+291,3.59543e+291,2.89394e+291,3.78512e+291,2.89394e+291,1.08613e+291,1.4206e+291,1.08613e+291,1.10833e+291,3.00086e+291,5.47385e+291,8.92086e+290,2.41538e+291,4.40587e+291,3.34811e+290,9.06521e+290,1.65358e+291,1.9158e+291,1.05027e+291,3.87904e+290,3.79393e+291,2.0799e+291,7.68182e+290,3.5831e+291,1.96432e+291,7.25494e+290,1.25837e+291,1.64587e+291,1.25837e+291,2.492e+291,3.25939e+291,2.492e+291,2.35352e+291,3.07827e+291,2.35352e+291,3.87904e+290,1.05027e+291,1.9158e+291,7.68182e+290,2.0799e+291,3.79393e+291,7.25494e+290,1.96432e+291,3.5831e+291
8,0.637684,1.13538e+292,6.22436e+291,2.29888e+291,3.15882e+291,1.73172e+291,6.39586e+290,6.01201e+290,3.29589e+290,1.21729e+290,7.4576e+291,9.75414e+291,7.4576e+291,2.07483e+291,2.71376e+291,2.07483e+291,3.94891e+290,5.16496e+290,3.94891e+290,2.29888e+291,6.22436e+291,1.13538e+292,6.39586e+290,1.73172e+291,3.15882e+291,1.21729e+290,3.29589e+290,6.01201e+290,8.88622e+291,4.87159e+291,1.79925e+291,7.16316e+291,3.92697e+291,1.45037e+291,2.70834e+291,1.48476e+291,5.48375e+290,5.8368e+291,7.63422e+291,5.8368e+291,4.70503e+291,6.15392e+291,4.70503e+291,1.77894e+291,2.32675e+291,1.77894e+291,1.79925e+291,4.87159e+291,8.88622e+291,1.45037e+291,3.92697e+291,7.16316e+291,5.48375e+290,1.48476e+291,2.70834e+291,3.10973e+291,1.70481e+291,6.29648e+290,6.16111e+291,3.37763e+291,1.24748e+291,5.84298e+291,3.20323e+291,1.18307e+291,2.04259e+291,2.67159e+291,2.04259e+291,4.04684e+291,5.29305e+291,4.04684e+291,3.83789e+291,5.01975e+291,3.83789e+291,6.29648e+290,1.70481e+291,3.10973e+291,1.24748e+291,3.37763e+291,6.16111e+291,1.18307e+291,3.20323e+291,5.84298e+291
9,0.733504,1.82668e+292,1.00142e+292,3.69861e+291,5.11458e+291,2.80391e+291,1.03558e+291,9.82541e+290,5.38647e+290,1.98941e+290,1.19983e+292,1.56932e+292,1.19983e+292,3.35945e+291,4.39397e+291,3.35945e+291,6.45369e+290,8.44108e+290,6.45369e+290,3.69861e+291,1.00142e+292,1.82668e+292,1.03558e+291,2.80391e+291,5.11458e+291,1.98941e+290,5.38647e+290,9.82541e+290,1.42794e+292,7.82822e+291,2.89124e+291,1.15553e+292,6.33485e+291,2.33969e+291,4.4033e+291,2.41397e+291,8.91565e+290,9.37923e+291,1.22675e+292,9.37923e+291,7.58998e+291,9.92728e+291,7.58998e+291,2.89225e+291,3.78291e+291,2.89225e+291,2.89124e+291,7.82822e+291,1.42794e+292,2.33969e+291,6.33485e+291,1.15553e+292,8.91565e+290,2.41397e+291,4.4033e+291,4.99273e+291,2.7371e+291,1.01091e+291,9.91409e+291,5.43509e+291,2.00737e+291,9.45714e+291,5.18458e+291,1.91485e+291,3.27941e+291,4.28929e+291,3.27941e+291,6.51194e+291,8.51727e+291,6.51194e+291,6.2118e+291,8.1247e+291,6.2118e+291,1.01091e+291,2.7371e+291,4.99273e+291,2.00737e+291,5.43509e+291,9.91409e+291,1.91485e+291,5.18458e+291,9.45714e+291
