gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,6.20237e-291,7.69774e-291,6.20237e-291,7.98251e-291,9.90707e-291,7.98251e-291,3.04997e-291,3.78531e-291,3.04997e-291,2.87904e-292,3.57317e-292,2.87904e-292,6.46966e-294,8.02947e-294,6.46966e-294
7,0.358517,2.3392e-241,2.90317e-241,2.3392e-241,3.01057e-241,3.73641e-241,3.01057e-241,1.15028e-241,1.42761e-241,1.15028e-241,1.08582e-242,1.3476e-242,1.08582e-242,2.44e-244,3.02828e-244,2.44e-244
8,0.41591,8.2945e-022,1.02943e-021,8.2945e-022,1.06797e-021,1.32545e-021,1.06797e-021,4.08425e-022,5.06895e-022,4.08425e-022,3.86368e-023,4.7952e-023,3.86368e-023,8.72834e-025,1.08327e-024,8.72834e-025
9,0.474986,2.58416e-018,3.20719e-018,2.58416e-018,3.35916e-018,4.16905e-018,3.35916e-018,1.31067e-018,1.62667e-018,1.31067e-018,1.29773e-019,1.61061e-019,1.29773e-019,3.25108e-021,4.03491e-021,3.25108e-021
10,0.535792,2.43422e-015,3.02111e-015,2.43422e-015,3.29297e-015,4.0869e-015,3.29297e-015,1.38953e-015,1.72454e-015,1.38953e-015,1.60734e-016,1.99486e-016,1.60734e-016,5.29441e-018,6.57088e-018,5.29441e-018
11,0.598381,1.87768e-013,2.33039e-013,1.87768e-013,2.74899e-013,3.41176e-013,2.74899e-013,1.33528e-013,1.65721e-013,1.33528e-013,1.96205e-014,2.4351e-014,1.96205e-014,9.20527e-016,1.14246e-015,9.20527e-016
12,0.662804,6.93675e-012,8.60917e-012,6.93675e-012,1.17104e-011,1.45338e-011,1.17104e-011,6.85256e-012,8.50469e-012,6.85256e-012,1.2295e-012,1.52593e-012,1.2295e-012,6.72603e-014,8.34765e-014,6.72603e-014
13,0.729114,1.61779e-010,2.00783e-010,1.61779e-010,2.56403e-010,3.18221e-010,2.56403e-010,1.46424e-010,1.81726e-010,1.46424e-010,2.92087e-011,3.62509e-011,2.92087e-011,2.16471e-012,2.68661e-012,2.16471e-012
14,0.797368,2.1901e-009,2.71813e-009,2.1901e-009,3.93812e-009,4.88759e-009,3.93812e-009,2.54922e-009,3.16383e-009,2.54922e-009,5.41031e-010,6.71471e-010,5.41031e-010,3.90867e-011,4.85103e-011,3.90867e-011
15,0.867622,1.91634e-008,2.37836e-008,1.91634e-008,3.37591e-008,4.18983e-008,3.37591e-008,2.22561e-008,2.7622e-008,2.22561e-008,5.21374e-009,6.47075e-009,5.21374e-009,4.54333e-010,5.63871e-010,4.54333e-010
16,0.939934,1.32637e-007,1.64615e-007,1.32637e-007,2.25636e-007,2.80036e-007,2.25636e-007,1.44041e-007,1.78769e-007,1.44041e-007,3.35477e-008,4.1636e-008,3.35477e-008,3.04467e-009,3.77872e-009,3.04467e-009
17,1.01437,8.86506e-007,1.10024e-006,8.86506e-007,1.47923e-006,1.83587e-006,1.47923e-006,9.02128e-007,1.11963e-006,9.02128e-007,1.94764e-007,2.41722e-007,1.94764e-007,1.67035e-008,2.07307e-008,1.67035e-008
18,1.09098,3.67484e-006,4.56083e-006,3.67484e-006,6.18131e-006,7.67161e-006,6.18131e-006,3.82821e-006,4.75118e-006,3.82821e-006,8.48934e-007,1.05361e-006,8.48934e-007,7.5736e-008,9.39957e-008,7.5736e-008
19,1.16984,1.17902e-005,1.46328e-005,1.17902e-005,2.029e-005,2.51819e-005,2.029e-005,1.2889e-005,1.59965e-005,1.2889e-005,2.90144e-006,3.60096e-006,2.90144e-006,2.55888e-007,3.17582e-007,2.55888e-007
20,1.25101,3.92007e-005,4.86518e-005,3.92007e-005,6.90346e-005,8.56786e-005,6.90346e-005,4.45895e-005,5.53399e-005,4.45895e-005,9.98782e-006,1.23958e-005,9.98782e-006,8.59356e-007,1.06654e-006,8.59356e-007
21,1.33455,9.0449e-005,0.000112256,9.0449e-005,0.000164441,0.000204088,0.000164441,0.000110789,0.000137499,0.000110789,2.59988e-005,3.2267e-005,2.59988e-005,2.30516e-006,2.86092e-006,2.30516e-006
22,1.42055,0.000172829,0.000214498,0.000172829,0.000335233,0.000416056,0.000335233,0.000246549,0.000305991,0.000246549,6.41226e-005,7.95823e-005,6.41226e-005,6.19214e-006,7.68504e-006,6.19214e-006
23,1.50907,0.000312274,0.000387562,0.000312274,0.000628127,0.000779567,0.000628127,0.000479485,0.000595087,0.000479485,0.000129092,0.000160216,0.000129092,1.29197e-005,1.60346e-005,1.29197e-005
24,1.60018,0.000517121,0.000641797,0.000517121,0.00109373,0.00135742,0.00109373,0.000881752,0.00109434,0.000881752,0.0002512,0.000311763,0.0002512,2.66586e-005,3.30859e-005,2.66586e-005
25,1.69396,0.000702999,0.00087249,0.000702999,0.00158801,0.00197087,0.00158801,0.00139865,0.00173586,0.00139865,0.000443482,0.000550404,0.000443482,5.24159e-005,6.50532e-005,5.24159e-005
