gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,1.3421e-291,4.85614e-291,7.69261e-291,4.85614e-291,1.3421e-291,1.72729e-291,6.2499e-291,9.90047e-291,6.2499e-291,1.72729e-291,6.59967e-292,2.38798e-291,3.78279e-291,2.38798e-291,6.59967e-292,6.22979e-293,2.25414e-292,3.57079e-292,2.25414e-292,6.22979e-293,1.39993e-294,5.06542e-294,8.02412e-294,5.06542e-294,1.39993e-294
7,0.358517,5.06382e-242,1.83226e-241,2.90248e-241,1.83226e-241,5.06382e-242,6.51718e-242,2.35813e-241,3.73551e-241,2.35813e-241,6.51718e-242,2.4901e-242,9.01e-242,1.42727e-241,9.01e-242,2.4901e-242,2.35054e-243,8.50504e-243,1.34728e-242,8.50504e-243,2.35054e-243,5.28204e-245,1.91122e-244,3.02756e-244,1.91122e-244,5.28204e-245
8,0.41591,1.85227e-022,6.70212e-022,1.06168e-021,6.70212e-022,1.85227e-022,2.38491e-022,8.6294e-022,1.36698e-021,8.6294e-022,2.38491e-022,9.12068e-023,3.30016e-022,5.22778e-022,3.30016e-022,9.12068e-023,8.6281e-024,3.12193e-023,4.94544e-023,3.12193e-023,8.6281e-024,1.94915e-025,7.05267e-025,1.11721e-024,7.05267e-025,1.94915e-025
9,0.474986,5.77087e-019,2.08809e-018,3.30774e-018,2.08809e-018,5.77087e-019,7.50152e-019,2.71429e-018,4.29971e-018,2.71429e-018,7.50152e-019,2.92687e-019,1.05904e-018,1.67762e-018,1.05904e-018,2.92687e-019,2.89787e-020,1.04854e-019,1.661e-019,1.04854e-019,2.89787e-020,7.25916e-022,2.6266e-021,4.1608e-021,2.6266e-021,7.25916e-022
10,0.535792,5.4361e-016,1.96696e-015,3.11586e-015,1.96696e-015,5.4361e-016,7.35392e-016,2.66089e-015,4.21511e-015,2.66089e-015,7.35392e-016,3.10316e-016,1.12283e-015,1.77867e-015,1.12283e-015,3.10316e-016,3.58969e-017,1.29887e-016,2.05753e-016,1.29887e-016,3.58969e-017,1.18245e-018,4.27849e-018,6.77755e-018,4.27849e-018,1.18245e-018
11,0.598381,4.19415e-014,1.51758e-013,2.404e-013,1.51758e-013,4.19415e-014,6.14024e-014,2.22174e-013,3.51946e-013,2.22174e-013,6.14024e-014,2.98242e-014,1.07914e-013,1.70946e-013,1.07914e-013,2.98242e-014,4.38208e-015,1.58558e-014,2.51172e-014,1.58558e-014,4.38208e-015,2.05574e-016,7.43835e-016,1.17831e-015,7.43835e-016,2.05574e-016
12,0.662804,1.54912e-012,5.60521e-012,8.87921e-012,5.60521e-012,1.54912e-012,2.61487e-012,9.46147e-012,1.49879e-011,9.46147e-012,2.61487e-012,1.52997e-012,5.53592e-012,8.76945e-012,5.53592e-012,1.52997e-012,2.74494e-013,9.9321e-013,1.57334e-012,9.9321e-013,2.74494e-013,1.5017e-014,5.43366e-014,8.60746e-014,5.43366e-014,1.5017e-014
13,0.729114,3.61382e-011,1.3076e-010,2.07136e-010,1.3076e-010,3.61382e-011,5.72848e-011,2.07275e-010,3.28344e-010,2.07275e-010,5.72848e-011,3.27195e-011,1.1839e-010,1.87541e-010,1.1839e-010,3.27195e-011,6.52743e-012,2.36184e-011,3.74139e-011,2.36184e-011,6.52743e-012,4.837e-013,1.75019e-012,2.77247e-012,1.75019e-012,4.837e-013
14,0.797368,4.8886e-010,1.76886e-009,2.80204e-009,1.76886e-009,4.8886e-010,8.78902e-010,3.18016e-009,5.03768e-009,3.18016e-009,8.78902e-010,5.6884e-010,2.05825e-009,3.26047e-009,2.05825e-009,5.6884e-010,1.20714e-010,4.36781e-010,6.91905e-010,4.36781e-010,1.20714e-010,8.72085e-012,3.15549e-011,4.99861e-011,3.15549e-011,8.72085e-012
