gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.535792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.598381,2.38101e-020,8.61527e-020,1.36474e-019,8.61527e-020,2.38101e-020,3.06458e-020,1.10886e-019,1.75655e-019,1.10886e-019,3.06458e-020,1.17108e-020,4.23735e-020,6.71239e-020,4.23735e-020,1.17108e-020,1.1058e-021,4.00116e-021,6.33823e-021,4.00116e-021,1.1058e-021,2.48688e-023,8.99836e-023,1.42543e-022,8.99836e-023,2.48688e-023
12,0.662804,2.39763e-016,8.6754e-016,1.37427e-015,8.6754e-016,2.39763e-016,3.0882e-016,1.11741e-015,1.77009e-015,1.11741e-015,3.0882e-016,1.18193e-016,4.27659e-016,6.77455e-016,4.27659e-016,1.18193e-016,1.12009e-017,4.05286e-017,6.42014e-017,4.05286e-017,1.12009e-017,2.54142e-019,9.19569e-019,1.45669e-018,9.19569e-019,2.54142e-019
13,0.729114,2.2704e-013,8.21504e-013,1.30134e-012,8.21504e-013,2.2704e-013,3.06069e-013,1.10746e-012,1.75432e-012,1.10746e-012,3.06069e-013,1.28319e-013,4.64302e-013,7.355e-013,4.64302e-013,1.28319e-013,1.46743e-014,5.30964e-014,8.411e-014,5.30964e-014,1.46743e-014,4.75562e-016,1.72074e-015,2.72582e-015,1.72074e-015,4.75562e-016
14,0.797368,1.4066e-011,5.08952e-011,8.06231e-011,5.08952e-011,1.4066e-011,2.08081e-011,7.52906e-011,1.19268e-010,7.52906e-011,2.08081e-011,1.02651e-011,3.71424e-011,5.88372e-011,3.71424e-011,1.02651e-011,1.53711e-012,5.56178e-012,8.81041e-012,5.56178e-012,1.53711e-012,7.32275e-014,2.64961e-013,4.19725e-013,2.64961e-013,7.32275e-014
15,0.867622,2.65384e-010,9.60247e-010,1.52113e-009,9.60247e-010,2.65384e-010,4.30394e-010,1.55731e-009,2.46693e-009,1.55731e-009,4.30394e-010,2.47288e-010,8.9477e-010,1.41741e-009,8.9477e-010,2.47288e-010,4.69653e-011,1.69936e-010,2.69195e-010,1.69936e-010,4.69653e-011,3.09332e-012,1.11926e-011,1.77302e-011,1.11926e-011,3.09332e-012
16,0.939934,2.3633e-009,8.5512e-009,1.35459e-008,8.5512e-009,2.3633e-009,4.18893e-009,1.51569e-008,2.40101e-008,1.51569e-008,4.18893e-009,2.75703e-009,9.97584e-009,1.58027e-008,9.97584e-009,2.75703e-009,6.31158e-010,2.28374e-009,3.61767e-009,2.28374e-009,6.31158e-010,5.17226e-011,1.87149e-010,2.96463e-010,1.87149e-010,5.17226e-011
17,1.01437,2.27816e-008,8.24312e-008,1.30579e-007,8.24312e-008,2.27816e-008,4.23627e-008,1.53282e-007,2.42814e-007,1.53282e-007,4.23627e-008,2.96521e-008,1.07291e-007,1.6996e-007,1.07291e-007,2.96521e-008,7.34799e-009,2.65874e-008,4.21171e-008,2.65874e-008,7.34799e-009,6.81529e-010,2.466e-009,3.90638e-009,2.466e-009,6.81529e-010
