gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.474986,5.48413e-322,2.00097e-321,3.1719e-321,2.00097e-321,5.48413e-322,7.16395e-322,2.57902e-321,4.08592e-321,2.57902e-321,7.16395e-322,2.71736e-322,9.7825e-322,1.55631e-321,9.7825e-322,2.71736e-322,1.97626e-323,9.38725e-323,1.43279e-322,9.38725e-323,1.97626e-323,0,0,0,0,0
10,0.535792,4.20207e-020,1.52045e-019,2.40854e-019,1.52045e-019,4.20207e-020,5.40811e-020,1.95683e-019,3.09981e-019,1.95683e-019,5.40811e-020,2.06634e-020,7.4767e-020,1.18438e-019,7.4767e-020,2.06634e-020,1.95053e-021,7.05767e-021,1.11801e-020,7.05767e-021,1.95053e-021,4.38316e-023,1.58597e-022,2.51234e-022,1.58597e-022,4.38316e-023
11,0.598381,1.80668e-016,6.53716e-016,1.03555e-015,6.53716e-016,1.80668e-016,2.32647e-016,8.41792e-016,1.33348e-015,8.41792e-016,2.32647e-016,8.89923e-017,3.22003e-016,5.10086e-016,3.22003e-016,8.89923e-017,8.42323e-018,3.0478e-017,4.82802e-017,3.0478e-017,8.42323e-018,1.90542e-019,6.89445e-019,1.09215e-018,6.89445e-019,1.90542e-019
12,0.662804,1.57332e-013,5.6928e-013,9.01796e-013,5.6928e-013,1.57332e-013,2.08014e-013,7.52663e-013,1.19229e-012,7.52663e-013,2.08014e-013,8.39877e-014,3.03895e-013,4.814e-013,3.03895e-013,8.39877e-014,8.93147e-015,3.2317e-014,5.11933e-014,3.2317e-014,8.93147e-015,2.5623e-016,9.27122e-016,1.46865e-015,9.27122e-016,2.5623e-016
13,0.729114,1.0303e-011,3.72795e-011,5.90545e-011,3.72795e-011,1.0303e-011,1.41537e-011,5.12127e-011,8.11261e-011,5.12127e-011,1.41537e-011,6.13992e-012,2.22163e-011,3.51928e-011,2.22163e-011,6.13992e-012,7.43855e-013,2.69151e-012,4.26362e-012,2.69151e-012,7.43855e-013,2.59918e-014,9.40468e-014,1.4898e-013,9.40468e-014,2.59918e-014
14,0.797368,1.79054e-010,6.47875e-010,1.0263e-009,6.47875e-010,1.79054e-010,2.57933e-010,9.33286e-010,1.47842e-009,9.33286e-010,2.57933e-010,1.21801e-010,4.40718e-010,6.98141e-010,4.40718e-010,1.21801e-010,1.70747e-011,6.17817e-011,9.78684e-011,6.17817e-011,1.70747e-011,7.46918e-013,2.7026e-012,4.28118e-012,2.7026e-012,7.46918e-013
15,0.867622,2.49855e-009,9.04058e-009,1.43212e-008,9.04058e-009,2.49855e-009,3.80686e-009,1.37745e-008,2.18201e-008,1.37745e-008,3.80686e-009,1.97027e-009,7.12909e-009,1.12932e-008,7.12909e-009,1.97027e-009,3.17225e-010,1.14782e-009,1.81826e-009,1.14782e-009,3.17225e-010,1.66383e-011,6.0203e-011,9.53675e-011,6.0203e-011,1.66383e-011
16,0.939934,1.79162e-008,6.48267e-008,1.02692e-007,6.48267e-008,1.79162e-008,2.64026e-008,9.55333e-008,1.51334e-007,9.55333e-008,2.64026e-008,1.31782e-008,4.7683e-008,7.55346e-008,4.7683e-008,1.31782e-008,2.11318e-009,7.64616e-009,1.21123e-008,7.64616e-009,2.11318e-009,1.21302e-010,4.38909e-010,6.95275e-010,4.38909e-010,1.21302e-010
