gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
0,0,0.00129003,0.00466775,0.00739418,0.00466775,0.00129003,0.0030832,0.011156,0.0176723,0.011156,0.0030832,0.00291458,0.0105459,0.0167058,0.0105459,0.00291458,0.00103371,0.00374032,0.00592504,0.00374032,0.00103371,0.000146125,0.000528729,0.000837559,0.000528729,0.000146125
1,0.0468873,0.000430054,0.00155608,0.00246498,0.00155608,0.000430054,0.00106564,0.00385582,0.00610801,0.00385582,0.00106564,0.00104559,0.00378327,0.00599308,0.00378327,0.00104559,0.000393555,0.00142401,0.00225578,0.00142401,0.000393555,6.20836e-005,0.000224639,0.00035585,0.000224639,6.20836e-005
2,0.0951487,0.000377396,0.00136554,0.00216316,0.00136554,0.000377396,0.00122938,0.00444831,0.00704657,0.00444831,0.00122938,0.00157884,0.00571277,0.00904959,0.00571277,0.00157884,0.000688312,0.00249054,0.00394526,0.00249054,0.000688312,0.000104754,0.000379033,0.000600427,0.000379033,0.000104754
3,0.144824,0.000399245,0.0014446,0.00228839,0.0014446,0.000399245,0.0013305,0.00481417,0.00762613,0.00481417,0.0013305,0.00164236,0.0059426,0.00941367,0.0059426,0.00164236,0.000692984,0.00250744,0.00397204,0.00250744,0.000692984,0.000107282,0.000388183,0.000614921,0.000388183,0.000107282
4,0.195956,0.000281588,0.00101888,0.001614,0.00101888,0.000281588,0.000951134,0.00344152,0.0054517,0.00344152,0.000951134,0.00120106,0.00434582,0.00688421,0.00434582,0.00120106,0.000523349,0.00189365,0.00299973,0.00189365,0.000523349,8.51113e-005,0.000307961,0.00048784,0.000307961,8.51113e-005
5,0.248585,0.000251773,0.000910997,0.00144311,0.000910997,0.000251773,0.000942409,0.00340995,0.00540169,0.00340995,0.000942409,0.00141087,0.00510499,0.00808681,0.00510499,0.00141087,0.000792454,0.00286736,0.00454218,0.00286736,0.000792454,0.000169111,0.0006119,0.00096931,0.0006119,0.000169111
6,0.302757,0.000214996,0.000777926,0.00123231,0.000777926,0.000214996,0.000892784,0.00323039,0.00511725,0.00323039,0.000892784,0.00141174,0.00510812,0.00809178,0.00510812,0.00141174,0.000765517,0.00276989,0.00438778,0.00276989,0.000765517,0.000150343,0.00054399,0.000861735,0.00054399,0.000150343
7,0.358517,0.000172961,0.000625831,0.000991378,0.000625831,0.000172961,0.000743314,0.00268955,0.00426052,0.00268955,0.000743314,0.00125243,0.0045317,0.00717867,0.0045317,0.00125243,0.000749523,0.00271202,0.00429611,0.00271202,0.000749523,0.000163879,0.000592969,0.000939323,0.000592969,0.000163879
8,0.41591,0.000163202,0.000590518,0.00093544,0.000590518,0.000163202,0.000718835,0.00260098,0.00412021,0.00260098,0.000718835,0.00120825,0.00437185,0.00692545,0.00437185,0.00120825,0.000703462,0.00254536,0.0040321,0.00254536,0.000703462,0.000147837,0.000534923,0.000847371,0.000534923,0.000147837
9,0.474986,0.000134131,0.000485331,0.000768813,0.000485331,0.000134131,0.000598624,0.00216602,0.00343119,0.00216602,0.000598624,0.00105243,0.00380805,0.00603233,0.00380805,0.00105243,0.000662416,0.00239684,0.00379683,0.00239684,0.000662416,0.000151795,0.000549245,0.000870058,0.000549245,0.000151795
10,0.535792,0.000115124,0.000416555,0.000659865,0.000416555,0.000115124,0.000543643,0.00196708,0.00311605,0.00196708,0.000543643,0.0010012,0.00362267,0.00573868,0.00362267,0.0010012,0.000659135,0.00238497,0.00377803,0.00238497,0.000659135,0.000166169,0.000601253,0.000952444,0.000601253,0.000166169
11,0.598381,0.000102229,0.000369898,0.000585955,0.000369898,0.000102229,0.000496122,0.00179513,0.00284367,0.00179513,0.000496122,0.000970634,0.00351207,0.00556347,0.00351207,0.000970634,0.000698259,0.00252653,0.00400227,0.00252653,0.000698259,0.000193102,0.000698706,0.00110682,0.000698706,0.000193102
12,0.662804,9.13892e-005,0.000330676,0.000523824,0.000330676,9.13892e-005,0.000455382,0.00164772,0.00261015,0.00164772,0.000455382,0.00090444,0.00327256,0.00518406,0.00327256,0.00090444,0.000655193,0.0023707,0.00375543,0.0023707,0.000655193,0.000182582,0.00066064,0.00104652,0.00066064,0.000182582
