gridnumber,capital,dist[0 0],dist[1 0],dist[2 0],dist[3 0],dist[4 0]
0,0,0.0186655,0.0449567,0.0430151,0.0155603,0.0022857
1,0.0468873,0.00614545,0.0152299,0.0149704,0.00570721,0.000916579
2,0.0951487,0.00553891,0.0184945,0.0243872,0.0110262,0.00176806
3,0.144824,0.00570518,0.0195485,0.0247102,0.0106022,0.00165075
4,0.195956,0.00391768,0.0138356,0.0183576,0.00857194,0.00153051
5,0.248585,0.00327898,0.0127413,0.0196314,0.0112646,0.00250429
6,0.302757,0.0028211,0.012141,0.0200205,0.0115578,0.00249442
7,0.358517,0.00221386,0.00962006,0.0165689,0.0102346,0.00232752
8,0.41591,0.00191369,0.00882076,0.01569,0.00973836,0.00222362
9,0.474986,0.00164432,0.00753335,0.0136017,0.00865356,0.00203545
10,0.535792,0.00143223,0.00668352,0.0125026,0.00851602,0.00221035
11,0.598381,0.00123874,0.00590477,0.0118408,0.00885699,0.00255446
12,0.662804,0.00121314,0.00564414,0.0110709,0.00830476,0.00248476
13,0.729114,0.000963208,0.00467453,0.00980297,0.00775846,0.00231876
14,0.797368,0.00100419,0.00480121,0.00979239,0.0077414,0.00249259
15,0.867622,0.000839467,0.00395185,0.00810101,0.00651287,0.0021186
16,0.939934,0.000802025,0.00404251,0.00876984,0.00722901,0.00232353
17,1.01437,0.000705168,0.00324778,0.00658863,0.00537241,0.00180255
18,1.09098,0.000699637,0.00344977,0.00733321,0.00605181,0.00206349
19,1.16984,0.000612058,0.00291998,0.00615988,0.00533972,0.00200629
20,1.25101,0.000575688,0.00286258,0.0061775,0.00530702,0.00189208
21,1.33455,0.000549361,0.00264671,0.00570088,0.00497028,0.00181053
22,1.42055,0.000463129,0.00227237,0.00509638,0.00468225,0.00181907
23,1.50907,0.00044475,0.00217399,0.00465834,0.00401642,0.00146326
24,1.60018,0.000424336,0.00200818,0.00425888,0.003773,0.00144386
25,1.69396,0.000388581,0.00197984,0.00447114,0.00406323,0.0015541
26,1.79048,0.000377861,0.00181036,0.00387448,0.00342646,0.00132107
27,1.88984,0.000310598,0.00154009,0.0034795,0.00324018,0.0012846
28,1.99211,0.000320238,0.0015456,0.00328424,0.00287504,0.00108909
29,2.09737,0.000285299,0.00140864,0.00310439,0.00286246,0.00115346
30,2.20572,0.00025452,0.00128533,0.00294254,0.00274905,0.00107303
31,2.31725,0.000236318,0.00113572,0.00246559,0.00222244,0.000870393
32,2.43204,0.00021772,0.00109676,0.00248169,0.0022996,0.000909176
33,2.5502,0.00020964,0.00104131,0.00231059,0.00211714,0.000835309
34,2.67182,0.000174592,0.000852685,0.00191518,0.00179738,0.000726455
35,2.797,0.000173189,0.000862567,0.00191601,0.00176886,0.000712676
36,2.92586,0.000159849,0.000778701,0.00170343,0.00155694,0.000620348
37,3.05848,0.000145531,0.000699486,0.00152003,0.00138917,0.000555054
38,3.195,0.000138823,0.000679414,0.00152799,0.00143647,0.000576302
39,3.33551,0.000121099,0.000581095,0.00126568,0.00115158,0.000452177
40,3.48015,0.000108161,0.000536372,0.00119203,0.00110103,0.000440083
41,3.62902,9.86801e-005,0.000496932,0.00113026,0.0010706,0.000437993
42,3.78225,9.09396e-005,0.000455606,0.00102884,0.000947258,0.000370164
43,3.93998,8.07458e-005,0.000389877,0.000863438,0.000816944,0.000340953
44,4.10232,7.33711e-005,0.000343928,0.000742608,0.000687492,0.000281987
45,4.26943,6.58642e-005,0.000319999,0.000696753,0.000624872,0.000240421
46,4.44143,5.98731e-005,0.00030094,0.000689031,0.000650387,0.00026245
