gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0468873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0951487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.144824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.195956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.248585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.302757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.358517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41591,1.52577e-019,1.89362e-019,1.52577e-019,1.96452e-019,2.43815e-019,1.96452e-019,7.51293e-020,9.32427e-020,7.51293e-020,7.10715e-021,8.82066e-021,7.10715e-021,1.60554e-022,1.99264e-022,1.60554e-022
9,0.474986,4.76744e-016,5.91685e-016,4.76744e-016,6.18917e-016,7.68136e-016,6.18917e-016,2.40838e-016,2.98903e-016,2.40838e-016,2.37044e-017,2.94194e-017,2.37044e-017,5.86373e-019,7.27745e-019,5.86373e-019
10,0.535792,4.50003e-013,5.58497e-013,4.50003e-013,6.07054e-013,7.53413e-013,6.07054e-013,2.54835e-013,3.16275e-013,2.54835e-013,2.92115e-014,3.62543e-014,2.92115e-014,9.50204e-016,1.1793e-015,9.50204e-016
11,0.598381,3.41668e-011,4.24043e-011,3.41668e-011,4.79376e-011,5.94952e-011,4.79376e-011,2.17273e-011,2.69657e-011,2.17273e-011,2.89678e-012,3.59518e-012,2.89678e-012,1.23637e-013,1.53445e-013,1.23637e-013
12,0.662804,1.29863e-009,1.61173e-009,1.29863e-009,1.85591e-009,2.30336e-009,1.85591e-009,8.689e-010,1.07839e-009,8.689e-010,1.22157e-010,1.51608e-010,1.22157e-010,5.60163e-012,6.95217e-012,5.60163e-012
13,0.729114,1.67305e-008,2.07641e-008,1.67305e-008,2.44701e-008,3.03698e-008,2.44701e-008,1.20862e-008,1.50001e-008,1.20862e-008,1.92236e-009,2.38584e-009,1.92236e-009,1.11539e-010,1.38431e-010,1.11539e-010
14,0.797368,1.41905e-007,1.76118e-007,1.41905e-007,2.39951e-007,2.97802e-007,2.39951e-007,1.42039e-007,1.76284e-007,1.42039e-007,2.64709e-008,3.2853e-008,2.64709e-008,1.59877e-009,1.98423e-009,1.59877e-009
15,0.867622,6.79667e-007,8.43533e-007,6.79667e-007,1.08355e-006,1.34479e-006,1.08355e-006,6.15255e-007,7.63591e-007,6.15255e-007,1.19219e-007,1.47962e-007,1.19219e-007,8.65881e-009,1.07464e-008,8.65881e-009
16,0.939934,2.25274e-006,2.79587e-006,2.25274e-006,3.91066e-006,4.85351e-006,3.91066e-006,2.48283e-006,3.08143e-006,2.48283e-006,5.42799e-007,6.73666e-007,5.42799e-007,4.39472e-008,5.45427e-008,4.39472e-008
17,1.01437,8.63711e-006,1.07195e-005,8.63711e-006,1.57032e-005,1.94892e-005,1.57032e-005,1.09333e-005,1.35693e-005,1.09333e-005,2.77886e-006,3.44883e-006,2.77886e-006,2.68266e-007,3.32944e-007,2.68266e-007
18,1.09098,2.6281e-005,3.26172e-005,2.6281e-005,4.67959e-005,5.80782e-005,4.67959e-005,3.17047e-005,3.93486e-005,3.17047e-005,7.99064e-006,9.91715e-006,7.99064e-006,8.32272e-007,1.03293e-006,8.32272e-007
19,1.16984,4.43268e-005,5.50138e-005,4.43268e-005,8.39081e-005,0.000104138,8.39081e-005,6.30938e-005,7.83055e-005,6.30938e-005,1.86368e-005,2.31301e-005,1.86368e-005,2.35181e-006,2.91883e-006,2.35181e-006
20,1.25101,0.000115769,0.000143681,0.000115769,0.000229475,0.000284801,0.000229475,0.000171158,0.000212423,0.000171158,4.5464e-005,5.64252e-005,4.5464e-005,4.93034e-006,6.11902e-006,4.93034e-006
21,1.33455,0.000187754,0.000233021,0.000187754,0.000374375,0.000464636,0.000374375,0.000290941,0.000361085,0.000290941,8.48558e-005,0.000105314,8.48558e-005,1.03762e-005,1.28779e-005,1.03762e-005
22,1.42055,0.000272162,0.000337779,0.000272162,0.000613605,0.000761543,0.000613605,0.000535345,0.000664415,0.000535345,0.000167911,0.000208394,0.000167911,2.03141e-005,2.52117e-005,2.03141e-005
23,1.50907,0.00043116,0.000535112,0.00043116,0.00101451,0.00125911,0.00101451,0.000924083,0.00114688,0.000924083,0.000300149,0.000372513,0.000300149,3.65633e-005,4.53786e-005,3.65633e-005
24,1.60018,0.000561424,0.000696782,0.000561424,0.00133804,0.00166063,0.00133804,0.00126833,0.00157412,0.00126833,0.000443106,0.000549938,0.000443106,5.96978e-005,7.40908e-005,5.96978e-005
25,1.69396,0.000679802,0.0008437,0.000679802,0.00173672,0.00215544,0.00173672,0.00175779,0.00218158,0.00175779,0.000652565,0.000809896,0.000652565,9.30828e-005,0.000115525,9.30828e-005
26,1.79048,0.00083329,0.00103419,0.00083329,0.002239,0.00277881,0.002239,0.00239981,0.0029784,0.00239981,0.000952037,0.00118157,0.000952037,0.000145782,0.000180929,0.000145782
27,1.88984,0.000919935,0.00114173,0.000919935,0.00265536,0.00329556,0.00265536,0.00300318,0.00372724,0.00300318,0.0012201,0.00151427,0.0012201,0.00018686,0.000231911,0.00018686
28,1.99211,0.000989962,0.00122864,0.000989962,0.0029002,0.00359942,0.0029002,0.00345768,0.00429132,0.00345768,0.00154174,0.00191345,0.00154174,0.00026728,0.00033172,0.00026728
