gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
0,0,0.00183863,0.00228191,0.00183863,0.00394226,0.00489272,0.00394226,0.00338079,0.00419589,0.00338079,0.00108182,0.00134264,0.00108182,0.000136156,0.000168983,0.000136156
1,0.0468873,0.000959388,0.00119069,0.000959388,0.0022945,0.0028477,0.0022945,0.00206064,0.00255746,0.00206064,0.000666761,0.000827515,0.000666761,8.71084e-005,0.00010811,8.71084e-005
2,0.0951487,0.000920378,0.00114228,0.000920378,0.00222436,0.00276065,0.00222436,0.00206664,0.00256491,0.00206664,0.000706043,0.000876268,0.000706043,9.68346e-005,0.000120181,9.68346e-005
3,0.144824,0.000907428,0.00112621,0.000907428,0.00254017,0.00315259,0.00254017,0.0028517,0.00353924,0.0028517,0.00113893,0.00141352,0.00113893,0.000160689,0.000199431,0.000160689
4,0.195956,0.000974423,0.00120935,0.000974423,0.00284672,0.00353306,0.00284672,0.00314923,0.00390849,0.00314923,0.00121728,0.00151077,0.00121728,0.000172617,0.000214235,0.000172617
5,0.248585,0.000786126,0.000975659,0.000786126,0.00238138,0.00295553,0.00238138,0.00279983,0.00347486,0.00279983,0.00117038,0.00145256,0.00117038,0.000183145,0.0002273,0.000183145
6,0.302757,0.000778286,0.000965928,0.000778286,0.00250775,0.00311237,0.00250775,0.00315104,0.00391075,0.00315104,0.00138639,0.00172064,0.00138639,0.000221937,0.000275445,0.000221937
7,0.358517,0.000701485,0.000870611,0.000701485,0.00231837,0.00287732,0.00231837,0.00302459,0.00375381,0.00302459,0.00144379,0.00179189,0.00144379,0.000264673,0.000328485,0.000264673
8,0.41591,0.000755038,0.000937076,0.000755038,0.00254705,0.00316114,0.00254705,0.00345286,0.00428534,0.00345286,0.00172893,0.00214577,0.00172893,0.000331116,0.000410947,0.000331116
9,0.474986,0.000650224,0.000806991,0.000650224,0.00236498,0.00293517,0.00236498,0.00343136,0.00425865,0.00343136,0.00179399,0.00222652,0.00179399,0.000353258,0.000438428,0.000353258
10,0.535792,0.000669798,0.000831284,0.000669798,0.00245662,0.0030489,0.00245662,0.00361134,0.00448203,0.00361134,0.00192501,0.00238912,0.00192501,0.000387778,0.000481271,0.000387778
11,0.598381,0.000595584,0.000739177,0.000595584,0.0022293,0.00276677,0.0022293,0.00337971,0.00419454,0.00337971,0.00185878,0.00230692,0.00185878,0.000385234,0.000478113,0.000385234
12,0.662804,0.000607926,0.000754495,0.000607926,0.00224811,0.00279012,0.00224811,0.00338984,0.00420712,0.00338984,0.00189698,0.00235434,0.00189698,0.000411655,0.000510903,0.000411655
13,0.729114,0.000580368,0.000720293,0.000580368,0.00217311,0.00269704,0.00217311,0.00340669,0.00422804,0.00340669,0.00204624,0.00253958,0.00204624,0.000485865,0.000603006,0.000485865
14,0.797368,0.000549254,0.000681677,0.000549254,0.00214423,0.00266119,0.00214423,0.00349634,0.0043393,0.00349634,0.00214022,0.00265622,0.00214022,0.000509233,0.000632007,0.000509233
15,0.867622,0.000534113,0.000662885,0.000534113,0.00212072,0.00263202,0.00212072,0.00349673,0.00433979,0.00349673,0.00218068,0.00270644,0.00218068,0.000535223,0.000664264,0.000535223
16,0.939934,0.000506399,0.000628491,0.000506399,0.00200458,0.00248787,0.00200458,0.00332325,0.00412448,0.00332325,0.00210804,0.00261628,0.00210804,0.000535911,0.000665117,0.000535911
17,1.01437,0.000496073,0.000615675,0.000496073,0.00199644,0.00247777,0.00199644,0.0033962,0.00421502,0.0033962,0.00220416,0.00273557,0.00220416,0.000570859,0.000708491,0.000570859
18,1.09098,0.000493077,0.000611956,0.000493077,0.00195973,0.00243221,0.00195973,0.00331549,0.00411484,0.00331549,0.00221502,0.00274906,0.00221502,0.000610243,0.00075737,0.000610243
19,1.16984,0.000456806,0.000566941,0.000456806,0.00186277,0.00231187,0.00186277,0.00321019,0.00398416,0.00321019,0.00214256,0.00265912,0.00214256,0.00057999,0.000719824,0.00057999
20,1.25101,0.000421838,0.000523542,0.000421838,0.00174287,0.00216307,0.00174287,0.00311162,0.00386182,0.00311162,0.002195,0.0027242,0.002195,0.000638225,0.000792098,0.000638225
21,1.33455,0.00041945,0.000520578,0.00041945,0.00175858,0.00218257,0.00175858,0.00316817,0.00393201,0.00316817,0.00222841,0.00276567,0.00222841,0.000636565,0.000790039,0.000636565
22,1.42055,0.000396531,0.000492134,0.000396531,0.00164899,0.00204655,0.00164899,0.00294312,0.0036527,0.00294312,0.00207807,0.00257908,0.00207807,0.000618987,0.000768222,0.000618987
23,1.50907,0.000365842,0.000454045,0.000365842,0.00154345,0.00191557,0.00154345,0.00283681,0.00352075,0.00283681,0.00207949,0.00258084,0.00207949,0.000636525,0.000789989,0.000636525
24,1.60018,0.000356531,0.000442489,0.000356531,0.00150855,0.00187225,0.00150855,0.00274787,0.00341037,0.00274787,0.00198954,0.00246921,0.00198954,0.00061135,0.000758745,0.00061135
25,1.69396,0.000336058,0.000417081,0.000336058,0.00144657,0.00179534,0.00144657,0.0027302,0.00338844,0.0027302,0.00207832,0.0025794,0.00207832,0.000667018,0.000827833,0.000667018
26,1.79048,0.000317844,0.000394476,0.000317844,0.00136208,0.00169048,0.00136208,0.00254215,0.00315506,0.00254215,0.00190165,0.00236014,0.00190165,0.000602139,0.000747313,0.000602139
27,1.88984,0.000296084,0.000367469,0.000296084,0.0012962,0.00160871,0.0012962,0.00248036,0.00307837,0.00248036,0.00189906,0.00235692,0.00189906,0.000614736,0.000762947,0.000614736
28,1.99211,0.000276305,0.000342921,0.000276305,0.00120874,0.00150017,0.00120874,0.00233388,0.00289656,0.00233388,0.00182966,0.00227079,0.00182966,0.000611285,0.000758664,0.000611285
29,2.09737,0.000258118,0.000320349,0.000258118,0.00112975,0.00140213,0.00112975,0.00219048,0.0027186,0.00219048,0.00172895,0.0021458,0.00172895,0.000578616,0.000718119,0.000578616
30,2.20572,0.000243778,0.000302552,0.000243778,0.00107211,0.00133059,0.00107211,0.00205413,0.00254937,0.00205413,0.00160219,0.00198848,0.00160219,0.000545592,0.000677133,0.000545592
31,2.31725,0.000225443,0.000279797,0.000225443,0.000999806,0.00124086,0.000999806,0.00196438,0.00243798,0.00196438,0.00158448,0.00196649,0.00158448,0.000554456,0.000688133,0.000554456
32,2.43204,0.000208997,0.000259386,0.000208997,0.000942634,0.0011699,0.000942634,0.00187825,0.00233109,0.00187825,0.0015099,0.00187394,0.0015099,0.000514678,0.000638765,0.000514678
33,2.5502,0.000196367,0.00024371,0.000196367,0.000880592,0.0010929,0.000880592,0.00174362,0.002164,0.00174362,0.00141512,0.0017563,0.00141512,0.000499279,0.000619654,0.000499279
34,2.67182,0.000185914,0.000230737,0.000185914,0.000830851,0.00103117,0.000830851,0.00164978,0.00204754,0.00164978,0.00133997,0.00166303,0.00133997,0.000466282,0.000578702,0.000466282
35,2.797,0.000170174,0.000211203,0.000170174,0.000764944,0.000949369,0.000764944,0.00154121,0.00191279,0.00154121,0.00128226,0.00159141,0.00128226,0.000458847,0.000569473,0.000458847
