gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
0,0,0.00595937,0.00739616,0.00595937,0.014242,0.0176756,0.014242,0.0134616,0.0167072,0.0134616,0.00477365,0.00592456,0.00477365,0.000674611,0.000837258,0.000674611
1,0.0468873,0.00198693,0.00246597,0.00198693,0.00492302,0.00610994,0.00492302,0.00482978,0.00599422,0.00482978,0.00181746,0.00225565,0.00181746,0.000286542,0.000355626,0.000286542
2,0.0951487,0.00174351,0.00216387,0.00174351,0.00567837,0.00704741,0.00567837,0.00729101,0.00904885,0.00729101,0.0031778,0.00394395,0.0031778,0.000483407,0.000599955,0.000483407
3,0.144824,0.00184484,0.00228962,0.00184484,0.00614539,0.00762702,0.00614539,0.00758387,0.00941232,0.00758387,0.0031996,0.00397102,0.0031996,0.000495398,0.000614836,0.000495398
4,0.195956,0.00130166,0.00161548,0.00130166,0.00439665,0.00545667,0.00439665,0.00555129,0.00688969,0.00555129,0.00241813,0.00300114,0.00241813,0.000392964,0.000487706,0.000392964
5,0.248585,0.00116136,0.00144136,0.00116136,0.00434301,0.00539009,0.00434301,0.00650053,0.00806778,0.00650053,0.00365263,0.00453327,0.00365263,0.000779983,0.000968034,0.000779983
6,0.302757,0.000995321,0.00123529,0.000995321,0.00413132,0.00512737,0.00413132,0.00653023,0.00810464,0.00653023,0.00353905,0.0043923,0.00353905,0.000694581,0.000862042,0.000694581
7,0.358517,0.00080068,0.000993722,0.00080068,0.00343381,0.00426168,0.00343381,0.00577528,0.00716769,0.00577528,0.00345174,0.00428394,0.00345174,0.000754067,0.00093587,0.000754067
8,0.41591,0.00075468,0.000936631,0.00075468,0.00331673,0.00411638,0.00331673,0.00556705,0.00690925,0.00556705,0.00323856,0.00401936,0.00323856,0.000680372,0.000844408,0.000680372
9,0.474986,0.000623566,0.000773906,0.000623566,0.00277685,0.00344634,0.00277685,0.00487641,0.0060521,0.00487641,0.00306881,0.0038087,0.00306881,0.000703373,0.000872954,0.000703373
10,0.535792,0.000534184,0.000662974,0.000534184,0.00251981,0.00312733,0.00251981,0.00463103,0.00574756,0.00463103,0.00303949,0.0037723,0.00303949,0.000763941,0.000948125,0.000763941
11,0.598381,0.000474142,0.000588457,0.000474142,0.00229768,0.00285165,0.00229768,0.00448884,0.00557109,0.00448884,0.0032246,0.00400204,0.0032246,0.000889795,0.00110432,0.000889795
12,0.662804,0.000427545,0.000530624,0.000427545,0.0021246,0.00263683,0.0021246,0.00420511,0.00521894,0.00420511,0.00303809,0.00377056,0.00303809,0.000845134,0.00104889,0.000845134
13,0.729114,0.000358308,0.000444694,0.000358308,0.0018549,0.00230211,0.0018549,0.00387597,0.00481046,0.00387597,0.00296353,0.00367803,0.00296353,0.000863351,0.0010715,0.000863351
14,0.797368,0.000310154,0.000384931,0.000310154,0.0016241,0.00201567,0.0016241,0.00347838,0.00431701,0.00347838,0.00276625,0.00343318,0.00276625,0.000853642,0.00105945,0.000853642
15,0.867622,0.000273148,0.000339003,0.000273148,0.00146969,0.00182403,0.00146969,0.00321321,0.0039879,0.00321321,0.00260624,0.0032346,0.00260624,0.00082411,0.0010228,0.00082411
16,0.939934,0.000240536,0.000298529,0.000240536,0.0013262,0.00164594,0.0013262,0.00296367,0.0036782,0.00296367,0.00243353,0.00302025,0.00243353,0.000765501,0.000950061,0.000765501
17,1.01437,0.000207887,0.000258008,0.000207887,0.00116558,0.00144659,0.00116558,0.00269033,0.00333896,0.00269033,0.0023285,0.00288989,0.0023285,0.000791752,0.000982641,0.000791752
18,1.09098,0.000176909,0.000219561,0.000176909,0.00102158,0.00126788,0.00102158,0.00243042,0.00301639,0.00243042,0.00217946,0.00270493,0.00217946,0.00077702,0.000964357,0.00077702
19,1.16984,0.000152605,0.000189398,0.000152605,0.000903734,0.00112162,0.000903734,0.00221174,0.00274499,0.00221174,0.0020488,0.00254276,0.0020488,0.000758391,0.000941237,0.000758391
20,1.25101,0.000132524,0.000164475,0.000132524,0.000803224,0.000996879,0.000803224,0.00199875,0.00248064,0.00199875,0.00188773,0.00234286,0.00188773,0.000720385,0.000894068,0.000720385
21,1.33455,0.000110871,0.000137602,0.000110871,0.000693918,0.00086122,0.000693918,0.00179598,0.00222898,0.00179598,0.00175615,0.00217955,0.00175615,0.000683981,0.000848887,0.000683981
22,1.42055,9.53801e-005,0.000118376,9.53801e-005,0.000602274,0.00074748,0.000602274,0.00157253,0.00195166,0.00157253,0.00156788,0.0019459,0.00156788,0.00063214,0.000784547,0.00063214
23,1.50907,8.02156e-005,9.95553e-005,8.02156e-005,0.000521212,0.000646874,0.000521212,0.00141374,0.00175459,0.00141374,0.00146435,0.0018174,0.00146435,0.000608768,0.000755541,0.000608768
24,1.60018,6.77746e-005,8.41148e-005,6.77746e-005,0.000451737,0.000560649,0.000451737,0.00126099,0.00156501,0.00126099,0.00134435,0.00166847,0.00134435,0.000574261,0.000712713,0.000574261
25,1.69396,5.5464e-005,6.88362e-005,5.5464e-005,0.00037414,0.000464344,0.00037414,0.00105364,0.00130767,0.00105364,0.00114027,0.00141519,0.00114027,0.000498628,0.000618846,0.000498628
26,1.79048,4.65044e-005,5.77164e-005,4.65044e-005,0.000323879,0.000401965,0.000323879,0.000943053,0.00117042,0.000943053,0.0010617,0.00131767,0.0010617,0.000484761,0.000601635,0.000484761
27,1.88984,3.74564e-005,4.6487e-005,3.74564e-005,0.000268697,0.000333479,0.000268697,0.000807037,0.00100161,0.000807037,0.000923885,0.00114663,0.000923885,0.000421602,0.000523248,0.000421602
28,1.99211,3.01802e-005,3.74566e-005,3.01802e-005,0.000220432,0.000273577,0.000220432,0.00067979,0.000843685,0.00067979,0.000801385,0.000994596,0.000801385,0.000375707,0.000466289,0.000375707
29,2.09737,2.52942e-005,3.13925e-005,2.52942e-005,0.000187443,0.000232635,0.000187443,0.00058322,0.000723832,0.00058322,0.000698381,0.000866759,0.000698381,0.000334544,0.000415201,0.000334544
30,2.20572,1.98669e-005,2.46568e-005,1.98669e-005,0.000152629,0.000189428,0.000152629,0.00049354,0.00061253,0.00049354,0.000612581,0.000760272,0.000612581,0.000302247,0.000375117,0.000302247
31,2.31725,1.55893e-005,1.93478e-005,1.55893e-005,0.000123399,0.00015315,0.000123399,0.000409736,0.000508522,0.000409736,0.000517171,0.00064186,0.000517171,0.000257139,0.000319134,0.000257139
32,2.43204,1.21946e-005,1.51347e-005,1.21946e-005,9.91216e-005,0.000123019,9.91216e-005,0.000338339,0.000419911,0.000338339,0.000437714,0.000543245,0.000437714,0.000221874,0.000275367,0.000221874
33,2.5502,9.35165e-006,1.16063e-005,9.35165e-006,7.77153e-005,9.64522e-005,7.77153e-005,0.000268161,0.000332814,0.000268161,0.000349814,0.000434153,0.000349814,0.000178871,0.000221997,0.000178871
34,2.67182,7.25205e-006,9.00049e-006,7.25205e-006,6.20417e-005,7.69998e-005,6.20417e-005,0.000222053,0.000275589,0.000222053,0.000302372,0.000375273,0.000302372,0.00016093,0.000199729,0.00016093
35,2.797,5.47698e-006,6.79746e-006,5.47698e-006,4.74542e-005,5.88952e-005,4.74542e-005,0.000171476,0.000212819,0.000171476,0.000234191,0.000290654,0.000234191,0.000124409,0.000154403,0.000124409
36,2.92586,3.99999e-006,4.96438e-006,3.99999e-006,3.58561e-005,4.45008e-005,3.58561e-005,0.000135115,0.000167691,0.000135115,0.000191893,0.000238158,0.000191893,0.000105046,0.000130372,0.000105046
37,3.05848,2.92562e-006,3.63098e-006,2.92562e-006,2.69214e-005,3.3412e-005,2.69214e-005,0.000104268,0.000129407,0.000104268,0.000151412,0.000187916,0.000151412,8.41268e-005,0.00010441,8.41268e-005
38,3.195,2.12648e-006,2.63916e-006,2.12648e-006,2.02053e-005,2.50767e-005,2.02053e-005,7.94735e-005,9.86343e-005,7.94735e-005,0.000115526,0.000143379,0.000115526,6.38686e-005,7.92671e-005,6.38686e-005
39,3.33551,1.51115e-006,1.87548e-006,1.51115e-006,1.45132e-005,1.80123e-005,1.45132e-005,5.79164e-005,7.18798e-005,5.79164e-005,8.61564e-005,0.000106928,8.61564e-005,4.87749e-005,6.05343e-005,4.87749e-005
40,3.48015,1.05367e-006,1.30771e-006,1.05367e-006,1.0432e-005,1.29472e-005,1.0432e-005,4.33225e-005,5.37674e-005,4.33225e-005,6.72661e-005,8.34838e-005,6.72661e-005,3.94387e-005,4.89472e-005,3.94387e-005
41,3.62902,7.06854e-007,8.77275e-007,7.06854e-007,7.30923e-006,9.07146e-006,7.30923e-006,3.09267e-005,3.8383e-005,3.09267e-005,4.77857e-005,5.93067e-005,4.77857e-005,2.76515e-005,3.43182e-005,2.76515e-005
42,3.78225,4.86744e-007,6.04096e-007,4.86744e-007,5.11325e-006,6.34604e-006,5.11325e-006,2.21584e-005,2.75007e-005,2.21584e-005,3.5074e-005,4.35302e-005,3.5074e-005,2.06756e-005,2.56604e-005,2.06756e-005
43,3.93998,3.14653e-007,3.90515e-007,3.14653e-007,3.43929e-006,4.26849e-006,3.43929e-006,1.5551e-005,1.93003e-005,1.5551e-005,2.53997e-005,3.15234e-005,2.53997e-005,1.52702e-005,1.89518e-005,1.52702e-005
44,4.10232,2.04067e-007,2.53267e-007,2.04067e-007,2.25482e-006,2.79844e-006,2.25482e-006,1.0322e-005,1.28106e-005,1.0322e-005,1.70701e-005,2.11856e-005,1.70701e-005,1.03596e-005,1.28573e-005,1.03596e-005
45,4.26943,1.2641e-007,1.56888e-007,1.2641e-007,1.42232e-006,1.76523e-006,1.42232e-006,6.60105e-006,8.19254e-006,6.60105e-006,1.10407e-005,1.37025e-005,1.10407e-005,6.75679e-006,8.38584e-006,6.75679e-006
46,4.44143,7.78724e-008,9.66472e-008,7.78724e-008,9.09706e-007,1.12903e-006,9.09706e-007,4.3392e-006,5.38537e-006,4.3392e-006,7.3679e-006,9.14428e-006,7.3679e-006,4.54248e-006,5.63766e-006,4.54248e-006
47,4.61847,4.94188e-008,6.13336e-008,4.94188e-008,5.89387e-007,7.31486e-007,5.89387e-007,2.86225e-006,3.55233e-006,2.86225e-006,4.93594e-006,6.12598e-006,4.93594e-006,3.0773e-006,3.81922e-006,3.0773e-006
48,4.8007,2.83851e-008,3.52287e-008,2.83851e-008,3.53572e-007,4.38817e-007,3.53572e-007,1.77829e-006,2.20703e-006,1.77829e-006,3.13858e-006,3.89528e-006,3.13858e-006,1.98402e-006,2.46236e-006,1.98402e-006
49,4.98827,1.54312e-008,1.91516e-008,1.54312e-008,1.95066e-007,2.42096e-007,1.95066e-007,9.80567e-007,1.21698e-006,9.80567e-007,1.71408e-006,2.12734e-006,1.71408e-006,1.07287e-006,1.33153e-006,1.07287e-006
50,5.18134,8.57335e-009,1.06404e-008,8.57335e-009,1.1043e-007,1.37054e-007,1.1043e-007,5.78684e-007,7.18203e-007,5.78684e-007,1.05517e-006,1.30957e-006,1.05517e-006,6.81139e-007,8.45359e-007,6.81139e-007
