gridnumber,capital,dist[0],dist[1],dist[2],dist[3],dist[4],dist[5],dist[6],dist[7],dist[8],dist[9],dist[10],dist[11],dist[12],dist[13],dist[14],dist[15],dist[16],dist[17],dist[18],dist[19],dist[20],dist[21],dist[22],dist[23],dist[24],dist[25],dist[26],dist[27],dist[28],dist[29],dist[30],dist[31],dist[32],dist[33],dist[34],dist[35],dist[36],dist[37],dist[38],dist[39],dist[40],dist[41],dist[42],dist[43],dist[44],dist[45],dist[46],dist[47],dist[48]
0,0,1.66063e-005,0.000123521,0.000361778,0.000399278,0.000165334,2.5363e-005,1.44431e-006,0.000162052,0.00120537,0.00353039,0.00389633,0.0016134,0.000247503,1.40942e-005,0.00064644,0.00480832,0.014083,0.0155428,0.00643602,0.000987312,5.62233e-005,0.00102402,0.00761685,0.0223089,0.0246213,0.0101953,0.001564,8.90631e-005,0.000646437,0.0048083,0.014083,0.0155427,0.00643599,0.000987306,5.6223e-005,0.00016205,0.00120536,0.00353035,0.00389629,0.00161339,0.0002475,1.40941e-005,1.66061e-005,0.000123519,0.000361772,0.000399272,0.000165332,2.53625e-005,1.44429e-006
1,0.0156618,6.56674e-007,5.40698e-006,1.7125e-005,2.01179e-005,8.75203e-006,1.3955e-006,8.19149e-008,6.4079e-006,5.2762e-005,0.000167108,0.000196313,8.54037e-005,1.36176e-005,7.9934e-007,2.55609e-005,0.000210466,0.000666591,0.000783091,0.000340674,5.43203e-005,3.18856e-006,4.04897e-005,0.000333389,0.00105591,0.00124046,0.000539646,8.60463e-005,5.05085e-006,2.55592e-005,0.000210453,0.00066655,0.000783044,0.000340654,5.43171e-005,3.18838e-006,6.40704e-006,5.27552e-005,0.000167087,0.00019629,8.53936e-005,1.3616e-005,7.99248e-007,6.5654e-007,5.40592e-006,1.71218e-005,2.01142e-005,8.75046e-006,1.39526e-006,8.19007e-008
2,0.031477,1.20965e-006,1.15361e-005,4.30948e-005,6.10416e-005,3.27176e-005,6.5652e-006,4.97843e-007,1.18042e-005,0.000112574,0.000420538,0.000595672,0.000319275,6.40667e-005,4.85823e-006,4.70879e-005,0.000449066,0.00167756,0.0023762,0.00127363,0.000255571,1.93802e-005,7.45913e-005,0.00071136,0.00265742,0.00376414,0.00201756,0.000404853,3.07005e-005,4.7087e-005,0.000449059,0.00167755,0.0023762,0.00127364,0.000255575,1.93806e-005,1.18038e-005,0.000112571,0.000420531,0.000595673,0.00031928,6.40687e-005,4.85845e-006,1.20958e-006,1.15356e-005,4.30939e-005,6.10417e-005,3.27184e-005,6.56551e-006,4.97876e-007
3,0.0474469,2.3825e-006,2.5477e-005,0.000104863,0.000161373,9.2719e-005,1.97005e-005,1.56599e-006,2.32497e-005,0.000248617,0.0010233,0.00157476,0.000904793,0.000192246,1.52816e-005,9.27461e-005,0.000991764,0.00408206,0.00628186,0.00360931,0.000766888,6.09596e-005,0.00014692,0.00157106,0.0064664,0.00995109,0.00571749,0.00121482,9.65656e-005,9.27471e-005,0.000991771,0.00408207,0.00628186,0.00360929,0.000766883,6.0959e-005,2.32502e-005,0.000248621,0.00102331,0.00157475,0.000904786,0.000192244,1.52813e-005,2.38259e-006,2.54776e-005,0.000104864,0.000161373,9.27179e-005,1.97002e-005,1.56595e-006
4,0.0635732,1.39583e-006,1.41536e-005,5.57954e-005,8.28686e-005,4.62643e-005,9.607e-006,7.49714e-007,1.36208e-005,0.000138115,0.000544465,0.000808653,0.00045146,9.37479e-005,7.31594e-006,5.43337e-005,0.000550942,0.00217188,0.00322574,0.00180089,0.000373964,2.91836e-005,8.60682e-005,0.000872728,0.00344041,0.0051098,0.00285274,0.000592387,4.6229e-005,5.43313e-005,0.000550918,0.00217179,0.00322562,0.00180082,0.000373952,2.91827e-005,1.36196e-005,0.000138103,0.00054442,0.000808591,0.000451427,9.37417e-005,7.31549e-006,1.39564e-006,1.41518e-005,5.57883e-005,8.28588e-005,4.62592e-005,9.60603e-006,7.49644e-007
5,0.0798573,1.46813e-006,1.55204e-005,6.33369e-005,9.68242e-005,5.53463e-005,1.17132e-005,9.2819e-007,1.43269e-005,0.000151457,0.000618076,0.00094486,0.000540096,0.000114303,9.05769e-006,5.71526e-005,0.000604187,0.00246559,0.00376917,0.0021545,0.000455965,3.6132e-005,9.05369e-005,0.000957104,0.00390578,0.00597076,0.00341296,0.000722294,5.72365e-005,5.71545e-005,0.000604202,0.00246563,0.0037692,0.00215451,0.000455965,3.61318e-005,1.43279e-005,0.000151465,0.000618097,0.000944879,0.000540101,0.000114302,9.05761e-006,1.46828e-006,1.55216e-005,6.33402e-005,9.68272e-005,5.5347e-005,1.17132e-005,9.28178e-007
6,0.0963008,1.05844e-006,1.08425e-005,4.32072e-005,6.48499e-005,3.65515e-005,7.65303e-006,6.01449e-007,1.03286e-005,0.000105805,0.000421632,0.000632831,0.000356684,7.46816e-005,5.86921e-006,4.12011e-005,0.000422061,0.00168192,0.00252441,0.00142285,0.000297912,2.34129e-005,6.52655e-005,0.000668579,0.0026643,0.0039989,0.00225392,0.000471921,3.70883e-005,4.11997e-005,0.000422051,0.00168189,0.00252438,0.00142283,0.000297911,2.34128e-005,1.03279e-005,0.0001058,0.000421617,0.000632815,0.000356679,7.46809e-005,5.86918e-006,1.05833e-006,1.08417e-005,4.32049e-005,6.48474e-005,3.65505e-005,7.65292e-006,6.01445e-007
7,0.112905,7.28112e-007,7.08016e-006,2.69958e-005,3.90273e-005,2.13242e-005,4.3535e-006,3.35188e-007,7.10546e-006,6.90933e-005,0.000263444,0.000380854,0.000208095,4.24842e-005,3.27098e-006,2.83452e-005,0.000275627,0.00105093,0.0015193,0.000830129,0.000169477,1.30485e-005,4.49028e-005,0.000436632,0.00166481,0.00240677,0.00131503,0.000268473,2.06705e-005,2.83467e-005,0.000275641,0.00105098,0.00151936,0.000830161,0.000169483,1.30489e-005,7.10624e-006,6.91002e-005,0.000263467,0.000380886,0.000208111,4.24872e-005,3.2712e-006,7.28234e-007,7.08124e-006,2.69995e-005,3.90322e-005,2.13266e-005,4.35397e-006,3.35223e-007
8,0.129672,6.49394e-007,6.33698e-006,2.41229e-005,3.47144e-005,1.88532e-005,3.8242e-006,2.92581e-007,6.33683e-006,6.18365e-005,0.000235392,0.000338745,0.00018397,3.73167e-005,2.85502e-006,2.52773e-005,0.000246662,0.000938963,0.00135123,0.000733845,0.000148854,1.13885e-005,4.00402e-005,0.000390722,0.00148735,0.0021404,0.00116244,0.000235791,1.80399e-005,2.52753e-005,0.000246642,0.000938886,0.00135112,0.000733785,0.000148842,1.13876e-005,6.33584e-006,6.18264e-005,0.000235353,0.000338689,0.00018394,3.73107e-005,2.85457e-006,6.49239e-007,6.3354e-006,2.41168e-005,3.47057e-005,1.88485e-005,3.82326e-006,2.92511e-007
9,0.146603,6.32137e-007,6.29964e-006,2.44063e-005,3.56532e-005,1.96085e-005,4.01906e-006,3.10153e-007,6.16862e-006,6.14742e-005,0.000238165,0.000347918,0.000191348,3.92196e-005,3.0266e-006,2.4607e-005,0.000245224,0.000950058,0.00138787,0.0007633,0.00015645,1.20733e-005,3.89796e-005,0.000388456,0.00150497,0.00219851,0.00120913,0.000247831,1.91253e-005,2.46065e-005,0.00024522,0.000950041,0.00138785,0.000763289,0.000156448,1.20732e-005,6.16836e-006,6.14718e-005,0.000238157,0.000347906,0.000191342,3.92186e-005,3.02652e-006,6.32097e-007,6.29926e-006,2.44049e-005,3.56515e-005,1.96076e-005,4.0189e-006,3.10142e-007
