gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[0 5],dist[0 6],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[1 5],dist[1 6],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[2 5],dist[2 6],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[3 5],dist[3 6],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4],dist[4 5],dist[4 6],dist[5 0],dist[5 1],dist[5 2],dist[5 3],dist[5 4],dist[5 5],dist[5 6],dist[6 0],dist[6 1],dist[6 2],dist[6 3],dist[6 4],dist[6 5],dist[6 6]
0,0,1.63326e-005,0.000123939,0.000372784,0.000426319,0.000185016,3.01795e-005,1.86442e-006,0.000159375,0.00120941,0.00363765,0.00416005,0.0018054,0.000294494,1.81931e-005,0.000635761,0.00482446,0.014511,0.0165949,0.00720193,0.00117477,7.25743e-005,0.00100711,0.00764243,0.0229868,0.0262879,0.0114086,0.00186095,0.000114965,0.000635761,0.00482446,0.014511,0.0165949,0.00720193,0.00117477,7.25743e-005,0.000159375,0.00120941,0.00363765,0.00416005,0.0018054,0.000294494,1.81931e-005,1.63326e-005,0.000123939,0.000372784,0.000426319,0.000185016,3.01795e-005,1.86442e-006
1,0.0185364,4.36971e-006,4.379e-005,0.000171785,0.000254865,0.000142431,2.96352e-005,2.3181e-006,4.264e-005,0.000427307,0.0016763,0.00248699,0.00138985,0.000289182,2.26202e-005,0.000170095,0.00170457,0.00668691,0.00992085,0.00554425,0.00115358,9.02343e-005,0.000269448,0.00270021,0.0105927,0.0157156,0.00878265,0.00182738,0.00014294,0.000170095,0.00170457,0.00668691,0.00992085,0.00554425,0.00115358,9.02343e-005,4.264e-005,0.000427307,0.0016763,0.00248699,0.00138985,0.000289182,2.26202e-005,4.36971e-006,4.379e-005,0.000171785,0.000254865,0.000142431,2.96352e-005,2.3181e-006
2,0.0372875,3.67174e-006,3.63576e-005,0.000140418,0.000204865,0.000112652,2.30992e-005,1.78382e-006,3.58292e-005,0.00035478,0.00137021,0.00199909,0.00109926,0.000225404,1.74067e-005,0.000142926,0.00141526,0.0054659,0.00797457,0.00438507,0.00089916,6.9437e-005,0.000226409,0.00224191,0.00865854,0.0126325,0.0069464,0.00142436,0.000109995,0.000142926,0.00141526,0.0054659,0.00797457,0.00438507,0.00089916,6.9437e-005,3.58292e-005,0.00035478,0.00137021,0.00199909,0.00109926,0.000225404,1.74067e-005,3.67174e-006,3.63576e-005,0.000140418,0.000204865,0.000112652,2.30992e-005,1.78382e-006
3,0.0562558,2.73455e-006,2.84563e-005,0.000117547,0.000187059,0.000114606,2.68045e-005,2.43481e-006,2.6684e-005,0.000277679,0.00114703,0.00182534,0.00111833,0.000261561,2.37591e-005,0.000106445,0.00110769,0.00457561,0.00728145,0.00446115,0.00104339,9.47774e-005,0.00016862,0.00175469,0.00724823,0.0115346,0.0070669,0.00165284,0.000150137,0.000106445,0.00110769,0.00457561,0.00728145,0.00446115,0.00104339,9.47774e-005,2.6684e-005,0.000277679,0.00114703,0.00182534,0.00111833,0.000261561,2.37591e-005,2.73455e-006,2.84563e-005,0.000117547,0.000187059,0.000114606,2.68045e-005,2.43481e-006
4,0.0754439,2.484e-006,2.74102e-005,0.000120779,0.000206233,0.000136065,3.43008e-005,3.35864e-006,2.42391e-005,0.000267471,0.00117858,0.00201244,0.00132774,0.00033471,3.27739e-005,9.66921e-005,0.00106697,0.00470146,0.00802784,0.00529647,0.00133519,0.000130738,0.00015317,0.00169019,0.00744758,0.0127169,0.00839015,0.00211508,0.000207103,9.66921e-005,0.00106697,0.00470146,0.00802784,0.00529647,0.00133519,0.000130738,2.42391e-005,0.000267471,0.00117858,0.00201244,0.00132774,0.00033471,3.27739e-005,2.484e-006,2.74102e-005,0.000120779,0.000206233,0.000136065,3.43008e-005,3.35864e-006
5,0.0948544,2.05799e-006,2.27938e-005,0.000100212,0.000170041,0.000111208,2.77581e-005,2.69008e-006,2.0082e-005,0.000222424,0.000977872,0.00165928,0.00108518,0.000270865,2.625e-005,8.01091e-005,0.000887271,0.00390083,0.00661902,0.0043289,0.00108051,0.000104714,0.000126901,0.00140553,0.00617931,0.0104852,0.0068574,0.00171164,0.000165877,8.01091e-005,0.00088727,0.00390083,0.00661902,0.0043289,0.00108051,0.000104714,2.0082e-005,0.000222424,0.000977872,0.00165928,0.00108518,0.000270865,2.625e-005,2.05799e-006,2.27938e-005,0.000100212,0.000170041,0.000111208,2.77581e-005,2.69008e-006
6,0.11449,1.66595e-006,1.87865e-005,8.40964e-005,0.000145273,9.66517e-005,2.45103e-005,2.41021e-006,1.62565e-005,0.00018332,0.00082062,0.00141759,0.000943135,0.000239173,2.35191e-005,6.48487e-005,0.000731282,0.00327353,0.0056549,0.00376226,0.000954086,9.382e-005,0.000102727,0.00115842,0.00518561,0.00895792,0.0059598,0.00151137,0.00014862,6.48487e-005,0.000731282,0.00327354,0.0056549,0.00376226,0.000954086,9.382e-005,1.62565e-005,0.00018332,0.00082062,0.00141759,0.000943135,0.000239173,2.35191e-005,1.66595e-006,1.87865e-005,8.40964e-005,0.000145273,9.66517e-005,2.45103e-005,2.41021e-006
7,0.134352,1.33169e-006,1.56062e-005,7.33463e-005,0.000134765,9.6855e-005,2.70316e-005,3.0061e-006,1.29947e-005,0.000152286,0.000715719,0.00131504,0.000945119,0.000263776,2.93338e-005,5.18372e-005,0.000607485,0.00285507,0.00524584,0.00377018,0.00105223,0.000117016,8.21153e-005,0.000962317,0.00452272,0.00830994,0.00597234,0.00166684,0.000185364,5.18372e-005,0.000607485,0.00285507,0.00524584,0.00377018,0.00105223,0.000117016,1.29947e-005,0.000152286,0.000715719,0.00131504,0.000945119,0.000263776,2.93338e-005,1.33169e-006,1.56062e-005,7.33463e-005,0.000134765,9.6855e-005,2.70316e-005,3.0061e-006
8,0.154445,1.09231e-006,1.30243e-005,6.22071e-005,0.000116041,8.45685e-005,2.39022e-005,2.68915e-006,1.06588e-005,0.000127092,0.000607022,0.00113234,0.000825226,0.00023324,2.62409e-005,4.25191e-005,0.000506982,0.00242147,0.004517,0.00329191,0.000930416,0.000104678,6.73545e-005,0.00080311,0.00383585,0.00715538,0.00521472,0.00147387,0.00016582,4.25191e-005,0.000506982,0.00242147,0.004517,0.00329191,0.000930416,0.000104678,1.06588e-005,0.000127092,0.000607022,0.00113234,0.000825226,0.00023324,2.62409e-005,1.09231e-006,1.30243e-005,6.22071e-005,0.000116041,8.45685e-005,2.39022e-005,2.68915e-006
9,0.174771,8.94174e-007,1.08073e-005,5.22548e-005,9.85769e-005,7.25746e-005,2.06996e-005,2.34828e-006,8.72542e-006,0.000105458,0.000509907,0.000961922,0.000708189,0.000201988,2.29147e-005,3.48066e-005,0.000420683,0.00203407,0.0038372,0.00282504,0.000805752,9.14092e-005,5.51371e-005,0.000666405,0.00322217,0.00607851,0.00447514,0.00127639,0.000144801,3.48066e-005,0.000420683,0.00203407,0.0038372,0.00282504,0.000805752,9.14092e-005,8.72542e-006,0.000105458,0.000509907,0.000961922,0.000708189,0.000201988,2.29147e-005,8.94174e-007,1.08073e-005,5.22548e-005,9.85769e-005,7.25746e-005,2.06996e-005,2.34828e-006
